,T,LX,LY,RX,RY
0,0.0,0.0,0.0,0.0,0.0
1,20.0,0.65535,-9.9999999960687e-06,0.65535999999999,-0.65536
2,40.0,0.65534,-9.9999999960687e-06,0.65535999999999,-0.65536
3,60.0,0.65534,-9.9999999960687e-06,0.65535,-0.65536
4,80.0,0.65534,-9.9999999960687e-06,0.65534,0.0
5,100.0,0.65533,-9.9999999960687e-06,0.65534,-0.65536
6,120.0,1.31069,-9.9999999960687e-06,0.65534,-0.65536
7,140.0,1.31069,-0.65537,1.31069,-0.65536
8,160.0,1.31068,-0.65537,1.31069,-0.65536
9,180.0,0.65532,-9.9999999960687e-06,1.31069,0.0
10,200.0,1.31068,0.65536,1.31068,9.9999999960687e-06
11,220.0,-0.65543,3.27683,-1.96614,5.89831
12,240.0,-1.31079,7.86439,-1.31078,7.86439
13,260.0,-1.31079,7.86439,-0.65543,7.20903
14,280.0,-0.65543,7.20902,-1.31078,7.20903
15,300.0,-0.65543,6.55366,-1.31078,6.55367
16,320.0,-0.65543,5.8983,-0.65542,5.24294
17,340.0,-0.65543,5.89829,-1.31078,5.24294
18,360.0,-0.65543,5.24293,-1.31077,4.58757
19,380.0,-0.65543,4.58756,-1.31077,4.58757
20,400.0,-0.65543,3.9322,-1.31077,3.93221
21,420.0,-0.65543,3.27684,-1.31077,2.62148
22,440.0,-1.31078,3.27683,-1.31077,2.62148
23,460.0,-1.31078,2.62147,-1.31077,2.62148
24,480.0,-0.65542,3.27683,-0.65541,3.27684
25,500.0,-1.31078,2.62147,-1.31077,2.62147
26,520.0,-0.65542,2.62147,3.93216,2.62146
27,540.0,4.58751,3.93217,3.2768,3.93219
28,560.0,3.27678,3.93218,3.2768,3.27682
29,580.0,3.27678,3.93217,3.27679,3.93219
30,600.0,3.27678,4.58754,2.62143,3.93218
31,620.0,2.62141,3.93218,2.62143,3.27682
32,640.0,1.96606,2.62145,1.96607,1.9661
33,660.0,1.96607,2.62144,1.96607,1.96609
34,680.0,1.31071,1.96608,1.96608,1.31072
35,700.0,1.31071,1.31071,1.31073,0.65535
36,720.0,1.31071,0.65534,1.31073,-1.0000000003174e-05
37,740.0,1.31072,0.65534,1.31073,-1.0000000003174e-05
38,760.0,1.31073,-1.9999999999243e-05,1.31074,-1.9999999999243e-05
39,780.0,1.31073,-2.9999999995312e-05,1.31074,-0.65538
40,800.0,1.31073,-0.65539,0.65538,-0.65538
41,820.0,0.65537,-0.65539,1.31074,-0.65539
42,840.0,0.65537,-0.65539,1.31073,-1.31075
43,860.0,5.89827,0.65532,16.38416,3.27674
44,880.0,20.97172,5.24281,19.661,5.89819
45,900.0,19.66098,6.55355,20.31634,6.55355
46,920.0,20.31633,6.55354,20.31633,6.55355
47,940.0,20.31632,7.20891,20.31633,5.89819
48,960.0,19.66095,5.89818,19.66097,5.89819
49,980.0,19.66096,5.89817,19.66096,5.24282
50,1000.0,19.66095,5.89817,19.66096,4.58745
51,1020.0,19.66095,4.58744,19.0056,3.93208
52,1040.0,19.66094,3.93208,19.0056,3.27672
53,1060.0,19.00558,3.27671,19.0056,3.27672
54,1080.0,18.35022,3.27671,17.69488,2.62135
55,1100.0,18.35022,2.62134,17.69488,2.62135
56,1120.0,18.35023,2.62134,17.69488,1.96599
57,1140.0,18.35023,1.96598,17.69488,1.31062
58,1160.0,17.69487,1.31061,17.69488,1.31062
59,1180.0,17.69487,1.96597,17.03952,0.65526
60,1200.0,17.03951,1.31061,17.03952,0.65526
61,1220.0,17.03952,0.65525,16.38417,0.65526
62,1240.0,16.38416,0.65525,16.38417,-0.00010999999999939
63,1260.0,16.38416,-0.00010999999999939,16.38418,-0.00010999999999939
64,1280.0,16.38416,-0.00010999999999939,16.38418,-0.00010000000000332
65,1300.0,16.38416,-0.00011999999999546,15.07346,-0.65547
66,1320.0,15.72881,-0.00011999999999546,15.07346,-0.65547
67,1340.0,15.07345,-0.65548,15.07346,-1.31083
68,1360.0,15.07345,-0.65548,20.31639,-0.00012000000000256
69,1380.0,32.113,3.27664,39.32207,5.24272
70,1400.0,40.63536,6.55344,39.97745,6.55346
71,1420.0,39.97744,7.20882,39.97745,7.20883
72,1440.0,40.6328,7.86418,39.97745,7.86419
73,1460.0,39.97744,7.86419,39.32208,7.86419
74,1480.0,39.97744,7.86418,39.32209,7.20883
75,1500.0,39.32208,7.20883,39.32209,7.20883
76,1520.0,38.66671,6.55347,33.42379,5.89812
77,1540.0,32.11305,6.55348,31.45771,6.55349
78,1560.0,32.11305,6.55349,31.4577,6.5535
79,1580.0,31.45769,6.55349,31.4577,6.55349
80,1600.0,30.80234,6.55348,30.80235,5.89813
81,1620.0,30.80233,5.89812,30.14699,5.24277
82,1640.0,30.14698,5.24276,30.80235,5.24276
83,1660.0,41.28824,9.83027,52.42956,12.45169
84,1680.0,57.01714,13.7624,55.70642,13.76242
85,1700.0,55.70641,13.76241,56.36178,12.45169
86,1720.0,56.36176,13.10704,56.36177,12.45169
87,1740.0,56.36175,11.79632,55.7064,11.79633
88,1760.0,56.36174,11.14095,57.01712,11.14096
89,1780.0,56.36174,11.14095,57.01712,9.83024
90,1800.0,58.32782,9.83022,58.32782,9.17486
91,1820.0,59.63853,9.83021,58.32781,8.5195
92,1840.0,52.42949,7.20878,50.46338,7.2088
93,1860.0,51.11874,7.86415,51.11875,7.86416
94,1880.0,51.11872,7.86415,50.46337,7.2088
95,1900.0,51.11872,7.20878,50.46337,6.55343
96,1920.0,50.46335,6.55342,50.46336,5.89807
97,1940.0,50.46335,5.89806,50.46336,5.89807
98,1960.0,50.46334,5.89806,51.1187,5.24271
99,1980.0,51.11869,5.24269,51.1187,4.58734
100,2000.0,51.11869,4.58733,51.1187,4.58734
101,2020.0,51.77405,4.58732,51.1187,3.93197
102,2040.0,51.11869,4.58732,51.1187,3.93197
103,2060.0,51.77404,3.93196,57.01699,4.58731
104,2080.0,68.15823,7.86408,72.74584,9.1748
105,2100.0,72.74583,9.83016,72.74583,9.17481
106,2120.0,73.40117,9.1748,73.40118,8.51945
107,2140.0,73.40117,8.51944,73.40117,7.86408
108,2160.0,72.7458,7.86408,72.74581,7.20872
109,2180.0,72.74579,7.20871,72.7458,6.55336
110,2200.0,72.09043,6.55335,71.43508,6.55336
