,T,LX,LY,RX,RY
0,0.0,0.0,0.0,0.0,0.0
1,20.0,-0.65539,1.9661,-0.65537,1.31074
2,40.0,4.58754,3.9322,11.1413,1.96611
3,60.0,13.10741,3.27684,13.10742,2.62148
4,80.0,13.76273,5.89831,13.76275,5.89831
5,100.0,14.41808,7.20905,14.4181,6.55368
6,120.0,14.41808,7.86441,14.4181,6.55368
7,140.0,14.41807,8.51978,14.41809,7.86441
8,160.0,15.07342,9.17514,14.41808,7.86441
9,180.0,15.07342,9.8305,14.41808,8.51977
10,200.0,15.07342,10.48586,15.07344,8.51977
11,220.0,15.07342,9.8305,14.41808,9.17513
12,240.0,14.41805,10.48586,14.41807,9.17513
13,260.0,14.41804,9.8305,15.07342,8.51977
14,280.0,14.41803,9.17514,14.41804,7.86441
15,300.0,14.41801,8.51978,13.1073,5.89832
16,320.0,12.45191,5.89832,12.45193,5.24295
17,340.0,12.4519,7.20905,12.45192,6.55368
18,360.0,12.45189,7.86442,12.45192,6.55368
19,380.0,12.45189,7.86442,12.45192,6.55368
20,400.0,13.10726,7.86441,13.10729,7.20904
21,420.0,13.10726,9.17514,13.10729,7.86441
22,440.0,13.10727,9.17514,13.1073,7.8644
23,460.0,13.76264,9.8305,14.41802,8.51977
24,480.0,13.76264,9.8305,13.76267,8.51977
25,500.0,13.76264,9.8305,14.41803,7.8644
26,520.0,11.79654,7.8644,1.31071,7.20905
27,540.0,-2.62153,8.51979,-1.31078,8.51978
28,560.0,-8.0000000004077e-05,10.48588,-0.65543,9.17514
29,580.0,-1.31081,10.48588,-0.65543,9.17514
30,600.0,-0.65546,10.48588,-0.65544,9.83051
31,620.0,-0.65545,10.48588,-1.31079,9.83051
32,640.0,-1.31081,10.48588,-1.3108,9.83051
33,660.0,-1.96619,11.7966,-2.62153,10.48588
34,680.0,-2.62156,11.79661,-2.62154,10.48589
35,700.0,-3.27693,12.45199,-3.27692,11.14126
36,720.0,-3.27693,13.10736,-3.93228,11.79663
37,740.0,-3.9323,13.76272,-3.93228,13.10736
38,760.0,-5.24303,13.76274,-11.14129,11.14128
39,780.0,-11.14134,13.10737,-10.48595,12.45201
40,800.0,-10.48598,14.41811,-10.48597,13.10737
41,820.0,-10.486,15.07347,-11.14134,13.10738
42,840.0,-11.14136,14.41812,-11.14134,12.45202
43,860.0,-11.14137,13.76275,-11.14135,11.14129
44,880.0,-7.86454,12.45201,13.10722,10.4859
45,900.0,21.62709,9.17517,21.62715,8.5198
46,920.0,20.97172,11.14127,21.62711,10.48591
47,940.0,20.97173,12.452,20.97175,11.14127
48,960.0,20.97172,12.452,21.62711,11.79663
49,980.0,20.97173,13.10736,20.97175,11.79663
50,1000.0,20.97172,13.10736,20.97174,11.79662
51,1020.0,20.97171,13.10736,20.31638,11.79662
52,1040.0,19.661,12.45199,19.66101,11.79662
53,1060.0,19.00563,12.45199,19.00565,11.14126
54,1080.0,19.66098,12.45199,19.661,11.14126
55,1100.0,19.66097,13.10735,19.661,11.14125
56,1120.0,19.00561,11.79662,19.00564,11.14125
57,1140.0,19.66098,12.45199,19.661,11.14125
58,1160.0,19.66098,11.79662,22.28251,10.48589
59,1180.0,26.87013,11.79663,27.52557,9.83053
60,1200.0,27.52554,11.79664,27.52556,10.4859
61,1220.0,27.52554,11.79663,27.52556,10.4859
62,1240.0,27.52553,12.45199,27.52556,11.14126
63,1260.0,27.52553,12.452,27.52556,11.14126
64,1280.0,27.52553,12.45199,27.52555,11.14126
65,1300.0,27.52552,12.45199,27.52555,11.14126
66,1320.0,27.52553,13.10736,27.52555,10.4859
67,1340.0,27.52553,11.79663,28.83638,10.4859
68,1360.0,33.42409,12.45201,38.01172,9.83055
69,1380.0,36.70096,11.79665,36.70096,11.14129
70,1400.0,36.70093,13.10738,36.04559,11.79665
71,1420.0,36.04556,13.10738,36.70095,11.79665
72,1440.0,36.70092,13.76275,36.70094,12.45201
73,1460.0,36.70091,13.10738,36.70094,11.79664
74,1480.0,37.35627,11.79665,51.11897,10.48591
75,1500.0,67.50311,9.17517,69.46923,8.5198
76,1520.0,66.84772,10.48591,67.5031,9.83055
77,1540.0,68.15844,11.14128,68.81382,10.48591
78,1560.0,68.15844,11.79664,67.5031,10.48591
79,1580.0,68.15843,11.79664,68.15846,11.14127
80,1600.0,68.15844,12.452,68.81383,11.14127
81,1620.0,68.8138,12.452,68.15846,11.79662
82,1640.0,68.15844,13.10736,68.15846,11.14126
83,1660.0,68.15844,13.10736,68.15847,11.79662
84,1680.0,67.50308,12.452,67.50311,11.79662
85,1700.0,67.50309,12.452,67.50311,11.14126
86,1720.0,66.84773,12.45199,66.84775,11.14126
87,1740.0,66.84773,12.45199,66.84776,11.14126
88,1760.0,66.19237,11.79663,67.50312,10.48589
89,1780.0,66.84774,11.14126,68.15849,9.17516
90,1800.0,81.92118,11.14126,96.33937,11.14126
91,1820.0,98.30551,11.14127,96.33941,9.83055
92,1840.0,96.33937,12.45201,96.99476,11.14127
93,1860.0,96.99473,11.79664,97.65011,11.14127
94,1880.0,96.99473,12.45199,96.99475,9.83053
95,1900.0,96.99472,9.83054,97.65011,7.86443
96,1920.0,97.65009,9.17517,98.30547,7.86443
97,1940.0,98.30545,8.5198,98.30546,7.20907
98,1960.0,98.30544,7.86444,98.30546,5.89834
99,1980.0,99.61616,7.20908,98.30545,4.58762
100,2000.0,77.33371,0.65544,28.18138,-6.55356
101,2020.0,13.1077,-8.51966,-3.27659,-7.86431
102,2040.0,-13.76251,-5.24284,-12.45176,-4.58749
103,2060.0,-9.83034,-1.31066,-9.17499,-1.31067
104,2080.0,-8.51967,5.9999999997729e-05,-7.8643,5.000000000166e-05
105,2100.0,-7.86434,2.62151,-7.86433,1.96613
106,2120.0,-7.86436,2.6215,-7.86434,1.31075
107,2140.0,-8.51973,1.96612,-8.51972,1.9999999999243e-05
108,2160.0,-9.83047,0.65538,-10.48582,-1.31072
109,2180.0,-11.14122,-1.31072,-11.79657,-3.27681
110,2200.0,-13.10733,-2.62144,-13.10732,-4.58754
111,2220.0,-17.03953,-3.93217,-22.93781,-5.89825
112,2240.0,-22.28247,-3.27679,-20.31636,-3.27679
113,2260.0,-20.97174,-0.65532,-20.97172,-1.31069
114,2280.0,-20.31637,0.6554,-19.66099,-0.65533
115,2300.0,-19.66101,1.31076,-19.00563,2.9999999995312e-05
116,2320.0,-19.00565,1.96612,-19.00562,0.65539
117,2340.0,-18.35029,2.62148,-17.03955,1.31074
118,2360.0,-17.03957,2.62147,-16.38419,1.31074
119,2380.0,-16.38421,2.62146,-16.38418,1.31073
120,2400.0,-15.72884,1.9661,-15.72883,9.9999999960687e-06
121,2420.0,-15.72886,1.31074,-15.72884,9.9999999960687e-06
122,2440.0,-16.38423,1.31074,-16.38421,-0.65535
123,2460.0,-17.03959,1.9999999999243e-05,-13.10739,-1.31072
124,2480.0,-0.65543,-0.65536,6.55368,-3.27682
125,2500.0,9.8305,-2.62145,10.4859,-3.93218
126,2520.0,10.48587,-1.96608,10.48589,-3.93217
127,2540.0,10.48587,-3.2768,10.48589,-3.93217
128,2560.0,10.48587,-2.62144,10.48589,-3.27681
129,2580.0,9.8305,-1.96608,9.83053,-3.27682
130,2600.0,9.17514,-1.96608,9.17517,-3.27682
131,2620.0,9.83051,-1.31072,9.83053,-2.62145
132,2640.0,9.17514,-1.31072,9.17516,-2.62146
133,2660.0,8.51978,-1.9661,9.17517,-3.93219
134,2680.0,8.51978,-1.96609,8.5198,-4.58755
135,2700.0,7.86441,-3.93219,7.20907,-5.89828
136,2720.0,10.48589,-6.55363,18.35044,-8.51972
137,2740.0,21.62741,-9.17507,22.93822,-10.48581
138,2760.0,21.62747,-9.83044,21.62747,-10.48581
139,2780.0,21.62745,-9.17508,21.62746,-9.83045
140,2800.0,20.97209,-8.51973,20.97212,-9.83047
141,2820.0,20.31674,-8.51974,20.31678,-9.83048
142,2840.0,20.31675,-7.86438,20.97214,-9.83048
143,2860.0,20.97212,-8.51976,20.97214,-9.17513
144,2880.0,21.62747,-7.8644,21.6275,-9.17513
145,2900.0,20.97211,-7.20904,20.97213,-9.17513
146,2920.0,20.97211,-7.20904,21.62749,-8.51978
147,2940.0,21.62746,-6.55368,21.62749,-7.86442
148,2960.0,20.97212,-7.20906,22.28287,-8.51979
149,2980.0,20.97213,-7.20906,21.62752,-8.51979
150,3000.0,22.28286,-7.20906,22.28288,-9.17515
151,3020.0,22.28287,-9.17514,22.93826,-9.83051
152,3040.0,22.93823,-8.51977,22.93825,-9.17514
153,3060.0,22.28288,-7.20904,22.93827,-8.51977
154,3080.0,22.93825,-6.55368,22.93827,-7.8644
155,3100.0,22.93824,-5.89831,22.2829,-7.20905
156,3120.0,23.59363,-6.55368,27.5259,-9.83051
157,3140.0,28.18127,-8.51978,27.52591,-9.17514
158,3160.0,26.87052,-7.20903,26.87054,-7.8644
159,3180.0,26.87051,-6.55367,26.21518,-7.8644
160,3200.0,24.90442,-5.8983,24.90444,-7.20903
161,3220.0,24.24905,-5.8983,23.59371,-7.20903
162,3240.0,23.59369,-5.24294,23.59372,-7.20903
163,3260.0,23.59369,-5.89831,23.59372,-7.86439
164,3280.0,23.5937,-6.55367,23.59373,-9.17512
165,3300.0,23.59371,-7.86438,23.59374,-11.1412
166,3320.0,23.59372,-10.48583,23.59375,-14.41801
167,3340.0,24.24911,-16.38409,41.28868,-20.97165
168,3360.0,61.60506,-19.66091,64.22658,-22.93771
169,3380.0,62.26044,-21.62698,62.26043,-22.28234
170,3400.0,61.60505,-20.9716,61.60506,-22.28233
171,3420.0,61.60503,-20.31624,60.9497,-20.97161
172,3440.0,61.60503,-19.66088,62.26042,-20.97161
173,3460.0,62.91575,-19.00552,62.91577,-19.66089
174,3480.0,63.57111,-18.35016,64.22648,-18.35016
175,3500.0,64.22645,-15.72871,64.22647,-15.72871
176,3520.0,64.22644,-14.41798,64.88182,-14.41799
177,3540.0,64.88179,-12.4519,64.88181,-13.10727
178,3560.0,64.22642,-11.14117,64.88179,-12.4519
179,3580.0,64.22639,-10.4858,64.88177,-11.14118
180,3600.0,64.22638,-10.48581,66.84785,-11.79655
181,3620.0,77.98907,-7.86436,86.5089,-8.51972
182,3640.0,87.81963,-6.55362,87.16426,-7.20899
183,3660.0,87.16422,-4.58753,87.81959,-5.2429
184,3680.0,87.81957,-3.27681,87.81958,-4.58753
185,3700.0,87.81956,-2.62144,87.81958,-2.62145
186,3720.0,87.1642,-1.31072,87.81958,-2.62145
187,3740.0,85.19811,-2.62144,58.32818,-9.17508
188,3760.0,18.35082,-11.79652,6.55395,-11.14116
189,3780.0,-20.31615,-10.48578,-27.52524,-11.7965
