,T,LX,LY,RX,RY
0,0.0,0.0,0.0,0.0,0.0
1,20.0,0.65536,0.0,0.0,0.65537999999999
2,40.0,-0.65534,1.31075,-1.96609,1.31077
3,60.0,-1.31074,1.31076,-2.62144,5.9999999997729e-05
4,80.0,-3.27682,5.000000000166e-05,-6.55364,0.65544
5,100.0,-5.89827,7.0000000000903e-05,-6.55363,6.9999999993797e-05
6,120.0,-5.89828,-0.65529,-7.20898,-0.65529
7,140.0,-5.89827,-0.6553,-6.55361,6.9999999993797e-05
8,160.0,-5.89825,5.9999999997729e-05,-6.55361,0.65544
9,180.0,-6.55362,0.65543,-7.20897,0.65544
10,200.0,-6.55361,1.31079,-7.86432,0.65544
11,220.0,-6.5536,1.3108,-7.86432,1.31082
12,240.0,-6.55361,1.31081,-7.86432,1.31084
13,260.0,-7.20896,1.31083,-7.86432,1.31084
14,280.0,-7.20896,1.96619,-8.51968,1.9662
15,300.0,-7.20893,1.31084,-7.8643,1.96621
16,320.0,-7.86431,1.31083,-8.51966,1.31084
17,340.0,-7.86431,1.31082,-8.51966,1.31084
18,360.0,-7.86431,1.31083,-8.51966,1.31084
19,380.0,-7.86428,1.9662,-8.51966,1.96622
20,400.0,-7.86432,1.31085,-8.51967,1.31085
21,420.0,-7.20894,0.00012000000000256,-7.86432,0.00011999999999546
22,440.0,-7.20897,0.65547,-7.20897,0.00011999999999546
23,460.0,-6.55359,0.00012000000000256,-7.20897,0.00011999999999546
24,480.0,-6.55362,0.00010000000000332,-7.20897,0.00010999999999939
25,500.0,-6.55362,-0.65526,-7.20896,-0.65525
26,520.0,-6.55362,-1.31062,-7.20897,-1.31062
27,540.0,-6.55361,-1.966,-7.20897,-1.966
28,560.0,-6.55361,-1.96601,-7.20897,-1.966
29,580.0,-6.55362,-1.96602,-7.20897,-1.31065
30,600.0,-6.5536,-1.31067,-5.89824,-0.65531
31,620.0,-3.27677,-0.65531,-3.93212,-1.31067
32,640.0,-3.27677,-1.31069,-3.27673,-1.96604
33,660.0,-2.62141,-2.62143,-3.27676,-3.27678
34,680.0,-2.6214,-2.62143,-3.27676,-2.62143
35,700.0,-2.62141,-2.62144,-3.27674,-1.96607
36,720.0,-2.62139,-1.31072,-3.27675,-1.96606
37,740.0,-2.62138,-1.31071,-3.27673,-1.96607
38,760.0,-3.27676,-1.96608,-3.27675,-1.96607
39,780.0,-3.27675,-1.96609,-3.27675,-1.96608
40,800.0,-2.62139,-1.96609,-3.9321,-1.96609
41,820.0,-3.27675,-1.9661,-4.58746,-1.31072
42,840.0,-3.93211,-1.31074,-4.58745,-0.65537
43,860.0,-3.9321,-0.65538,-4.58745,-0.65537
44,880.0,-3.9321,-0.65538,-4.58742,-0.65538
45,900.0,-3.93208,-1.31076,-4.58744,-1.31076
46,920.0,-3.93209,-1.31077,-4.58744,-1.31076
47,940.0,-3.93206,-1.31078,-4.58744,-1.31077
48,960.0,-3.93209,-1.31078,-4.58744,-1.31078
49,980.0,-3.93208,-1.31079,-4.58743,-1.31078
50,1000.0,-4.58744,-1.96616,-4.58739,-1.96615
51,1020.0,-3.93207,-1.96616,-4.58742,-1.96615
52,1040.0,-3.93204,-1.96617,-4.58739,-1.96617
53,1060.0,3.27697,-1.31082,12.45218,-0.00010000000000332
54,1080.0,15.72902,-0.00012000000000256,15.07368,-0.65546000000001
55,1100.0,15.0737,-1.31083,15.07367,-1.96619
56,1120.0,16.38438,-2.62157,16.38438,-2.62158
57,1140.0,17.03972,-2.62159,17.03972,-2.62157
58,1160.0,17.69507,-2.62157,17.69507,-1.96619
59,1180.0,18.35042,-1.31083,17.69507,-1.31081
60,1200.0,19.00578,-1.96618,18.35043,-1.31082
61,1220.0,19.66116,-2.62156,19.0058,-2.62157
62,1240.0,20.31651,-3.27695,28.18095,-1.31086
63,1260.0,38.01156,-0.00014999999999787,39.97771,-0.65548
64,1280.0,39.97767,-1.31084,39.97768,-1.31084
65,1300.0,41.2884,-2.62158,40.63304,-2.62157
66,1320.0,41.28838,-3.27694,41.28839,-3.27693
67,1340.0,41.94377,-3.93231,41.28839,-3.9323
68,1360.0,42.5991,-3.93231,41.28842,-4.58767
69,1380.0,42.5991,-4.58767,41.94375,-3.93231
70,1400.0,43.25446,-4.58768,42.59911,-3.9323
71,1420.0,41.28836,-3.9323,39.97762,-3.93229
72,1440.0,40.63297,-4.58765,39.97762,-3.93227
73,1460.0,40.63297,-3.93228,39.32226,-3.93227
74,1480.0,39.32226,-4.58764,39.32229,-4.58763
75,1500.0,39.32229,-4.58765,39.32227,-4.58764
76,1520.0,39.97765,-3.93228,39.97765,-3.27691
77,1540.0,49.80822,-1.96619,56.36194,-0.65543
78,1560.0,59.63878,-0.65543,57.67271,-1.31077
79,1580.0,58.98343,-1.31078,58.32807,-1.31077
80,1600.0,58.32807,-0.65541,58.32807,-1.31076
81,1620.0,58.32807,-0.6554,57.67271,-0.65538
82,1640.0,57.67271,-0.6554,57.01736,-2.0000000006348e-05
83,1660.0,57.67274,-1.9999999999243e-05,57.01736,0.65535
84,1680.0,57.67272,1.31071,56.36201,1.31072
85,1700.0,57.0174,1.96608,56.36202,1.96609
86,1720.0,56.36201,1.96609,56.36203,1.96609
87,1740.0,62.91572,1.96606,66.1926,1.31072
88,1760.0,68.15868,-9.9999999960687e-06,67.50333,-0.65536
89,1780.0,68.81404,-0.65537,68.81404,1.9999999999243e-05
90,1800.0,69.46939,1.9999999999243e-05,68.81404,2.9999999995312e-05
91,1820.0,69.46939,3.0000000002417e-05,68.81407,-0.65532
92,1840.0,70.12478,-0.65532,68.81404,-1.31068
93,1860.0,70.12475,-1.96605,68.81404,-1.96605
94,1880.0,70.12475,-2.62142,69.4694,-1.96606
95,1900.0,69.46939,-0.65533,68.81405,0.65541
96,1920.0,68.81403,1.31076,68.15867,1.96614
97,1940.0,68.15867,2.62148,67.50332,3.93221
98,1960.0,74.05702,6.55364,77.33393,6.55365
99,1980.0,78.64466,7.86436,77.33395,8.51973
100,2000.0,77.98931,7.86435,77.33395,7.86434
101,2020.0,77.98931,7.86434,77.33396,7.86435
