,T,LX,LY,RX,RY
0,0.0,0.0,0.0,0.0,0.0
1,20.0,0.0,0.0,-9.9999999960687e-06,0.0
2,40.0,-0.65536,0.0,-0.65537,0.0
3,60.0,-0.65536,0.0,-0.65537,0.65535999999999
4,80.0,-1.31072,0.0,-0.65537,0.0
5,100.0,-0.65537,0.0,-9.9999999960687e-06,9.9999999960687e-06
6,120.0,-0.65537,0.0,-1.9999999999243e-05,9.9999999960687e-06
7,140.0,-0.65537,9.9999999960687e-06,-0.65538,1.9999999999243e-05
8,160.0,-1.31074,9.9999999960687e-06,-0.65538,9.9999999960687e-06
9,180.0,-0.65538,0.65537999999999,-0.65538,0.65537999999999
10,200.0,-1.31073,0.65537999999999,-0.65538,0.65537999999999
11,220.0,-1.31073,0.65537,-0.65538,0.65537999999999
12,240.0,-1.31073,0.65537999999999,-1.31074,1.31074
13,260.0,-1.31073,1.31074,-1.31074,1.31074
14,280.0,-1.96609,1.31074,-0.65537,1.31074
15,300.0,-1.31073,1.31074,-0.65537,1.31074
16,320.0,-1.31073,1.31074,-0.65282,1.31074
17,340.0,-0.65537,1.31074,-0.65537,1.31074
18,360.0,-0.65537,1.31074,-9.9999999960687e-06,1.9661
19,380.0,-0.65537,1.31074,-9.9999999960687e-06,1.31074
20,400.0,-1.0000000003174e-05,1.31074,0.65535000000001,1.31074
21,420.0,-0.65537,1.31074,0.65534,1.31073
22,440.0,-1.0000000003174e-05,1.31073,-2.9999999995312e-05,1.31073
23,460.0,-0.65537,1.96608,0.65535000000001,1.96609
24,480.0,-0.65536,2.62146,-9.9999999960687e-06,3.27682
25,500.0,-0.65537,2.62146,-1.9999999999243e-05,2.62146
26,520.0,-1.0000000003174e-05,2.62146,1.3107,2.62146
27,540.0,1.3107,2.62145,1.96604,1.96609
28,560.0,1.96604,1.96609,2.62139,1.9661
29,580.0,1.96603,1.9661,2.62138,1.31074
30,600.0,1.96602,1.31074,1.96602,1.31074
31,620.0,1.96603,1.31074,1.96602,1.96611
32,640.0,1.31067,1.9661,1.31066,1.9661
33,660.0,1.31067,1.96611,1.31067,1.96611
34,680.0,0.65531,1.96611,1.31067,1.96611
35,700.0,1.31067,1.96611,1.31066,1.96612
36,720.0,0.65531,1.96611,0.65531,2.62148
37,740.0,-4.0000000005591e-05,1.96612,0.65532,2.62149
38,760.0,-0.65539,1.96614,-3.9999999998486e-05,2.6215
39,780.0,-1.31074,1.96613,-0.65539,1.96614
40,800.0,-1.9661,1.96614,-1.96611,1.96615
41,820.0,-1.9661,1.96614,-1.96611,2.62208
42,840.0,-2.62146,1.96615,-1.96612,1.96615
43,860.0,-2.62147,1.96615,-1.96612,2.62151
44,880.0,-2.62147,2.62151,-2.62147,1.96615
45,900.0,-2.62146,2.62151,-1.96611,2.62151
46,920.0,-1.9661,1.96615,7.20907,1.31077
47,940.0,16.3843,-0.65535000000001,17.69505,-1.31073
48,960.0,15.72896,0.65537999999999,15.72895,1.31076
49,980.0,15.72896,1.31075,17.03967,1.31076
50,1000.0,16.38431,1.31076,17.03967,1.31077
51,1020.0,16.38431,1.96612,17.03966,1.96613
52,1040.0,16.38431,1.31076,17.03967,1.96613
53,1060.0,16.38431,1.96612,17.03967,1.96612
54,1080.0,16.38431,1.96613,17.03967,1.96613
55,1100.0,17.03967,1.96613,17.03967,1.96613
56,1120.0,16.38432,1.96613,17.03967,2.62149
57,1140.0,15.72896,1.96613,16.38431,2.62149
58,1160.0,15.72896,2.6215,16.38432,2.6215
59,1180.0,15.72896,2.6215,16.38431,2.62149
60,1200.0,16.38432,2.62149,23.5934,2.62149
61,1220.0,32.11328,1.9661,36.04552,1.31072
62,1240.0,36.04553,2.62146,36.70088,2.62147
63,1260.0,37.35624,2.62146,39.32231,1.9661
64,1280.0,39.3223,1.9661,39.97765,1.31074
65,1300.0,39.97765,1.31074,39.97763,1.31075
66,1320.0,39.97764,1.31074,39.97762,1.31074
67,1340.0,39.97763,1.31074,39.32225,0.65537999999999
68,1360.0,33.42394,-1.0000000003174e-05,32.11317,0.0
69,1380.0,30.80246,0.65535999999999,31.45783,0.65537
70,1400.0,31.45782,0.65537,32.11317,1.31072
71,1420.0,31.45782,1.31073,32.11317,0.65535999999999
72,1440.0,31.45781,0.65535999999999,32.11316,1.31072
73,1460.0,31.4578,0.65535999999999,32.11316,0.65535999999999
74,1480.0,31.4578,1.31072,32.11315,0.65535999999999
75,1500.0,31.4578,1.31072,32.11315,1.31072
76,1520.0,32.11316,0.65535999999999,32.76851,0.65535999999999
77,1540.0,32.11315,0.65535,32.7685,0.65535999999999
78,1560.0,34.73462,0.65535,45.87594,-0.65538
79,1580.0,53.08509,-1.96611,54.39584,-1.31074
80,1600.0,53.08512,0.0,54.39582,0.65535999999999
81,1620.0,54.39583,0.65535999999999,55.05119,0.65537
82,1640.0,54.39583,0.65537,55.70655,0.65537
83,1660.0,55.05119,0.65537,56.3619,1.31074
84,1680.0,55.70654,0.65537999999999,56.3619,0.65537999999999
85,1700.0,55.70654,0.65537999999999,56.36189,1.31074
86,1720.0,57.01728,0.65537999999999,64.22636,-0.65535000000001
87,1740.0,66.19251,-1.31073,66.84788,-0.65535000000001
88,1760.0,66.19251,9.9999999960687e-06,66.84786,1.9999999999243e-05
89,1780.0,66.19251,-0.65534,67.50323,2.9999999995312e-05
90,1800.0,66.84787,2.9999999995312e-05,67.50322,2.9999999995312e-05
91,1820.0,66.84786,2.9999999995312e-05,67.50323,2.9999999995312e-05
92,1840.0,67.50323,2.9999999995312e-05,68.15859,2.9999999995312e-05
93,1860.0,68.15859,2.9999999995312e-05,68.81395,2.9999999995312e-05
94,1880.0,68.1586,2.9999999995312e-05,70.12467,2.9999999995312e-05
95,1900.0,70.12466,2.9999999995312e-05,71.43537,-0.65534
96,1920.0,71.43538,-0.65534,72.09071,-1.3107
97,1940.0,72.74608,-1.3107,72.74607,-1.3107
98,1960.0,72.09071,-1.31071,73.40142,-1.96607
99,1980.0,72.74606,-1.96607,79.95513,-1.96607
100,2000.0,91.09649,-4.58752,93.71804,-5.24287
101,2020.0,92.40729,-3.27677,91.75193,-1.96603
102,2040.0,91.75193,-1.96604,93.06264,-1.96603
103,2060.0,93.06265,-1.96604,93.718,-1.96604
104,2080.0,93.718,-2.6214,94.37336,-1.96603
105,2100.0,93.71801,-2.6214,94.37335,-2.62139
106,2120.0,94.37336,-2.6214,95.0287,-1.96604
107,2140.0,94.37335,-1.96604,95.0287,-1.96604
108,2160.0,83.23207,-3.93213,60.94944,-5.24287
109,2180.0,40.63301,-4.58748,31.45787,-2.62138
110,2200.0,32.11328,6.9999999993797e-05,32.76867,0.65546
111,2220.0,32.1133,0.65544999999999,32.76865,1.31082
112,2240.0,32.76866,1.31081,33.42401,0.65544999999999
113,2260.0,32.76865,1.31081,33.424,0.65544999999999
114,2280.0,32.76864,0.65544,33.42399,0.65544999999999
115,2300.0,33.424,0.65544,34.07934,0.65544999999999
116,2320.0,33.42399,0.65544,34.07934,0.65544
117,2340.0,34.07935,0.65543,34.07934,0.65543
118,2360.0,34.73471,0.65543,33.42398,7.9999999996971e-05
119,2380.0,28.18104,-0.6553,27.52566,4.9999999994554e-05
120,2400.0,26.87032,0.65542,27.52568,0.65544
121,2420.0,26.87033,1.31079,27.52568,1.3108
122,2440.0,26.87033,1.31079,27.52569,1.31079
123,2460.0,27.52569,1.31079,25.55958,1.3108
124,2480.0,12.4522,2.62151,1.31095,4.58762
125,2500.0,-1.31047,6.5537,-0.65506999999999,8.51981
126,2520.0,-1.96576,9.17518,-1.96577,9.83055
127,2540.0,-2.62113,10.48591,-1.31041,11.14127
128,2560.0,-1.96577,11.79662,-1.31041,12.45199
129,2580.0,-1.31041,12.45199,0.00030000000000285,12.45199
130,2600.0,0.00029999999999575,12.45198,1.96636,12.45199
131,2620.0,1.96637,12.45198,3.27707,11.79662
132,2640.0,3.27707,11.79661,3.93242,11.79661
133,2660.0,3.27705,11.14125,3.9324,11.14125
134,2680.0,2.62169,11.14124,4.58777,11.14124
135,2700.0,6.55393,9.83051,7.86466,9.8305
136,2720.0,7.20931,9.83051,6.55394,10.48588
137,2740.0,6.55394,10.48587,7.2093,10.48588
138,2760.0,6.55394,9.83051,7.20929,9.83051
139,2780.0,6.55394,9.17514,7.20929,9.17514
140,2800.0,7.20929,8.51978,6.55392,8.51978
141,2820.0,5.89857,8.51977,6.55392,7.86442
142,2840.0,6.55392,7.86441,6.55391,7.86442
