,T,LX,LY,RX,RY
0,0.0,0.0,0.0,0.0,0.0
1,20.0,0.0,-0.65535,9.9999999960687e-06,-0.65535999999999
2,40.0,0.0,-1.31071,0.65537,-1.96607
3,60.0,0.65535,-1.96607,0.65535999999999,-2.62143
4,80.0,0.65535,-2.62143,0.65535999999999,-2.62144
5,100.0,0.65535,-2.62145,0.65534,-2.62146
6,120.0,0.65532,-1.96611,1.31068,-2.62149
7,140.0,0.65531,-2.6215,0.65531,-2.62151
8,160.0,1.31066,-2.62151,1.31067,-2.62151
9,180.0,1.31067,-2.62152,1.96603,-2.62153
10,200.0,1.96602,-2.62153,1.96603,-2.62153
11,220.0,1.96602,-2.62153,2.62138,-2.62154
12,240.0,1.96602,-2.62154,2.62138,-2.62155
13,260.0,2.62137,-2.62156,2.62138,-2.62156
14,280.0,2.62137,-2.62156,2.62138,-2.62157
15,300.0,3.27673,-2.62156,2.62138,-2.62157
16,320.0,2.62138,-1.96621,2.62138,-2.62158
17,340.0,2.62138,-1.96622,2.62138,-2.62158
18,360.0,2.62138,-1.96622,2.62139,-1.96622
19,380.0,2.62139,-1.96622,2.62139,-1.96622
20,400.0,1.96603,-1.96622,1.96604,-1.96622
21,420.0,1.96603,-1.31085,1.96604,-1.31085
22,440.0,1.96603,-1.31085,1.96604,-0.65549
23,460.0,2.6214,-0.65548,2.62141,-0.65549
24,480.0,2.6214,-0.65548,2.62141,-0.65549
25,500.0,1.96604,-0.65548,2.62142,-0.65549
26,520.0,2.62141,-0.65548,2.62141,-0.65549
27,540.0,2.62141,-0.65548,2.62142,-0.65549
28,560.0,2.62141,-0.00012999999999863,2.62142,-0.00012999999999863
29,580.0,2.62142,-0.00011999999999546,1.96607,-0.00012999999999863
30,600.0,1.96606,0.65524,1.96607,-0.00012999999999863
31,620.0,1.31071,-0.00011999999999546,1.96607,-0.00012999999999863
32,640.0,3.2768,0.65523,7.20904,1.31059
33,660.0,6.55367,1.31059,5.89831,1.31058
34,680.0,5.89831,41.9429,5.89832,2.6213
35,700.0,5.89831,2.6213,5.89833,2.62129
36,720.0,5.24295,2.6213,5.89832,2.6213
37,740.0,5.89831,3.27667,6.55368,3.27667
38,760.0,5.89831,3.93203,6.55367,3.93204
39,780.0,6.55367,4.5874,6.55367,4.58739
40,800.0,6.55367,4.5874,6.55367,3.93204
41,820.0,6.55367,3.93205,6.55367,3.93205
42,840.0,5.89831,4.58741,5.89832,3.93204
43,860.0,5.89831,3.93205,5.89832,4.58741
44,880.0,6.55368,3.93205,4.5876,3.93205
45,900.0,3.27684,3.93206,3.93222,3.93206
46,920.0,3.93221,4.58741,3.93222,4.58741
47,940.0,3.93221,4.58742,3.93222,4.58742
48,960.0,3.93221,5.24278,3.93222,4.58743
49,980.0,3.93221,5.24279,4.58758,4.58743
50,1000.0,3.93221,5.24279,3.93222,4.58743
51,1020.0,3.93221,5.24279,3.93222,4.58743
52,1040.0,3.93221,4.58743,3.93221,4.58743
53,1060.0,3.93221,5.24279,3.93221,4.58743
54,1080.0,3.93221,5.2428,3.93221,4.58743
55,1100.0,3.93221,5.24279,3.93221,4.58743
