,T,LX,LY,RX,RY
0,0.0,0.0,0.0,0.0,0.0
1,20.0,-2.0000000006348e-05,0.65536,-1.0000000003174e-05,1.31072
2,40.0,-0.65538,1.96608,-0.65538,2.62144
3,60.0,-0.65538,3.93215,-1.31074,4.58751
4,80.0,-1.31075,7.20895,-1.31075,7.86431
5,100.0,-1.31075,9.83039,-1.96612,9.83038
6,120.0,-1.96613,12.45182,-1.96613,12.45182
7,140.0,-2.6215,13.76254,-2.6215,14.41861
8,160.0,-3.27686,15.07326,-3.27686,15.07325
9,180.0,-3.27687,16.38397,-3.27686,15.72861
10,200.0,-3.27687,16.38397,-3.27686,16.38396
11,220.0,-3.93223,16.38397,-3.27686,15.7286
12,240.0,-3.93223,17.03933,-3.93223,16.38397
13,260.0,-3.93224,17.03933,-3.93224,17.03932
14,280.0,-3.93225,17.03932,-4.5876,17.03932
15,300.0,-4.58761,17.69468,-4.58761,16.38395
16,320.0,-4.58761,17.69468,-4.58761,17.03931
17,340.0,-5.24297,17.69467,-4.58762,17.03931
18,360.0,-4.58762,17.69467,-4.58762,17.03931
19,380.0,-4.58763,17.69467,-4.58762,17.69467
20,400.0,-4.58763,17.69467,-4.58762,17.69466
21,420.0,-4.58763,18.35003,-4.58763,17.69466
22,440.0,-5.243,18.35002,-4.58763,17.69466
23,460.0,-4.58764,19.00538,-4.58764,18.35002
24,480.0,-4.58765,19.00538,-5.243,18.35001
25,500.0,-5.24302,19.00537,-5.24301,18.35001
26,520.0,-5.24302,19.00537,-5.24302,18.35001
27,540.0,-4.58768,19.00537,-4.58768,18.35001
28,560.0,-4.58769,19.00537,-5.24305,19.00537
29,580.0,-5.24306,19.66072,-5.24306,19.00537
30,600.0,-5.24307,20.31609,-5.24306,19.66072
31,620.0,-5.89843,20.31608,-5.89842,19.66072
32,640.0,-5.89843,20.97144,-5.89843,20.31608
33,660.0,-5.89843,20.97144,-5.89842,20.31608
34,680.0,-6.55379,20.97144,-6.55379,20.97144
35,700.0,-6.55379,21.6268,-7.20915,21.6268
36,720.0,-7.20915,22.28216,-7.20915,20.97144
37,740.0,-7.20915,22.28216,-7.20915,21.6268
38,760.0,-7.20916,22.28216,-7.20914,21.6268
39,780.0,-7.86451,22.93752,-7.86451,22.28216
40,800.0,-5.24306,23.59288,1.31066,24.9036
41,820.0,1.31066,26.21432,-5.000000000166e-05,26.21432
42,840.0,-0.65542000000001,27.52505,-0.65541,26.86968
43,860.0,-0.65542000000001,27.52504,-1.31077,26.21431
44,880.0,-1.31078,26.86968,-1.31077,26.21431
45,900.0,-0.65541,26.86967,-0.65541,26.21431
46,920.0,-0.65541,26.86967,-0.65541,26.21431
47,940.0,-0.65542000000001,26.86967,-1.31077,25.55895
48,960.0,5.24289,27.52502,10.48586,26.21429
49,980.0,9.17512,27.52502,8.51976,27.52503
50,1000.0,7.86439,28.18039,7.86439,27.52503
51,1020.0,7.20902,28.1804,6.55366,27.52504
52,1040.0,6.55365,27.52504,6.55366,26.86968
53,1060.0,5.89829,26.86969,5.8983,26.21432
54,1080.0,6.55365,26.21432,6.55365,24.9036
55,1100.0,7.209,25.55896,7.86436,24.24824
56,1120.0,7.86436,24.9036,8.51972,24.24824
57,1140.0,8.51972,24.24823,9.17509,23.59287
58,1160.0,9.17508,24.24823,9.17509,23.59286
59,1180.0,9.17508,24.24823,9.17509,22.9375
60,1200.0,9.17508,23.59287,9.1751,22.28215
61,1220.0,9.83045,22.93751,9.83046,21.62678
62,1240.0,9.83046,21.62679,9.83046,21.62679
63,1260.0,9.83046,21.62757,9.83047,20.97142
64,1280.0,9.83046,21.62678,9.83047,20.97142
65,1300.0,9.83047,21.62678,9.83048,20.97142
66,1320.0,9.83046,20.97143,9.83047,20.31606
67,1340.0,9.17511,20.97143,11.1412,20.97142
68,1360.0,22.93783,22.28213,30.1469,22.93748
69,1380.0,30.14691,23.59285,28.8362,23.59285
70,1400.0,28.83619,24.24821,28.8362,24.24821
71,1420.0,28.83619,24.24821,28.8362,24.24821
72,1440.0,28.83619,24.24821,28.8362,24.24821
73,1460.0,28.8362,25.55894,28.18084,24.90358
74,1480.0,28.18083,26.21431,27.52548,25.55895
75,1500.0,27.52547,25.55895,28.18084,25.55895
76,1520.0,28.83619,26.21431,36.04528,25.55893
77,1540.0,41.94359,26.86964,40.63288,25.55892
78,1560.0,40.63288,26.86964,40.63289,26.21427
79,1580.0,40.63289,26.86964,40.63289,26.21427
80,1600.0,40.63289,26.86963,40.63289,26.21427
81,1620.0,40.63289,26.21427,40.63289,24.90355
82,1640.0,41.28824,25.55891,41.28823,24.24819
83,1660.0,41.28822,24.90355,41.94359,23.59282
84,1680.0,41.94357,24.24819,43.90967,23.59282
85,1700.0,53.08487,24.24817,58.32784,23.5928
86,1720.0,58.98321,24.24816,58.32784,24.24815
87,1740.0,58.32784,24.24816,58.32784,24.24816
88,1760.0,58.32784,24.24815,58.32784,23.59279
89,1780.0,58.32784,24.24816,58.32784,23.59279
90,1800.0,58.32784,24.24815,58.9832,23.59279
91,1820.0,58.98319,24.24816,58.9832,23.59279
92,1840.0,58.98319,24.24815,58.9832,23.59279
93,1860.0,58.32783,24.24815,58.32784,23.59279
94,1880.0,58.98319,23.5928,58.98319,22.93744
95,1900.0,64.22612,24.90352,75.36746,24.90351
96,1920.0,80.6104,25.55886,79.95504,25.55887
97,1940.0,78.64432,26.21423,79.29968,25.55886
98,1960.0,79.29967,26.86958,79.29967,26.21422
99,1980.0,79.29966,26.86959,79.29967,26.21423
100,2000.0,79.29966,26.86959,79.29966,26.86958
101,2020.0,78.6443,26.86958,79.29966,26.21422
102,2040.0,79.29966,26.86958,78.64431,26.21422
103,2060.0,78.6443,26.86959,79.29967,25.55886
104,2080.0,79.29966,26.86958,78.64431,25.55886
105,2100.0,79.29967,26.86958,79.29967,25.55886
106,2120.0,78.64431,26.21422,78.64431,25.55886
107,2140.0,79.29967,26.21422,78.64431,25.55885
108,2160.0,78.64431,26.21422,79.29967,25.55886
109,2180.0,79.95501,26.21422,79.95502,25.55885
110,2200.0,81.92109,25.55886,95.68387,24.90348
111,2220.0,112.0681,27.52493,119.93256,26.2142
112,2240.0,117.31111,27.52492,115.34502,28.18029
113,2260.0,116.00038,29.491,116.00038,28.83564
114,2280.0,116.00037,29.491,116.00038,28.83564
115,2300.0,116.00036,28.83564,115.34501,28.18028
116,2320.0,116.00036,28.83564,116.65572,28.18028
117,2340.0,116.65572,28.83563,116.65572,28.18028
118,2360.0,116.65572,28.83564,117.31108,27.52492
119,2380.0,112.72351,28.18028,110.7574,27.52492
120,2400.0,112.06814,28.18029,112.06814,27.52492
121,2420.0,111.41277,28.83565,111.41277,28.18029
122,2440.0,111.41277,28.83565,111.41276,28.18029
123,2460.0,111.41277,28.83565,111.41277,28.1803
124,2480.0,111.41277,28.1803,111.41277,28.18029
125,2500.0,111.41276,28.83565,111.41277,28.1803
126,2520.0,110.75741,28.83566,110.75741,28.1803
127,2540.0,111.41277,28.83566,108.79132,27.52494
128,2560.0,77.9891,25.55892,32.76868,21.62686
129,2580.0,-3.27658,19.66085,-9.17493,19.66085
130,2600.0,-3.27664,22.28228,-2.62129,21.62692
131,2620.0,-3.27667,22.93765,-3.27666,22.93764
132,2640.0,-2.62131,23.593,-2.62131,22.93763
133,2660.0,-2.62131,24.24835,-2.62131,23.59299
134,2680.0,-1.96595,24.90371,-1.96595,23.59299
135,2700.0,-2.62132,24.24835,-1.96596,23.59299
136,2720.0,-1.96596,24.9037,-2.62133,23.59298
137,2740.0,-1.96598,24.24834,-1.96598,23.59298
138,2760.0,-1.31063,24.24834,-9.17501,24.24836
139,2780.0,-17.03943,24.90374,-16.38406,24.24838
140,2800.0,-14.41798,24.90374,-14.41797,24.90374
141,2820.0,-15.07335,25.5591,-14.41798,24.90374
