,T,LX,LY,RX,RY
0,0.0,0.0,0.0,0.0,0.0
1,20.0,1.0000000003174e-05,0.65535999999999,9.9999999960687e-06,0.0
2,40.0,-0.65535,0.0,9.9999999960687e-06,0.65537
3,60.0,-0.65534,0.0,9.9999999960687e-06,9.9999999960687e-06
4,80.0,-1.3107,0.65535999999999,2.9999999995312e-05,0.65536
5,100.0,-1.96605,0.65535999999999,-1.31069,0.65537
6,120.0,-1.96605,0.65537,-1.31069,0.65537
7,140.0,-1.96604,1.31073,-1.30813,0.65537
8,160.0,-1.96603,0.65537,-1.96604,0.65537
9,180.0,-2.62139,0.65537,-1.96604,0.65537
10,200.0,-2.62139,1.31073,-1.96603,0.65537
11,220.0,-2.62139,0.65537,-1.96603,0.65537
12,240.0,-3.27674,1.31073,-1.96602,0.65538
13,260.0,-2.62138,1.31073,-1.96603,0.65538
14,280.0,-3.27674,0.65537,-2.62138,0.65538
15,300.0,-2.62138,1.31073,-1.96602,0.65538
16,320.0,-3.27674,0.65537,-1.96602,0.65538
17,340.0,-2.62138,0.65537,-1.96604,0.65537
18,360.0,-2.62139,9.9999999960687e-06,-1.31068,9.9999999960687e-06
19,380.0,-1.96604,9.9999999960687e-06,-1.31069,9.9999999960687e-06
20,400.0,-1.31068,9.9999999960687e-06,-0.65533000000001,9.9999999960687e-06
21,420.0,-1.96605,0.65537,-0.65532,9.9999999960687e-06
22,440.0,-1.31068,0.65537,-0.65532,0.65537
23,460.0,-1.31068,0.65537,-0.65533000000001,9.9999999960687e-06
24,480.0,-1.31068,9.9999999960687e-06,-0.65533000000001,9.9999999960687e-06
25,500.0,-1.31069,0.0,-1.31069,9.9999999960687e-06
26,520.0,-1.96605,0.0,-0.65533000000001,0.0
27,540.0,-1.31068,0.65535999999999,-1.96606,9.9999999960687e-06
28,560.0,-6.55362,0.65537,-4.58753,0.65536
29,580.0,-5.24288,0.65535999999999,-3.93216,0.65536
30,600.0,-5.24288,1.31072,-3.93217,0.65536
31,620.0,-5.24288,0.65535,-3.93217,-0.65536
32,640.0,-5.24288,-1.0000000003174e-05,-4.58753,-0.65537
33,660.0,-4.58752,-1.0000000003174e-05,-3.93216,-0.65536
34,680.0,-4.58752,-1.0000000003174e-05,-3.93216,-0.65537
35,700.0,-4.58751,-1.0000000003174e-05,-3.93216,-1.0000000003174e-05
36,720.0,-4.58751,-1.0000000003174e-05,-3.93215,-1.0000000003174e-05
37,740.0,-4.58751,0.65535,-3.93215,-1.0000000003174e-05
38,760.0,-4.58751,-1.0000000003174e-05,-2.62143,-1.0000000003174e-05
39,780.0,4.58765,1.31072,7.86449,0.65537
40,800.0,5.8984,1.31072,6.55375,1.31073
41,820.0,5.89841,1.31072,5.8984,0.65536
42,840.0,5.8984,1.96608,6.55377,1.31072
43,860.0,5.89841,1.96608,6.55377,1.31072
44,880.0,5.24305,1.31071,6.55377,1.31071
45,900.0,5.24306,1.31071,5.24306,1.31071
46,920.0,10.486,2.62144,24.24876,1.9661
47,940.0,25.55956,2.62146,24.90417,1.9661
48,960.0,24.24881,1.9661,24.90416,1.9661
49,980.0,24.2488,1.96609,25.5595,1.31073
50,1000.0,24.90415,1.96609,25.55949,1.31073
51,1020.0,25.55949,1.31073,26.21485,1.31073
52,1040.0,25.55949,1.31073,26.87021,0.65537
53,1060.0,25.55949,1.31073,26.21484,0.65537
54,1080.0,25.55948,1.31073,26.21484,0.65537
55,1100.0,25.55949,0.65537,26.8702,0.65537
56,1120.0,28.18094,1.31074,46.53126,2.62151
57,1140.0,57.67261,3.27691,59.63871,3.27691
58,1160.0,58.32798,3.27691,58.98333,3.27692
59,1180.0,58.32797,3.2769,59.63869,2.62155
60,1200.0,58.32797,3.2769,59.63868,2.62155
61,1220.0,58.98332,3.27691,59.63868,2.62155
62,1240.0,58.98333,3.27691,59.63868,2.62155
63,1260.0,58.98332,3.27691,59.63868,2.62155
64,1280.0,58.98332,2.62155,59.63868,1.96619
65,1300.0,66.19235,3.93231,83.88735,4.58774
66,1320.0,87.16425,5.24311,85.8535,5.24312
67,1340.0,84.54277,5.89847,85.85349,4.58775
68,1360.0,84.54277,5.24311,85.19812,5.24311
69,1380.0,83.88741,5.2431,84.54276,5.24311
70,1400.0,83.88741,5.2431,84.54276,5.24311
71,1420.0,83.23204,5.24311,84.54275,5.24311
72,1440.0,83.8874,5.24311,84.54276,5.24311
73,1460.0,83.8874,5.89847,84.54275,5.24311
74,1480.0,83.8874,5.24311,85.85347,5.89848
75,1500.0,95.68406,7.20925,104.20388,7.20929
76,1520.0,102.89316,8.52,102.89315,7.86465
77,1540.0,102.23779,7.86464,103.5485,7.20928
78,1560.0,102.23778,8.52,103.5485,7.86464
79,1580.0,102.89314,7.86464,103.54849,7.86465
80,1600.0,102.23778,7.86464,103.54849,7.86464
81,1620.0,102.89313,8.52,103.54849,7.86464
82,1640.0,102.89313,7.86464,103.54848,8.52
83,1660.0,102.23777,7.86464,103.54848,7.20928
84,1680.0,102.89311,7.86464,104.20383,7.20928
85,1700.0,102.89311,7.86464,104.85918,6.55392
86,1720.0,104.20382,7.20927,104.85917,6.55392
87,1740.0,104.20382,6.55391,106.82526,7.20928
88,1760.0,121.89878,9.83081,133.69548,10.48623
89,1780.0,133.04014,10.48621,133.04011,10.48622
90,1800.0,131.7294,11.14157,133.04011,10.48621
91,1820.0,132.38475,10.4862,133.0401,9.83084
92,1840.0,133.0401,10.4862,133.69545,9.83084
93,1860.0,133.04009,9.83084,133.69545,9.17548
94,1880.0,133.04009,9.83083,134.35081,9.17548
95,1900.0,133.69545,9.83084,133.69544,9.17548
96,1920.0,133.04009,9.83084,133.69545,9.17549
97,1940.0,133.04009,9.83084,133.69544,9.83084
98,1960.0,133.69545,9.83084,134.3508,9.17548
99,1980.0,133.69545,9.83083,134.3508,9.17548
100,2000.0,133.04008,9.17548,134.3508,9.17548
101,2020.0,133.69544,9.17547,134.35079,9.17548
102,2040.0,133.04008,9.17548,133.69544,9.17548
103,2060.0,133.04008,9.17548,134.3508,8.52012
104,2080.0,114.68976,7.86473,68.15856,3.93249
105,2100.0,15.07372,0.00027000000000044,-9.17488,-2.62123
106,2120.0,-7.20872,-0.65516,-3.93188,-0.65516
107,2140.0,-3.93188,-0.65519,-2.62116,-1.31057
108,2160.0,-2.62115,-1.31058,-1.31043,-1.31059
109,2180.0,-1.31043,-1.3106,-0.65508000000001,-1.96596
110,2200.0,-0.65506999999999,-1.96597,0.00027999999999651,-1.96597
111,2220.0,0.00028000000000361,-1.96598,0.00027999999999651,-1.96598
112,2240.0,0.00028000000000361,-1.96598,0.65564,-2.62135
113,2260.0,-3.27655,-2.62134,-12.45172,-4.58743
114,2280.0,-14.41784,-3.93208,-13.10711,-3.93209
