,T,LX,LY,RX,RY
0,0.0,0.0,0.0,0.0,0.0
1,20.0,-0.65535999999999,0.0,-0.65535999999999,1.31072
2,40.0,-0.65535999999999,0.0,0.0,-9.9999999960687e-06
3,60.0,-0.65535999999999,0.65536,-9.9999999960687e-06,1.31072
4,80.0,-0.65535999999999,1.31071,-9.9999999960687e-06,1.96608
5,100.0,-0.65537,1.96609,-0.65537,3.2768
6,120.0,-0.65537,2.62145,-0.65537,1.96608
7,140.0,-9.9999999960687e-06,1.31071,-0.65537999999999,1.96607
8,160.0,-0.65537999999999,1.31072,-0.65537999999999,1.96607
9,180.0,-1.31074,1.31072,-1.31075,1.96608
10,200.0,-1.31074,1.31072,-1.31075,1.96608
11,220.0,-1.31075,1.31072,-1.31075,2.62144
12,240.0,-1.31074,1.31072,-1.31074,1.31071
13,260.0,-1.31075,1.31071,-1.31074,1.31071
14,280.0,-1.96611,1.31072,-1.31075,1.31071
15,300.0,-1.3082,0.65535,-1.96611,0.65535
16,320.0,-1.96611,-1.0000000003174e-05,-1.96611,-1.9999999999243e-05
17,340.0,-1.96611,-0.65538,-1.96612,-0.6554
18,360.0,-1.96611,-1.31076,-1.96611,-1.31076
19,380.0,-1.96611,-1.96612,-1.31076,-1.96613
20,400.0,-1.31075,-2.62149,-1.31076,-1.96614
21,420.0,-1.31076,-3.27687,-1.31076,-2.62151
22,440.0,-1.31076,-3.27687,-1.96612,-3.93224
23,460.0,-1.31076,-4.5876,-1.96612,-4.5876
24,480.0,-1.96612,-5.89832,-1.31077,-5.24297
25,500.0,-1.31076,-5.89833,-1.31076,-5.24297
26,520.0,-1.31076,-6.5537,-1.31077,-6.5537
27,540.0,-1.31077,-7.20906,-1.96612,-7.20907
28,560.0,-1.96613,-7.20906,-1.96613,-7.86443
29,580.0,-1.31077,-8.51979,-1.96613,-7.86444
30,600.0,-1.96613,-8.5189,-1.96614,-8.51981
31,620.0,-1.96614,-9.17517,-1.31078,-9.17517
32,640.0,-1.96614,-9.83054,-1.31078,-9.17518
33,660.0,-1.96615,-9.17517,-1.31079,-7.86445
34,680.0,-1.31079,-7.86445,-1.96615,-5.89836
35,700.0,-1.96615,-5.24298,-1.96614,-2.62153
36,720.0,-2.6215,-1.96615,-2.6215,-5.9999999997729e-05
37,740.0,-3.27686,1.31067,-3.93222,3.27677
38,760.0,-3.93221,4.58751,-3.93221,5.89825
39,780.0,-4.58757,6.55362,-4.58756,7.86435
40,800.0,-5.89828,8.51973,-5.89828,9.83046
41,820.0,-5.89827,11.14119,-6.55363,12.45192
42,840.0,-6.55362,13.76266,-7.20898,15.72876
43,860.0,-0.65532,17.0395,24.904,20.97169
44,880.0,34.73711,22.93777,-51.773,25.55922
45,900.0,28.83626,25.55925,28.83626,27.52534
46,920.0,29.49164,28.18071,28.83628,29.49144
47,940.0,28.83628,31.45753,28.83629,34.07899
48,960.0,28.8363,36.70045,29.49167,39.97726
49,980.0,30.8024,41.288,31.45777,43.25408
50,1000.0,32.11314,44.56482,32.76851,46.5309
51,1020.0,33.42388,46.53091,33.42388,47.84163
52,1040.0,34.07925,47.18628,-51.77291,47.84165
53,1060.0,34.73461,46.53092,34.07924,45.87556
54,1080.0,34.07924,44.56484,33.42388,44.56484
55,1100.0,32.76853,43.25413,32.76852,43.25413
56,1120.0,32.76852,43.25413,32.11316,42.59877
57,1140.0,32.11315,42.59877,31.45779,41.9434
58,1160.0,30.80242,41.9434,30.80242,41.9434
59,1180.0,41.28829,41.94341,64.22626,43.25415
60,1200.0,79.2998,44.56487,79.29978,43.90948
61,1220.0,76.02293,42.59876,75.36757,41.9434
62,1240.0,76.02293,40.63267,75.36756,39.9773
63,1260.0,75.36755,38.66658,74.71219,38.01121
64,1280.0,74.05682,36.7005,73.40146,35.38977
65,1300.0,73.40145,33.42368,72.74608,33.42367
66,1320.0,72.74608,32.76831,72.09071,32.11294
67,1340.0,72.0907,30.80222,71.43534,31.45757
68,1360.0,71.43534,31.45757,71.43534,32.11292
69,1380.0,72.09071,32.11292,72.09071,32.76827
70,1400.0,72.09072,33.42363,72.74609,34.07897
71,1420.0,72.74611,34.73433,72.74612,35.38967
72,1440.0,74.05686,36.70037,74.05688,38.01106
73,1460.0,75.36762,39.32177,76.67838,41.9432
74,1480.0,77.98913,43.90928,79.29988,46.53072
75,1500.0,80.61064,47.18609,81.26602,47.84145
76,1520.0,88.4751,47.84148,107.48086,49.80758
77,1540.0,117.31145,49.15221,116.65606,48.49683
78,1560.0,114.68991,47.18612,114.68989,45.8754
79,1580.0,114.68989,44.56469,114.0345,43.90933
80,1600.0,113.37913,43.25397,112.72376,43.90933
81,1620.0,112.72375,42.59862,112.72375,42.59861
82,1640.0,113.37911,41.28789,112.72375,41.94325
83,1660.0,112.72374,40.63254,112.72374,40.63253
84,1680.0,112.72373,39.3218,112.72371,39.32178
85,1700.0,112.06835,38.01106,114.68981,38.01105
86,1720.0,132.38483,38.66644,142.87082,41.28786
87,1740.0,141.56006,39.97712,138.28318,41.28784
88,1760.0,138.28318,41.9432,138.28318,42.59854
89,1780.0,138.93855,43.2539,139.59392,44.56461
90,1800.0,139.59394,46.53069,140.24931,47.84141
91,1820.0,140.90469,48.49676,141.56007,48.49675
92,1840.0,142.21544,46.53066,142.87081,45.87529
93,1860.0,142.21545,43.9092,142.87081,42.59847
94,1880.0,142.87081,40.63238,142.21544,39.32165
95,1900.0,142.21543,38.01093,142.21541,37.35557
