,T,LX,LY,RX,RY
0,0.0,0.0,0.0,0.0,0.0
1,20.0,-1.31073,1.31074,-0.65537,0.65536
2,40.0,-0.65537,1.9661,-9.9999999960687e-06,0.65537
3,60.0,-1.9999999999243e-05,2.62146,-1.9999999999243e-05,1.31073
4,80.0,-3.0000000002417e-05,1.96611,-0.65539,0.65537
5,100.0,-1.31076,1.9661,-1.96612,0.65536
6,120.0,-3.27684,1.31074,-2.62147,0.0
7,140.0,-3.9322,1.31073,-3.93219,-1.0000000003174e-05
8,160.0,-4.58755,1.31072,-3.93218,-1.9999999999243e-05
9,180.0,-4.58755,0.65536,-3.93217,-0.65537
10,200.0,-5.2429,0.65536,-3.93217,-0.65539
11,220.0,-5.2429,-9.9999999960687e-06,-4.58753,-1.31075
12,240.0,-5.2429,-9.9999999960687e-06,-3.93217,-1.31075
13,260.0,1.96615,1.31073,9.8306,1.31072
14,280.0,10.486,3.93218,9.83063,2.62145
15,300.0,9.83061,4.58755,10.48598,2.62145
16,320.0,9.17526,3.27683,10.48853,1.96609
17,340.0,9.17526,3.27682,10.48598,1.96609
18,360.0,9.17526,3.27683,10.48599,1.31072
19,380.0,9.83062,2.62145,10.48599,1.31072
20,400.0,9.83063,2.62146,9.83063,1.31072
21,420.0,9.17526,1.96609,10.48599,1.31071
22,440.0,22.93798,5.24291,38.01153,6.55365
23,460.0,42.59916,9.17511,41.94379,8.51975
24,480.0,39.97769,11.14121,41.28841,9.83048
25,500.0,39.97768,11.14121,40.63304,9.17511
26,520.0,39.32231,9.83048,39.32231,9.1751
27,540.0,38.66694,9.17512,39.3223,8.51974
28,560.0,38.66693,9.83048,39.32229,8.51974
29,580.0,38.66691,9.17512,39.32227,56.36102
30,600.0,38.66689,9.17512,38.66689,7.86438
31,620.0,38.01153,8.51976,38.66689,7.20902
32,640.0,42.59909,9.17512,57.6726,11.14121
33,660.0,64.88172,13.10732,65.5371,12.45195
34,680.0,64.22636,14.41806,65.53708,13.10731
35,700.0,64.88172,13.10732,64.88172,11.79658
36,720.0,64.88172,12.45195,65.53709,11.14121
37,740.0,65.53708,12.45194,66.19245,10.48584
38,760.0,65.53708,11.79658,66.84781,10.48584
39,780.0,65.53708,11.14122,66.19245,9.83048
40,800.0,65.53708,11.14122,66.84781,9.83048
41,820.0,66.19244,11.14121,66.84781,9.83048
42,840.0,66.8478,10.48585,66.84781,9.83047
43,860.0,66.8478,11.14121,66.84781,9.83047
44,880.0,66.8478,11.14121,66.84781,9.83047
45,900.0,66.19244,11.14121,66.8478,9.83048
46,920.0,72.09075,11.79658,87.16426,13.76267
47,940.0,94.37339,16.38415,95.02877,15.07342
48,960.0,93.06266,16.38417,94.37338,15.07343
49,980.0,93.71801,16.38415,94.37338,14.41806
50,1000.0,93.06265,15.72879,94.37337,14.41805
51,1020.0,93.71801,15.72878,94.37337,13.10732
52,1040.0,93.71801,13.7627,94.37337,12.45196
53,1060.0,94.37336,13.7627,94.37336,12.45196
54,1080.0,93.71799,13.10734,93.718,11.79659
55,1100.0,93.71799,12.45196,94.37335,11.14123
56,1120.0,93.71799,11.79659,93.71799,9.17513
57,1140.0,79.95526,7.86442,46.53141,1.96616
58,1160.0,7.86462,-1.31062,-8.51961,-0.65527
59,1180.0,-7.20888,4.58767,-3.93204,5.89838
60,1200.0,-3.93204,7.86447,-3.27668,7.20908
61,1220.0,-3.93205,8.51982,-2.62132,7.20907
62,1240.0,-3.27669,8.51981,-2.62133,7.20907
63,1260.0,-3.27669,8.5198,-1.96597,7.20906
64,1280.0,-2.62135,7.86443,-1.96599,6.55369
65,1300.0,-1.96601,7.86442,-1.31064,6.55368
66,1320.0,-1.96601,7.86442,-1.31065,5.89831
67,1340.0,-2.62137,6.55369,-1.31065,5.24295
68,1360.0,-1.96601,5.89831,-1.31064,3.93221
69,1380.0,-1.966,4.58758,1.31084,4.58757
70,1400.0,4.5877,5.89832,5.89843,5.24294
71,1420.0,5.24306,6.55367,5.24307,4.58757
72,1440.0,4.5877,5.24294,5.24306,3.93221
73,1460.0,4.5877,4.58757,5.24306,3.27683
74,1480.0,3.93233,3.93221,4.5877,2.62147
75,1500.0,3.93233,3.27684,4.58769,1.9661
76,1520.0,6.55379,3.93221,22.28265,6.55365
77,1540.0,34.73471,9.8305,38.66696,9.17512
78,1560.0,38.01159,11.14121,38.01158,9.17512
79,1580.0,38.01157,9.83049,38.66694,8.51974
80,1600.0,38.01157,9.83048,38.01157,7.86439
81,1620.0,37.35875,8.51976,38.01156,7.20902
82,1640.0,37.3562,8.51975,38.01156,7.20901
83,1660.0,37.35619,7.86439,38.01156,6.55366
84,1680.0,37.3562,7.86439,38.01156,5.89829
85,1700.0,37.3562,7.20902,37.35619,5.89829
86,1720.0,36.70083,7.86438,37.35619,5.89828
87,1740.0,36.70082,6.55366,37.35619,5.24292
88,1760.0,36.04546,6.55366,36.70082,5.24292
89,1780.0,36.04546,6.55366,36.04546,5.24292
90,1800.0,36.04546,5.89829,36.70082,4.58756
91,1820.0,35.3901,5.89829,36.70082,3.93219
92,1840.0,35.3901,5.24293,36.04546,3.9322
93,1860.0,35.3901,4.58757,36.04546,3.27682
94,1880.0,30.14717,3.27684,19.00589,1.96611
95,1900.0,12.4522,3.27685,13.76293,3.93221
96,1920.0,14.4183,5.24295,14.4183,3.9322
97,1940.0,13.10757,4.58757,13.76293,3.27684
98,1960.0,13.10756,3.93221,14.41829,2.62147
99,1980.0,13.76292,3.93221,14.41829,2.62147
100,2000.0,13.76291,3.27684,15.07363,2.62146
101,2020.0,13.10753,3.27684,6.55383,1.96611
102,2040.0,2.62162,3.27686,5.24307,3.27685
103,2060.0,4.58771,5.24295,5.24307,3.27685
104,2080.0,4.5877,3.93222,5.24307,2.62148
105,2100.0,5.24306,3.27686,5.24306,1.96611
106,2120.0,4.5877,2.62148,5.24305,0.65538
107,2140.0,5.24305,1.31075,5.24305,1.0000000003174e-05
