,T,LX,LY,RX,RY
0,0.0,0.0,0.0,0.0,0.0
1,20.0,1.0000000003174e-05,1.0000000003174e-05,1.0000000003174e-05,9.9999999960687e-06
2,40.0,-0.65535,0.65538,1.0000000003174e-05,0.65537
3,60.0,-0.65535,0.65538,-0.65535,0.65537
4,80.0,-1.31071,0.65538,-0.65535,1.9999999999243e-05
5,100.0,-1.3107,0.65538,-1.31072,0.65539
6,120.0,-1.96607,0.65539,-1.31071,0.65539
7,140.0,-1.96607,0.65539,-1.31071,0.65537999999999
8,160.0,-1.31071,1.31075,-0.65536,0.65539
9,180.0,-1.31071,1.31075,-9.9999999960687e-06,1.31075
10,200.0,-0.65281,1.31075,-0.65536,1.96611
11,220.0,-0.65535999999999,1.96612,-0.65536,1.31076
12,240.0,-0.65535999999999,1.96613,-0.65536,1.31076
13,260.0,-0.65535999999999,1.96613,-0.65537,1.31077
14,280.0,-0.65537,1.96613,-0.65537,1.96614
15,300.0,-0.65535999999999,1.96614,-9.9999999960687e-06,1.96613
16,320.0,-9.9999999960687e-06,1.96615,0.65534,1.96614
17,340.0,-0.65537,1.96615,-0.65538,1.96615
18,360.0,-0.65537,1.96616,-0.65538,1.96615
19,380.0,-0.65538,1.96616,-0.65538,1.96615
20,400.0,-0.65538,1.96616,-0.65539,1.96615
21,420.0,-0.65539,1.96616,-1.31075,1.96615
22,440.0,-1.31075,1.96616,-1.31076,2.62151
23,460.0,-1.96611,2.62152,-1.31076,2.62152
24,480.0,-1.96611,3.27688,-1.96612,2.62153
25,500.0,-1.96611,2.62153,-1.96611,2.62152
26,520.0,-2.62147,2.62152,-1.96612,2.62152
27,540.0,-2.62146,2.62153,-1.96611,2.62151
28,560.0,-2.62146,1.96615,-1.96612,1.96615
29,580.0,-2.62147,1.31079,-1.96611,1.31078
30,600.0,-2.62147,0.65542000000001,-1.96611,1.31078
31,620.0,-2.62147,0.65542000000001,-10.48589,1.31081
32,640.0,-19.66107,2.62157,-19.66109,2.62157
33,660.0,-19.00569,3.93231,-19.00569,4.58767
34,680.0,-19.66104,4.58768,-19.00569,4.58767
35,700.0,-19.00568,4.58767,-19.00569,4.58767
36,720.0,-19.00568,5.24304,-18.35033,4.58767
37,740.0,-18.35032,4.58768,-18.35033,4.58767
38,760.0,-17.69496,4.58767,-17.69497,3.9323
39,780.0,-17.03961,3.93229,-17.03963,3.27693
40,800.0,-17.03962,3.27692,-13.76281,1.96617
41,820.0,-3.93222,1.31079,1.31076,0.65542
42,840.0,0.65539,2.62151,1.31073,2.62151
43,860.0,0.65538,3.27688,1.96609,2.62151
44,880.0,1.31074,2.62151,1.96608,1.96614
45,900.0,1.31073,1.96613,2.62144,1.31077
46,920.0,1.96608,0.65541,2.62143,0.6554
47,940.0,1.96608,0.6554,2.62143,2.9999999995312e-05
48,960.0,1.96608,-0.65533,1.96607,-0.65533000000001
49,980.0,1.96608,-0.65533,2.62142,-1.31071
50,1000.0,5.2429,-2.62145,15.72883,-3.93221
51,1020.0,19.6611,-3.27684,18.35037,-1.96612
52,1040.0,17.695,-1.31074,18.35035,-1.31074
53,1060.0,17.695,-0.65537999999999,17.69499,-0.65538
54,1080.0,17.03963,-0.65537999999999,17.03963,-0.65538
55,1100.0,16.38428,-0.65537,17.03963,-0.65538
56,1120.0,16.38428,-0.65537999999999,16.38427,-1.31074
57,1140.0,15.72892,-1.31074,16.38427,-1.96611
58,1160.0,15.72891,-1.96611,15.07355,-1.96611
59,1180.0,15.07356,-2.62147,15.72891,-2.62148
60,1200.0,15.07355,-2.62148,14.41818,-3.27685
61,1220.0,13.76282,-3.27685,15.07354,-3.93222
62,1240.0,21.62727,-4.5876,28.83636,-5.24299
63,1260.0,28.83639,-3.93225,27.52565,-3.27688
64,1280.0,27.52565,-2.62152,27.52565,-3.27688
65,1300.0,27.52566,-2.62151,27.52565,-3.27688
66,1320.0,26.87029,-3.27687,27.52564,-3.93224
67,1340.0,26.87029,-3.93224,27.52564,-4.5876
68,1360.0,27.52564,-4.58761,28.18099,-5.89834
69,1380.0,32.76857,-7.86445,45.87596,-9.17522
70,1400.0,49.15287,-9.17521,46.53138,-7.86447
71,1420.0,45.22063,-6.55375,45.87599,-6.55375
72,1440.0,45.876,-5.89838,45.87599,-5.89838
73,1460.0,45.22063,-5.89839,45.87598,-6.55375
74,1480.0,45.22063,-6.55375,45.22062,-6.55376
75,1500.0,45.22063,-6.55376,45.22062,-7.20914
76,1520.0,44.56527,-7.20913,45.22062,-7.20914
77,1540.0,44.56527,-7.20914,45.22062,-7.86451
78,1560.0,44.56527,-8.51987,45.22062,-8.51988
79,1580.0,44.56526,-8.51988,45.22061,-9.83061
80,1600.0,46.53136,-11.14134,53.08506,-12.4521
81,1620.0,53.74048,-12.45209,53.08509,-11.14137
82,1640.0,51.77437,-9.83064,52.42972,-11.14137
83,1660.0,51.77437,-10.486,51.77435,-10.48601
84,1680.0,51.77436,-10.48601,51.77435,-11.14137
85,1700.0,51.11899,-11.14136,51.77434,-11.79674
86,1720.0,51.11899,-11.79674,51.11898,-12.4521
87,1740.0,50.46363,-12.4521,51.77434,-13.10747
88,1760.0,50.46362,-13.10747,51.11898,-14.4182
89,1780.0,52.42972,-15.72894,60.94956,-19.00581
90,1800.0,68.15872,-20.31656,69.46947,-20.97192
91,1820.0,67.50339,-20.31655,68.15873,-20.31655
92,1840.0,68.15874,-20.97191,68.81409,-20.97191
93,1860.0,68.81409,-20.97192,68.81409,-21.62728
94,1880.0,68.15873,-21.62728,68.15873,-22.28265
95,1900.0,68.15873,-21.62728,68.15872,-22.28265
96,1920.0,68.15873,-22.28265,68.15872,-22.93801
97,1940.0,68.15873,-22.28266,68.81408,-22.93803
98,1960.0,68.81409,-22.93803,68.81408,-22.93803
99,1980.0,68.81408,-22.93803,69.46943,-22.93803
100,2000.0,69.46944,-22.93804,70.12479,-23.59341
101,2020.0,69.46944,-23.59341,67.50329,-25.5595
102,2040.0,43.25453,-27.52554,9.83063,-29.49155
103,2060.0,-11.14124,-28.18079,-10.4859,-24.24859
104,2080.0,-9.17511,-20.97174,-8.51975,-19.661
105,2100.0,-9.17512,-17.6949,-8.51976,-16.38416
106,2120.0,-9.17511,-15.07343,-8.51975,-13.10733
107,2140.0,-9.17511,-10.48585,-8.51974,-8.51975
108,2160.0,-9.83045,-4.58754,-10.4858,-0.65534
109,2180.0,-11.14115,2.62151,-11.79652,2.62152
110,2200.0,-22.93779,4.58767,-30.14687,7.20917
111,2220.0,-29.49147,10.48601,-28.83609,12.45212
112,2240.0,-28.83608,15.07359,-28.8361,15.72895
113,2260.0,-29.49145,15.72895,-28.8361,15.07359
114,2280.0,-29.49145,15.07359,-28.8361,15.07359
115,2300.0,-29.49145,15.07359,-28.8361,13.76286
116,2320.0,-29.49146,13.76287,-28.8361,12.45213
117,2340.0,-28.8361,12.45213,-28.8361,11.79676
118,2360.0,-28.8361,10.48603,-28.18074,9.83065
119,2380.0,-30.80221,6.55383,-32.11298,5.89845
120,2400.0,-32.11296,6.55382,-32.11296,5.89846
121,2420.0,-32.11296,6.55383,-32.11296,5.2431
122,2440.0,-32.11295,5.2431,-31.45761,4.58773
123,2460.0,-32.11295,4.58773,-31.4576,3.277
124,2480.0,-32.11296,3.277,-31.4576,2.62164
