,T,LX,LY,RX,RY
0,0.0,0.0,0.0,0.0,0.0
1,20.0,-1.31072,0.0,-0.65535,-0.65536
2,40.0,-1.96608,-1.31072,-1.31072,-1.96608
3,60.0,-2.62144,-1.96608,-1.31072,-2.62144
4,80.0,-2.62146,-2.62144,-1.31074,-2.62145
5,100.0,-2.62147,-3.27681,-1.31075,-3.93217
6,120.0,-2.62148,-3.93217,-1.96612,-4.58754
7,140.0,-2.62149,-4.58753,-1.96613,-4.58754
8,160.0,-2.6215,-4.58754,-1.96613,-5.2429
9,180.0,-2.6215,-4.58754,-1.96614,-5.2429
10,200.0,-2.6215,-5.2429,-1.96613,-5.24291
11,220.0,-2.62149,-4.58754,-1.96613,-4.58754
12,240.0,-2.62149,-4.58754,-1.96612,-4.58755
13,260.0,-2.62149,-4.58754,-2.62148,-4.58755
14,280.0,-3.27684,-4.58755,-1.96612,-4.58755
15,300.0,-3.27684,-4.58754,-2.62147,-4.58755
16,320.0,-3.27684,-4.58755,-1.96611,-4.58756
17,340.0,0.65535999999999,-4.58755,1.9661,-4.58755
18,360.0,9.9999999960687e-06,-3.93219,0.65537,-3.27683
19,380.0,9.9999999960687e-06,-3.27683,1.31073,-3.9322
20,400.0,0.65537,-3.9322,1.31073,-4.58756
21,420.0,0.65537,-4.58756,1.9661,-5.24292
22,440.0,0.65537,-5.24292,1.9661,-5.24293
23,460.0,0.65537,-5.89828,1.9661,-5.89829
24,480.0,1.31073,-5.24292,1.9661,-5.89828
25,500.0,1.31074,-5.89828,1.96611,-5.89829
26,520.0,1.31074,-5.89828,1.96611,-5.24293
27,540.0,1.31075,-5.24292,1.96611,-5.24292
28,560.0,1.31075,-5.24292,1.96612,-5.24293
29,580.0,1.31076,-5.24292,1.96613,-4.58756
30,600.0,0.6554,-4.58756,1.96613,-4.58756
31,620.0,0.6554,-3.9322,1.96613,-3.9322
32,640.0,0.65541,-3.9322,1.96613,-3.9322
33,660.0,0.65541,-3.27684,1.31078,-3.27684
34,680.0,5.9999999997729e-05,-2.62147,1.31078,-3.27683
35,700.0,0.65542,-2.62147,1.31078,-2.62147
36,720.0,0.65541,-3.27683,1.31078,-3.27683
37,740.0,0.65541,-3.93219,1.31076,-3.27683
38,760.0,0.6554,-3.93219,1.31076,-3.93219
39,780.0,0.65539,-4.58755,1.31076,-4.58755
40,800.0,2.9999999995312e-05,-4.58755,1.31075,-4.58755
41,820.0,1.9661,-3.93218,10.48588,-4.58755
42,840.0,11.14127,-3.93218,10.48589,-3.27682
43,860.0,9.17517,-2.62146,9.83053,-3.27682
44,880.0,8.51981,-2.62146,9.83053,-3.27683
45,900.0,8.5198,-2.62146,9.83052,-3.27683
46,920.0,9.17516,-3.27682,9.83051,-3.27683
