,T,LX,LY,RX,RY
0,0.0,0.0,0.0,0.0,0.0
1,20.0,0.0,-1.0000000003174e-05,-0.65535,0.65535999999999
2,40.0,1.0000000003174e-05,-1.0000000003174e-05,-0.65535,0.0
3,60.0,1.0000000003174e-05,-1.0000000003174e-05,-0.65535,0.65535999999999
4,80.0,0.0,-1.0000000003174e-05,1.0000000003174e-05,0.65535999999999
5,100.0,1.31072,-1.0000000003174e-05,1.31072,9.9999999960687e-06
6,120.0,1.96608,-0.65536,1.96608,-0.65535000000001
7,140.0,2.62143,-0.65535,1.96607,-0.65534
8,160.0,2.62144,-1.31071,2.62144,1.9999999999243e-05
9,180.0,3.93216,-0.65534,2.62144,2.9999999995312e-05
10,200.0,3.93216,1.9999999999243e-05,3.2768,1.9999999999243e-05
11,220.0,3.93216,1.9999999999243e-05,3.2768,1.9999999999243e-05
12,240.0,3.93216,1.9999999999243e-05,3.27681,1.9999999999243e-05
13,260.0,3.93217,1.9999999999243e-05,3.27681,0.65539
14,280.0,3.93217,1.9999999999243e-05,3.93217,0.65539
15,300.0,3.93216,0.65538,3.27681,1.31075
16,320.0,3.93217,0.65538,3.2768,1.31075
17,340.0,4.58753,0.65538,3.93216,1.96611
18,360.0,4.58751,1.31074,3.93215,1.96611
19,380.0,4.58751,1.31075,3.93216,2.62147
20,400.0,4.5875,1.9661,3.93215,1.96611
21,420.0,4.58752,1.9661,3.93216,2.62147
22,440.0,4.58752,2.62146,3.93216,3.27683
23,460.0,4.58752,2.62147,3.2768,3.27683
24,480.0,3.93216,3.27682,3.2768,3.93219
25,500.0,3.93216,3.27682,2.62144,3.93219
26,520.0,3.93216,3.27683,3.2768,3.93219
27,540.0,3.93216,3.27682,3.2768,3.93219
28,560.0,3.27679,3.93218,2.62143,3.93219
29,580.0,3.2768,3.93218,2.62144,4.58754
30,600.0,3.27679,3.93218,2.62143,5.2429
31,620.0,3.2768,4.58753,1.96608,5.89826
32,640.0,2.62143,5.2429,1.96606,5.24291
33,660.0,2.62141,5.24291,1.96604,5.24292
34,680.0,2.6214,5.24292,1.96603,5.24293
35,700.0,2.62139,4.58756,1.96604,5.24292
36,720.0,2.6214,4.58755,1.31069,5.24292
37,740.0,1.96605,3.93219,1.31069,3.93219
38,760.0,1.96605,2.62145,1.31068,1.9661
39,780.0,1.96603,1.9999999999243e-05,1.31066,0.65538
40,800.0,1.96602,1.0000000003174e-05,1.31067,0.65538
41,820.0,1.96604,0.65537,0.65532,1.31073
42,840.0,1.31069,1.31073,0.65533,1.31073
43,860.0,1.31069,0.65536,0.65533,1.96609
44,880.0,1.31069,1.31072,-1.9999999999243e-05,1.96608
45,900.0,-1.9999999999243e-05,1.96607,-0.65538,2.62144
46,920.0,-1.9999999999243e-05,2.62142,-0.65537,2.62143
47,940.0,-1.9999999999243e-05,2.62142,-1.9999999999243e-05,2.62143
48,960.0,0.65534,1.96606,0.65534,2.62143
49,980.0,1.96606,1.96607,1.31069,1.96608
50,1000.0,2.62141,1.31072,1.96605,1.96609
51,1020.0,3.27677,47.18592,2.62141,1.96609
52,1040.0,3.27677,1.96609,3.27677,1.9661
53,1060.0,3.27677,1.96609,2.62141,2.62145
54,1080.0,3.93212,1.96609,3.27677,2.62145
55,1100.0,3.27677,1.96609,3.27677,2.62145
56,1120.0,3.93212,1.96609,3.27676,2.62146
57,1140.0,3.93212,1.96609,3.27676,2.62146
58,1160.0,3.93467,1.9661,3.27676,2.62146
59,1180.0,3.93212,2.62146,2.6214,2.62146
60,1200.0,3.93212,2.62146,3.27676,2.62146
61,1220.0,3.27676,2.62146,2.6214,3.27682
62,1240.0,2.6214,2.62146,2.62139,3.27683
63,1260.0,2.62139,3.27682,1.96603,3.27683
64,1280.0,1.96602,3.27682,1.31066,3.93219
65,1300.0,5.24287,3.93218,7.20901,4.58755
66,1320.0,7.209,4.58754,5.89828,5.24291
67,1340.0,5.89828,4.58754,5.24293,5.89826
68,1360.0,5.24547,5.2429,4.58756,5.89826
69,1380.0,5.24292,5.2429,3.93221,5.89826
70,1400.0,4.58756,5.24289,3.93221,5.89826
71,1420.0,3.93221,5.24289,3.27685,5.89825
72,1440.0,3.93221,5.24289,3.27685,5.89825
73,1460.0,3.27685,5.24288,2.62149,5.89825
74,1480.0,3.27939,5.24288,1.96612,5.24289
75,1500.0,6.55367,6.5536,13.10741,8.51969
76,1520.0,16.38428,7.86432,14.41818,9.17505
