,T,LX,LY,RX,RY
0,0.0,0.0,0.0,0.0,0.0
1,20.0,-0.65535999999999,1.31074,-1.31072,1.31072
2,40.0,-1.31071,1.31074,-1.30817,0.65536
3,60.0,-1.96608,1.31074,-1.31073,0.65536
4,80.0,-8.5198,-4.58752,-5.24322,-9.8304
5,100.0,-4.5879,-9.83038,-3.93253,-10.48575
6,120.0,-3.93254,-10.48575,-3.27719,-11.79648
7,140.0,-3.27719,-11.14111,-3.2772,-11.79649
8,160.0,-3.2772,-11.79648,-3.27721,-12.45186
9,180.0,-2.62185,-12.45186,-3.27721,-13.10724
10,200.0,-3.27721,-13.10724,-3.27721,-13.76263
11,220.0,-3.27721,-13.76261,-3.27722,-13.76263
12,240.0,-3.93258,-13.76262,-3.93258,-13.76265
13,260.0,-4.58794,-13.76264,-3.93259,-13.76266
14,280.0,-4.58795,-14.41801,-3.93259,-15.0734
15,300.0,-4.58795,-15.07339,-3.9326,-16.38413
16,320.0,-4.58796,-16.38413,-4.58796,-17.03952
17,340.0,-3.9326,-17.03951,-4.58797,-17.69489
18,360.0,-4.58797,-17.03951,-4.58797,-17.03953
19,380.0,-4.58796,-17.03952,-5.24333,-17.6949
20,400.0,-5.24332,-17.03953,-5.24333,-18.35027
21,420.0,-5.24332,-18.35026,-5.24333,-19.00564
22,440.0,-5.24333,-19.00563,-5.24333,-19.00566
23,460.0,-5.24325,-18.35029,-4.58789,-19.66101
24,480.0,-5.24326,-19.66101,-5.24326,-19.66102
25,500.0,-5.24325,-19.661,-5.24326,-19.66102
26,520.0,-5.24325,-19.661,-5.89862,-19.66102
27,540.0,-6.55397,-19.66102,-5.89862,-19.66104
28,560.0,-6.55397,-19.66103,-6.55397,-20.31641
29,580.0,-6.55397,-20.3164,-6.55397,-20.31641
30,600.0,-6.55397,-20.97177,-6.55398,-21.62714
31,620.0,-7.20933,-21.62713,-6.55398,-21.62715
32,640.0,-6.55397,-21.62714,-5.89862,-22.93788
33,660.0,-6.55397,-22.2825,-6.55397,-22.93788
