,T,LX,LY,RX,RY
0,0.0,0.0,0.0,0.0,0.0
1,20.0,0.65535,0.65536,0.0,0.65536
2,40.0,0.65536,0.65536,0.0,0.65536
3,60.0,0.65536,-1.0000000003174e-05,0.0,0.65535
4,80.0,0.65536,0.0,0.0,-1.0000000003174e-05
5,100.0,0.65536,-1.0000000003174e-05,0.0,-1.0000000003174e-05
6,120.0,0.65536,-0.65537,0.65537,-1.0000000003174e-05
7,140.0,0.65537,-1.0000000003174e-05,0.65537,-0.65537
8,160.0,0.65537,-0.65537,0.65537,-0.65537
9,180.0,1.31073,-0.65537,1.31073,-0.65537
10,200.0,1.31073,-0.65537,1.31073,-0.65537
11,220.0,1.96609,-0.65537,1.31074,-0.65537
12,240.0,1.96609,-0.65536,1.96609,-1.31073
13,260.0,2.62144,-1.31073,1.96609,-1.31073
14,280.0,1.96608,-1.31073,1.31073,-1.31073
15,300.0,2.62144,-0.65537,1.31073,-0.65536
16,320.0,1.96609,0.0,1.31073,-1.0000000003174e-05
17,340.0,1.96608,0.65536,1.31073,0.65536
18,360.0,1.96609,0.65536,1.31073,0.65536
19,380.0,1.96608,0.65536,1.31073,1.31072
20,400.0,1.96608,1.31072,1.31072,0.65536
21,420.0,1.96608,0.65536,1.96609,0.65536
22,440.0,1.96608,0.65536,1.96608,1.31071
23,460.0,1.96608,1.96608,1.31072,1.96608
24,480.0,1.96608,2.62145,1.31072,2.62145
25,500.0,1.31072,2.62145,0.65537,2.62144
26,520.0,1.96609,2.62145,1.31073,2.62145
27,540.0,1.96609,2.62145,1.31074,2.62145
28,560.0,1.96609,3.27681,1.31074,3.27682
29,580.0,1.31073,3.27682,0.65538,3.27682
30,600.0,1.31073,3.27683,0.65538,3.93218
31,620.0,1.31073,4.58755,0.65538,4.58755
32,640.0,1.31073,4.58755,0.65538,4.58755
33,660.0,0.65537,4.58755,1.9999999999243e-05,5.24291
34,680.0,0.65538,5.24292,1.9999999999243e-05,5.24292
35,700.0,0.65538,5.89829,3.0000000002417e-05,5.89829
36,720.0,0.65538,5.89829,-0.65533,5.89829
37,740.0,1.9999999999243e-05,6.55366,-1.3107,6.55366
38,760.0,-0.65534,7.20902,-0.65533,6.55366
39,780.0,-0.65533,7.20903,-0.65533,6.55366
40,800.0,2.9999999995312e-05,6.55366,-0.65533,6.55366
41,820.0,2.9999999995312e-05,6.55366,-0.65532,6.55365
42,840.0,3.9999999998486e-05,6.55366,-0.65531,6.55366
43,860.0,3.9999999998486e-05,6.55366,-0.65532,5.8983
44,880.0,3.27686,6.55366,5.24299,6.55365
45,900.0,5.24299,7.20903,4.58763,7.20903
46,920.0,4.58763,7.86439,3.93227,7.86439
47,940.0,4.58763,7.86439,3.93227,8.51975
48,960.0,4.58763,8.51975,3.27692,7.86439
