,T,LX,LY,RX,RY
0,0.0,0.0,0.0,0.0,0.0
1,20.0,0.0,1.0000000003174e-05,0.0,1.0000000003174e-05
2,40.0,-0.65537,0.65538,-9.9999999960687e-06,0.65538
3,60.0,-1.9999999999243e-05,1.31075,-9.9999999960687e-06,1.31075
4,80.0,-1.9999999999243e-05,1.31075,0.65534,1.96611
5,100.0,0.65533,2.62148,0.65533,3.27684
6,120.0,-3.9999999998486e-05,3.27685,0.65533,3.93221
7,140.0,-3.9999999998486e-05,4.58758,-3.9999999998486e-05,5.24295
8,160.0,-5.000000000166e-05,5.24295,0.65532,5.24296
9,180.0,-5.000000000166e-05,5.89832,-4.9999999994554e-05,5.89832
10,200.0,-5.9999999997729e-05,6.55369,-5.9999999997729e-05,6.55369
11,220.0,-0.65542,7.20906,-0.65542,7.20906
12,240.0,-0.65542,7.86442,-1.30823,7.86443
13,260.0,-1.31079,8.5198,-1.96614,7.86444
14,280.0,-1.96615,8.5198,-1.96614,8.5198
15,300.0,-1.96615,9.17517,-2.6215,9.17517
16,320.0,-3.27687,9.17517,-3.27686,9.17517
17,340.0,-3.27686,9.83054,-3.93221,9.17517
18,360.0,-3.93222,9.17518,-3.27685,8.51982
19,380.0,-3.93222,9.17518,-3.93221,8.51981
20,400.0,-4.58757,9.17517,-4.58757,8.51981
21,420.0,-4.58757,8.51982,-4.58756,7.86445
22,440.0,-4.58757,7.86445,-4.58756,7.86444
23,460.0,-3.93221,7.20908,-3.93221,6.55371
24,480.0,-2.61895,5.89835,-1.31077,5.24298
25,500.0,-1.31078,4.58761,-0.65541,3.93224
26,520.0,-7.0000000000903e-05,3.93223,-7.0000000000903e-05,3.93223
27,540.0,-8.0000000004077e-05,3.93223,0.65529,3.93222
28,560.0,0.65528,3.93222,1.31066,3.27686
29,580.0,1.31064,2.62149,1.31065,2.62149
30,600.0,1.31065,2.62149,1.96601,1.96612
31,620.0,1.96601,1.96612,2.62138,0.65539
32,640.0,2.62137,3.0000000002417e-05,2.62139,-1.3107
33,660.0,2.62137,-1.96606,3.27675,-1.96608
34,680.0,3.27675,-2.62143,3.27676,-3.2768
35,700.0,2.62139,-3.27681,3.27676,-3.93217
36,720.0,3.27676,-4.58754,11.79654,1.31072
37,740.0,13.10727,3.27683,11.14118,3.93219
38,760.0,11.14117,4.58756,11.14116,5.89828
39,780.0,9.83043,5.24292,9.83044,4.58757
40,800.0,9.17508,4.58756,9.1751,3.93219
41,820.0,9.17508,3.27684,8.51973,3.27683
42,840.0,7.86437,3.27683,7.86438,2.62146
43,860.0,7.20902,1.9661,6.55368,0.65538
44,880.0,5.89832,0.65538,5.89833,-0.65535
45,900.0,5.24298,-1.31072,5.24299,-1.96609
46,920.0,5.24299,-2.62144,4.58765,-2.62145
47,940.0,4.58765,-2.62144,4.58767,-3.27681
48,960.0,3.9323,-3.27681,3.93232,-3.93217
49,980.0,3.93231,-4.58753,3.93232,-4.58753
50,1000.0,3.27696,-5.24289,3.93233,-5.89826
51,1020.0,3.27697,-5.2429,4.58769,-6.55362
52,1040.0,5.24305,-7.20898,5.8984,-7.86435
53,1060.0,6.55375,-7.86435,6.55376,-8.51972
54,1080.0,7.20911,-7.86436,7.20911,-7.86436
55,1100.0,7.20909,-7.86437,7.20911,-7.20901
56,1120.0,6.55374,-7.209,6.55374,-7.209
57,1140.0,6.55373,-7.20901,5.89838,-7.20901
58,1160.0,5.89837,-7.20901,6.55374,-6.55365
59,1180.0,5.89837,-6.55364,6.55374,-6.55365
60,1200.0,6.55373,-7.20901,6.55375,-7.86438
61,1220.0,6.55375,-7.86438,6.55376,-7.86438
