,T,LX,LY,RX,RY
0,0.0,0.0,0.0,0.0,0.0
1,20.0,-0.65535,0.0,0.0,-0.65535000000001
2,40.0,0.65536,-0.65537,0.65535,-1.96609
3,60.0,0.65535,-0.65538,1.31071,-1.9661
4,80.0,1.31071,-1.96611,1.96607,-2.62147
5,100.0,1.96607,-2.62148,-7.209,-3.27682
6,120.0,-17.69482,1.0000000003174e-05,-19.66094,0.65537
7,140.0,-17.69485,3.2768,-17.69484,3.93219
8,160.0,-17.69484,5.24291,-18.35021,4.58756
9,180.0,-18.35021,5.89828,-18.35022,4.58757
10,200.0,-19.00558,4.58756,-18.35022,3.9322
11,220.0,-19.00558,5.24292,-18.35022,3.93221
12,240.0,-18.35023,5.24292,-18.35023,5.24294
13,260.0,-18.35022,6.55365,-18.35022,5.89831
14,280.0,-17.69486,7.86438,-17.0395,7.20903
15,300.0,-17.0395,8.51974,-16.38414,8.51975
16,320.0,-16.38413,10.48583,-15.72877,10.48584
17,340.0,-15.0734,11.14119,-14.41805,11.1412
18,360.0,-14.41804,12.45192,-13.76268,12.45193
19,380.0,-13.76268,13.76264,-13.76268,13.10729
20,400.0,-13.10732,14.41802,-13.10732,13.76267
21,420.0,-13.76268,15.72873,-13.10732,15.07339
22,440.0,-13.76268,16.38411,-14.41804,16.38412
23,460.0,-14.41803,17.03947,-15.0734,16.38411
24,480.0,-15.07339,17.03947,-15.0734,16.38411
25,500.0,-15.72876,17.69483,-15.72876,17.03948
26,520.0,-16.38412,18.35019,-16.38412,17.69484
27,540.0,-17.03947,19.00556,-17.69484,19.00557
28,560.0,-17.69483,19.66093,-18.3502,19.00557
29,580.0,-18.3502,20.97165,-18.35019,20.3163
30,600.0,-19.00555,20.31629,-18.35019,20.31631
31,620.0,-18.35019,22.28239,-18.35019,21.62703
32,640.0,-18.35018,22.93775,-18.35019,22.93776
33,660.0,-18.35018,23.59311,-18.35018,22.93776
34,680.0,-18.35018,23.59311,-17.69482,22.93776
35,700.0,-18.35018,23.59312,-18.35018,23.59313
36,720.0,-19.00554,24.24848,-19.00555,22.93777
37,740.0,-19.00555,23.59312,-19.00555,22.93777
38,760.0,-19.00555,23.59312,-19.00556,22.93777
39,780.0,-19.00557,24.24848,-18.35021,23.59313
40,800.0,-19.00558,24.90384,-19.00558,23.59313
41,820.0,-19.00558,24.90384,-18.35022,24.24849
42,840.0,-18.35023,24.90384,-24.90385,20.31632
43,860.0,-30.14678,19.66096,-29.49142,20.31633
44,880.0,-28.83605,22.28241,-29.49142,20.9717
45,900.0,-30.14678,21.62704,-30.14679,20.31633
46,920.0,-30.14679,20.97168,-30.14679,20.31633
47,940.0,-30.80215,20.97169,-30.1468,20.31633
48,960.0,-30.80216,20.97169,-30.80216,20.31634
49,980.0,-31.45752,20.97169,-32.11288,19.66098
50,1000.0,-31.45752,19.66096,-31.45752,17.69487
51,1020.0,-31.45752,19.00558,-32.11288,19.00559
52,1040.0,-31.45752,19.66094,-32.11288,18.35023
53,1060.0,-32.11288,19.66094,-32.11288,19.00559
54,1080.0,-32.11288,19.66094,-32.11288,19.00559
55,1100.0,-32.76824,19.66094,-32.76823,19.66095
56,1120.0,-32.76823,20.97167,-32.76823,20.97168
57,1140.0,-33.42359,22.2824,-34.07895,22.28241
58,1160.0,-34.07894,23.59312,-34.73431,22.93829
59,1180.0,-35.38966,23.59312,-35.38967,22.93777
60,1200.0,-35.38967,24.24848,-36.70039,23.59313
61,1220.0,-37.35575,24.24849,-37.35575,23.59314
62,1240.0,-38.0111,24.90385,-38.0111,24.90387
63,1260.0,-38.66646,25.55922,-38.66646,24.90387
64,1280.0,-39.32182,25.55923,-39.97718,25.55924
65,1300.0,-39.97718,25.55923,-39.97718,24.90388
66,1320.0,-40.63253,26.2146,-40.63254,25.55925
67,1340.0,-41.28789,26.86996,-41.28789,26.21461
68,1360.0,-41.28789,27.52532,-41.94324,26.86998
69,1380.0,-41.94324,27.52533,-41.94324,27.52534
70,1400.0,-43.25396,28.18069,-43.25396,27.52534
71,1420.0,-43.90931,28.1807,-43.90932,27.52534
72,1440.0,-44.56468,27.52533,-43.90933,25.55925
73,1460.0,-44.56469,26.2146,-44.5647,24.90388
74,1480.0,-45.22005,26.86996,-44.5647,26.21461
75,1500.0,-43.90934,26.86996,-43.90934,25.55925
76,1520.0,-43.25399,26.21459,-42.59863,24.90388
77,1540.0,-41.94326,25.55923,-41.94327,23.59316
78,1560.0,-41.28791,24.24851,-40.63255,22.93779
79,1580.0,-40.63256,22.93778,-40.63256,20.9717
80,1600.0,-40.63256,20.97169,-40.63257,19.66098
81,1620.0,-38.01111,21.62704,-35.38964,21.62706
82,1640.0,-36.045,22.28242,-36.70038,21.62707
83,1660.0,-36.04502,22.28242,-36.70038,21.62707
84,1680.0,-36.70038,21.62705,-36.70039,19.66097
85,1700.0,-36.70038,19.00559,-37.35576,18.35024
86,1720.0,-38.01112,18.35023,-38.01114,17.69487
87,1740.0,-38.6665,18.35022,-38.66651,16.38414
88,1760.0,-39.32188,17.69486,-39.32189,17.03951
89,1780.0,-39.97725,17.03951,-39.3219,17.03952
90,1800.0,-39.97726,18.35024,-40.63262,17.69489
