,T,LX,LY,RX,RY
0,0.0,0.0,0.0,0.0,0.0
1,20.0,0.65536,-2.62149,1.0000000003174e-05,-2.62149
2,40.0,0.65536,-4.58761,0.65536,-3.27687
3,60.0,1.31072,-4.58761,0.0,-3.27687
4,80.0,1.31071,-5.24298,0.65536,-3.27688
5,100.0,1.31072,-4.58762,0.65536,-3.27688
6,120.0,1.31071,-4.58762,0.65536,-3.27688
7,140.0,0.65535,-4.58762,-9.9999999960687e-06,-3.93225
8,160.0,0.65534,-5.24298,0.0,-3.93225
9,180.0,0.65535,-5.24299,-9.9999999960687e-06,-3.27688
10,200.0,-1.9999999999243e-05,-5.24299,-9.9999999960687e-06,-3.93225
11,220.0,0.65534,-5.89836,-9.9999999960687e-06,-3.93226
12,240.0,0.65534,-4.58764,-1.9999999999243e-05,-3.27689
13,260.0,0.65534,-5.243,-1.9999999999243e-05,-3.93226
14,280.0,0.65534,-5.24299,-1.9999999999243e-05,-2.62152
15,300.0,0.65533,-3.93227,-1.9999999999243e-05,-1.96616
16,320.0,0.65533,-3.93226,-1.9999999999243e-05,-1.31079
17,340.0,0.65533,-2.62153,-1.9999999999243e-05,-1.31078
18,360.0,0.65533,-1.96616,-1.9999999999243e-05,-4.9999999994554e-05
19,380.0,0.65534,-1.31079,-1.9999999999243e-05,-3.9999999998486e-05
20,400.0,0.65534,-1.31078,-1.9999999999243e-05,0.65532
21,420.0,0.65533,-1.31078,-0.65537999999999,-3.9999999998486e-05
22,440.0,-2.9999999995312e-05,-0.65542,-0.65537,0.65533
23,460.0,-1.9999999999243e-05,-0.65541,-0.65537,0.65532
24,480.0,-0.65538,0.65532,-9.9999999960687e-06,3.93219
25,500.0,-9.9999999960687e-06,2.62146,0.0,5.89829
26,520.0,-9.9999999960687e-06,3.9322,-0.65535999999999,5.8983
27,540.0,-0.65537,3.9322,-1.31072,5.89831
28,560.0,-0.65537,3.9322,-1.31072,5.89831
29,580.0,-1.31073,3.93221,-1.96608,5.89831
30,600.0,-1.31072,4.58757,-1.96607,6.55368
31,620.0,-45.21984,4.58758,-1.96607,6.55368
32,640.0,-1.96608,5.24293,-1.96607,7.20904
33,660.0,-1.31072,5.8983,-1.96607,7.20905
34,680.0,-1.31071,5.89831,-1.96606,7.86441
35,700.0,-1.96607,6.55368,-2.62142,7.86442
36,720.0,-1.96607,6.55367,-2.62142,7.86442
37,740.0,-1.96606,6.55368,1.31077,7.20905
38,760.0,3.93223,3.93221,2.62152,6.55368
39,780.0,2.62151,5.89832,2.62152,7.86443
40,800.0,3.27687,6.55369,2.62152,8.5198
41,820.0,3.27687,7.20905,2.62152,9.17516
42,840.0,2.62151,7.86442,1.96615,9.83052
43,860.0,2.62151,7.86442,1.3108,9.17516
44,880.0,1.96615,8.51979,1.31079,9.83053
45,900.0,1.96615,7.86443,1.3108,9.83053
46,920.0,1.96615,8.51979,1.3108,10.48589
47,940.0,1.96615,8.51979,1.96616,9.83053
48,960.0,2.62151,8.51979,1.96616,10.48589
49,980.0,2.62151,8.51979,1.96616,10.48589
50,1000.0,2.62151,8.51979,1.3108,9.83053
51,1020.0,1.96615,8.51978,0.65544000000001,10.48589
52,1040.0,1.31079,7.86442,0.65543,8.5198
53,1060.0,0.65543,7.20905,7.0000000000903e-05,8.51979
54,1080.0,0.65542,7.20905,7.0000000000903e-05,7.86443
55,1100.0,0.65542,6.55368,7.0000000000903e-05,7.86442
56,1120.0,5.9999999997729e-05,6.55368,-0.65529,7.86442
57,1140.0,5.9999999997729e-05,5.89831,-0.65529,7.20905
58,1160.0,5.9999999997729e-05,5.8983,7.0000000000903e-05,5.89832
59,1180.0,12.45196,5.8983,30.80216,7.20907
60,1200.0,36.70045,5.24297,36.04509,7.20907
61,1220.0,36.04508,6.55369,35.38973,7.86443
62,1240.0,36.04509,5.24296,35.38974,6.55369
63,1260.0,36.04509,4.58758,35.38973,5.24295
64,1280.0,36.04509,3.27684,35.38974,4.58758
65,1300.0,36.04509,3.27683,35.38974,4.58757
66,1320.0,36.04509,2.62146,35.38973,3.27684
67,1340.0,36.04508,1.96609,35.38974,3.27684
68,1360.0,35.38973,1.31072,35.38973,2.62146
69,1380.0,36.04508,1.31072,35.38973,2.62146
70,1400.0,36.04509,1.31071,34.73437,1.96609
71,1420.0,35.38973,-1.0000000003174e-05,34.73437,1.31073
72,1440.0,38.01117,-0.65539,42.59875,0.65536
73,1460.0,44.56485,-1.31074,43.25413,0.65537
74,1480.0,43.90948,-1.0000000003174e-05,43.25413,1.31073
75,1500.0,43.90948,-0.65537,43.25413,1.31072
76,1520.0,44.56484,-0.65538,43.25413,1.31072
77,1540.0,44.56485,-0.65539,43.25414,0.65536
78,1560.0,44.56485,-0.65538,43.90949,1.31072
79,1580.0,44.56484,-1.31075,43.25413,0.65535000000001
80,1600.0,44.56485,-1.31075,43.9095,0.65535000000001
81,1620.0,44.56485,-0.65539,43.25413,0.0
82,1640.0,43.90948,-1.96611,43.25414,-0.65537
83,1660.0,43.90949,-2.62148,43.25414,-0.65538
84,1680.0,43.90948,-2.62148,42.59878,-1.31074
85,1700.0,43.90948,-3.27685,43.25413,-1.96611
86,1720.0,43.90949,-3.27685,43.25413,-2.62148
87,1740.0,43.90949,-3.93222,43.25413,-2.62148
88,1760.0,43.90949,-4.58759,43.25413,-3.27686
89,1780.0,43.90949,-5.24296,43.9095,-3.93222
90,1800.0,44.56485,-5.24297,44.56485,-3.93223
91,1820.0,45.22021,-5.24297,46.53096,-3.27687
92,1840.0,50.46314,-4.58759,50.46317,-3.27684
93,1860.0,51.11852,-3.93222,50.46316,-2.6206
