,T,LX,LY,RX,RY
0,0.0,0.0,0.0,0.0,0.0
1,20.0,1.0000000003174e-05,0.65535,-0.65536,0.0
2,40.0,-0.65535,-9.9999999960687e-06,-0.65536,0.0
3,60.0,-0.65535,-9.9999999960687e-06,-0.65535,0.0
4,80.0,-0.65534,-1.9999999999243e-05,-1.31071,-1.0000000003174e-05
5,100.0,-0.65534,-0.65537,-1.31071,-0.65537
6,120.0,-1.3107,-0.65538,-1.31071,-0.65537
7,140.0,-1.96606,-0.65537,-1.96607,-0.65537
8,160.0,-2.62142,-1.31073,-1.96606,-1.31073
9,180.0,-2.62142,-1.31074,-2.62142,-1.31073
10,200.0,-2.62141,-1.31074,-2.62142,-1.31073
11,220.0,-2.62141,-1.31074,-2.62142,-1.9661
12,240.0,-2.62141,-1.9661,-2.62142,-1.9661
13,260.0,-2.62141,-1.9661,-3.27678,-1.9661
14,280.0,-2.62141,-1.96611,-3.27678,-2.62146
15,300.0,-2.62141,-1.96611,-3.27677,-1.9661
16,320.0,-3.93213,-2.62147,-3.27677,-2.62147
17,340.0,-3.27676,-2.62147,-3.93213,-2.62146
18,360.0,-3.27677,-2.62148,-3.93213,-1.96611
19,380.0,-3.93212,-1.96612,-3.27677,-1.96612
20,400.0,-3.27677,-2.62149,-3.27677,-3.27685
21,420.0,-3.27677,-3.27685,-3.27677,-3.93221
22,440.0,-2.62141,-4.58758,-2.62141,-4.58757
23,460.0,-2.6214,-4.58758,-2.62141,-4.58758
24,480.0,-2.62141,-5.24294,-2.62141,-5.24294
25,500.0,-2.6214,-5.24295,-3.27677,-5.24294
26,520.0,-3.27677,-5.24295,-3.27677,-5.24294
27,540.0,-2.62141,-5.24295,-2.62141,-5.24294
28,560.0,-2.62141,-5.24295,-2.62142,-5.8983
29,580.0,-2.62141,-5.24295,-2.62142,-5.24294
30,600.0,-2.62141,-5.24295,-2.62141,-5.8983
31,620.0,-2.6214,-5.24295,-2.62141,-5.24294
32,640.0,-2.6214,-5.24294,-1.96605,-5.24294
33,660.0,-2.6214,-4.58758,-1.96604,-4.58758
34,680.0,-1.96604,-4.58759,-1.96604,-5.24294
35,700.0,-1.31068,-4.58758,-1.96605,-4.58758
36,720.0,-1.31068,-4.58758,-1.96605,-4.58757
37,740.0,-1.96605,-5.24294,-1.96606,-5.24293
38,760.0,-1.96605,-5.8983,-1.96605,-5.24293
39,780.0,-2.62141,-5.8983,-2.62141,-7.20902
40,800.0,-2.62141,-7.8644,-3.27677,-8.51976
41,820.0,-1.96604,-9.17512,4.58765,-9.17509
42,840.0,8.51991,-9.1751,7.86454,-7.86437
43,860.0,8.51989,-6.55365,7.86454,-5.24291
44,880.0,7.86455,-5.24292,7.86454,-4.58755
45,900.0,7.86455,-5.24291,7.86454,-4.58755
46,920.0,7.86455,-4.58755,7.20918,-4.58754
47,940.0,7.20919,-4.58754,7.20919,-3.93217
48,960.0,7.20919,-3.93217,7.20919,-3.2768
49,980.0,7.2092,-2.62144,7.20919,-3.27679
50,1000.0,7.2092,-3.27679,7.2092,-2.62142
51,1020.0,7.86456,-1.96606,8.51991,-1.31069
52,1040.0,8.51992,3.0000000002417e-05,8.51991,2.9999999995312e-05
53,1060.0,8.51992,0.65539,8.51992,1.31076
54,1080.0,9.83064,1.31075,9.17528,1.96612
55,1100.0,10.486,2.62147,10.48599,1.31076
56,1120.0,11.79672,0.6554,15.72894,-1.96603
57,1140.0,17.0397,-1.96604,16.38433,-0.65531
58,1160.0,16.38433,-0.65531,15.72897,-0.6553
59,1180.0,15.07362,-1.31066,14.41824,-1.31065
60,1200.0,14.41827,-1.96602,13.7629,-1.96601
61,1220.0,13.10755,-1.96601,12.45219,-2.62137
62,1240.0,12.4522,-3.27673,12.4522,-2.62136
63,1260.0,11.79685,-2.62137,11.79684,-2.62136
64,1280.0,11.79686,-3.27672,11.79684,-3.27671
65,1300.0,11.14149,-3.27671,11.14149,-3.93206
66,1320.0,15.72908,-4.58741,19.00593,-5.24274
67,1340.0,18.35058,-4.58738,17.6952,-3.93142
68,1360.0,17.69521,-3.93201,17.03984,-3.27664
69,1380.0,16.38448,-3.932,15.72911,-3.93198
70,1400.0,15.72911,-3.93199,15.07374,-3.93197
71,1420.0,15.07375,-3.93197,14.41838,-3.93197
72,1440.0,15.07374,-4.58733,14.41838,-5.24268
73,1460.0,15.07375,-5.24268,15.07374,-5.24267
74,1480.0,15.72911,-5.24269,14.41839,-5.24268
75,1500.0,15.07376,-5.89805,19.00596,-7.20874
76,1520.0,24.24894,-7.86409,24.90431,-7.86407
77,1540.0,24.90432,-7.86408,24.90431,-7.20871
78,1560.0,24.90432,-7.20872,24.24896,-7.86406
79,1580.0,24.90433,-8.51943,24.90432,-9.17478
80,1600.0,24.24896,-9.83015,24.24896,-9.83014
81,1620.0,24.24896,-11.14088,23.5936,-11.14086
82,1640.0,24.24896,-11.79623,23.59359,-11.79622
83,1660.0,23.5936,-12.45158,23.5936,-12.45157
84,1680.0,23.5936,-13.10694,22.93824,-13.10693
85,1700.0,22.28288,-13.7623,22.28287,-13.76229
86,1720.0,22.28288,-14.41765,21.62751,-14.41765
87,1740.0,21.62752,-13.76229,21.62751,-14.41764
88,1760.0,21.62752,-14.41765,20.97215,-14.41764
89,1780.0,24.24899,-15.07299,30.14733,-17.69441
90,1800.0,32.76883,-18.34978,32.11346,-17.03906
91,1820.0,32.11346,-17.03906,31.45809,-17.03905
92,1840.0,31.45809,-17.69443,31.45808,-17.69442
93,1860.0,31.45809,-18.34978,30.80271,-18.34978
94,1880.0,31.45808,-19.00514,30.80271,-18.34977
95,1900.0,30.80272,-19.00513,30.80271,-18.34976
96,1920.0,30.80271,-17.6944,30.80271,-18.34976
97,1940.0,30.80271,-17.6944,30.80271,-17.6944
98,1960.0,30.80272,-17.69441,30.80271,-17.03904
99,1980.0,31.45808,-17.03905,35.39028,-17.03902
100,2000.0,36.04568,-17.03903,35.3903,-16.38366
101,2020.0,35.39031,-15.72831,35.3903,-15.72831
102,2040.0,35.39032,-15.72832,35.39031,-15.07295
103,2060.0,35.39032,-14.4176,35.39031,-13.76223
104,2080.0,36.04568,-13.76225,36.04569,-13.76224
105,2100.0,30.80274,-12.45155,17.03997,-11.14086
106,2120.0,11.79698,-11.1409,13.10771,-9.83017
107,2140.0,13.76309,-8.51945,13.76308,-7.86408
108,2160.0,14.41845,-7.86408,14.41844,-7.2087
109,2180.0,15.07381,-7.20871,14.41844,-7.86406
110,2200.0,14.41846,-7.20871,14.41845,-7.2087
111,2220.0,14.41846,-7.86407,14.41844,-8.51942
112,2240.0,14.41845,-9.17479,13.76308,-9.83014
113,2260.0,13.76309,-9.83015,13.76308,-10.4855
114,2280.0,13.76308,-11.14086,13.76306,-11.14086
115,2300.0,13.10771,-10.48551,13.1077,-11.14085
116,2320.0,13.10771,-11.14086,16.38454,-12.45156
117,2340.0,22.93825,-13.76227,24.90436,-13.76225
118,2360.0,26.2151,-13.10689,25.55972,-13.10688
119,2380.0,25.55973,-12.45153,24.90436,-11.79615
120,2400.0,25.55973,-11.79616,25.55972,-11.79616
121,2420.0,24.90437,-11.79617,24.90437,-11.79615
122,2440.0,24.90437,-11.1408,24.90437,-11.79615
123,2460.0,24.90437,-11.14081,24.24901,-11.14079
124,2480.0,24.24902,-10.48545,24.90439,-10.48544
125,2500.0,24.90439,-9.83009,24.90439,-9.83008
126,2520.0,24.90439,-9.83009,24.24903,-9.17472
127,2540.0,24.24903,-9.83009,24.24903,-9.83008
128,2560.0,24.9044,-9.83009,24.24903,-9.17472
129,2580.0,24.24903,-9.83009,24.90439,-9.83008
