,T,LX,LY,RX,RY
0,0.0,0.0,0.0,0.0,0.0
1,20.0,0.65536,-0.65535999999999,0.65536,-0.65536
2,40.0,0.65535000000001,-1.31072,0.65536,-0.65536
3,60.0,1.31072,-1.31072,1.31071,-1.31072
4,80.0,1.31072,-1.96608,1.96608,-1.31072
5,100.0,1.31072,-1.96607,1.96609,-1.96608
6,120.0,1.96608,-1.96608,1.96608,-1.31072
7,140.0,1.96608,-2.62143,1.96607,-1.31071
8,160.0,1.96606,-1.96607,1.96606,-1.96607
9,180.0,2.62141,-1.96607,2.62141,-1.31071
10,200.0,2.6214,-1.96607,2.62141,-1.31071
11,220.0,3.27677,-1.96607,2.62141,-1.31071
12,240.0,2.6214,-1.96607,2.6214,-1.31071
13,260.0,2.62139,-1.31071,2.6214,-0.65535000000001
14,280.0,2.62139,-1.3107,3.27676,1.9999999999243e-05
15,300.0,3.27675,-0.65534,3.27676,1.9999999999243e-05
16,320.0,3.27674,-0.65534,3.27674,1.9999999999243e-05
17,340.0,3.27674,-0.65534,3.27674,1.9999999999243e-05
18,360.0,3.27674,1.9999999999243e-05,2.62138,1.9999999999243e-05
19,380.0,3.27674,1.9999999999243e-05,5.24285,0.65537999999999
20,400.0,5.24285,3.0000000002417e-05,5.24285,0.65539
21,420.0,5.24284,3.0000000002417e-05,5.24285,1.31075
22,440.0,5.24284,0.65539,5.24284,1.31075
23,460.0,4.58748,0.65539,5.24284,0.65539
24,480.0,4.58748,0.65539,5.24284,1.31075
25,500.0,4.58748,0.65539,4.58749,1.96611
26,520.0,4.58748,1.31076,4.58749,1.96611
27,540.0,4.58748,1.31075,4.58749,1.96611
28,560.0,4.58748,1.31075,4.58748,1.96611
29,580.0,4.58748,1.31075,3.93213,1.31075
30,600.0,4.58748,1.31075,3.93213,1.96611
31,620.0,3.93212,0.65539,3.93213,1.96611
32,640.0,3.93212,0.65539,3.93213,1.96612
33,660.0,3.93212,1.31076,3.93213,1.96676
34,680.0,3.93212,1.96612,3.93213,2.62147
35,700.0,3.93212,2.62148,3.27677,3.27684
36,720.0,3.93212,3.27684,3.27676,3.9322
37,740.0,3.27675,4.58757,3.27675,5.89829
38,760.0,3.9321,5.8983,3.9321,8.51975
39,780.0,4.58744,10.48584,9.83041,14.41803
40,800.0,11.14115,16.38413,10.48577,20.97166
41,820.0,9.17502,23.59313,8.51966,26.86994
42,840.0,7.20892,28.83604,7.20891,31.4575
43,860.0,6.55354,32.11288,5.89818,34.07896
44,880.0,5.24281,34.07898,5.24281,34.07898
45,900.0,4.58745,33.42362,4.58746,34.73434
46,920.0,3.9321,33.42362,3.9321,34.07898
47,940.0,7.86433,32.76826,12.45198,30.80217
48,960.0,11.79663,29.49145,11.14126,30.80217
49,980.0,11.14127,29.49145,10.48591,29.49145
50,1000.0,10.48592,28.83609,10.48593,28.83609
51,1020.0,10.48593,28.18072,10.48593,28.18072
52,1040.0,11.14128,27.52536,11.79664,28.18072
53,1060.0,11.79663,27.52536,11.79664,28.18072
54,1080.0,12.45199,27.52536,11.79664,28.18072
55,1100.0,11.79663,27.52536,12.45199,27.52536
56,1120.0,12.45199,26.21464,11.79664,26.87
57,1140.0,11.14127,26.21464,11.79664,26.21464
58,1160.0,16.38421,25.55928,22.93798,25.55929
59,1180.0,23.59335,24.90394,22.28261,25.5593
60,1200.0,22.2826,24.90394,22.28261,25.5593
61,1220.0,22.28259,24.90394,22.93796,25.55931
62,1240.0,22.93795,25.55931,22.93795,26.87003
63,1260.0,22.28258,26.21467,22.93794,28.18076
64,1280.0,22.28257,28.83613,22.28256,30.80222
65,1300.0,21.62719,31.45759,21.62719,33.42368
66,1320.0,21.62718,34.07905,28.18086,36.04514
67,1340.0,33.42385,36.04516,33.42385,37.35589
68,1360.0,32.1131,37.3559,32.1131,38.01126
69,1380.0,32.11309,37.3559,32.11309,37.3559
70,1400.0,31.45773,36.04517,31.45774,36.04517
71,1420.0,31.45774,35.38981,30.80238,34.73445
72,1440.0,31.45774,34.07908,30.80239,34.73444
73,1460.0,30.80239,33.42372,30.8024,33.42372
74,1480.0,30.8024,32.76836,30.80241,32.76835
75,1500.0,30.8024,32.113,30.14704,33.42371
76,1520.0,30.8024,32.113,30.14705,32.76835
77,1540.0,30.14704,32.11299,30.80241,32.76835
78,1560.0,38.66684,32.113,45.87596,31.45765
79,1580.0,45.87595,30.80229,44.56521,32.11301
80,1600.0,45.22056,31.45765,44.56521,31.45764
