,T,LX,LY,RX,RY
0,0.0,0.0,0.0,0.0,0.0
1,20.0,1.0000000003174e-05,9.9999999960687e-06,0.0,0.0
2,40.0,1.0000000003174e-05,0.0,0.0,0.0
3,60.0,0.0,0.0,-1.0000000003174e-05,-0.65537
4,80.0,0.0,-0.65536,-1.9999999999243e-05,-0.65537
5,100.0,-9.9999999960687e-06,0.0,0.65534,0.0
6,120.0,0.65535000000001,0.0,0.65533,-1.0000000003174e-05
7,140.0,0.65535000000001,0.0,4.58755,0.0
8,160.0,5.89831,0.65537999999999,5.89829,0.65539
9,180.0,5.24294,1.31075,5.24292,0.65537999999999
10,200.0,5.8983,0.65539,5.89829,0.65537999999999
11,220.0,5.24294,0.65541,5.89829,9.9999999960687e-06
12,240.0,5.24294,9.9999999960687e-06,5.8983,9.9999999960687e-06
13,260.0,5.24294,-0.65535000000001,5.24293,-0.65535000000001
14,280.0,5.24295,-0.65535000000001,5.24293,-0.65535000000001
15,300.0,5.24295,-0.65536,5.24295,-0.65536
16,320.0,5.24296,-0.65536,5.89831,-0.65536
17,340.0,5.89832,-0.65536,5.89831,-0.65537
18,360.0,5.89832,-0.65536,5.24295,-0.65536
19,380.0,5.89833,-0.65536,5.89831,-0.65537
20,400.0,5.24297,-0.65536,5.89831,-0.65537
21,420.0,5.89833,-1.0000000003174e-05,5.89832,-0.65537
22,440.0,5.89833,-1.0000000003174e-05,5.89832,-0.65537
23,460.0,5.89833,-1.0000000003174e-05,6.55368,0.0
24,480.0,6.55369,0.65535999999999,6.55368,0.0
25,500.0,6.55369,0.65535999999999,7.20903,0.0
26,520.0,6.55368,0.65535999999999,7.20903,0.65535999999999
27,540.0,6.55368,0.65537,7.20903,0.65535999999999
28,560.0,7.20904,1.31073,7.20903,1.31073
29,580.0,7.8644,1.31074,7.86439,1.31074
30,600.0,7.8644,1.9661,7.86439,1.9661
31,620.0,8.51976,2.62147,8.51975,2.62147
32,640.0,8.51976,2.62147,8.51974,2.62147
33,660.0,9.17511,2.62148,9.1751,2.62147
34,680.0,9.17511,2.62148,9.17509,2.62147
35,700.0,10.48583,3.27684,19.661,3.27685
36,720.0,26.21473,3.93222,25.55936,3.93222
37,740.0,24.90399,4.58758,24.90397,3.93222
38,760.0,24.90399,4.58758,24.90397,3.93222
39,780.0,24.90398,4.58759,24.90397,4.58758
40,800.0,25.55935,4.58758,25.55933,4.58758
41,820.0,25.55934,4.58758,25.55933,4.58758
42,840.0,26.2147,5.24294,26.21469,5.24294
43,860.0,26.2147,4.58758,26.21469,4.58757
44,880.0,26.2147,5.24293,26.87005,5.24293
45,900.0,26.87007,5.24294,26.21469,4.58757
46,920.0,26.21726,4.58757,26.87006,4.58756
47,940.0,26.87008,4.58757,26.87006,4.58756
48,960.0,26.87008,5.24292,26.87007,4.58756
49,980.0,26.87008,4.58756,26.87006,4.58755
50,1000.0,26.87007,5.24292,26.21471,4.58756
51,1020.0,26.87007,5.24292,26.87007,4.58755
52,1040.0,26.87008,5.24291,26.87007,4.58755
53,1060.0,26.87009,5.24291,31.45767,4.58755
54,1080.0,34.07918,4.58755,33.4238,4.58755
55,1100.0,32.76845,5.24291,33.42379,5.24291
56,1120.0,33.4238,5.24291,33.4238,5.2429
57,1140.0,33.4238,5.24291,33.42379,5.2429
58,1160.0,32.76845,5.24291,32.76843,5.2429
59,1180.0,32.76845,5.2429,32.76844,4.58754
60,1200.0,32.1131,5.24291,32.11309,5.24291
61,1220.0,31.45775,4.58755,31.45774,5.24291
62,1240.0,31.45776,5.24291,30.8024,5.24291
63,1260.0,31.45777,5.89828,31.45776,5.24291
64,1280.0,32.11314,5.89827,38.66682,7.20901
65,1300.0,51.1189,8.51975,55.70651,8.51976
66,1320.0,55.05115,8.51977,54.39576,8.51976
67,1340.0,55.05112,8.51976,55.05111,7.86439
68,1360.0,55.70647,7.86439,56.36182,7.86438
69,1380.0,56.36182,7.20902,56.36181,7.20902
70,1400.0,56.36182,7.20903,57.01717,7.20902
71,1420.0,57.01718,7.20903,57.01717,7.20902
72,1440.0,56.36182,7.20902,57.67252,7.20901
73,1460.0,57.01718,7.20902,57.67252,7.20902
74,1480.0,57.01718,7.86438,56.3618,7.20902
75,1500.0,56.36181,7.86438,56.3618,7.20902
76,1520.0,56.36181,7.86438,56.3618,7.20901
77,1540.0,55.05109,7.86438,55.70645,7.86438
78,1560.0,55.05109,7.20902,55.05109,7.20902
79,1580.0,55.0511,7.20902,55.05108,7.20902
80,1600.0,54.39573,7.20902,54.39572,7.20901
81,1620.0,53.74037,7.20902,56.36182,7.20902
82,1640.0,66.1924,9.8305,74.71221,9.83052
83,1660.0,76.67835,9.17517,75.36759,9.83052
84,1680.0,75.36759,9.83053,75.36758,9.17517
85,1700.0,74.71222,8.51981,74.71221,9.17516
86,1720.0,74.71222,9.17517,75.36757,8.51981
87,1740.0,74.71221,9.17517,74.7122,9.17516
88,1760.0,74.71221,9.17517,75.3701,8.5198
89,1780.0,75.36756,9.17517,74.71219,8.51981
90,1800.0,74.7122,9.17517,74.71219,8.51981
91,1820.0,74.05684,9.17517,74.71219,9.17517
92,1840.0,74.05684,9.17517,74.05682,8.51981
93,1860.0,74.05683,9.17518,74.05683,8.51981
94,1880.0,73.40148,9.17517,73.40146,9.17517
95,1900.0,73.40147,9.83054,79.29978,9.83055
96,1920.0,89.78574,10.48593,95.02869,9.83057
97,1940.0,93.71797,10.48594,93.06258,9.83058
98,1960.0,92.40722,10.48594,92.40721,9.83058
99,1980.0,92.40722,10.48594,92.40721,10.48594
100,2000.0,92.40722,9.83057,92.4072,9.83057
101,2020.0,91.75185,10.48593,91.75183,9.83057
102,2040.0,91.09648,10.48593,91.75183,9.83056
103,2060.0,91.75184,9.83057,91.75183,9.83057
104,2080.0,91.75183,9.1752,91.75182,9.17519
105,2100.0,91.75182,9.17519,91.75181,9.17519
106,2120.0,92.40718,9.17519,91.75181,8.51982
107,2140.0,91.75182,8.51982,91.75181,8.51982
108,2160.0,91.75182,8.51982,92.40718,8.51982
109,2180.0,91.75183,8.51982,91.75182,7.86445
110,2200.0,91.75183,7.86446,91.75182,7.86445
111,2220.0,91.75183,7.86445,91.75183,7.86445
112,2240.0,91.09648,7.20909,91.75183,7.20909
113,2260.0,91.75185,7.86445,91.09648,7.20908
114,2280.0,91.09649,7.20909,91.75185,7.20908
115,2300.0,90.44114,7.20909,91.09649,7.20908
116,2320.0,90.44114,7.20908,90.44114,7.20908
117,2340.0,89.78579,7.20909,90.44114,6.55372
118,2360.0,90.44116,7.20908,89.78579,6.55372
119,2380.0,90.44117,6.55372,89.78579,6.55371
120,2400.0,91.09653,7.20908,104.2039,8.51983
121,2420.0,121.89886,10.48596,126.48646,9.83061
122,2440.0,125.17573,10.48597,123.86497,10.48598
123,2460.0,124.52034,10.48598,124.52032,10.48598
124,2480.0,124.52033,10.48599,124.52032,10.48598
125,2500.0,124.52033,11.14134,124.52031,10.48599
126,2520.0,124.52032,10.48599,124.52031,9.83062
127,2540.0,124.52032,10.48598,125.17566,10.48598
128,2560.0,124.52031,10.48598,124.52029,9.83062
129,2580.0,124.5203,9.83063,124.52029,9.83062
130,2600.0,124.5203,9.83062,124.52028,9.17526
131,2620.0,124.5203,9.83062,124.52028,9.83062
132,2640.0,124.52029,9.83063,124.52028,9.83063
133,2660.0,124.52029,9.83063,124.52028,9.83063
134,2680.0,124.52029,10.48599,123.86492,9.83063
135,2700.0,123.86494,10.48599,123.20957,9.83063
136,2720.0,122.55423,9.83063,122.55422,9.83063
137,2740.0,121.24351,9.83064,121.24351,9.17528
138,2760.0,120.58816,9.17528,119.93279,9.17529
139,2780.0,119.93281,9.17529,119.27744,9.17529
140,2800.0,119.27745,9.83066,118.62209,9.17529
141,2820.0,-51.11616,9.17529,91.75205,7.86455
142,2840.0,57.67289,6.55376,26.21512,7.20909
143,2860.0,5.24327,8.51982,2.62177,9.17518
144,2880.0,4.58788,9.1752,5.24324,8.51983
145,2900.0,5.24324,8.51983,5.89858,7.86447
146,2920.0,5.89859,7.86447,7.2093,7.86446
147,2940.0,7.2093,7.86446,7.20929,7.86446
148,2960.0,7.2093,7.86446,7.86463,7.86445
149,2980.0,7.86464,7.86445,7.86463,7.20908
150,3000.0,7.86464,7.20909,8.51998,6.55372
151,3020.0,8.51999,7.20907,8.51997,6.55371
152,3040.0,7.86461,7.20907,0.00016000000000105,9.17516
153,3060.0,-4.58743,10.48589,-4.58745,11.14125
154,3080.0,-3.93208,11.14126,-3.9321,11.14126
155,3100.0,-3.93209,11.14126,-3.9321,11.14125
156,3120.0,-3.27673,11.14125,-3.27673,11.14125
157,3140.0,-3.27673,10.48589,-3.27674,10.48588
158,3160.0,-3.93209,11.14125,-3.9321,10.48589
159,3180.0,-3.93209,10.48588,-3.9321,9.83052
160,3200.0,-3.93209,9.83052,-3.93211,9.83052
161,3220.0,-3.93209,9.83052,-3.9321,9.17515
162,3240.0,-3.93209,9.83052,-4.58746,9.83051
163,3260.0,-4.58745,9.83052,-4.58746,9.17515
164,3280.0,-5.24281,9.83052,-5.24282,9.17515
165,3300.0,-5.2428,9.17516,-5.89818,9.17516
166,3320.0,-5.89816,9.17516,-6.55353,9.17516
167,3340.0,-6.55352,9.17516,-6.55354,9.17516
168,3360.0,-6.55352,9.17516,-6.55353,9.17515
169,3380.0,-6.55352,9.17516,-7.20889,9.17516
170,3400.0,-1.31058,9.17516,13.10758,9.17518
171,3420.0,26.21504,9.17519,28.83654,8.51983
172,3440.0,27.52581,9.1752,26.87044,8.51983
173,3460.0,26.87044,8.51984,26.87043,8.51983
174,3480.0,26.87044,8.51984,26.87043,7.86448
175,3500.0,26.21508,8.51984,27.52579,7.86448
176,3520.0,26.87045,8.51984,26.87043,7.86447
177,3540.0,26.87045,8.51983,26.87044,7.86447
178,3560.0,26.87044,8.51984,26.87043,7.86448
179,3580.0,26.87045,8.51984,26.87043,8.51984
180,3600.0,26.87045,8.51984,26.87044,8.51984
181,3620.0,26.87045,8.51984,27.5258,7.86447
182,3640.0,26.87045,7.86447,27.5258,7.86447
183,3660.0,27.52581,7.86447,27.5258,7.86447
184,3680.0,27.52581,7.86447,27.52581,7.20911
185,3700.0,27.52582,7.86447,27.52581,7.86446
186,3720.0,27.52582,7.86446,27.52581,7.86446
187,3740.0,27.52582,8.51982,27.52581,7.86446
188,3760.0,28.18119,8.51982,27.52582,7.86446
189,3780.0,27.52582,7.86446,27.52582,7.86445
190,3800.0,27.52583,7.86446,32.11341,7.86446
191,3820.0,36.04565,7.86447,37.35638,7.2091
192,3840.0,36.70102,7.86447,36.04566,7.86447
193,3860.0,36.04567,7.20911,35.3903,7.20911
194,3880.0,35.39031,7.20911,35.3903,7.20911
195,3900.0,34.73495,6.55374,35.3903,5.89838
196,3920.0,34.07959,6.55374,34.73494,5.89838
197,3940.0,34.07959,5.89838,34.07958,5.89838
198,3960.0,34.07958,5.89837,33.42421,5.24301
199,3980.0,36.70106,6.55374,47.84237,7.20911
200,4000.0,55.70685,7.20914,57.67296,7.20914
201,4020.0,56.36224,7.20913,56.36222,7.20913
202,4040.0,56.36223,7.20913,56.36222,6.55377
203,4060.0,56.36223,6.55377,55.70686,5.89841
204,4080.0,55.70687,5.89841,56.36222,5.8984
205,4100.0,55.70687,5.89841,56.36476,5.8984
206,4120.0,55.70686,5.8984,56.36221,5.24303
207,4140.0,55.70686,5.24303,55.70685,5.24303
208,4160.0,55.70685,5.24303,55.70684,5.24303
209,4180.0,55.70685,5.24303,55.70684,5.24303
210,4200.0,55.70685,5.24303,55.05147,5.24303
211,4220.0,55.05148,4.58767,55.05148,4.58767
212,4240.0,55.05148,4.58766,55.05147,4.58766
213,4260.0,55.05148,4.58766,59.63904,4.58767
214,4280.0,72.09109,5.89842,80.61089,5.89844
215,4300.0,81.26628,5.89844,80.61088,5.24308
216,4320.0,79.95552,5.89844,80.61087,4.58771
217,4340.0,80.61088,3.93235,80.61086,3.93235
218,4360.0,80.61087,3.27698,80.61086,2.62162
219,4380.0,80.61342,2.62162,80.61085,1.96625
220,4400.0,80.61086,1.31089,80.61085,1.31088
221,4420.0,81.26622,1.31088,81.2662,0.65551
222,4440.0,81.92157,0.65551,81.92156,0.00014999999999787
223,4460.0,81.92157,0.0001399999999947,82.57692,0.00014999999999787
224,4480.0,82.57692,0.0001399999999947,82.57691,-0.65522000000001
225,4500.0,83.23227,-0.65523,91.75205,0.00014999999999787
226,4520.0,102.89334,0.65553,106.82555,0.65553
227,4540.0,104.85946,1.31088,104.85944,0.65552
228,4560.0,104.85945,0.65552,105.5148,0.00014999999999787
229,4580.0,-61.60199,0.00014999999999787,105.5148,-0.65521
230,4600.0,104.85946,-0.65522000000001,105.5148,-0.65521
231,4620.0,104.85946,-1.31058,104.85945,-1.31057
232,4640.0,104.2041,-1.31057,104.20409,-1.31058
233,4660.0,103.54875,-1.96593,104.2041,-1.96593
234,4680.0,104.20411,-1.31057,104.20411,-1.31058
235,4700.0,104.20412,-1.31057,103.54875,-1.31057
236,4720.0,103.54877,-1.31057,104.20412,-1.96594
