,T,LX,LY,RX,RY
0,0.0,0.0,0.0,0.0,0.0
1,20.0,0.0,0.65535999999999,0.0,0.65537
2,40.0,1.0000000003174e-05,9.9999999960687e-06,1.0000000003174e-05,0.0
3,60.0,1.0000000003174e-05,9.9999999960687e-06,-0.65542,1.31075
4,80.0,-1.31079,1.31077,-0.65542,1.96612
5,100.0,-0.6554,2.6215,-1.31077,3.93222
6,120.0,-1.31077,3.27686,-1.31077,3.27685
7,140.0,-1.31077,2.62149,-1.31077,3.27684
8,160.0,-1.31078,2.62148,-0.65541,3.27683
9,180.0,-1.31078,2.62148,-1.31078,3.27684
10,200.0,-1.31078,2.62147,-1.31078,2.62147
11,220.0,-1.31077,2.62148,-1.31078,3.27683
12,240.0,-1.96613,2.62147,-1.31078,3.27683
13,260.0,-1.31078,3.27683,-1.31078,3.27683
14,280.0,-1.96613,3.27684,-1.96614,3.9322
15,300.0,-1.96613,3.27684,-1.96614,3.9322
16,320.0,-1.96614,3.27683,-1.96614,3.93219
17,340.0,-1.96613,3.93219,-1.31078,3.93218
18,360.0,-1.96613,3.27683,-1.96613,41.94307
19,380.0,-1.96613,3.27683,-1.96613,3.27683
20,400.0,-1.96613,2.62146,-1.96614,3.27682
21,420.0,-1.96613,3.27683,-1.96613,3.93218
22,440.0,-1.96613,3.27682,-1.96613,3.27682
23,460.0,-1.96613,2.62146,-1.96613,3.27682
24,480.0,-1.96613,3.27682,-1.96613,3.93218
25,500.0,-2.62149,2.62146,-1.96613,2.62145
26,520.0,-1.96612,2.62146,-2.62148,2.62145
27,540.0,-2.62148,2.62146,-1.96612,2.62145
28,560.0,-1.9999999999243e-05,2.62148,1.31071,3.93222
29,580.0,0.65534,3.93222,-1.9999999999243e-05,5.24294
30,600.0,-9.9999999960687e-06,4.58759,-1.9999999999243e-05,5.8983
31,620.0,-9.9999999960687e-06,5.24294,-1.9999999999243e-05,5.24294
32,640.0,-0.65537999999999,5.24294,-1.9999999999243e-05,5.8983
33,660.0,-0.65537,5.24294,-0.65537,5.24293
34,680.0,-0.65537999999999,3.93221,-0.65537999999999,4.58757
35,700.0,-0.65537,3.93221,-0.65537999999999,4.58757
36,720.0,-0.65537,4.58757,-0.65537,3.9322
37,740.0,-0.65537999999999,3.93221,-0.65537999999999,3.9322
38,760.0,-0.65537,3.27684,-0.65537999999999,3.27683
39,780.0,-1.31073,2.62147,-0.65537999999999,3.27683
40,800.0,-0.65537999999999,1.96611,-0.65537999999999,1.9661
41,820.0,-0.65537999999999,1.9661,-1.9999999999243e-05,1.96609
42,840.0,-3.9999999998486e-05,0.65537,-0.65546,1.31072
43,860.0,1.31063,1.31073,2.62137,2.62145
44,880.0,2.62137,3.27681,3.93208,4.58752
45,900.0,4.58744,4.58752,5.24279,5.89823
46,920.0,5.89815,5.89823,5.89814,5.89822
47,940.0,5.24278,5.89822,3.2767,5.89821
48,960.0,2.62135,5.24284,1.31063,5.8989
49,980.0,0.65527,5.8982,0.65527,6.55356
50,1000.0,0.65527,5.8982,1.31062,5.89819
51,1020.0,1.31063,5.24284,1.96599,5.89819
52,1040.0,1.31063,5.8982,1.96599,6.55356
53,1060.0,1.31063,6.55357,-9.9999999996214e-05,7.20893
54,1080.0,-1.31082,7.20893,-1.31082,7.86429
55,1100.0,-1.96618,7.20893,-2.62155,7.20893
56,1120.0,-2.62155,5.89821,-1.96618,4.58748
57,1140.0,5.24291,3.93216,17.69487,3.93217
58,1160.0,17.6949,4.58752,13.76271,7.20896
59,1180.0,12.45199,7.86433,12.452,8.51968
60,1200.0,11.79664,7.86432,10.48593,7.86432
61,1220.0,10.48593,7.20896,9.83057,6.55359
62,1240.0,9.17522,5.24287,9.17522,5.24286
63,1260.0,8.51987,4.5875,9.17522,3.27677
64,1280.0,8.51987,2.62141,8.51987,2.6214
65,1300.0,8.51987,1.96604,7.8645,1.96604
66,1320.0,7.86451,0.65533,3.27694,-3.9999999998486e-05
67,1340.0,7.0000000000903e-05,-3.27685,1.96615,-2.6215
68,1360.0,2.62153,-2.62149,3.27689,-1.31077
69,1380.0,-47.18584,-1.96613,4.5876,-1.31077
70,1400.0,5.24296,-1.96613,5.24295,-0.65541
71,1420.0,5.24296,-1.31076,5.24295,-0.65541
72,1440.0,5.24296,-1.31076,4.5876,-0.6554
73,1460.0,3.93224,-0.6554,3.27689,-0.6554
74,1480.0,3.27689,-1.31075,2.62153,-1.31075
75,1500.0,1.31081,-2.62146,9.0000000000146e-05,-2.62147
76,1520.0,-1.31062,-3.27682,-1.96598,-2.62146
77,1540.0,-2.62134,-3.93218,-3.2767,-3.93218
78,1560.0,-3.93206,-3.93217,-3.93206,-4.58754
79,1580.0,-4.58741,-4.58753,-4.58742,-3.93217
80,1600.0,-5.24277,-5.2429,-5.24278,-5.2429
81,1620.0,2.62159,-6.55361,21.62718,-7.20893
82,1640.0,30.14692,-7.20892,26.21475,-5.89821
83,1660.0,22.93794,-4.58749,22.93794,-3.93212
84,1680.0,23.5933,-4.58748,22.28257,-3.93212
85,1700.0,22.28257,-3.93212,22.28256,-3.27675
86,1720.0,22.28256,-4.58747,21.6272,-3.93212
87,1740.0,21.62719,-4.58747,21.62719,-4.58748
88,1760.0,20.97183,-5.24284,20.97182,-4.58749
89,1780.0,20.97182,-5.24284,20.97182,-5.24284
90,1800.0,20.97181,-5.89821,20.97181,-5.24285
91,1820.0,20.31645,-5.89822,20.31644,-5.89822
92,1840.0,20.97181,-6.55358,20.9718,-6.55358
93,1860.0,20.31645,-7.20894,20.31644,-6.55359
94,1880.0,19.66108,-6.55359,19.66108,-6.55359
95,1900.0,17.69499,-7.20894,10.48596,-7.8643
96,1920.0,9.17524,-8.51966,10.48598,-7.8643
97,1940.0,10.48598,-7.20894,10.48598,-6.55358
98,1960.0,10.48598,-6.55357,10.48598,-5.89822
99,1980.0,10.48599,-5.89822,10.48598,-5.24286
100,2000.0,10.48599,-5.89822,11.14135,-5.89823
101,2020.0,11.14135,-5.89823,11.14135,-5.89824
102,2040.0,10.48599,-6.55359,10.48599,-5.89823
103,2060.0,9.83063,-6.55359,9.17526,-6.5536
104,2080.0,15.07353,-8.51967,31.45766,-9.175
105,2100.0,38.01132,-9.83035,38.66669,-8.51965
106,2120.0,36.04524,-8.51965,35.38988,-7.20892
107,2140.0,36.04525,-7.20892,36.04524,-7.20892
108,2160.0,35.38988,-7.20892,36.04524,-6.55356
109,2180.0,35.38988,-7.20892,35.38988,-6.55356
110,2200.0,35.38988,-6.55355,35.38988,-6.55356
111,2220.0,34.73452,-6.55355,34.73707,-5.8982
112,2240.0,34.73452,-6.55355,34.73452,-6.55355
113,2260.0,34.73453,-5.89819,34.73452,-5.89819
114,2280.0,34.73453,-5.89819,34.07917,-5.89819
115,2300.0,34.07917,-5.89818,33.42381,-5.24282
116,2320.0,33.42381,-5.24282,33.42381,-4.58746
117,2340.0,32.76845,-4.58745,32.76845,-3.9321
118,2360.0,32.76845,-5.24282,32.76845,-5.24282
119,2380.0,32.76845,-5.89817,32.76845,-5.24282
120,2400.0,32.76845,-5.89818,32.76845,-5.89817
121,2420.0,32.11309,-6.55353,32.76845,-5.89817
122,2440.0,32.11309,-6.55352,30.14699,-5.24278
123,2460.0,27.52552,-5.24275,28.83625,-5.24276
124,2480.0,28.83627,-5.24275,29.49163,-4.58739
125,2500.0,28.83627,-4.58739,29.49162,-4.58738
126,2520.0,29.49162,-4.58738,29.49162,-3.93202
127,2540.0,28.83626,-4.58738,29.49161,-4.58738
128,2560.0,28.83626,-5.24273,29.49161,-4.58737
129,2580.0,28.83625,-5.24273,28.83625,-5.24273
130,2600.0,28.83625,-5.89808,28.83625,-5.24272
131,2620.0,28.83626,-5.89808,28.18089,-6.55344
132,2640.0,28.1809,-7.20879,28.18089,-6.55344
133,2660.0,27.52553,-7.20879,27.52553,-7.20879
134,2680.0,27.52553,-7.86415,26.87016,-7.86415
