,T,LX,LY,RX,RY
0,0.0,0.0,0.0,0.0,0.0
1,20.0,-0.65535999999999,-0.65537,-0.65537,-9.9999999960687e-06
2,40.0,-0.65535999999999,0.0,-1.31073,-0.65535999999999
3,60.0,-0.65535,-0.65537,-0.65537,-0.65537
4,80.0,-1.31071,-1.31073,-1.31073,-0.65537
5,100.0,-1.31072,-0.65537,-1.31072,-0.65537
6,120.0,-1.31071,0.0,-1.31071,0.65537
7,140.0,-1.31069,1.31073,-1.96606,1.9661
8,160.0,-1.96604,2.62147,-1.96604,3.27684
9,180.0,-2.62139,3.27684,-1.96604,3.9322
10,200.0,-2.6214,3.9322,-1.96604,3.9322
11,220.0,-1.96602,3.9322,-1.96604,3.9322
12,240.0,-2.62139,3.9322,-1.96603,4.58757
13,260.0,-1.96602,4.58757,-1.31067,4.58757
14,280.0,-1.31067,3.27684,-7.86432,1.31082
15,300.0,-27.52521,3.27709,-41.94327,4.58796
16,320.0,-41.9434,3.9327,-41.94349,3.93271
17,340.0,-41.94346,5.24341,-41.94346,5.24342
18,360.0,-41.94346,5.24343,-41.94347,5.89878
19,380.0,-41.94346,5.89878,-41.94347,6.55414
20,400.0,-41.94346,5.89878,-41.94348,5.89878
21,420.0,-41.94347,5.24341,-41.94348,5.24341
22,440.0,-41.94347,5.24341,-41.94348,5.2434
23,460.0,-41.94347,5.2434,-41.94348,5.2434
24,480.0,-41.94347,4.58804,-41.94348,4.58804
25,500.0,-41.94347,3.93268,-41.94354,0.00055000000000405
26,520.0,-41.94362,-2.62088,-41.94366,-1.31016
27,540.0,-41.94364,-0.65479999999999,-41.94365,-0.65479
28,560.0,-41.94365,0.00057000000000329,-41.94366,1.3113
29,580.0,-41.94365,0.65594,-41.94366,1.3113
30,600.0,-41.94365,1.31131,-41.94366,1.96667
31,620.0,-41.94365,2.62203,-41.94366,2.62204
32,640.0,-41.94365,3.27741,-41.94366,3.93277
33,660.0,-41.94365,3.93277,-41.94366,4.58814
34,680.0,-41.94365,5.2435,-41.94366,5.89887
35,700.0,-41.94365,5.89886,-41.94366,7.20959
36,720.0,-41.94365,7.2096,-41.94366,8.52032
37,740.0,-41.94365,9.17569,-41.94366,10.48642
38,760.0,-41.94365,11.14178,-41.94366,12.45251
39,780.0,-41.94365,13.10788,-41.94366,14.41861
40,800.0,-41.94365,15.72934,-41.94366,17.04006
41,820.0,-41.94365,18.35078,-41.94366,19.6615
42,840.0,-41.94365,20.31686,-41.94366,21.62758
43,860.0,-41.94365,22.9383,-41.94366,24.90438
44,880.0,-41.94365,26.2151,-41.94366,28.83654
45,900.0,-41.94365,32.11334,-41.94366,36.0455
46,920.0,-41.94365,39.97766,-41.94366,43.90982
47,940.0,-41.94365,46.53126,-41.94366,46.53126
48,960.0,-41.94365,46.53126,-41.94366,46.53126
49,980.0,-41.94365,46.53126,-41.94366,46.53126
50,1000.0,-41.94365,46.53126,-41.94366,46.53126
51,1020.0,-41.94365,46.53126,-41.94366,46.53126
52,1040.0,-41.94365,46.53126,-41.94366,46.53126
53,1060.0,-41.94365,46.53126,-41.94366,46.53126
54,1080.0,-41.94365,46.53126,-41.94366,46.53126
55,1100.0,-41.94365,46.53126,-41.94366,46.53126
56,1120.0,-35.38994,46.53126,-24.24871,46.53126
57,1140.0,-23.59337,46.53126,-26.21492,46.53126
58,1160.0,-25.55962,46.53126,-25.55966,46.53126
59,1180.0,-25.55965,46.53126,-26.21502,46.53126
60,1200.0,-26.87037,46.53126,-27.52574,46.53126
61,1220.0,-27.52573,46.53126,-28.1811,46.53126
62,1240.0,-28.18109,46.53126,-28.83646,46.53126
63,1260.0,-28.83645,46.53126,-28.83646,46.53126
64,1280.0,-28.83645,46.53126,-28.83646,46.53126
65,1300.0,-29.49181,46.53126,-29.49182,46.53126
66,1320.0,-30.14717,46.53126,-30.14718,46.53126
67,1340.0,-30.80253,46.53126,-36.70078,46.53126
68,1360.0,-41.94365,46.53126,-41.94366,46.53126
69,1380.0,-41.94365,46.53126,-41.94366,46.53126
70,1400.0,-41.94365,46.53126,-41.94366,46.53126
71,1420.0,-41.94365,46.53126,-41.94366,46.53126
72,1440.0,-41.94365,46.53126,-41.94366,46.53126
73,1460.0,-41.94365,46.53126,-41.94366,46.53126
74,1480.0,-41.94365,46.53126,-41.94366,46.53126
75,1500.0,-41.94365,46.53126,-41.94366,46.53126
76,1520.0,-41.94365,46.53126,-41.94366,46.53126
77,1540.0,-41.94365,46.53126,-41.94366,46.53126
78,1560.0,-41.94365,46.53126,-41.94366,46.53126
79,1580.0,-41.94365,46.53126,-41.94366,46.53126
80,1600.0,-41.94365,46.53126,-41.94366,46.53126
81,1620.0,-41.94365,46.53126,-41.94366,46.53126
82,1640.0,-41.94365,46.53126,-41.94366,46.53126
83,1660.0,-41.94365,46.53126,-41.94366,46.53126
84,1680.0,-41.94365,46.53126,-41.94366,46.53126
85,1700.0,-41.94365,46.53126,-41.94366,46.53126
86,1720.0,-41.94365,46.53126,-41.94366,46.53126
87,1740.0,-41.94365,46.53126,-41.94366,46.53126
88,1760.0,-41.94365,46.53126,-41.94366,46.53126
89,1780.0,-41.94365,46.53126,-41.94366,46.53126
90,1800.0,-41.94365,46.53126,-41.94366,46.53126
91,1820.0,-41.94365,46.53126,-41.94366,46.53126
92,1840.0,-41.94365,46.53126,-41.94366,46.53126
93,1860.0,-41.94365,46.53126,-41.94366,46.53126
94,1880.0,-41.94365,46.53126,-41.94366,46.53126
95,1900.0,-41.94365,46.53126,-41.94366,46.53126
96,1920.0,-41.94365,46.53126,-41.94366,46.53126
97,1940.0,-41.94365,46.53126,-41.94366,46.53126
98,1960.0,-41.94365,46.53126,-41.94366,46.53126
99,1980.0,-41.94365,46.53126,-41.94366,46.53126
100,2000.0,-41.94365,46.53126,-41.94366,46.53126
101,2020.0,-41.94365,46.53126,-41.94366,46.53126
102,2040.0,-41.94365,46.53126,-41.94366,46.53126
103,2060.0,-41.94365,46.53126,-41.94366,46.53126
104,2080.0,-41.94365,46.53126,-41.94366,46.53126
105,2100.0,-41.94365,46.53126,-41.94366,46.53126
106,2120.0,-41.94365,46.53126,-41.94366,46.53126
107,2140.0,-41.94365,46.53126,-41.94366,46.53126
108,2160.0,-41.94365,46.53126,-41.94366,46.53126
109,2180.0,-40.63038,46.53126,-40.63294,46.53126
110,2200.0,-40.63293,46.53126,-40.63294,46.53126
111,2220.0,-40.63293,46.53126,-40.63294,46.53126
112,2240.0,-40.63293,46.53126,-40.63294,46.53126
113,2260.0,-40.63293,46.53126,-40.63294,46.53126
114,2280.0,-40.63293,46.53126,-40.63294,46.53126
115,2300.0,-40.63293,46.53126,-40.63294,46.53126
116,2320.0,-40.63293,46.53126,-40.63294,46.53126
117,2340.0,-40.63293,46.53126,-41.2883,46.53126
118,2360.0,-41.28829,46.53126,-41.2883,46.53126
119,2380.0,-41.28829,46.53126,-41.2883,46.53126
120,2400.0,-41.28829,46.53126,-40.63294,46.53126
121,2420.0,-40.63293,46.53126,-39.97758,46.53126
122,2440.0,-39.32221,46.53126,-38.66686,46.53126
123,2460.0,-38.66685,46.53126,-38.0115,46.53126
124,2480.0,-38.01149,46.53126,-37.35614,46.53126
125,2500.0,-36.70077,46.53126,-36.70078,46.53126
126,2520.0,-37.35613,46.53126,-36.70078,46.53126
127,2540.0,-36.70077,46.53126,-36.70078,46.53126
128,2560.0,-36.70077,46.53126,-36.70078,46.53126
129,2580.0,-36.70077,46.53126,-36.70078,46.53126
130,2600.0,-36.70077,46.53126,-36.70078,46.53126
131,2620.0,-36.70077,46.53126,-36.04542,46.53126
132,2640.0,-36.70077,46.53126,-36.04542,46.53126
133,2660.0,-36.04541,46.53126,-36.04542,46.53126
134,2680.0,-36.04541,46.53126,-36.04542,46.53126
135,2700.0,-36.04541,46.53126,-36.04542,46.53126
136,2720.0,-36.04541,46.53126,-36.04542,46.53126
137,2740.0,-36.04541,46.53126,-36.04542,46.53126
138,2760.0,-36.04541,46.53126,-36.70078,46.53126
139,2780.0,-36.70077,46.53126,-36.70078,46.53126
140,2800.0,-37.35613,46.53126,-37.35614,46.53126
141,2820.0,-37.35613,46.53126,-37.35614,46.53126
142,2840.0,-37.35613,46.53126,-38.0115,46.53126
143,2860.0,-38.01149,46.53126,-38.0115,46.53126
144,2880.0,-30.14717,46.53126,-22.93817,46.53126
145,2900.0,-23.59352,46.53126,-24.90426,46.53126
146,2920.0,-24.24889,46.53126,-24.90426,46.53126
147,2940.0,-24.90425,46.53126,-24.90426,46.53126
148,2960.0,-24.90425,46.53126,-24.90425,46.53126
149,2980.0,-24.24888,46.53126,-24.24889,46.53126
150,3000.0,-24.90424,46.53126,-24.90424,46.53126
151,3020.0,-24.90423,46.53126,-24.90424,46.53126
152,3040.0,-24.90423,46.53126,-24.90423,46.53126
153,3060.0,-24.24886,46.53126,-24.90423,46.53126
154,3080.0,-24.90421,46.53126,-24.90422,46.53126
