,T,LX,LY,RX,RY
0,0.0,0.0,0.0,0.0,0.0
1,20.0,-0.65536,0.65537,0.0,0.0
2,40.0,0.0,1.0000000003174e-05,0.65536,-0.65536
3,60.0,0.0,-0.65535999999999,0.0,-0.65536
4,80.0,-0.65536,0.0,-1.0000000003174e-05,0.0
5,100.0,-0.65537,0.65537,-0.65537,9.9999999960687e-06
6,120.0,-0.65537,1.0000000003174e-05,0.0,9.9999999960687e-06
7,140.0,-0.65536,0.65537,-1.0000000003174e-05,9.9999999960687e-06
8,160.0,-0.65537,0.65537,0.0,0.65537
9,180.0,-0.65537,0.65537,0.65534,0.65535999999999
10,200.0,0.65534,0.65537,0.65534,0.65537
11,220.0,0.65534,0.65538,1.3107,0.65537
12,240.0,0.65534,1.31074,1.3107,0.65537999999999
13,260.0,0.65534,1.31075,1.3107,1.31074
14,280.0,0.65534,1.96611,1.3107,1.9661
15,300.0,0.65534,1.96611,1.3107,1.96611
16,320.0,0.65534,2.62147,1.3107,1.96611
17,340.0,1.3107,3.27684,1.3107,2.62147
18,360.0,0.65534,3.27684,1.3107,2.62148
19,380.0,0.65533,3.27684,1.3107,3.27684
20,400.0,0.65533,3.9322,1.31069,3.27684
21,420.0,0.65534,3.93221,1.3107,3.27684
22,440.0,0.65534,3.93221,1.3107,3.9322
23,460.0,1.31069,4.58757,1.3107,4.58757
24,480.0,0.65533,4.58758,1.96605,4.58757
25,500.0,1.31069,5.24294,1.96606,5.24293
26,520.0,0.65533,5.24295,1.96605,5.24294
27,540.0,1.31069,5.24294,1.96606,5.8983
28,560.0,1.3107,6.55366,1.96606,5.8983
29,580.0,1.3107,6.55366,1.96605,6.55366
30,600.0,0.65534,7.86439,1.31069,7.20902
31,620.0,1.31069,7.86439,1.31069,7.20902
32,640.0,1.31069,7.86439,1.31069,8.51975
33,660.0,0.65533,8.51975,1.31069,8.51975
34,680.0,0.65533,8.51976,1.31068,8.51975
35,700.0,0.65532,8.51975,1.31068,8.51975
36,720.0,0.65532,9.17512,1.31068,8.51975
37,740.0,0.65533,9.17512,1.31069,9.17512
38,760.0,0.65533,9.83049,1.31068,9.83049
39,780.0,0.65532,9.83049,1.96604,9.83048
40,800.0,1.31068,9.83049,1.96604,9.83048
41,820.0,1.96603,9.83049,2.62139,9.83048
42,840.0,1.96603,9.83049,2.6214,9.83048
43,860.0,2.62139,10.48586,3.27676,9.83048
44,880.0,2.62139,10.48585,3.27676,9.83049
45,900.0,9.17511,8.51978,18.35032,7.20906
46,920.0,18.35034,7.86441,17.03958,9.17513
47,940.0,15.72884,10.48588,15.72885,10.48588
48,960.0,15.72885,10.48589,16.3842,11.14125
49,980.0,15.72884,11.14125,16.3842,10.48589
50,1000.0,15.72884,11.79662,16.3842,11.14125
51,1020.0,15.72884,11.14125,16.3842,11.14125
52,1040.0,15.72884,11.79661,16.3842,11.14125
53,1060.0,15.72884,11.79662,16.3842,11.79661
54,1080.0,15.72884,11.79662,16.3842,11.79661
55,1100.0,15.72884,12.45198,15.72884,11.79661
56,1120.0,15.72884,12.45198,15.72884,11.79662
57,1140.0,15.07348,12.45198,15.72884,11.79661
58,1160.0,11.79666,11.7966,4.5876,10.48585
59,1180.0,3.93222,11.14124,5.89833,11.79661
60,1200.0,4.58762,13.10734,5.24298,13.10734
61,1220.0,4.58762,13.76271,4.58762,13.76271
62,1240.0,3.93227,14.41807,4.58763,13.76271
63,1260.0,3.2769,14.41807,3.93227,13.76271
64,1280.0,3.27691,14.41808,3.2769,13.76271
65,1300.0,2.62154,14.41808,3.2769,13.10735
66,1320.0,2.62154,13.10736,2.62154,13.10735
67,1340.0,1.96618,13.10735,2.62154,12.45199
68,1360.0,1.96618,12.45199,2.62154,11.79662
69,1380.0,1.96618,12.45199,3.2769,11.79662
70,1400.0,1.96618,11.79662,3.2769,11.14125
71,1420.0,1.96617,11.79661,-3.93216,11.14122
72,1440.0,-6.55366,11.14124,-3.27681,11.14124
73,1460.0,-2.62142,11.79662,-1.96606,11.79662
74,1480.0,-2.62142,12.45199,-1.96606,12.45198
75,1500.0,-2.62142,12.45199,-1.3107,11.79662
76,1520.0,-1.96605,12.45199,-1.31069,11.79662
77,1540.0,-1.96606,12.45198,-1.3107,11.79662
78,1560.0,-1.96606,12.45198,-1.3107,11.79661
79,1580.0,-1.96606,12.45198,-1.31069,12.45198
80,1600.0,-1.96606,12.45198,-1.31069,11.79661
81,1620.0,-1.96605,12.45198,-0.65533,11.14125
82,1640.0,-1.31069,11.79661,-0.65533,11.14124
83,1660.0,3.9999999998486e-05,11.14125,7.20912,9.83053
84,1680.0,12.45213,9.17517,13.76287,9.83053
85,1700.0,11.14396,11.14128,11.79677,11.14128
86,1720.0,11.14142,12.45201,11.79678,12.45201
87,1740.0,11.14142,12.45201,11.14142,12.45201
88,1760.0,11.14142,12.45201,11.14142,12.452
