,T,LX,LY,RX,RY
0,0.0,0.0,0.0,0.0,0.0
1,20.0,0.0,0.0,0.0,0.65535
2,40.0,9.9999999960687e-06,0.0,-0.65535000000001,0.65536
3,60.0,9.9999999960687e-06,0.0,0.65535999999999,0.65536
4,80.0,-1.0000000003174e-05,0.0,0.65535,0.0
5,100.0,0.65535,-0.65536,0.65534,0.0
6,120.0,0.65534,1.0000000003174e-05,0.65534,0.65537
7,140.0,1.3107,0.65538,1.31069,0.65537
8,160.0,1.3107,0.65538,1.31069,1.31073
9,180.0,0.65534,1.9999999999243e-05,0.65533,0.65538
10,200.0,0.65533,0.65538,1.31069,0.65537
11,220.0,1.31069,1.9999999999243e-05,1.31068,0.65538
12,240.0,1.31068,3.0000000002417e-05,1.31068,0.65537
13,260.0,1.31068,1.9999999999243e-05,1.31068,0.65538
14,280.0,0.65532,1.9999999999243e-05,1.31068,0.65538
15,300.0,0.65532,1.9999999999243e-05,0.65532,0.65538
16,320.0,0.65532,1.9999999999243e-05,1.31068,0.65538
17,340.0,0.65532,1.9999999999243e-05,1.31068,0.65537
18,360.0,0.65532,1.0000000003174e-05,0.65532,0.65537
19,380.0,0.65532,1.0000000003174e-05,0.65530999999999,0.65536
20,400.0,-4.0000000005591e-05,1.0000000003174e-05,0.65530999999999,0.65536
21,420.0,0.65530999999999,0.0,0.65530999999999,-9.9999999960687e-06
22,440.0,0.65532,-1.31073,0.65530999999999,-9.9999999960687e-06
23,460.0,0.65532,-1.31072,0.65532,0.0
24,480.0,1.31069,0.0,0.65532,0.0
25,500.0,0.65533,-0.65536,1.31069,-0.65538
26,520.0,0.65533,-1.31074,0.65533,-1.31075
27,540.0,1.31069,-0.65538,0.65533,-0.65538
28,560.0,0.65534,-0.65537,0.65534,-1.9999999999243e-05
29,580.0,0.65534,0.0,0.65534,0.65535
30,600.0,0.65535,0.0,0.65535,0.65535
31,620.0,0.65535,-1.0000000003174e-05,0.65535,0.65535
32,640.0,0.65535999999999,-1.0000000003174e-05,1.31072,-2.9999999995312e-05
33,660.0,0.65535999999999,-1.9999999999243e-05,1.31072,0.65533
34,680.0,0.65537,-1.9999999999243e-05,1.31073,0.65533
35,700.0,1.31073,0.65533,1.31073,0.65533
