,T,LX,LY,RX,RY
0,0.0,0.0,0.0,0.0,0.0
1,20.0,-1.31072,1.0000000003174e-05,-0.65535,9.9999999960687e-06
2,40.0,-1.96607,1.9999999999243e-05,-0.65534,0.65538
3,60.0,-1.31071,0.65538,-0.65534,0.65538
4,80.0,-1.3107,0.65539,-1.3107,1.31075
5,100.0,-1.31071,0.65539,-1.96606,1.31074
6,120.0,-1.96607,0.65539,-1.31071,1.31074
7,140.0,-2.62143,1.31075,-1.96608,1.96612
8,160.0,-3.2768,1.31076,-1.96608,1.31075
9,180.0,-2.62144,0.65543,-1.96608,1.96611
10,200.0,-3.2768,0.65539,-2.62144,0.65539
11,220.0,-3.2768,1.31075,-2.62144,1.31075
12,240.0,-3.2768,1.31075,-2.62144,1.96611
13,260.0,-3.93216,1.31076,-3.2768,1.96611
14,280.0,-3.93216,1.31075,-3.2768,1.9661
15,300.0,-3.93216,1.31075,-3.93215,1.96611
16,320.0,-4.58752,1.31075,-3.93215,1.31074
17,340.0,-5.24287,0.65539,-5.24286,1.31074
18,360.0,-5.89822,0.65538,-5.89822,0.65538
19,380.0,-6.55357,1.9999999999243e-05,-5.89821,9.9999999960687e-06
20,400.0,-7.20892,-0.65535,-7.20891,9.9999999960687e-06
21,420.0,-7.86427,-1.31071,-7.2089,-0.65535
22,440.0,-8.51962,-0.65535,-8.51962,-0.65535
23,460.0,-9.17497,-1.31071,-8.51961,-0.65535
24,480.0,-9.83032,-0.65534,-9.17495,-0.65535
25,500.0,-10.48567,-0.65534,-10.48567,9.9999999960687e-06
26,520.0,-11.14103,1.9999999999243e-05,-11.14102,0.65538
27,540.0,-11.79638,0.65539,-11.79638,1.31074
28,560.0,-12.45173,1.31075,-13.10708,1.96611
29,580.0,-14.41781,1.96612,-14.4178,1.96612
30,600.0,-15.07316,1.96613,-15.07316,3.27685
31,620.0,-15.72851,2.62149,-16.38387,2.62149
32,640.0,-17.03923,2.6215,-16.38386,3.27685
33,660.0,-17.69458,3.93222,-17.03922,3.93222
34,680.0,-17.69458,3.93222,-17.03922,4.58758
35,700.0,-17.69458,4.58759,-17.69457,5.24295
36,720.0,-18.34993,5.24295,-18.34992,5.89831
37,740.0,-19.00528,5.89832,-18.34992,5.89832
38,760.0,-19.00528,6.55369,-18.34991,6.55369
39,780.0,-19.00527,7.20905,-18.34991,7.20905
40,800.0,-19.00527,6.55369,-19.00527,7.20905
41,820.0,-19.66063,7.20905,-19.00526,7.20904
42,840.0,-19.66063,6.55369,-19.66063,7.20904
43,860.0,-20.97135,6.55369,-20.97135,7.20904
44,880.0,-22.28207,6.55369,-22.28207,7.20904
45,900.0,-22.93743,6.55369,-22.93742,7.20904
46,920.0,-23.59278,7.20905,-23.59278,7.86441
47,940.0,-24.24814,7.86441,-24.24814,7.86441
48,960.0,-24.9035,7.20905,-24.9035,7.20904
49,980.0,-15.7284,8.51977,2.62188,8.51978
50,1000.0,-0.65488000000001,9.17516,-3.27634,11.14125
51,1020.0,-3.27636,13.10735,-2.621,14.41808
52,1040.0,-3.93173,15.72882,-3.27637,17.03954
53,1060.0,-4.5871,17.03955,-3.93174,17.69492
54,1080.0,-4.5871,18.35029,-4.5871,19.00564
55,1100.0,-5.24246,19.00565,-4.5871,19.00564
56,1120.0,-43.25333,19.00565,-4.58709,19.00565
57,1140.0,-4.58709,19.00565,-4.58709,19.66101
58,1160.0,-4.58709,19.00565,-3.93172,19.66101
59,1180.0,-3.93173,19.00566,-3.27636,19.66101
60,1200.0,-3.93172,19.66101,-3.27636,19.00565
61,1220.0,-3.27636,19.00565,-2.62099,19.00565
62,1240.0,-3.27636,18.35029,-2.621,19.00564
63,1260.0,-2.621,18.35029,-1.96564,19.00564
64,1280.0,-2.621,19.00565,-1.96563,19.00564
65,1300.0,-1.96563,18.35029,-1.96563,18.35028
66,1320.0,-1.31027,17.69492,-1.31026,17.69492
67,1340.0,-0.6549,17.69492,0.0004599999999968,17.69491
68,1360.0,-0.6549,17.03955,0.00046999999999997,17.03955
69,1380.0,-0.6549,17.03955,0.00046999999999997,17.03954
70,1400.0,0.0004599999999968,17.03955,7.86485,18.35026
71,1420.0,9.83099,17.69492,9.17563,18.35028
72,1440.0,8.52026,18.35028,9.83098,19.00563
73,1460.0,8.52026,18.35028,9.17562,18.35027
74,1480.0,8.52025,17.69491,9.17562,17.6949
75,1500.0,8.52025,17.03954,9.17562,17.03954
76,1520.0,8.52025,17.03954,9.17562,16.38417
77,1540.0,8.52025,16.38417,10.48634,16.38416
78,1560.0,25.5598,17.03953,33.42426,16.38419
79,1580.0,30.14746,17.03956,30.14744,18.35029
80,1600.0,30.8028,18.35029,31.45817,18.35029
81,1620.0,30.80281,18.3503,32.11353,18.35029
82,1640.0,32.11353,18.35029,33.42426,18.35028
83,1660.0,32.7689,18.35029,33.42427,19.00564
84,1680.0,32.7689,19.00563,33.42427,19.66099
85,1700.0,32.76892,19.66099,33.42429,19.66098
86,1720.0,32.76893,20.31634,32.76895,20.97169
87,1740.0,32.1136,20.31634,32.11361,20.9717
88,1760.0,31.45825,20.9717,32.11362,20.31633
89,1780.0,32.11362,20.31633,32.76899,19.66096
90,1800.0,32.11364,19.66096,32.769,19.66095
91,1820.0,32.769,19.00559,33.42437,19.00558
92,1840.0,33.42437,18.35023,34.07974,18.35021
93,1860.0,34.07974,17.69485,34.07975,17.69485
94,1880.0,34.07975,17.03949,34.73511,17.69484
95,1900.0,34.07975,17.03948,34.73511,17.03948
96,1920.0,34.07975,16.38412,34.73511,16.38411
97,1940.0,28.83681,15.72876,24.9046,16.38411
98,1960.0,24.24925,16.38412,25.55998,17.03948
99,1980.0,24.90461,17.69486,25.55997,17.69485
100,2000.0,24.90461,17.69486,25.55997,18.35021
101,2020.0,24.90716,17.69486,26.21534,18.35021
102,2040.0,26.21534,18.35021,26.21534,19.00558
103,2060.0,26.21534,19.00559,27.52607,19.00558
104,2080.0,27.52607,19.00559,28.83679,19.00559
105,2100.0,28.83679,19.00559,29.49216,19.66095
106,2120.0,29.49215,19.66096,30.14751,20.31632
107,2140.0,30.14751,20.31632,30.14752,20.97168
108,2160.0,30.14751,20.97169,30.80288,20.97168
109,2180.0,30.14751,20.97169,30.14751,20.97169
110,2200.0,29.49214,20.97169,30.14751,21.62705
111,2220.0,29.49214,21.62706,29.49214,21.62706
112,2240.0,28.83678,21.62706,30.14749,21.62706
