,T,LX,LY,RX,RY
0,0.0,0.0,0.0,0.0,0.0
1,20.0,0.65537,2.62147,1.0000000003174e-05,0.65536
2,40.0,0.65538,2.62148,2.0000000006348e-05,2.62146
3,60.0,1.31074,3.27684,0.65537,1.31073
4,80.0,1.31072,2.62147,0.65535000000001,1.31072
5,100.0,1.96609,3.27684,2.62145,1.31075
6,120.0,4.58754,1.96614,3.93217,1.31075
7,140.0,5.24291,1.96614,4.58755,0.6554
8,160.0,5.89828,2.6215,7.20899,1.9999999999243e-05
9,180.0,9.17509,1.31078,9.1751,3.9999999998486e-05
10,200.0,11.14119,0.65544,10.48583,0.65541
11,220.0,11.79656,1.3108,11.14121,0.65542
12,240.0,11.79658,3.2769,9.83048,1.31081
13,260.0,10.48586,3.27693,10.48586,3.93226
14,280.0,11.14124,7.2091,11.14123,5.89835
15,300.0,12.45196,8.51982,12.45197,7.86444
16,320.0,13.7627,11.14127,13.10735,10.48588
17,340.0,15.07343,11.14127,14.41807,10.48588
18,360.0,14.41809,13.76271,13.10738,14.41804
19,380.0,14.41811,15.7288,14.41811,15.07341
20,400.0,14.41812,17.69487,13.76275,17.03948
21,420.0,14.41812,19.00559,12.45204,17.69485
22,440.0,13.76276,20.31631,12.45204,18.3502
23,460.0,13.10741,20.3163,12.45204,20.31628
24,480.0,13.10741,21.62702,11.79669,20.31627
25,500.0,12.45206,22.28238,11.14133,20.97164
26,520.0,9.8306,23.59311,9.17524,23.59309
27,540.0,9.83063,26.21457,9.17526,24.90381
28,560.0,9.83062,25.55919,9.17526,25.55917
29,580.0,9.83064,27.52528,8.51992,26.86989
30,600.0,9.83064,28.836,9.17528,26.86988
31,620.0,10.48601,28.83599,9.17529,28.18061
32,640.0,10.48601,29.49136,9.83063,27.52524
33,660.0,10.486,28.83599,9.17528,28.18061
34,680.0,9.17529,30.14672,8.51994,28.83597
35,700.0,9.17531,30.14672,8.51994,28.83597
36,720.0,8.51995,30.80208,7.20923,29.49134
37,740.0,7.86461,30.80209,7.8646,28.18061
38,760.0,9.83069,29.49136,8.51997,28.18061
39,780.0,8.51998,30.14672,9.17535,27.52526
40,800.0,9.83072,28.836,8.51998,27.52523
41,820.0,9.1779,29.49134,7.86464,28.1806
42,840.0,9.83074,28.83598,9.17538,25.55914
43,860.0,10.4861,26.21452,10.48611,24.24841
44,880.0,12.45219,24.24844,14.41826,20.97159
45,900.0,24.90409,23.59302,28.83629,23.59297
46,920.0,28.83629,24.90372,26.21486,23.59299
47,940.0,26.21489,25.55911,25.55953,23.593
48,960.0,26.21491,24.90375,25.55955,23.59299
49,980.0,26.21493,24.24839,24.90421,22.28227
50,1000.0,26.21494,23.59301,25.55958,21.6269
51,1020.0,26.87031,22.93764,26.87031,20.97153
52,1040.0,27.52568,22.28227,26.87031,20.97151
53,1060.0,27.52568,21.6269,26.21495,20.31615
54,1080.0,27.52568,20.97153,26.8703,19.66078
55,1100.0,28.18103,20.31616,26.8703,19.00541
56,1120.0,27.52567,20.31616,26.87029,19.0054
57,1140.0,27.52565,20.31614,26.87028,19.0054
58,1160.0,27.52564,20.31614,26.87028,19.00539
59,1180.0,26.87028,20.31614,26.21491,19.00538
60,1200.0,26.21491,19.66077,25.55955,18.35001
61,1220.0,26.87028,20.31612,26.21491,17.69464
62,1240.0,27.52563,19.00538,26.87026,17.03926
63,1260.0,27.52562,19.00536,26.21489,17.03926
64,1280.0,27.52562,18.35,26.21488,17.03925
65,1300.0,27.52561,19.00536,26.87025,17.69462
66,1320.0,27.52563,19.00537,26.87026,17.69461
67,1340.0,28.18099,19.66072,27.52562,18.34996
68,1360.0,28.18099,20.31607,26.87027,18.34995
69,1380.0,26.87027,19.66069,29.49173,19.66066
70,1400.0,31.45784,22.28214,30.14713,21.62676
71,1420.0,31.45786,23.59288,30.80251,22.28215
72,1440.0,31.45787,23.59289,30.80251,22.28214
73,1460.0,30.80252,24.24825,30.80252,22.28214
74,1480.0,31.45789,23.59288,30.80253,22.93749
75,1500.0,31.45791,24.24824,30.14718,22.28212
76,1520.0,31.45791,22.9375,30.80255,21.62676
77,1540.0,31.45792,22.9375,30.80255,20.97137
78,1560.0,31.45791,22.28211,30.80255,21.62673
79,1580.0,31.45791,22.28211,30.14718,21.6267
80,1600.0,32.11326,24.24814,38.01154,24.24807
81,1620.0,39.32227,25.55881,38.66691,24.90345
82,1640.0,39.32229,27.52495,38.66693,26.86958
83,1660.0,39.32229,28.83569,38.01156,28.1803
84,1680.0,38.66693,28.83569,38.01157,27.52494
85,1700.0,38.66693,28.83569,37.3562,27.52495
86,1720.0,38.66694,28.8357,38.01158,27.52496
87,1740.0,38.66694,28.8357,38.01157,27.52496
88,1760.0,38.66694,28.83571,37.35622,27.52496
89,1780.0,38.01159,28.8357,-53.08346,28.18032
90,1800.0,40.63305,30.80179,38.66698,30.14641
91,1820.0,38.66699,32.11253,38.01163,30.80179
92,1840.0,39.32235,32.11254,38.01163,31.45714
93,1860.0,38.667,32.7679,37.35629,31.45716
94,1880.0,38.01165,32.76791,37.35628,31.45716
95,1900.0,38.01165,33.42398,36.70093,31.45716
96,1920.0,36.70094,33.42328,36.04558,32.11253
97,1940.0,36.70095,32.76792,36.04558,31.45716
98,1960.0,37.35631,32.76791,36.04559,32.11253
99,1980.0,36.04561,34.07865,34.73488,32.76791
100,2000.0,35.39024,34.07865,34.07952,32.76791
101,2020.0,35.39026,34.07865,34.07953,32.11254
102,2040.0,34.7349,34.07866,34.07953,32.11255
103,2060.0,34.73489,33.4233,34.07953,32.11255
104,2080.0,35.39024,32.76793,35.39023,31.45718
105,2100.0,35.39023,32.11256,35.39023,30.14645
106,2120.0,36.04559,31.4572,35.39024,30.80183
107,2140.0,36.70096,32.11258,35.39024,30.80182
108,2160.0,36.70095,31.4572,36.04559,30.14645
109,2180.0,36.70096,31.4572,36.04559,29.49109
110,2200.0,36.70095,30.80183,36.04558,28.83571
111,2220.0,37.35631,30.14646,37.35631,30.14643
112,2240.0,43.25461,33.42325,43.25462,32.11251
113,2260.0,43.91,34.07864,42.59929,32.76791
114,2280.0,43.91002,33.4233,42.5993,32.11255
115,2300.0,43.91002,34.07867,43.25466,32.11256
116,2320.0,43.25467,33.42331,43.25467,32.11256
