,T,LX,LY,RX,RY
0,0.0,0.0,0.0,0.0,0.0
1,20.0,1.96609,-0.65536,4.58757,-0.65537
2,40.0,5.8983,0.65536,5.24293,1.31072
3,60.0,5.8983,1.96608,5.24294,1.96608
4,80.0,5.8983,1.96609,5.24294,1.96608
5,100.0,5.24294,1.96608,5.24294,1.96608
6,120.0,5.24294,2.62145,5.24294,1.96608
7,140.0,5.24294,1.96609,5.24294,1.96608
8,160.0,5.24294,2.62145,4.58758,2.62144
9,180.0,5.24294,3.27681,5.24294,2.62144
10,200.0,5.24294,3.27681,4.58758,3.2768
11,220.0,5.24294,3.93217,5.24295,3.93217
12,240.0,5.24295,3.93218,4.58759,4.58753
13,260.0,5.24295,5.2429,4.58759,5.89826
14,280.0,5.24295,6.55363,5.24295,6.55362
15,300.0,5.24296,6.55363,5.24296,7.20899
16,320.0,5.24296,7.86436,5.24296,7.86435
17,340.0,5.89832,9.17508,5.24296,9.17508
18,360.0,5.24296,9.83045,5.24297,9.83045
19,380.0,5.24297,10.48581,5.24297,9.83044
20,400.0,5.89833,10.48581,5.24297,10.48581
21,420.0,5.89834,11.14117,5.24298,11.14117
22,440.0,5.89834,11.14118,5.24299,11.14117
23,460.0,5.89835,11.79654,5.24298,11.14117
24,480.0,5.89835,11.14117,6.55372,11.79653
25,500.0,14.41813,14.41798,18.35035,16.38406
26,520.0,19.00571,17.03943,17.69499,17.69479
27,540.0,19.00572,17.69479,18.35036,17.69478
28,560.0,19.00572,17.69479,19.00572,17.03943
29,580.0,19.00572,17.03943,18.35036,16.38406
30,600.0,19.66108,16.38406,19.00572,16.38406
31,620.0,19.00572,17.03943,19.00572,16.38406
32,640.0,19.66108,16.38406,19.00572,15.07333
33,660.0,19.66108,15.7287,19.66108,13.76261
34,680.0,19.66107,13.10724,19.0057,11.79652
35,700.0,11.1413,9.83045,-1.31067,8.51973
36,720.0,-3.27681,10.48582,-1.96607,11.79655
37,740.0,-1.3107,11.79656,-1.31071,11.14119
38,760.0,-0.65535,11.14119,-0.65535000000001,10.48582
39,780.0,-0.65536,9.17509,-0.65536,7.86436
40,800.0,0.0,5.89827,-0.65537,3.93217
41,820.0,-1.0000000003174e-05,3.93217,-0.65538,2.62144
42,840.0,-1.9999999999243e-05,2.62144,-1.31074,1.96607
43,860.0,-1.31075,1.96607,-1.31076,1.3107
44,880.0,-1.31075,1.31071,-1.96612,0.65534
45,900.0,-1.31076,1.31071,-1.96613,0.65534
46,920.0,3.27679,1.3107,11.14122,1.31069
47,940.0,13.10733,2.62141,12.45196,3.27677
48,960.0,12.45195,3.27678,11.79659,2.62141
49,980.0,12.45195,2.62141,12.45195,2.6214
50,1000.0,12.45195,3.27677,11.79659,2.6214
51,1020.0,12.45195,3.27677,11.79658,3.27676
52,1040.0,12.45194,3.93213,12.45194,3.93212
53,1060.0,12.45449,3.93212,11.79658,3.93212
54,1080.0,15.0734,4.58748,23.59318,5.24283
55,1100.0,29.4915,7.2089,28.83614,7.2089
56,1120.0,28.18077,7.86427,28.83613,7.2089
57,1140.0,28.83613,7.2089,28.83613,6.55354
58,1160.0,28.83613,7.86426,29.49148,7.2089
59,1180.0,29.49149,7.2089,29.49149,7.86426
60,1200.0,30.14685,7.86426,29.4915,7.20889
61,1220.0,30.14686,7.2089,29.4915,6.55353
62,1240.0,30.14686,7.20889,30.14686,7.20889
63,1260.0,30.14686,7.20889,30.80223,7.20889
64,1280.0,38.66664,8.51961,42.59888,9.83032
65,1300.0,42.59888,9.83032,42.59887,10.48568
66,1320.0,42.59888,10.48568,42.59888,10.48567
67,1340.0,43.25424,10.48568,42.59888,10.48568
68,1360.0,43.25425,11.14104,42.59889,11.14103
69,1380.0,43.25425,10.48567,43.25425,10.48567
70,1400.0,43.25426,11.79639,43.25425,11.14103
71,1420.0,43.90962,11.7964,43.25426,11.7964
72,1440.0,43.25426,11.14104,43.25426,10.48567
73,1460.0,46.5311,12.45176,52.42943,14.41784
74,1480.0,53.08482,15.0732,52.42944,15.07321
75,1500.0,52.42944,15.72857,52.42944,15.0732
76,1520.0,52.42945,15.72857,51.77408,15.0732
77,1540.0,52.42944,15.07321,52.42944,13.76248
78,1560.0,52.42944,13.10712,51.77408,13.10711
79,1580.0,52.42944,13.10711,52.42944,12.45175
80,1600.0,53.08479,13.10711,52.42942,12.45175
81,1620.0,53.08479,13.76247,52.42943,13.76247
82,1640.0,53.08479,15.0732,52.42943,14.41784
83,1660.0,53.08479,14.41784,52.42942,14.41784
84,1680.0,53.08478,14.41784,52.42942,14.41784
85,1700.0,52.42941,14.41785,51.77405,13.76249
86,1720.0,52.42941,14.41786,57.01698,15.72858
87,1740.0,64.88144,17.0393,66.84756,17.0393
88,1760.0,66.19219,18.35004,65.53682,19.00539
89,1780.0,66.19219,19.66076,65.53682,19.66076
90,1800.0,65.53683,19.66077,64.88146,19.0054
91,1820.0,64.88146,19.66077,64.2261,19.66077
92,1840.0,64.2261,19.66078,63.57074,19.66078
93,1860.0,64.2261,20.31615,63.57074,20.31615
94,1880.0,64.2261,20.31615,63.57074,20.31615
95,1900.0,-40.63149,20.31615,63.57074,19.66078
96,1920.0,58.32781,18.35007,44.56506,17.03935
97,1940.0,38.66672,18.35008,38.66672,20.31618
98,1960.0,40.63282,22.93764,39.97746,23.593
99,1980.0,40.63282,25.55909,39.97746,26.21445
100,2000.0,40.63282,26.86982,40.63282,27.52518
101,2020.0,40.63282,28.18055,39.97746,28.83591
102,2040.0,40.63282,29.49128,39.97746,29.49127
103,2060.0,40.63282,30.14664,39.97746,30.14663
104,2080.0,40.63282,30.802,39.97746,30.802
105,2100.0,41.28819,30.80201,40.63282,30.802
106,2120.0,41.28818,30.802,40.63282,30.802
107,2140.0,40.63282,31.45737,40.63283,30.80201
108,2160.0,41.28818,31.45737,40.63282,31.45737
109,2180.0,40.63282,31.45737,40.63282,30.802
110,2200.0,40.63282,30.14665,39.97746,30.14664
111,2220.0,40.63282,30.14664,39.97745,29.49128
112,2240.0,40.63282,29.49128,39.97746,29.49128
113,2260.0,40.63282,29.49128,40.63281,29.49127
114,2280.0,40.63282,28.83592,40.63282,28.83591
115,2300.0,41.28818,28.83591,40.63282,28.18055
116,2320.0,41.28818,28.18055,41.28818,27.52518
117,2340.0,41.28818,27.52519,40.63281,26.86982
118,2360.0,41.28818,26.86982,40.63281,26.21446
119,2380.0,41.28818,26.21446,40.63281,24.90372
120,2400.0,40.63281,24.90373,41.28817,24.24836
121,2420.0,41.28817,24.24837,40.63281,23.59299
122,2440.0,41.28817,22.93763,41.28817,22.28227
123,2460.0,40.63281,21.62691,44.565,21.6269
124,2480.0,55.70627,22.28226,64.22612,21.62688
125,2500.0,63.57075,22.9376,60.94928,23.59298
126,2520.0,61.60464,23.59298,61.60464,22.93761
127,2540.0,61.60463,23.59296,61.60463,22.9376
128,2560.0,61.60463,23.59297,61.60462,22.93759
129,2580.0,62.25999,22.9376,61.60462,22.28223
130,2600.0,62.25998,22.28223,61.60461,22.28223
131,2620.0,62.25998,22.28223,61.60461,21.62686
132,2640.0,61.60461,21.62686,61.60461,20.9715
133,2660.0,61.60461,21.62687,60.94925,21.62686
134,2680.0,61.60461,22.28223,60.94925,21.62687
135,2700.0,61.60461,21.62687,60.94924,21.62686
136,2720.0,61.60461,21.62686,60.94924,21.62686
137,2740.0,61.60461,22.28223,60.94924,22.28222
138,2760.0,61.60461,22.28223,60.94925,22.28222
139,2780.0,61.60461,22.28223,60.94924,21.62686
140,2800.0,61.60461,21.62686,60.94924,20.9715
141,2820.0,61.60461,20.97149,60.94924,20.97149
142,2840.0,61.60461,20.31613,60.94924,20.97149
143,2860.0,61.6046,20.31613,61.6046,20.31612
144,2880.0,62.25996,19.66077,61.6046,19.66076
145,2900.0,61.6046,19.00541,61.6046,18.35004
146,2920.0,60.94923,20.31614,58.32776,22.93759
147,2940.0,58.32776,23.59295,58.32776,22.28223
148,2960.0,58.98313,22.93759,58.98312,22.28223
149,2980.0,59.63849,22.28223,58.98313,21.62686
150,3000.0,59.63849,22.28223,58.98312,22.28222
151,3020.0,59.6385,21.62686,59.63849,20.9715
152,3040.0,59.63849,21.62686,58.98313,21.62686
153,3060.0,59.63849,21.62686,58.98313,20.97149
154,3080.0,59.63849,21.62686,58.98313,21.62685
155,3100.0,59.63849,22.28222,58.98313,22.28222
156,3120.0,58.98313,22.28222,58.98312,21.62686
157,3140.0,59.63849,22.28222,58.98313,21.62686
158,3160.0,59.63849,22.28222,59.63849,21.62686
159,3180.0,59.63849,22.28222,59.63849,21.62686
160,3200.0,60.29385,21.62686,59.63848,20.9715
161,3220.0,60.29384,21.62686,59.63848,20.97149
162,3240.0,60.29384,20.9715,59.63848,20.9715
163,3260.0,60.29384,20.9715,59.63847,20.31613
164,3280.0,59.63847,20.31614,59.63847,20.31613
165,3300.0,60.29384,20.31614,59.63847,20.31613
166,3320.0,59.63847,20.31614,59.63847,19.00541
167,3340.0,59.63848,19.00541,59.63847,19.0054
168,3360.0,62.25994,19.66077,64.22607,19.66077
169,3380.0,64.88143,20.9715,63.5707,20.9715
170,3400.0,64.22607,20.9715,64.22606,20.97149
171,3420.0,64.22607,20.31614,64.22606,20.31613
172,3440.0,64.22606,20.31614,64.22606,19.66077
173,3460.0,64.22606,19.66077,64.22606,19.0054
174,3480.0,64.22606,19.00541,63.57069,19.0054
175,3500.0,64.22606,19.0054,63.5707,19.0054
176,3520.0,64.22606,19.66077,63.5707,19.0054
177,3540.0,64.22606,19.0054,64.22606,18.35003
178,3560.0,64.88142,18.35004,63.5707,18.35003
179,3580.0,59.63849,18.35003,57.67238,18.35003
180,3600.0,58.98311,19.66076,58.32776,20.31612
181,3620.0,58.98312,20.97149,58.32776,20.97148
182,3640.0,58.98312,20.97148,58.32776,20.97149
183,3660.0,58.32776,22.28221,58.32776,22.28221
184,3680.0,58.98312,22.93758,58.32776,22.28221
185,3700.0,58.32776,23.59294,57.6724,22.93757
