,T,LX,LY,RX,RY
0,0.0,0.0,0.0,0.0,0.0
1,20.0,0.0,-9.9999999960687e-06,0.0,0.0
2,40.0,0.0,-9.9999999960687e-06,0.65536,-9.9999999960687e-06
3,60.0,0.65536,-9.9999999960687e-06,-1.0000000003174e-05,-9.9999999960687e-06
4,80.0,-1.0000000003174e-05,-9.9999999960687e-06,0.65535,0.65535
5,100.0,-1.0000000003174e-05,0.65535000000001,-1.9999999999243e-05,0.65536
6,120.0,-1.0000000003174e-05,0.65536,-1.0000000003174e-05,1.31072
7,140.0,-1.9999999999243e-05,0.65536,-1.0000000003174e-05,1.31072
8,160.0,-1.9999999999243e-05,1.31072,-1.0000000003174e-05,1.31073
9,180.0,-1.0000000003174e-05,1.96609,-1.0000000003174e-05,1.96609
10,200.0,-1.0000000003174e-05,1.9661,-1.0000000003174e-05,1.9661
11,220.0,-0.65537,1.31074,-1.0000000003174e-05,1.96609
12,240.0,-0.65537,1.9661,-0.65536,2.62146
13,260.0,-0.65537,1.9661,-0.65537,2.62146
14,280.0,-0.65536,2.62147,-1.31072,2.62146
15,300.0,-1.31072,1.96611,-1.31072,3.27683
16,320.0,-1.31072,2.62148,-1.31072,3.27683
17,340.0,-1.31072,2.62148,-1.96607,3.27684
18,360.0,-1.96608,3.27684,-1.96608,3.27684
19,380.0,-1.96608,3.27684,-1.96607,3.9322
20,400.0,-1.96607,3.27684,-1.96607,3.27684
21,420.0,-1.96607,3.27684,-1.96607,3.9322
22,440.0,-1.96607,3.27684,-1.96607,3.27683
23,460.0,-1.96607,2.62147,-2.62143,3.27683
24,480.0,-2.62142,3.9322,-1.96605,4.58757
25,500.0,-2.62141,4.58757,-2.62141,5.24294
26,520.0,-1.96605,5.24294,-2.6214,5.24294
27,540.0,-1.96604,5.24294,-1.96604,5.8983
28,560.0,-1.96604,5.8983,-1.96604,5.24294
29,580.0,-1.96604,5.89831,-2.6214,5.8983
30,600.0,-2.6214,5.89831,-2.6214,6.55367
31,620.0,-2.6214,5.89831,-3.27675,6.55367
32,640.0,-3.27675,6.55367,-3.27675,7.20903
33,660.0,-3.27676,7.20904,-3.27675,7.20903
34,680.0,-3.93211,7.20903,-3.93211,7.20903
35,700.0,-3.27675,6.55367,-3.27674,7.20903
36,720.0,-3.9321,6.55367,-3.27675,6.55367
37,740.0,-3.27674,6.55367,-3.27675,6.55366
38,760.0,-2.62138,6.55366,-2.62138,6.55366
39,780.0,-2.62138,5.8983,-2.62137,6.55366
40,800.0,-1.96601,5.8983,-1.96602,6.55365
41,820.0,-1.96602,5.89829,-1.96601,5.89829
42,840.0,-1.96601,5.89828,-1.96601,5.89828
43,860.0,-1.31065,5.24292,-1.31066,5.89828
44,880.0,-1.31065,5.24292,-1.96602,5.24291
45,900.0,-1.96602,4.58755,-1.31066,4.58754
46,920.0,-1.31066,3.93218,-0.6553,3.93217
47,940.0,-0.65531,3.27681,5.000000000166e-05,2.62144
48,960.0,3.27689,3.27681,7.20913,5.24291
49,980.0,9.17526,5.89829,8.5199,7.20966
50,1000.0,8.5199,9.17511,8.51991,11.14122
51,1020.0,8.51991,12.45196,8.51991,13.7627
52,1040.0,8.51992,14.41807,7.86456,15.07344
53,1060.0,7.86455,15.07345,7.86455,15.72882
54,1080.0,7.86454,15.72882,7.20919,16.38419
55,1100.0,7.86455,16.38419,7.86455,16.38419
56,1120.0,7.20919,17.03956,7.20918,17.03956
57,1140.0,10.48603,17.03955,17.6951,15.07345
58,1160.0,19.00585,15.07346,17.6951,17.03955
59,1180.0,17.69511,17.03956,18.35047,17.69492
60,1200.0,18.35047,17.69493,18.35047,18.35029
61,1220.0,18.35048,17.69493,18.35048,18.35029
62,1240.0,18.35048,18.35029,18.35048,18.35029
63,1260.0,19.00585,18.35029,18.35049,18.35029
64,1280.0,18.35049,18.3503,18.3505,19.00565
65,1300.0,18.35049,18.35029,17.69513,18.35029
