,T,LX,LY,RX,RY
0,0.0,0.0,0.0,0.0,0.0
1,20.0,0.65536,-0.65537,0.65535,0.65536
2,40.0,0.65536,-1.31074,0.0,-0.65537
3,60.0,0.65536,-1.31074,0.65535,-0.65537
4,80.0,0.65535,-1.9661,0.65535,-1.31073
5,100.0,0.65535,-1.96609,0.65534,-1.9661
6,120.0,0.65534,-3.27682,0.65532,-1.96611
7,140.0,-2.9999999995312e-05,-3.27683,-3.9999999998486e-05,-1.96611
8,160.0,-0.6554,-2.62147,-0.6554,-1.31074
9,180.0,-5.000000000166e-05,-2.62147,-0.6554,-1.31074
10,200.0,-3.9999999998486e-05,-1.9661,-0.6554,-1.31073
11,220.0,-0.65539,-1.9661,-0.6554,-1.31073
12,240.0,1.31072,-0.65535000000001,1.96611,1.31076
13,260.0,1.31076,0.65539,1.31075,1.96612
14,280.0,1.31076,1.31076,0.6554,2.62148
15,300.0,0.65541,1.96612,0.65541,2.62149
16,320.0,0.65541,1.96613,0.65541,3.27685
17,340.0,0.65541,1.96613,0.65541,3.27686
18,360.0,0.65541,1.96614,3.9999999998486e-05,3.27686
19,380.0,0.65541,2.6215,3.9999999998486e-05,3.27686
20,400.0,5.000000000166e-05,2.6215,5.000000000166e-05,3.93223
21,420.0,6.0000000004834e-05,3.27687,-0.65531,3.93223
22,440.0,6.0000000004834e-05,3.27687,-0.6553,3.93223
23,460.0,6.0000000004834e-05,3.27687,-0.6553,3.93223
24,480.0,-0.6553,3.27687,-0.6553,4.58759
25,500.0,-0.6553,3.27687,-0.6553,3.93223
26,520.0,-0.6553,3.27687,-1.31066,3.93223
27,540.0,-0.6553,3.27687,-0.6553,4.58759
28,560.0,-0.6553,3.27687,-1.31066,4.58759
29,580.0,-0.65529,3.27686,-0.65529,4.58759
30,600.0,-0.65529,3.93222,-1.31065,4.58759
31,620.0,-1.31065,3.27687,-1.31065,3.93223
32,640.0,-1.31065,3.27687,-1.31066,3.93223
33,660.0,-1.31065,3.27687,-1.31065,3.93223
34,680.0,-1.31065,3.27687,-1.31065,4.58759
35,700.0,-1.31065,3.93223,-1.31065,4.58759
36,720.0,-1.31064,3.93223,-1.31065,4.58759
37,740.0,-1.31064,3.93223,-1.966,4.5876
38,760.0,-1.966,3.93223,-1.966,4.5876
39,780.0,-1.966,3.93223,-1.966,4.5876
