,T,LX,LY,RX,RY
0,0.0,0.0,0.0,0.0,0.0
1,20.0,1.31072,-0.65537,-1.31073,-0.65535999999999
2,40.0,-3.27683,-0.65538,-2.62147,-1.31073
3,60.0,-1.31073,-0.65537,-1.9661,-1.31072
4,80.0,-1.31074,-1.31073,-1.9661,-1.31072
5,100.0,-1.31074,-0.65537,-1.9661,-1.31072
6,120.0,-1.31074,-1.31073,-1.31074,-1.31071
7,140.0,-0.65538,-1.31073,-1.31074,-1.31072
8,160.0,-0.65538,-1.31074,-1.31074,-1.31073
9,180.0,-0.65537,-1.31074,-1.31073,-1.31073
10,200.0,-0.65537,-1.31074,-1.31073,-1.31073
11,220.0,-0.65537,-1.31074,-1.9661,-1.31073
12,240.0,-1.31073,-0.65539,-1.96609,-1.31075
13,260.0,-1.31073,-1.31076,-1.9661,-1.96612
14,280.0,-0.65537,-2.62152,-1.31074,-4.58764
15,300.0,1.31071,-8.51992,5.24287,-18.35054
16,320.0,12.45183,-32.1134,18.35013,-49.15303
17,340.0,29.4915,-66.19259,40.63293,-80.61067
18,360.0,47.1867,-89.13049,49.15289,-92.40733
19,380.0,49.80828,-91.75196,47.84215,-89.13045
20,400.0,45.22062,-83.8875,39.97762,-76.02308
21,420.0,38.01146,-67.50333,35.38993,-59.63892
22,440.0,34.73446,-51.77456,32.76828,-45.22088
23,460.0,32.11286,-39.32259,30.80208,-35.39035
24,480.0,30.80206,-31.45812,29.49131,-27.52589
25,500.0,29.4913,-24.24904,28.18057,-21.62753
26,520.0,28.18058,-19.66141,27.52521,-17.69527
27,540.0,26.86986,-15.72916,25.55914,-14.41839
28,560.0,26.2145,-13.10765,24.24841,-11.79689
29,580.0,24.90378,-11.14152,24.24841,-9.83076
30,600.0,24.24841,-9.17539,22.93769,-7.86463
31,620.0,22.9377,-7.20927,21.62697,-6.55388
32,640.0,21.62698,-5.89851,20.31625,-5.24313
33,660.0,20.97162,-4.58776,19.6609,-3.93237
34,680.0,20.31627,-3.27701,19.00555,-2.62163
35,700.0,19.00556,-1.96626,17.69483,-1.96624
36,720.0,18.35019,-0.65553,17.69483,-1.31087
37,740.0,17.69484,-0.65552,16.38411,-0.65549
38,760.0,17.03948,-0.65549,16.38412,-0.00011999999999546
39,780.0,16.38413,-0.00011999999999546,15.0734,0.65526000000001
40,800.0,15.72877,0.65526000000001,14.41804,1.31064
41,820.0,15.07341,1.966,14.41805,1.31065
42,840.0,15.07341,1.31065,14.41805,1.96602
43,860.0,14.41805,1.96603,13.76269,1.96604
44,880.0,14.41805,1.96603,14.41805,1.96605
45,900.0,14.41805,1.31068,14.41805,1.96606
46,920.0,14.41805,1.31069,14.41804,1.31071
47,940.0,13.76268,1.96607,2.6215,0.65534
48,960.0,-6.55365,0.65531,-6.55366,0.65534
49,980.0,-5.24292,1.31072,-6.55364,1.96611
50,1000.0,-5.89828,1.9661,-7.209,1.96612
51,1020.0,-7.209,1.96612,-7.86436,2.62151
52,1040.0,-8.51971,3.27687,-9.17508,3.93225
53,1060.0,-9.17508,4.58762,-9.83045,4.58765
54,1080.0,-10.48581,4.58765,-11.79653,5.24303
55,1100.0,-11.79653,5.24303,-13.76261,5.24306
56,1120.0,-14.41796,5.89844,-16.38404,6.55383
57,1140.0,-15.72867,7.20919,-3.27674,7.86455
58,1160.0,6.5538,9.83059,5.24309,9.83059
59,1180.0,3.93236,10.48598,1.96629,11.14138
60,1200.0,2.62166,11.79674,1.31094,11.79675
61,1220.0,1.31095,11.79674,0.65559,11.79675
62,1240.0,0.65561,11.79675,0.00025000000000119,11.79676
63,1260.0,-0.65509,11.79675,-0.6551,11.79677
64,1280.0,-0.65509,11.79677,-1.96581,12.45214
65,1300.0,-1.31045,12.45214,-1.96581,12.45215
66,1320.0,-1.31045,12.45214,-1.96581,12.45216
67,1340.0,-1.31045,12.45215,-1.96581,12.45217
