,T,LX,LY,RX,RY
0,0.0,0.0,0.0,0.0,0.0
1,20.0,0.0,0.0,9.9999999960687e-06,9.9999999960687e-06
2,40.0,-0.65535,0.0,-0.65535,0.0
3,60.0,-0.65535,-0.65536,-2.62146,-0.65535
4,80.0,-3.9322,9.9999999960687e-06,-3.27681,1.9999999999243e-05
5,100.0,-2.62145,0.65537,-3.27681,9.9999999960687e-06
6,120.0,-3.27682,9.9999999960687e-06,-3.27681,9.9999999960687e-06
7,140.0,-3.27681,0.0,-3.27681,0.65537
8,160.0,-3.27681,0.65535999999999,-3.27681,0.65537
9,180.0,-3.27681,0.65535999999999,-3.27681,0.0
10,200.0,-3.27681,0.65535999999999,-3.27681,9.9999999960687e-06
11,220.0,-2.62145,0.65535999999999,-2.62146,0.0
12,240.0,-2.62145,0.0,-2.62146,0.65535999999999
13,260.0,-1.9661,0.0,-1.9661,0.0
14,280.0,-1.9661,0.65535999999999,-1.96611,0.65535999999999
15,300.0,-1.96611,0.65535999999999,-1.9661,0.0
16,320.0,-1.9661,0.0,-1.31074,0.0
17,340.0,-1.31074,0.65535999999999,-1.31074,0.0
18,360.0,-1.31074,0.0,-1.31074,9.9999999960687e-06
19,380.0,-1.31075,0.0,-1.31075,9.9999999960687e-06
20,400.0,-1.31074,0.65535999999999,-1.31075,9.9999999960687e-06
21,420.0,-1.31074,0.65535999999999,-1.31074,0.65535999999999
22,440.0,-1.31074,0.65535999999999,-1.31074,0.65537
23,460.0,-1.31074,0.65537,-1.31074,0.65537
24,480.0,-1.31074,0.65535999999999,-1.31074,0.65537
25,500.0,-1.31074,0.65535999999999,-1.31074,0.0
26,520.0,-1.31074,0.0,-1.31074,9.9999999960687e-06
27,540.0,-1.31074,0.65535999999999,-1.31075,0.65537
28,560.0,-1.31074,1.31073,-1.9661,0.65537
29,580.0,-1.31074,1.31073,-1.31074,0.65537
30,600.0,-1.9661,1.31073,-1.9661,1.31074
31,620.0,-1.31074,1.9661,-1.96609,1.96611
32,640.0,-1.31073,2.62147,-1.96609,1.96611
33,660.0,-1.96609,1.31074,-1.96609,1.31075
34,680.0,-47.84129,1.31074,-1.96609,0.65538
35,700.0,-1.96609,0.65537,-1.96609,1.9999999999243e-05
36,720.0,-1.96609,-0.65536,-2.62145,-0.65534
37,740.0,-2.62145,9.9999999960687e-06,-2.62145,-0.65534
38,760.0,-2.62145,9.9999999960687e-06,-2.62145,-0.65534
39,780.0,-2.62145,9.9999999960687e-06,-3.27681,-0.65535
40,800.0,-2.62144,-0.65535,-2.62145,1.9999999999243e-05
41,820.0,-2.62144,0.65538,-3.2768,0.65538
42,840.0,-3.2768,1.31074,-3.27679,0.65539
43,860.0,-3.27679,1.31074,-3.27679,0.65538
44,880.0,-3.27679,1.31074,-3.27679,1.31075
45,900.0,-3.27679,1.31074,-3.27678,1.31074
46,920.0,-3.27678,1.31073,-3.93214,0.65538
47,940.0,-3.27678,0.65537,-3.27678,9.9999999960687e-06
48,960.0,-3.27679,0.65537,-3.27679,0.65537
49,980.0,-3.27679,9.9999999960687e-06,-6.55364,1.9661
50,1000.0,-7.20899,4.58755,-7.86432,4.58755
51,1020.0,-7.86432,5.2429,-7.86509,5.24292
52,1040.0,-8.51968,5.24291,-8.51969,5.24292
53,1060.0,-7.86432,5.89827,-7.86433,5.24291
54,1080.0,-7.86432,5.24291,-7.20896,5.24291
55,1100.0,-7.20896,5.2429,-7.20896,4.58755
56,1120.0,-7.20897,3.93218,-5.24287,3.93217
57,1140.0,6.55377,9.83042,13.76288,11.79652
58,1160.0,12.4522,11.7965,11.1415,11.79652
59,1180.0,11.1415,11.79651,11.1415,11.14115
60,1200.0,11.79685,11.14114,11.79684,10.48578
61,1220.0,12.45219,9.8304,12.45218,9.17504
62,1240.0,13.10754,9.17504,13.76289,9.17504
63,1260.0,13.10753,9.8304,13.76289,9.17504
64,1280.0,13.76289,9.17504,13.76288,9.17505
65,1300.0,14.41824,9.17504,14.41824,9.17504
66,1320.0,14.41824,9.17504,14.41824,8.51969
67,1340.0,14.41824,9.17504,13.76288,8.51969
68,1360.0,13.76288,8.51968,13.76288,8.51969
69,1380.0,13.10752,8.51968,10.48604,8.5197
70,1400.0,9.17532,8.51969,9.83069,8.5197
71,1420.0,9.83068,9.17505,9.83068,9.17506
72,1440.0,9.83068,9.83042,9.17532,9.17506
73,1460.0,9.83068,9.83041,9.17532,9.17506
74,1480.0,9.17532,9.17505,9.17531,9.17506
75,1500.0,9.17531,9.17505,8.51996,9.17506
76,1520.0,9.17531,9.83041,8.51995,9.17506
77,1540.0,7.86459,9.17505,8.51995,8.51969
78,1560.0,15.72899,13.76258,23.59347,15.72867
79,1580.0,26.87036,17.03938,26.21501,15.72867
80,1600.0,26.21501,15.72866,26.87036,15.0733
81,1620.0,26.87035,15.72866,27.52571,15.0733
82,1640.0,28.18106,15.0733,28.18105,15.0733
83,1660.0,28.18104,15.72865,28.18104,15.07331
84,1680.0,28.8364,15.0733,28.8364,15.07331
85,1700.0,28.8364,15.72866,28.83639,15.07331
86,1720.0,28.83639,15.0733,28.83639,15.07331
87,1740.0,28.83639,15.0733,28.8364,15.07331
88,1760.0,29.49176,14.41794,29.49175,14.41795
89,1780.0,29.49175,14.41794,29.49175,13.76259
90,1800.0,29.49175,14.41794,34.07933,17.0394
91,1820.0,38.01158,19.66085,39.32234,19.00549
92,1840.0,39.32235,19.00549,38.66698,19.0055
93,1860.0,39.32234,19.00549,39.32234,18.35014
94,1880.0,39.32234,18.35013,39.32234,18.35014
95,1900.0,39.9777,18.35013,39.32233,18.35014
96,1920.0,39.32233,18.35013,39.32233,18.35014
97,1940.0,39.32233,18.35013,38.66697,17.69478
98,1960.0,43.90991,20.97158,49.1529,23.59304
99,1980.0,49.80829,23.59304,49.15294,23.59305
100,2000.0,49.15293,24.24841,49.8083,24.24842
101,2020.0,49.80829,24.24841,49.80829,24.24842
102,2040.0,49.80829,24.24841,49.80829,24.24842
103,2060.0,49.80829,24.24841,50.46365,24.24842
104,2080.0,49.80829,24.24842,49.80829,23.59306
105,2100.0,49.80829,24.24841,49.80829,23.59306
106,2120.0,49.80829,24.24841,49.80829,24.24842
107,2140.0,50.46365,24.24842,49.80829,24.24843
108,2160.0,53.7405,26.2145,57.67275,27.52523
109,2180.0,58.98351,27.52522,58.98351,26.86987
110,2200.0,58.98351,26.86987,58.98351,26.86987
111,2220.0,59.63887,26.2145,59.63887,26.21451
112,2240.0,60.29423,26.2145,59.63887,26.21451
113,2260.0,60.29423,26.2145,60.29423,26.2145
114,2280.0,60.29423,26.2145,60.29423,26.21451
115,2300.0,60.29423,26.2145,60.29423,25.55915
116,2320.0,60.29423,26.86986,60.29422,26.21451
117,2340.0,60.94958,26.2145,60.94958,26.21452
118,2360.0,60.94958,26.21451,60.94958,26.21451
119,2380.0,61.60493,25.55914,60.94957,25.55915
120,2400.0,61.60494,26.21451,60.94958,25.55915
121,2420.0,61.60494,26.2145,60.94957,25.55916
122,2440.0,61.60494,26.21451,61.60493,25.55916
123,2460.0,61.60493,25.55915,61.60494,27.52524
124,2480.0,61.60495,28.83598,60.9496,28.18062
125,2500.0,61.60495,28.83598,61.60495,28.18062
126,2520.0,61.60495,28.18062,61.60495,28.18063
127,2540.0,61.60495,28.18062,60.94959,28.83599
128,2560.0,61.60495,28.83598,61.60495,28.18063
129,2580.0,61.60495,28.83598,60.94959,28.83599
130,2600.0,60.94959,28.83599,60.94959,28.83599
131,2620.0,60.94959,29.49135,60.94959,29.49136
132,2640.0,60.94959,29.49136,60.94959,29.49136
133,2660.0,60.29423,29.49136,60.94959,29.49136
134,2680.0,60.94959,29.49135,60.29424,29.49137
135,2700.0,60.29424,29.49135,60.29424,28.836
136,2720.0,60.29424,28.83599,60.29424,28.83601
137,2740.0,60.29424,28.836,59.63889,28.83601
138,2760.0,59.63889,28.83599,59.63889,28.836
139,2780.0,59.63889,27.52527,59.63889,27.52527
140,2800.0,58.98354,27.52526,58.98354,27.52526
141,2820.0,65.53722,30.80207,65.53727,31.45746
142,2840.0,63.57119,31.45745,64.22656,31.45746
143,2860.0,64.22656,32.11281,64.22656,30.80209
144,2880.0,64.88192,30.80208,72.74634,34.07889
145,2900.0,83.23229,37.35571,81.92161,35.38963
146,2920.0,81.26624,36.045,81.9216,37.35573
147,2940.0,82.57695,37.35572,82.57695,38.01108
148,2960.0,83.2323,38.01108,83.2323,38.66644
149,2980.0,83.88766,38.66644,84.54302,38.01109
150,3000.0,85.19838,38.66644,85.19837,38.66644
151,3020.0,85.85372,38.66644,85.85372,38.01109
152,3040.0,86.50907,38.66644,86.50907,38.66644
153,3060.0,87.16443,38.66644,87.16443,38.66644
154,3080.0,87.16442,38.66644,87.16442,38.66644
155,3100.0,87.81978,38.66644,87.16442,38.01108
156,3120.0,87.81978,37.35571,87.81978,37.35571
157,3140.0,87.81978,37.35571,87.81978,36.70035
158,3160.0,88.47514,37.35571,88.47513,36.70035
159,3180.0,88.47513,36.70034,88.47513,36.04499
160,3200.0,89.13049,36.04499,88.47513,36.04499
161,3220.0,88.47513,36.04498,88.47513,35.38963
162,3240.0,88.47513,35.38962,88.47513,34.73427
163,3260.0,88.47512,35.38962,88.47512,34.73426
164,3280.0,88.47512,34.73426,89.13048,34.0789
165,3300.0,88.47512,34.0789,88.47511,34.0789
166,3320.0,87.16437,36.04499,85.85365,36.04501
167,3340.0,85.85365,36.045,85.85365,36.04501
168,3360.0,85.85365,36.045,85.19829,36.04501
169,3380.0,85.85364,35.38964,85.85364,35.38965
170,3400.0,85.85365,34.73428,85.85364,34.07892
171,3420.0,85.85364,34.73428,85.85364,34.07893
172,3440.0,85.85364,34.73428,85.85364,34.07893
173,3460.0,85.85364,34.07892,85.85364,33.42357
174,3480.0,85.85364,33.42356,85.85364,32.11284
175,3500.0,85.85364,31.45747,85.19828,29.49139
176,3520.0,67.50335,23.59318,33.42419,15.72886
177,3540.0,1.96654,13.10745,-11.79614,13.76284
178,3560.0,-15.07294,14.41819,-15.07293,14.41818
179,3580.0,-13.76222,14.41816,-13.10687,13.7628
180,3600.0,-12.45152,13.10742,-11.79617,11.14133
181,3620.0,-16.38375,9.83061,-20.97135,10.48598
182,3640.0,-20.31597,11.14133,-19.66061,11.14133
183,3660.0,-19.00526,11.14132,-18.3499,11.14132
184,3680.0,-17.03918,11.79667,-17.03918,11.14131
185,3700.0,-15.72847,11.1413,-15.72847,11.1413
186,3720.0,-15.07312,10.48593,-15.07312,11.1413
187,3740.0,-14.41776,11.14129,-14.41776,11.1413
188,3760.0,-13.76241,11.79664,-13.76241,11.14129
189,3780.0,-13.76241,11.14128,-13.76241,11.14129
190,3800.0,-13.76242,11.79664,-15.72852,14.41811
191,3820.0,-16.38386,15.07347,-16.38387,15.07348
192,3840.0,-15.72851,15.07347,-15.72851,15.07347
193,3860.0,-15.07315,15.07346,-15.07315,15.07347
194,3880.0,-15.07315,15.72883,-15.07315,15.07347
195,3900.0,-14.41779,15.72882,-15.07315,15.72883
196,3920.0,-14.41779,16.38419,-14.41779,16.38419
197,3940.0,-14.41779,17.03955,-15.07315,17.03956
198,3960.0,-14.41779,17.03955,-15.07314,17.03956
199,3980.0,-14.41778,17.69491,-14.41779,17.03956
200,4000.0,-13.76243,18.35027,-4.58725,22.28244
201,4020.0,0.65574,24.24852,1.31114,22.9378
202,4040.0,0.65577,23.59316,1.31113,22.93781
203,4060.0,1.31113,22.9378,1.31112,22.9378
