,T,LX,LY,RX,RY
0,0.0,0.0,0.0,0.0,0.0
1,20.0,-0.65536,-0.65536,-0.65536,-0.65536
2,40.0,-1.31072,-0.65536,-1.31071,-0.65536
3,60.0,-1.96608,-0.65535,-1.96607,-0.65535
4,80.0,-2.62144,-1.31071,-1.31071,-0.65536
5,100.0,-1.96608,-1.31071,-1.96608,-0.65535
6,120.0,-1.96608,-0.65535,-1.31072,9.9999999960687e-06
7,140.0,-1.96608,1.9999999999243e-05,-1.96608,0.65537
8,160.0,-2.62145,0.65538,-1.96608,1.31073
9,180.0,-2.62145,1.31074,-1.31073,1.31073
10,200.0,-1.96609,1.31074,-1.31073,1.96609
11,220.0,-1.96609,1.9661,-1.31073,1.96609
12,240.0,-1.31074,1.31074,-0.65537,1.96609
13,260.0,-1.31074,1.9661,-1.31073,1.96609
14,280.0,-1.31073,2.62146,-0.65537,2.62145
15,300.0,-1.31073,3.27682,-0.65537,3.27681
16,320.0,-0.65537,3.27682,-1.0000000003174e-05,3.27681
17,340.0,-1.0000000003174e-05,3.93217,0.65536,3.93217
18,360.0,0.0,4.58754,0.65536,4.58753
19,380.0,0.0,4.58754,0.65536,4.58753
20,400.0,0.0,5.2429,0.65536,5.89825
21,420.0,0.65535999999999,5.2429,1.31072,5.89825
22,440.0,0.65535999999999,5.89825,1.96608,6.55361
23,460.0,1.31072,6.55361,2.62144,6.5536
24,480.0,1.96608,5.89824,3.2768,4.58751
25,500.0,3.27679,3.93215,4.58752,2.62141
26,520.0,4.5875,1.96605,5.89822,-0.6554
27,540.0,9.17498,-7.20903,19.66068,-26.8699
28,560.0,36.69997,-58.32726,60.94828,-92.40597
29,580.0,81.26441,-113.37733,98.95903,-123.2076
30,600.0,110.7556,-129.76103,115.99857,-138.28051
31,620.0,117.30925,-142.21246,112.72168,-140.90175
32,640.0,104.85737,-136.96958,98.95924,-131.72682
33,660.0,93.71645,-124.51799,89.12886,-116.65385
34,680.0,84.54123,-110.75571,81.91975,-105.51291
35,700.0,78.64296,-102.23615,76.6769,-100.27011
36,720.0,74.71081,-98.30406,73.40006,-95.68267
37,740.0,70.7786,-93.71663,70.12322,-92.40595
38,760.0,67.50177,-89.78453,66.8464,-87.81849
39,780.0,64.88031,-86.50779,63.56959,-85.19709
40,800.0,62.25887,-83.23102,62.25887,-81.92031
41,820.0,60.94815,-80.6096,59.63742,-78.64353
42,840.0,58.3267,-77.98817,58.3267,-77.33283
43,860.0,57.01597,-76.67746,57.01597,-75.36675
44,880.0,55.70525,-75.36674,56.36061,-74.05603
45,900.0,55.04989,-72.7453,55.70526,-71.43458
46,920.0,62.91436,-68.8131,68.81276,-66.19163
47,940.0,68.81278,-64.88092,67.50204,-62.91483
48,960.0,65.53595,-61.6041,65.53596,-60.94875
49,980.0,64.22523,-60.29338,64.22523,-58.98267
50,1000.0,62.9145,-58.98266,62.9145,-58.32731
51,1020.0,62.25913,-58.98266,62.25914,-58.32731
52,1040.0,60.94841,-57.67194,61.60632,-57.01658
53,1060.0,60.29305,-57.01657,60.94841,-56.36122
