,T,LX,LY,RX,RY
0,0.0,0.0,0.0,0.0,0.0
1,20.0,-0.65537,0.65539,-1.31073,0.65539
2,40.0,-1.31074,1.31076,-1.31075,1.31076
3,60.0,-2.62147,1.96615,-3.27684,1.96614
4,80.0,-2.62148,2.62151,-3.27685,1.31077
5,100.0,-3.27684,1.96614,-3.27685,1.31077
6,120.0,-3.27684,1.3108,-3.27685,1.96614
7,140.0,-3.9322,1.96616,-3.9322,1.96614
8,160.0,-3.9322,1.96615,-3.9322,0.65542
9,180.0,-3.9322,1.31079,-3.9322,1.31078
10,200.0,-3.93219,1.3108,-3.27684,0.65542
11,220.0,-3.9322,0.65544,-3.9322,-0.6553
12,240.0,-3.27683,9.0000000000146e-05,-3.9322,-0.65528
13,260.0,-3.9322,-0.65526,-4.58756,-1.966
14,280.0,-3.9322,-1.3106,-4.58757,-1.31061
15,300.0,-4.58757,-1.31058,-5.24294,-1.31058
16,320.0,-5.89829,-0.6552,-5.8983,-1.31057
17,340.0,-5.89829,-0.65519,-5.8983,-1.31057
18,360.0,-5.8983,-1.31054,-5.24295,-1.31056
19,380.0,-5.24294,-0.65517,-5.24295,-1.9659
20,400.0,-5.24295,-1.31052,-5.24295,-1.9659
21,420.0,-4.58758,-1.31052,-5.24295,-1.31053
22,440.0,-5.24294,-1.3105,-5.89831,-1.31052
23,460.0,-5.24294,0.00021000000000271,-5.89831,-0.65517
24,480.0,-6.55366,-0.65517,-6.55367,-0.6552
25,500.0,-7.20902,-0.65518,-7.86439,-0.6552
26,520.0,-7.20903,-0.65519,-7.8644,-1.96593
27,540.0,-7.8644,-1.31056,-7.86442,-2.6213
28,560.0,-7.86442,-2.62128,-7.86443,-3.27666
29,580.0,-7.86443,-3.27664,-8.5198,-3.93203
30,600.0,-7.86444,-2.62129,-7.86444,-3.93203
31,620.0,-7.86444,-3.27666,-7.86444,-4.58741
32,640.0,-7.86189,-3.93204,-7.86444,-5.24278
33,660.0,-7.86444,-4.58741,-7.20908,-5.24279
34,680.0,-7.20907,-5.24278,-7.20907,-5.89816
35,700.0,-7.20907,-5.89815,-7.20907,-6.55353
36,720.0,-6.55371,-6.55351,-6.55371,-6.55353
37,740.0,-6.55371,-6.55353,-5.89835,-7.2089
38,760.0,-5.89835,-6.55354,-5.89836,-7.86427
39,780.0,-5.24299,-7.2089,-5.24299,-7.86429
40,800.0,-5.24298,-7.20892,-5.24298,-7.8643
41,820.0,-4.58761,-7.20893,-3.2769,-8.51967
42,840.0,-2.62152,-7.86429,-1.96617,-8.51968
43,860.0,-1.31079,-7.86431,-7.9999999996971e-05,-7.86433
44,880.0,1.31066,-7.20896,2.62137,-7.86434
45,900.0,3.9321,-6.55361,5.24282,-6.55363
46,920.0,6.55355,-5.24289,7.2089,-5.24291
47,940.0,8.51963,-3.93218,9.17499,-3.27683
48,960.0,10.48572,-2.62146,10.48571,-3.27684
49,980.0,10.48572,-2.62146,10.48572,-2.62148
50,1000.0,9.83037,-2.62146,9.175,-3.27684
51,1020.0,8.51966,-2.62146,6.55356,-3.27684
52,1040.0,5.89821,-3.27682,3.27677,-5.24291
53,1060.0,2.62142,-5.89826,4.58755,-7.86434
54,1080.0,11.14136,-9.83041,9.83064,-11.14115
55,1100.0,7.86454,-11.14113,6.55382,-12.45186
56,1120.0,5.24311,-14.41792,4.58774,-18.3501
57,1140.0,5.2431,-20.97152,5.89845,-23.59299
58,1160.0,7.86454,-26.21441,7.86453,-28.18051
59,1180.0,8.51989,-28.83585,8.51988,-31.4573
60,1200.0,9.17525,-32.11265,9.17524,-34.07875
61,1220.0,9.17524,-34.07873,9.17524,-35.38946
62,1240.0,9.17524,-36.0448,9.17524,-38.0109
