,T,LX,LY,RX,RY
0,0.0,0.0,0.0,0.0,0.0
1,20.0,-9.9999999960687e-06,-9.9999999960687e-06,0.0,0.0
2,40.0,-0.65537,-9.9999999960687e-06,-0.65537,0.0
3,60.0,-0.65537,-9.9999999960687e-06,0.0,0.0
4,80.0,-0.65537,-9.9999999960687e-06,-0.65536,-0.65536
5,100.0,-1.31073,0.0,-0.65537,0.0
6,120.0,-0.65538,-9.9999999960687e-06,-0.65537,0.0
7,140.0,-0.65538,-9.9999999960687e-06,-0.65537,-0.65536
8,160.0,-1.31074,-0.65537,-1.31073,-0.65536
9,180.0,-1.31074,-0.65537,-1.31074,-0.65537
10,200.0,-1.31074,-1.31073,-1.9661,-0.65537
11,220.0,-1.9661,-1.31074,-1.96609,-1.31073
12,240.0,-1.9661,-1.31074,-2.62146,-0.65537
13,260.0,-2.62147,-0.65537999999999,-2.62146,-0.65537
14,280.0,-2.62147,-0.65537999999999,-2.62146,-0.65537
15,300.0,-3.27682,-0.65537999999999,-2.62145,-0.65537
16,320.0,-3.27682,-0.65537999999999,-3.27682,-1.0000000003174e-05
17,340.0,-3.27682,-0.65537999999999,-3.27681,-1.0000000003174e-05
18,360.0,-3.27682,-0.65539,-3.27681,-0.65538
19,380.0,-3.27682,-0.65539,-3.27681,-0.65538
20,400.0,-3.27682,-0.65537999999999,-3.27681,-0.65538
21,420.0,-3.27681,-1.31075,9.17516,1.31072
22,440.0,20.97184,1.9661,17.69503,1.31074
23,460.0,16.3843,1.9661,16.3843,1.31075
24,480.0,16.3843,1.9661,15.72894,1.96611
25,500.0,15.72893,1.9661,15.72894,1.96611
26,520.0,15.72893,1.31073,15.07358,1.31075
27,540.0,15.72893,1.31073,15.72893,0.65538
28,560.0,15.72893,0.65537,16.38428,1.9999999999243e-05
29,580.0,16.38428,-0.65535,16.38428,-0.65535
30,600.0,16.38427,-0.65535,16.38427,-0.65535
31,620.0,16.38426,-0.65535999999999,16.38427,-1.31071
32,640.0,16.38426,-1.31072,17.03963,-1.31071
33,660.0,17.03962,-1.31072,17.03963,-1.96608
34,680.0,17.03962,-1.31072,17.03962,-1.96608
35,700.0,17.03961,-1.96609,17.03962,-2.62144
36,720.0,17.69498,-1.96609,28.18087,-1.96607
37,740.0,33.42384,-1.96608,31.45775,-2.62144
38,760.0,30.80238,-1.96608,30.80238,-1.96608
39,780.0,30.80237,-1.96608,30.80238,-1.96607
40,800.0,30.80237,-2.62145,30.80238,-2.62144
41,820.0,30.80237,-2.62145,31.45773,-2.62144
42,840.0,31.45772,-1.31073,32.11308,0.0
43,860.0,32.76843,1.96607,33.42381,41.94303
44,880.0,33.4238,4.5875,34.73452,5.24287
45,900.0,34.73451,5.24286,35.38988,5.24287
46,920.0,34.73452,5.24286,34.07917,4.5875
47,940.0,34.73453,5.24286,54.39557,7.209
48,960.0,67.50299,6.55367,65.53692,5.8983
49,980.0,63.57082,5.24294,63.57084,4.58759
50,1000.0,63.57083,4.58758,62.91548,3.93223
51,1020.0,62.91547,3.27686,62.91548,3.27687
52,1040.0,62.26011,2.6215,62.26012,3.27687
53,1060.0,62.26012,2.6215,62.26013,2.62151
54,1080.0,62.26012,3.27686,62.26013,3.27686
55,1100.0,62.26012,3.93222,61.60477,3.93223
56,1120.0,61.60477,3.93223,62.26014,3.93223
57,1140.0,62.26013,3.93222,61.60478,4.58759
58,1160.0,62.26013,5.24295,62.26015,5.24296
59,1180.0,62.9155,6.55367,62.91551,6.55368
60,1200.0,63.57086,7.20902,63.57087,7.8644
61,1220.0,63.57086,7.86439,64.22623,8.51976
