,T,LX,LY,RX,RY
0,0.0,0.0,0.0,0.0,0.0
1,20.0,9.9999999960687e-06,0.65536,0.0,-0.65537
2,40.0,9.9999999960687e-06,0.65535000000001,0.0,-9.9999999960687e-06
3,60.0,9.9999999960687e-06,0.65535000000001,-0.65536,-9.9999999960687e-06
4,80.0,0.0,1.31071,-0.65536,0.65535
5,100.0,-0.65536,1.96608,-0.65536,0.65536
6,120.0,-0.65536,1.96608,-0.65536,0.65536
7,140.0,-0.65536,1.31072,-0.65537,0.0
8,160.0,-0.65536,1.31072,-0.65537,0.0
9,180.0,-0.65537,1.31072,-0.65537,0.65536
10,200.0,-1.31073,1.31072,-0.65537,0.65536
11,220.0,-0.65536,1.31072,-0.65537,0.65536
12,240.0,-0.65536,1.31072,-0.65537,0.0
13,260.0,-0.65537,1.31072,-0.65538,0.0
14,280.0,-0.65537,0.65536,-0.65538,0.0
15,300.0,-1.31073,1.31073,-1.31074,0.65537
16,320.0,-1.31073,1.96609,-1.9661,1.31073
17,340.0,-1.31074,2.62146,-1.31074,1.9661
18,360.0,-1.31074,3.27683,-1.31074,2.62146
19,380.0,-1.96609,3.93219,-1.9661,3.27683
20,400.0,-1.96608,4.58756,-1.96608,3.93219
21,420.0,-1.96608,5.24292,-1.96609,4.58756
22,440.0,-2.62144,5.24292,-1.96608,4.58756
23,460.0,-2.62144,5.24292,-4.58755,5.24293
24,480.0,-8.51976,6.55367,-7.86438,6.55366
25,500.0,-7.86436,8.51976,-8.51973,7.86441
26,520.0,-8.51974,9.17513,-8.51974,7.20904
27,540.0,-9.17509,7.86441,-9.17509,7.20905
28,560.0,-9.1751,7.86441,-9.1751,7.20904
29,580.0,-9.1751,7.8644,-8.51974,6.55367
30,600.0,-9.17511,7.20903,-8.51975,5.8983
31,620.0,-9.1751,7.20903,-8.51974,6.55366
32,640.0,-9.1751,7.86439,-9.17511,7.20903
33,660.0,-8.51975,8.51975,-8.51974,7.86439
34,680.0,-8.51974,7.86438,-8.51975,6.55366
35,700.0,-8.51974,7.86438,-8.51975,7.20902
36,720.0,-8.51975,7.86438,-8.51975,6.55366
37,740.0,-8.51975,7.86438,-8.51975,7.20901
38,760.0,-4.58754,8.51972,-1.31068,6.55362
39,780.0,-1.96605,7.20899,-2.62143,7.86436
40,800.0,-2.62142,9.83044,-2.62142,8.51972
41,820.0,-2.62142,8.51972,-2.62142,7.86435
42,840.0,-3.27678,8.51972,-2.62142,7.20899
43,860.0,-2.62142,7.86436,-2.62143,7.209
44,880.0,-2.62142,7.86436,-2.62143,6.55364
45,900.0,-3.27679,7.209,-3.27678,6.55363
46,920.0,-3.27678,7.20899,-2.62142,5.89826
47,940.0,-3.27678,6.55363,-3.27678,5.2429
48,960.0,-3.27678,5.89826,-3.27678,5.2429
49,980.0,-3.27677,5.89826,-3.27677,4.58753
50,1000.0,-3.93213,5.2429,-3.27677,3.93217
51,1020.0,-3.27676,4.58753,-3.27676,3.27681
52,1040.0,-3.27676,3.93217,-3.27676,2.62144
53,1060.0,-2.62139,3.27681,-3.27675,1.96608
54,1080.0,-2.62139,2.62145,-2.62139,1.31073
55,1100.0,-3.27675,1.96609,-2.62139,1.31072
56,1120.0,-3.27675,1.96608,-2.6214,0.65536
57,1140.0,-2.6214,0.65536,-2.6214,0.0
58,1160.0,-3.27674,0.65536,-3.27674,0.0
59,1180.0,-3.27674,0.65536,-3.27674,-0.65536
60,1200.0,-3.27674,0.65536,-3.27674,-0.65536
61,1220.0,-3.27672,0.65537,4.58769,0.65536
62,1240.0,12.45215,-0.65537,14.41823,-1.31074
63,1260.0,13.1075,1.31072,13.1075,1.31134
64,1280.0,12.45215,1.96609,12.45215,1.31073
65,1300.0,12.45215,1.31073,12.45214,0.0
66,1320.0,12.45214,0.65537,11.79678,0.0
67,1340.0,11.79678,1.0000000003174e-05,11.79678,-0.65536
68,1360.0,11.79677,-0.65535999999999,12.45212,-1.31073
69,1380.0,11.79676,-0.65537,11.79676,-1.96609
70,1400.0,11.79676,-1.96609,11.14139,-2.62145
71,1420.0,11.79675,-1.31073,11.79675,-2.62145
72,1440.0,11.79675,-1.31073,11.79675,-3.27681
73,1460.0,12.45211,-1.9661,12.45211,-2.62146
74,1480.0,11.79675,-1.96609,12.4521,-3.27682
75,1500.0,11.79675,-2.62145,12.4521,-3.27682
76,1520.0,12.4521,-2.62146,13.76282,-3.93218
77,1540.0,23.59335,-3.93219,32.76854,-5.24292
78,1560.0,37.35613,-3.9322,38.01149,-4.58755
79,1580.0,37.35613,-2.62146,36.70076,-3.27682
80,1600.0,36.70076,-2.62146,36.70076,-3.93218
81,1620.0,36.04539,-2.62146,36.04538,-3.93218
82,1640.0,35.39002,-3.27682,36.04538,-3.93218
83,1660.0,35.39003,-3.93218,36.04538,-4.58755
84,1680.0,36.04538,-3.93218,36.04538,-5.24291
85,1700.0,36.04538,-3.93218,36.04537,-5.24291
86,1720.0,36.70074,-4.58754,36.70073,-5.89826
87,1740.0,36.04536,-5.2429,36.04535,-5.2429
88,1760.0,36.04537,-3.93217,36.04536,-4.58752
89,1780.0,36.04536,-3.2768,35.38999,-4.58752
90,1800.0,35.38999,-3.93216,35.38999,-4.58752
91,1820.0,35.38998,-3.93216,34.73462,-4.58752
92,1840.0,34.73462,-3.93216,34.07925,-3.93215
93,1860.0,33.42389,-3.27679,33.42389,-3.93215
94,1880.0,32.76853,-2.62142,32.11317,-3.93215
95,1900.0,32.76852,-3.27678,32.11316,-3.93215
96,1920.0,32.11317,-2.62143,31.4578,-3.93215
97,1940.0,36.70073,-2.62143,53.08502,-3.93217
98,1960.0,64.8817,-3.27682,67.50318,-2.62143
99,1980.0,66.19243,2.0000000006348e-05,65.53708,3.0000000002417e-05
100,2000.0,65.53708,0.6554,65.53707,3.0000000002417e-05
101,2020.0,65.53707,0.65539,65.53707,-0.65533
102,2040.0,65.53706,0.65539,64.8817,3.0000000002417e-05
103,2060.0,64.8817,3.0000000002417e-05,65.53706,-0.65533
104,2080.0,65.53706,0.00062000000000495,64.88169,-0.65533
105,2100.0,64.88169,3.0000000002417e-05,64.88169,-1.31069
106,2120.0,64.88169,4.0000000005591e-05,64.22632,-0.65533
107,2140.0,64.22633,3.0000000002417e-05,64.22632,-1.31069
108,2160.0,66.19243,-0.65533,70.12465,-0.65534
109,2180.0,70.12465,3.0000000002417e-05,70.12463,3.0000000002417e-05
110,2200.0,70.12464,1.96612,70.12463,0.6554
111,2220.0,69.46927,1.31076,70.12462,3.0000000002417e-05
112,2240.0,70.12462,0.65539,70.12461,-0.65533
113,2260.0,70.12462,3.0000000002417e-05,70.12462,-1.3107
114,2280.0,70.12461,-0.65534,70.77997,-1.96606
115,2300.0,70.77998,-0.65534,73.40143,-2.62142
116,2320.0,85.19812,-1.31072,91.75185,-2.62144
117,2340.0,91.09647,0.65538,89.78574,0.65539
118,2360.0,90.44112,1.96611,89.78576,1.31075
119,2380.0,90.44111,1.96611,89.78575,1.31075
120,2400.0,89.78575,1.96611,89.78575,1.31075
121,2420.0,89.13038,1.96612,89.13038,1.31075
122,2440.0,89.13039,1.96612,89.13038,1.31076
123,2460.0,89.78574,1.96612,89.13037,0.65539
124,2480.0,89.13037,1.31076,89.78573,0.65539
125,2500.0,89.78573,1.31076,89.78573,3.0000000002417e-05
126,2520.0,89.78573,1.31076,89.78572,3.0000000002417e-05
127,2540.0,91.09647,0.6554,93.71796,3.9999999998486e-05
128,2560.0,93.06259,1.96612,93.06258,1.96613
129,2580.0,93.06259,2.62149,93.06259,1.96613
130,2600.0,93.06259,2.62149,93.06259,1.31077
131,2620.0,93.71795,2.62149,93.06259,1.96613
132,2640.0,93.0626,2.62149,92.40724,1.96613
133,2660.0,93.0626,2.62149,93.0626,1.31077
134,2680.0,93.06261,1.96613,93.0626,1.31077
135,2700.0,79.29984,8.0000000004077e-05,45.87595,-6.55353
136,2720.0,10.48605,-8.5196,-9.83032,-8.5196
137,2740.0,-9.83026,-3.27671,-7.86415,-1.96597
138,2760.0,-7.86414,0.65548,-7.86414,0.00010999999999939
139,2780.0,-7.20877,1.96619,-6.55341,1.31082
140,2800.0,-6.5534,2.62155,-5.89804,1.96618
141,2820.0,-5.89803,3.27691,-6.5534,1.96619
142,2840.0,-5.89804,2.62155,-5.89805,1.31082
143,2860.0,-5.89805,1.96619,-7.20879,0.00010000000000332
144,2880.0,-13.10711,-0.65526,-13.76248,-0.65527
145,2900.0,-13.1071,0.65547,-12.45174,0.65547
