,T,LX,LY,RX,RY
0,0.0,0.0,0.0,0.0,0.0
1,20.0,1.0000000003174e-05,-0.65536,0.0,-9.9999999960687e-06
2,40.0,1.0000000003174e-05,-1.31072,0.0,-0.65537
3,60.0,1.0000000003174e-05,-1.31072,-0.65536,-0.65537
4,80.0,-0.65535,-1.31072,-0.65536,-1.31073
5,100.0,1.0000000003174e-05,-1.31072,0.0,-1.31072
6,120.0,1.0000000003174e-05,-1.96609,0.65535,-1.96609
7,140.0,0.65536,-2.62144,0.65535,-1.96609
8,160.0,0.65536,-2.62144,-1.0000000003174e-05,-1.96609
9,180.0,0.65536,-2.62144,0.65535,-1.96608
10,200.0,0.65536,-2.62144,-1.0000000003174e-05,-1.96608
11,220.0,-0.65535,-2.62144,-0.65536,-2.62144
12,240.0,-0.65535,-3.2768,-0.65536,-3.27681
13,260.0,-0.65535,-3.93217,-0.65536,-3.27681
14,280.0,1.0000000003174e-05,-3.93217,-0.65537,-3.93217
15,300.0,-0.65535999999999,-4.58753,-1.0000000003174e-05,-3.93217
16,320.0,-0.65535,-4.58753,-0.65536,-3.27682
17,340.0,-0.65535,-4.58753,-0.65537,-3.93218
18,360.0,-0.65535,-5.2429,-0.65536,-4.58754
19,380.0,-1.31072,-5.2429,-0.65537,-4.58754
20,400.0,-0.65535999999999,-5.2429,-0.65537,-4.58754
21,420.0,-1.31072,-5.2429,-0.65538,-4.58753
22,440.0,-1.31072,-5.24289,-1.31073,-4.58754
23,460.0,-1.96608,-5.89825,-1.31073,-4.58753
24,480.0,-1.31072,-4.58752,-1.31073,-3.27681
25,500.0,-1.96608,-3.93216,-1.96609,-3.2768
26,520.0,-1.96608,-3.2768,-1.96609,-2.62144
27,540.0,-1.96608,-3.2768,-1.96608,-1.96607
28,560.0,-2.62143,-2.62143,-2.62145,-1.96607
29,580.0,-3.2768,-2.62142,-3.2768,-1.3107
30,600.0,-3.27679,-1.96606,-3.2768,-1.31069
31,620.0,-3.27679,-1.96605,-3.2768,-0.65533
32,640.0,-3.27679,-1.31068,-3.27425,-0.65532
33,660.0,-3.27678,-1.31068,-3.2768,-0.65532
34,680.0,-3.27678,-1.31068,-2.62143,-0.65533
35,700.0,-3.27678,-1.31069,-2.62143,-1.31069
36,720.0,-2.62142,-2.62141,-2.62143,-3.93214
37,740.0,-2.62142,-5.89822,-1.96607,-5.24288
38,760.0,-1.96606,-6.55359,-1.96606,-6.5536
39,780.0,-1.96605,-7.20896,-1.96606,-8.51969
40,800.0,-1.96604,-9.83042,-1.31068,-9.17506
41,820.0,-1.31066,-10.48578,-1.31066,-9.17506
42,840.0,-0.65526999999999,-9.83041,-0.65528,-9.17506
43,860.0,-0.65526,-9.17505,9.0000000000146e-05,-8.51969
44,880.0,0.00010000000000332,-9.17504,9.0000000000146e-05,-8.51968
