,T,LX,LY,RX,RY
0,0.0,0.0,0.0,0.0,0.0
1,20.0,-1.0000000003174e-05,-0.65537,-0.65537,-0.65535999999999
2,40.0,-0.65537,-0.65537,-0.65537,-1.9661
3,60.0,-0.65537,-3.27683,-1.9999999999243e-05,-3.27682
4,80.0,-0.65538,-3.27683,-0.65538,-3.27683
5,100.0,-0.65538,-3.27683,-1.31074,-3.27682
6,120.0,-1.31074,-3.93219,-1.31074,-3.27683
7,140.0,-1.31073,-3.93219,-0.65538,-3.93219
8,160.0,-0.65538,-4.58755,-1.31074,-3.93219
9,180.0,-1.31074,-3.9322,-1.31074,-3.93219
10,200.0,-1.31074,-4.58755,-1.31074,-4.58755
11,220.0,-0.65538,-5.24293,-1.9999999999243e-05,-5.24294
12,240.0,-1.9999999999243e-05,-5.8983,0.65534,-5.24294
13,260.0,0.65535,-5.89831,0.65535,-5.24294
14,280.0,0.65534,-5.89831,0.65535,-5.89831
15,300.0,0.65535,-5.89832,0.65535,-5.24296
16,320.0,0.65535,-6.55368,-1.0000000003174e-05,-5.89831
17,340.0,0.0,-5.89832,-1.0000000003174e-05,-5.89832
18,360.0,0.65535,-6.55369,-1.0000000003174e-05,-5.89832
19,380.0,-1.0000000003174e-05,-6.55369,-1.0000000003174e-05,-5.89833
20,400.0,-1.0000000003174e-05,-6.55369,-1.0000000003174e-05,-5.89833
21,420.0,-1.0000000003174e-05,-6.5537,-1.0000000003174e-05,-5.89833
22,440.0,-1.0000000003174e-05,-6.5537,-1.0000000003174e-05,-6.55369
23,460.0,-1.9999999999243e-05,-7.20906,-1.0000000003174e-05,-6.5537
24,480.0,-1.0000000003174e-05,-7.20906,-1.0000000003174e-05,-6.5537
25,500.0,-1.0000000003174e-05,-7.86442,0.65535,-7.20907
26,520.0,0.65534,-7.86443,-1.9999999999243e-05,-7.86442
27,540.0,-1.9999999999243e-05,-9.17515,-3.0000000002417e-05,-9.17516
28,560.0,-3.9999999998486e-05,-10.48589,-3.9999999998486e-05,-13.10734
29,580.0,-5.9999999997729e-05,-15.07345,-5.9999999997729e-05,-14.41807
30,600.0,-0.65541,-14.41808,-1.31077,-14.41807
31,620.0,-1.31077,-15.07344,-1.31076,-13.7627
32,640.0,6.55371,-9.8305,15.72895,-8.51977
33,660.0,17.69508,-7.8644,15.729,-6.55366
34,680.0,15.72899,-5.89829,15.07363,-5.89829
35,700.0,14.41827,-5.89828,14.41826,-5.89829
36,720.0,14.41826,-5.89829,14.41826,-5.89829
37,740.0,14.41826,-6.55365,15.07362,-5.89829
38,760.0,14.41827,-5.24292,14.41828,-3.27682
