,T,LX,LY,RX,RY
0,0.0,0.0,0.0,0.0,0.0
1,20.0,0.0,0.0,9.9999999960687e-06,9.9999999960687e-06
2,40.0,-0.65536,9.9999999960687e-06,-0.65535000000001,0.65536
3,60.0,-0.65536,0.65537,9.9999999960687e-06,9.9999999960687e-06
4,80.0,-0.65535,0.65537,-0.65535000000001,0.65537
5,100.0,-0.65535,0.65537,-0.65535000000001,0.65537
6,120.0,-0.65535,0.65537,-1.31071,0.65537
7,140.0,-1.31071,0.65537,-0.65535000000001,0.65537
8,160.0,-1.31071,0.65537,-1.3107,0.65537
9,180.0,-1.31071,1.31074,-1.3107,1.31074
10,200.0,-1.96606,1.31074,-1.96606,1.31074
11,220.0,-1.96606,1.31074,-1.96606,1.31074
12,240.0,-1.96607,1.9661,-1.31071,1.31074
13,260.0,-1.31072,1.9661,-1.31072,2.62146
14,280.0,-1.31072,2.62147,-1.31072,2.62147
15,300.0,-1.96609,2.62147,-1.96609,2.62147
16,320.0,-1.96609,2.62147,-1.96608,40.63236
17,340.0,-1.96609,3.27684,-1.96608,3.27684
18,360.0,-1.96609,3.9322,-1.96608,3.9322
19,380.0,-1.96608,3.9322,-2.62143,3.9322
20,400.0,-2.62144,3.9322,-1.96607,4.58756
21,420.0,-2.62144,4.58757,-3.93216,5.24293
22,440.0,-3.93216,5.8983,-3.93215,5.8983
23,460.0,-3.93215,5.89831,-3.93215,5.89831
24,480.0,-4.58751,6.55367,-4.58751,6.55367
25,500.0,-4.58751,6.55367,-4.5875,6.55367
26,520.0,-4.58751,6.55367,-4.5875,6.55367
27,540.0,-4.58751,6.55368,-4.5875,6.55367
28,560.0,-4.58751,6.55368,-5.24286,6.55368
29,580.0,-5.24287,6.55368,-5.24286,6.55368
30,600.0,-5.24287,6.55368,-5.24286,6.55367
31,620.0,-5.24286,6.55367,-5.24286,6.55438
32,640.0,-4.5875,6.55367,-4.58749,7.20903
33,660.0,-4.5875,7.20904,-4.58749,7.20904
34,680.0,-4.58749,6.55368,-4.58749,7.20904
35,700.0,-5.24285,7.20904,-5.24285,6.55368
36,720.0,-5.24285,7.20904,-5.24284,7.20903
37,740.0,-5.24285,7.20904,-5.24285,7.20904
38,760.0,-4.58749,7.8644,-5.24284,7.8644
39,780.0,-4.58749,7.8644,-4.58748,7.8644
40,800.0,-4.58748,7.8644,1.96616,8.51976
41,820.0,13.7628,9.17512,17.03967,9.17512
42,840.0,15.72893,9.83048,15.72893,9.83049
43,860.0,15.07357,10.48585,15.07357,9.83049
44,880.0,15.07356,9.83049,15.07357,10.48585
45,900.0,14.4182,10.48585,14.41821,10.48585
46,920.0,14.4182,10.48585,14.41821,10.48585
47,940.0,14.4182,10.48585,14.41821,10.48585
48,960.0,13.76284,10.48585,14.41821,10.48585
49,980.0,13.76285,10.48585,14.4182,9.83049
50,1000.0,13.76284,9.83049,13.76284,9.83048
51,1020.0,13.10747,9.83048,13.10748,9.83048
52,1040.0,13.10747,9.83048,13.10747,9.83048
53,1060.0,13.76282,9.83048,15.07353,10.48583
54,1080.0,18.35034,10.48583,24.90402,11.14118
55,1100.0,25.55938,11.79654,26.21474,11.79654
56,1120.0,26.21473,12.4519,26.87009,13.10727
57,1140.0,26.87008,13.10727,26.87008,13.76264
58,1160.0,25.55936,13.76265,24.90402,13.76265
59,1180.0,23.5933,13.1073,21.62723,12.45193
60,1200.0,19.66116,11.79657,18.35044,10.48584
61,1220.0,17.69508,10.48584,17.03972,9.83048
62,1240.0,16.38436,9.83048,26.21486,9.83048
63,1260.0,37.35616,11.1412,38.66693,10.48583
64,1280.0,37.35619,10.48584,36.70083,10.48584
65,1300.0,36.04547,10.48584,36.04547,10.48584
66,1320.0,36.04546,10.48584,35.39011,10.48584
67,1340.0,35.3901,11.1412,34.73475,10.48584
68,1360.0,35.39011,10.48584,34.73475,10.48584
69,1380.0,34.73475,11.1412,34.73475,10.48584
70,1400.0,34.73475,10.48584,34.73475,11.1412
71,1420.0,34.73474,10.48585,34.73474,11.1412
72,1440.0,34.73474,10.48584,34.73474,11.1412
73,1460.0,34.07938,10.48584,42.59915,13.10729
74,1480.0,58.98338,15.07339,62.91567,14.41802
75,1500.0,61.60493,15.07339,61.60493,15.07339
76,1520.0,61.60492,15.07339,61.60492,15.72875
77,1540.0,61.60492,15.72876,61.60493,15.72875
78,1560.0,61.60492,15.72876,61.60493,15.72875
79,1580.0,61.60492,16.38412,61.60492,16.38412
80,1600.0,61.60492,17.03948,61.60493,17.03948
81,1620.0,61.60492,17.03949,61.60492,17.03949
82,1640.0,61.60492,17.69485,61.60492,17.03949
83,1660.0,66.84787,18.35022,77.33381,19.66095
84,1680.0,79.29995,19.66095,78.64458,20.31632
85,1700.0,77.98921,20.31633,78.64458,20.31633
86,1720.0,77.98921,20.97169,77.98922,20.97169
87,1740.0,77.98921,20.9717,77.33386,20.97169
88,1760.0,77.33386,20.9717,76.6785,21.62705
89,1780.0,76.67849,21.62706,76.6785,20.97169
90,1800.0,77.33386,20.97169,91.75198,21.62706
91,1820.0,101.58259,21.62706,100.92725,22.28242
92,1840.0,99.6165,22.28243,99.61652,22.93779
93,1860.0,99.61651,22.93779,99.61652,23.59315
94,1880.0,99.61651,23.59316,98.96116,23.59315
95,1900.0,98.96115,23.59316,98.96115,23.59315
96,1920.0,98.96115,23.59316,98.96115,24.24852
97,1940.0,98.96114,24.24852,98.96114,24.90388
98,1960.0,98.96113,24.90388,99.61649,24.90388
99,1980.0,98.96111,24.90389,99.61648,25.55924
100,2000.0,98.30574,25.55924,79.95539,22.28242
101,2020.0,45.87866,17.69488,9.17543,13.76271
102,2040.0,-11.79631,14.41806,-11.79629,15.72879
103,2060.0,-10.48554,17.03951,-9.83019,17.03951
104,2080.0,-10.48555,18.35025,-9.83018,19.00561
105,2100.0,-10.48555,19.66098,-9.83018,20.31635
106,2120.0,-10.48554,20.31636,-10.48553,20.97172
107,2140.0,-10.48555,20.97173,-10.48554,21.62708
108,2160.0,-10.48555,21.62709,-10.48554,22.28245
109,2180.0,-10.48555,22.28245,-10.48555,22.28245
110,2200.0,-10.48555,22.28245,-10.48555,22.28245
111,2220.0,-10.48556,22.93781,-9.83019,22.9378
112,2240.0,-9.8302,22.28244,-9.83019,22.28244
113,2260.0,-10.48556,22.28244,-9.8302,22.28244
114,2280.0,-10.48556,22.28244,-10.48556,22.28244
115,2300.0,-10.48557,21.62708,-9.8302,21.62707
116,2320.0,-9.83021,20.97171,-3.9319,20.9717
117,2340.0,6.55401,20.9717,7.2094,20.97169
118,2360.0,5.89866,20.9717,5.89866,20.9717
119,2380.0,6.55402,20.31634,5.89866,20.31634
120,2400.0,5.89865,20.31633,5.89865,20.31633
121,2420.0,5.89865,20.31633,5.89865,19.66096
122,2440.0,5.24328,19.66097,5.24328,19.66096
123,2460.0,5.24328,19.0056,5.24328,19.0056
124,2480.0,5.89863,19.0056,5.24328,18.35023
125,2500.0,5.24327,18.35023,5.24327,18.35023
126,2520.0,5.24326,17.69487,4.58791,17.69486
127,2540.0,4.5879,17.0395,4.5879,16.38414
128,2560.0,3.93253,16.38414,3.93253,15.72877
129,2580.0,3.93252,15.72877,3.93253,15.72877
130,2600.0,3.93253,15.72877,3.93253,15.0734
131,2620.0,3.93252,15.07341,3.93252,15.0734
132,2640.0,12.45229,16.38413,32.11336,18.35022
133,2660.0,39.97784,18.35022,38.01176,18.35022
134,2680.0,38.01175,18.35022,38.6671,18.35022
135,2700.0,38.66709,17.69486,39.32246,17.69485
136,2720.0,38.66709,17.69486,39.32245,18.35022
137,2740.0,39.32244,17.69486,39.97781,18.35022
138,2760.0,39.32243,17.69486,39.32244,17.69485
139,2780.0,39.32244,17.69485,39.32244,17.69485
140,2800.0,44.56537,18.35022,49.15298,19.00558
141,2820.0,48.49762,18.35022,48.49761,18.35022
142,2840.0,48.49761,18.35022,48.49761,18.35022
143,2860.0,48.49761,18.35022,48.49761,18.35022
144,2880.0,48.4976,18.35022,48.4976,18.35022
145,2900.0,48.4976,18.35022,48.4976,18.35022
146,2920.0,48.4976,18.35023,49.15296,18.35022
147,2940.0,48.49759,18.35022,48.4976,17.69485
148,2960.0,55.05125,18.35022,72.09085,20.3163
149,2980.0,83.23221,20.3163,83.23224,19.66093
150,3000.0,82.57685,19.66094,82.57685,19.66094
151,3020.0,82.57685,19.00558,81.92149,19.66093
152,3040.0,82.57684,19.66094,81.92148,19.00557
153,3060.0,81.92147,19.66093,81.92147,19.00557
154,3080.0,81.26611,19.66094,81.26611,19.00557
155,3100.0,81.26611,19.00557,81.26611,19.00557
156,3120.0,80.61075,19.00558,80.61075,19.00557
157,3140.0,80.61075,19.00557,81.26611,18.3502
158,3160.0,81.26609,18.3502,83.88758,18.3502
159,3180.0,88.47519,19.66093,89.78595,19.66093
160,3200.0,89.13058,19.00558,89.78594,19.00557
161,3220.0,89.78594,19.00557,89.78594,19.00557
162,3240.0,90.44129,19.66093,89.78594,19.00557
163,3260.0,90.44129,19.00557,89.78593,19.00557
164,3280.0,90.44129,19.00557,91.09666,19.00557
165,3300.0,91.09665,19.00556,89.13057,19.00556
166,3320.0,77.9893,19.00557,72.09097,19.00558
167,3340.0,74.05706,19.00558,74.71243,19.00558
168,3360.0,74.71242,19.00558,75.36779,19.00557
169,3380.0,75.36778,19.00558,75.36778,18.35021
170,3400.0,76.02314,18.35021,76.6785,18.35021
171,3420.0,77.33384,18.35021,77.33384,19.00622
172,3440.0,77.98919,18.3502,77.98919,17.69483
173,3460.0,71.43551,15.72874,43.90997,9.83046
174,3480.0,9.1754,3.93218,-11.79635,2.62146
175,3500.0,-11.14097,5.24292,-8.5195,6.55365
176,3520.0,-7.86414,7.86438,-7.20877,8.51976
177,3540.0,-7.20877,9.17513,-6.55341,10.48585
178,3560.0,-6.55341,11.14122,-6.55342,11.14122
179,3580.0,-5.89807,11.79659,-5.89806,12.45195
180,3600.0,-6.55343,12.45196,-6.55343,12.45196
181,3620.0,-7.20879,13.10732,-6.55343,13.76268
182,3640.0,-6.55343,13.10732,-6.55343,13.10732
183,3660.0,-7.2088,14.41805,-9.83026,15.72879
184,3680.0,-9.17489,16.38415,-8.51953,15.72879
185,3700.0,-8.51954,15.72879,-8.51954,16.38415
186,3720.0,-8.51955,16.38415,-45.21971,15.72879
187,3740.0,-8.51956,15.72879,-9.17491,16.38414
188,3760.0,-8.51956,15.72878,-8.51955,15.72877
189,3780.0,-9.17493,15.72878,-8.51956,15.72878
190,3800.0,-9.17492,15.07342,-8.51956,15.07341
191,3820.0,-9.17493,15.07341,-9.17493,14.41804
192,3840.0,-9.17493,14.41804,-9.17493,14.41803
193,3860.0,-9.8303,13.76268,-9.17494,13.76267
194,3880.0,-9.8303,13.10731,-9.17494,13.1073
195,3900.0,-9.83031,13.10731,-9.17494,13.1073
196,3920.0,-9.17495,12.45194,-9.17494,11.79658
197,3940.0,-9.17495,11.79658,-9.83031,11.79657
198,3960.0,-9.83031,11.1412,-9.83031,10.48583
199,3980.0,-9.83031,10.48583,-9.83031,10.48583
200,4000.0,-9.17495,9.83047,-9.17495,10.48583
201,4020.0,-9.83031,9.83047,-9.17494,9.83047
202,4040.0,-9.17495,9.83047,-9.8303,9.83046
203,4060.0,-9.17495,9.83046,-9.17494,9.83046
204,4080.0,-9.17495,9.83047,-7.86423,9.83046
205,4100.0,13.10748,14.41801,51.11883,19.6609
206,4120.0,83.23198,22.28235,98.30564,22.93772
