,T,LX,LY,RX,RY
0,0.0,0.0,0.0,0.0,0.0
1,20.0,-36.70063,-6.55352,-26.87008,-3.27676
2,40.0,-42.5989,-6.55352,-26.21214,-2.62142
3,60.0,-41.94354,-6.55353,-26.21468,-2.62142
4,80.0,-41.94353,-6.55354,-25.55932,-2.62143
5,100.0,-41.94353,-6.55355,-25.55932,-2.62144
6,120.0,-41.28817,-6.55355,-24.90396,-2.62144
7,140.0,-41.28817,-6.55356,-24.90396,-3.27681
8,160.0,-41.28817,-6.55357,-24.2486,-2.62146
9,180.0,-41.28817,-5.89822,-24.90396,-1.31074
10,200.0,-41.28817,-4.5875,-25.55933,-0.65538
11,220.0,-41.28818,-3.93214,-25.55933,-1.9999999999243e-05
12,240.0,-41.28818,-3.27677,-24.90398,-2.9999999995312e-05
13,260.0,-39.97747,-3.93214,-23.59327,-0.65539
14,280.0,-39.32213,-4.5875,-22.28255,-1.31075
15,300.0,-38.01141,-5.24286,-21.6272,-1.31076
16,320.0,-37.35605,-5.24286,-20.97184,-1.96612
17,340.0,-36.70068,-5.24287,-19.66111,-1.96613
18,360.0,-36.04533,-5.24288,-19.00575,-1.96613
19,380.0,-34.73461,-5.89824,-19.00576,-2.62149
20,400.0,-34.73461,-6.55361,-18.3504,-3.27685
21,420.0,-34.73461,-7.20897,-17.69505,-3.27686
22,440.0,-34.73462,-7.20897,-18.35041,-3.93222
23,460.0,-34.73462,-7.20897,-18.35041,-3.27686
24,480.0,-37.35608,-7.86432,-23.59334,-2.62147
25,500.0,-39.32218,-5.89823,-22.93796,-1.96612
26,520.0,-39.32217,-5.24287,-22.93796,-1.96612
27,540.0,-39.97753,-5.24287,-23.59331,-1.31076
28,560.0,-39.97752,-5.24288,-23.59331,-1.31076
29,580.0,-39.97752,-4.58752,-24.24866,-1.31077
30,600.0,-40.63288,-4.58752,-24.24866,-0.65541
31,620.0,-40.63286,-4.58752,-24.24864,-1.31077
32,640.0,-41.28822,-4.58752,-24.904,-0.65542
33,660.0,-41.28821,-4.58753,-24.904,-0.65542
34,680.0,-41.94356,-4.58753,-25.55934,-5.000000000166e-05
35,700.0,-42.59891,-3.93217,-26.21469,-5.9999999997729e-05
36,720.0,-42.5989,-3.27681,-26.87004,-5.9999999997729e-05
37,740.0,-43.25425,-3.27681,-27.52284,-5.9999999997729e-05
38,760.0,-43.90959,-3.27682,-27.52538,0.65529
39,780.0,-43.90959,-3.93219,-27.52537,-7.0000000000903e-05
40,800.0,-44.56493,-3.93218,-27.52536,-7.0000000000903e-05
41,820.0,-44.56493,-3.27682,-28.83607,0.65529
42,840.0,-45.87563,-3.27682,-30.14676,0.65529
43,860.0,-46.53097,-2.62146,-30.14674,1.31065
44,880.0,-46.53095,-2.62147,-30.80209,1.31065
45,900.0,-47.84166,-2.62146,-31.45744,0.65528
46,920.0,-48.49701,-3.27683,-31.45744,-7.9999999996971e-05
47,940.0,-48.49701,-3.27682,-32.1128,-0.65543
48,960.0,-48.49702,-4.58754,-32.11281,-0.65544
49,980.0,-49.15239,-4.58755,-32.76817,-1.3108
50,1000.0,-49.15239,-5.24291,-33.42354,-1.3108
51,1020.0,-49.80775,-5.24292,-32.76818,-1.31081
52,1040.0,-49.15239,-5.24293,-32.76817,-1.96618
53,1060.0,-48.49703,-5.24294,-32.11281,-1.96619
54,1080.0,-48.49703,-5.8983,-31.45746,-1.96619
55,1100.0,-47.84167,-5.89831,-32.11283,-1.96619
56,1120.0,-48.49704,-5.8983,-32.76819,-1.96619
57,1140.0,-49.15241,-5.89829,-33.42355,-1.96618
58,1160.0,-50.46313,-6.55365,-33.42356,-2.62154
59,1180.0,-49.80777,-6.55366,-32.7682,-3.93227
60,1200.0,-45.87557,-7.20903,-28.83599,-4.58763
61,1220.0,-45.22021,-7.86439,-28.836,-4.58763
62,1240.0,-45.87557,-7.86438,-30.14673,-3.93227
63,1260.0,-46.53093,-7.86438,-30.14673,-4.58762
64,1280.0,-47.18629,-7.86438,-30.80208,-3.93227
65,1300.0,-47.18629,-7.86438,-30.14672,-3.93228
66,1320.0,-35.3897,-5.89831,-11.79641,-2.62155
67,1340.0,-30.14673,-6.55367,-14.41788,-1.96619
68,1360.0,-30.80209,-5.89831,-14.41788,-1.9662
69,1380.0,-30.80209,-5.89831,-14.41789,-2.62156
70,1400.0,-31.45746,-5.89831,-15.07325,-2.62156
71,1420.0,-31.45747,-5.89831,-15.07325,-2.62156
72,1440.0,-31.45747,-6.55368,-15.72861,-2.62157
73,1460.0,-32.11283,-6.55368,-15.72862,-3.27692
74,1480.0,-32.11283,-6.55368,-16.38399,-3.27693
75,1500.0,-32.7682,-7.20904,-16.38399,-3.27693
76,1520.0,-33.42356,-7.20904,-17.03935,-3.93229
77,1540.0,-33.42356,-7.20905,-7.86422,-1.31084
78,1560.0,-11.14106,-3.93222,6.5539,-0.65547
79,1580.0,-11.7964,-3.93222,4.5878,-0.65546
80,1600.0,-11.79641,-4.58758,5.24314,-1.31083
81,1620.0,-11.14108,-5.24294,5.24313,-1.96618
82,1640.0,-11.79644,-5.24294,4.58777,-1.31081
83,1660.0,-11.79644,-5.24292,3.9324,-1.31081
84,1680.0,-12.45181,-5.24292,3.27704,-1.3108
85,1700.0,-13.10718,-5.24291,2.62167,-1.3108
86,1720.0,-14.41791,-5.2429,1.31094,-1.96615
87,1740.0,-15.07327,-5.89826,1.31093,-2.62151
88,1760.0,-15.72864,-6.55363,0.65556,-3.27687
89,1780.0,-15.72865,-7.20899,0.65556,-3.27688
90,1800.0,-15.72866,-7.20899,0.00019000000000347,-3.27688
91,1820.0,-16.38402,-7.20899,0.00019000000000347,-3.93224
92,1840.0,-16.38403,-7.86436,5.24311,-2.62151
93,1860.0,-0.65522,-6.55361,16.38438,-2.6215
94,1880.0,-1.31058,-6.5536,15.07362,-3.27685
95,1900.0,-1.31059,-7.20896,15.07361,-3.93221
96,1920.0,-1.96597,-7.20895,14.41824,-3.93221
97,1940.0,-1.96598,-7.86432,14.41823,-3.93221
98,1960.0,-1.96599,-7.20896,14.41822,-3.93222
99,1980.0,-1.96599,-7.86433,14.41823,-3.93223
100,2000.0,-1.31062,-7.20898,14.41824,-3.27687
