,T,LX,LY,RX,RY
0,0.0,0.0,0.0,0.0,0.0
1,20.0,0.65536,-0.65537,0.0,-0.65537
2,40.0,0.65537,-0.65538,0.65536,-0.65537
3,60.0,0.65535,-1.31073,1.31072,-0.65537
4,80.0,1.31072,-1.31074,1.31073,-1.31073
5,100.0,1.96608,-1.9661,1.96608,-1.31073
6,120.0,1.96608,-1.9661,1.96608,-1.96609
7,140.0,1.96608,-2.62147,1.96608,-1.96609
8,160.0,2.62144,-3.27683,2.62144,-2.62145
9,180.0,2.62144,-3.27683,2.62144,-3.27682
10,200.0,3.2768,-3.9322,3.93215,-3.93218
11,220.0,3.93216,-4.58755,4.58752,-5.24291
12,240.0,4.58751,-5.89829,4.58751,-5.89827
13,260.0,5.24287,-5.89829,4.58751,-5.24291
14,280.0,4.58751,-5.24292,4.58752,-5.2429
15,300.0,4.58752,-5.24291,3.93216,-5.2429
16,320.0,4.58752,-5.24291,4.58752,-5.2429
17,340.0,4.58752,-5.89827,4.58752,-5.2429
18,360.0,4.58752,-5.24291,3.93217,-4.58753
19,380.0,3.27681,-4.58754,3.27681,-3.93216
20,400.0,3.27682,-3.2768,2.62145,-3.2768
21,420.0,2.62146,-3.27681,1.9661,-3.27679
22,440.0,1.9661,-3.27681,1.9661,-2.62143
23,460.0,1.9661,-3.2768,1.31074,-3.27679
24,480.0,1.9661,-3.93217,1.9661,-4.58752
25,500.0,2.62145,-6.55362,3.93216,-7.86434
26,520.0,3.93217,-9.17508,5.24288,-13.10726
27,540.0,6.55358,-13.76265,5.89823,-15.07336
28,560.0,5.24286,-15.72874,10.48578,-15.07337
29,580.0,36.04517,-11.79658,58.32774,-5.89828
30,600.0,59.63855,-4.58757,53.74029,-1.31073
31,620.0,51.11885,0.65535,51.11886,2.62146
32,640.0,49.15279,3.93219,48.49744,5.24293
33,660.0,48.49745,5.24293,48.49745,5.8983
34,680.0,47.8421,6.55366,47.18675,7.20904
35,700.0,47.18676,7.20902,47.18676,7.8644
36,720.0,47.18676,7.20904,47.18677,7.86441
37,740.0,47.18677,7.20903,46.53141,7.20905
38,760.0,45.87605,6.55368,45.87605,6.55369
39,780.0,45.22068,6.55367,45.87604,6.55369
40,800.0,45.22068,6.55368,45.22068,6.55368
41,820.0,45.22068,5.24295,45.22068,5.89833
42,840.0,45.22068,5.24295,45.22067,5.89832
43,860.0,45.87603,5.24296,45.22066,5.89833
44,880.0,45.87602,5.89831,45.87601,5.89833
45,900.0,45.87601,5.89831,45.22064,6.55369
46,920.0,45.876,5.89832,45.22063,5.89833
47,940.0,45.22063,5.89832,44.56527,6.55369
48,960.0,45.22063,5.89832,44.56527,6.5537
49,980.0,45.22063,5.89832,45.22062,5.89834
50,1000.0,45.87598,5.89832,45.22062,6.5537
51,1020.0,45.22061,5.89833,45.22061,5.89834
52,1040.0,45.87596,4.5876,45.87596,5.24298
53,1060.0,45.87596,5.24297,58.32795,8.5198
54,1080.0,76.02293,11.79662,81.92128,11.14127
55,1100.0,79.95517,10.4859,77.33372,11.14128
56,1120.0,77.98908,10.48591,78.64444,10.48592
57,1140.0,78.64444,9.83054,78.64444,10.48592
58,1160.0,77.98908,9.83055,77.98908,9.1752
59,1180.0,78.64444,9.17519,78.64444,9.1752
60,1200.0,78.64444,8.51983,78.64444,9.1752
61,1220.0,78.64444,8.51983,78.64444,8.51984
62,1240.0,82.57663,10.48593,95.02867,14.41815
63,1260.0,102.23775,14.41815,104.20388,14.41816
64,1280.0,102.89313,14.41815,101.58241,15.72889
65,1300.0,101.58242,15.72889,100.92706,16.38426
66,1320.0,100.27171,16.38426,99.61635,18.35036
67,1340.0,98.30563,18.35035,97.65028,19.66109
68,1360.0,96.99493,20.97181,96.33958,21.62718
69,1380.0,95.68423,22.28253,95.02887,22.93791
70,1400.0,94.37351,23.59326,93.71815,24.24864
71,1420.0,93.0628,24.90399,92.40744,24.904
72,1440.0,92.40745,24.904,91.09674,26.21473
73,1460.0,100.2719,27.52547,115.3454,30.80234
74,1480.0,116.65618,32.11304,111.41328,35.38988
75,1500.0,107.48113,37.35595,107.48114,39.32207
76,1520.0,105.51508,39.32208,104.85973,41.28818
77,1540.0,102.89366,42.59891,102.24049,43.2543
78,1560.0,102.23833,43.2543,100.92762,43.25433
79,1580.0,99.61691,43.25432,98.96155,43.25435
80,1600.0,98.3062,43.25435,98.30622,43.25437
81,1620.0,97.65086,43.25436,93.71866,43.25435
82,1640.0,60.29485,41.28809,9.83142,40.63266
83,1660.0,-28.17994,37.35579,-37.35512,38.66651
84,1680.0,-34.07822,39.97726,-33.42281,42.59874
85,1700.0,-35.38886,43.2541,-36.0442,43.25412
86,1720.0,-36.04418,43.25411,-36.04416,43.25413
87,1740.0,-36.04415,43.25413,-36.04414,43.25414
88,1760.0,-35.38879,43.25412,-34.73342,43.25413
89,1780.0,-34.73342,43.25412,-34.07806,43.25413
90,1800.0,-32.76736,41.94339,-32.112,41.28803
91,1820.0,-31.45665,39.9773,-30.80129,38.66658
92,1840.0,-29.49059,37.35584,-28.83524,36.70048
93,1860.0,-28.17989,35.38975,-27.52453,34.73439
94,1880.0,-27.52453,33.42366,-26.86919,33.42366
95,1900.0,-26.21383,32.11292,-26.21385,31.45757
96,1920.0,-24.24777,30.80219,-5.89747,32.76829
97,1940.0,20.9726,36.70046,38.66758,38.01121
98,1960.0,39.32295,37.35584,36.04613,37.35586
99,1980.0,36.70148,36.70049,37.35685,36.70051
100,2000.0,37.35685,36.04514,38.0122,36.04516
101,2020.0,38.0122,35.38979,38.66755,36.04516
102,2040.0,38.66756,36.04515,38.66756,35.38981
103,2060.0,39.32291,35.3898,38.66755,36.04518
104,2080.0,39.32291,35.3898,39.32275,36.04518
105,2100.0,38.66754,36.04518,38.66755,36.04519
106,2120.0,39.3229,35.38982,39.3229,36.04519
107,2140.0,39.3229,35.38982,39.32289,35.38983
108,2160.0,39.32289,34.73446,39.32289,35.38983
109,2180.0,39.32288,34.0791,39.32288,34.07911
110,2200.0,39.32288,33.42374,39.97823,33.42375
111,2220.0,39.97823,32.76838,39.97822,32.76839
112,2240.0,39.97822,32.11301,40.63357,32.76838
113,2260.0,40.63357,31.45765,40.63356,30.80229
114,2280.0,40.63355,30.14691,40.63353,29.49155
115,2300.0,39.97817,28.83618,45.22108,30.80228
116,2320.0,66.84826,32.76838,90.44153,38.01132
117,2340.0,95.68452,35.38987,91.09694,36.70059
118,2360.0,89.13085,36.04523,89.78622,36.04524
119,2380.0,89.78622,35.38987,89.13086,35.38988
120,2400.0,89.13085,34.73451,89.13085,34.73452
121,2420.0,89.78621,34.07915,89.13085,34.07915
122,2440.0,89.7862,33.42378,89.78619,34.07915
123,2460.0,90.44155,34.07915,90.44155,34.07915
124,2480.0,90.44154,33.42378,91.0969,33.42378
125,2500.0,91.09689,33.42378,91.09689,33.42379
126,2520.0,91.75225,32.76841,91.09689,32.76842
127,2540.0,91.09689,32.11305,91.75225,32.11306
128,2560.0,91.75225,32.11305,91.75224,31.45769
129,2580.0,91.75225,30.80232,92.40761,30.80233
130,2600.0,91.75224,30.80232,92.4076,30.80233
131,2620.0,93.06296,30.14696,93.06295,29.4916
132,2640.0,93.06294,28.83624,93.06295,28.83624
133,2660.0,93.06294,26.87014,86.50925,25.55938
134,2680.0,51.77467,18.35026,8.5203,20.31632
135,2700.0,-15.72833,18.35018,-19.00517,19.66089
136,2720.0,-17.69438,22.28237,-19.00503,24.24849
137,2740.0,-20.31575,24.90387,-20.31571,26.2146
138,2760.0,-19.66033,26.86995,-20.31567,28.18066
139,2780.0,-19.66029,27.52526,-19.66028,27.52525
140,2800.0,-19.66027,26.21448,-19.0049,25.55909
141,2820.0,-18.34952,24.90368,-17.69415,24.2483
142,2840.0,-17.03878,22.93753,-17.03876,21.62679
143,2860.0,-16.38339,19.66067,-15.72802,19.00531
144,2880.0,-15.72801,17.0392,-15.72801,17.0392
145,2900.0,-15.72801,15.72847,-15.07265,43.25359
146,2920.0,-15.07265,13.76237,-21.62631,16.38383
147,2940.0,-26.86927,15.72846,-26.86928,14.41775
148,2960.0,-25.55854,14.41773,-24.90318,14.41775
149,2980.0,-25.55853,13.10702,-24.90317,13.10704
150,3000.0,-24.90318,11.7963,-24.90319,12.45169
151,3020.0,-24.24783,11.14096,-23.59247,10.48561
152,3040.0,-22.93712,9.17488,-22.93713,9.17488
153,3060.0,-22.28178,7.86414,-21.62642,7.20879
154,3080.0,-20.97109,5.89804,-20.9711,5.24268
155,3100.0,-17.6943,4.5873,3.2775,6.55339
156,3120.0,32.11369,11.79626,43.25498,11.79626
157,3140.0,41.94427,11.79626,39.32281,10.48555
158,3160.0,40.63354,9.1748,41.94426,9.17481
159,3180.0,41.94426,8.51943,41.94426,7.86407
160,3200.0,43.25498,7.86405,43.25497,6.55333
161,3220.0,43.91033,5.89794,43.25496,5.24257
162,3240.0,43.91032,4.58718,43.91031,3.93182
163,3260.0,43.91031,3.27644,43.91031,3.27643
164,3280.0,43.91031,1.96568,44.56567,1.96567
165,3300.0,44.56568,1.31029,45.22104,0.65492
166,3320.0,45.8764,-0.0004600000000039,46.53176,-0.00045000000000073
167,3340.0,46.53176,-0.65582,47.18711,-1.31117
168,3360.0,47.1871,-2.62189,47.84244,-3.27721
169,3380.0,48.49777,-3.93251,49.15308,-4.58777
170,3400.0,49.80839,-5.89839,49.80832,-6.55361
171,3420.0,49.80827,-7.20887,49.15286,-7.86413
172,3440.0,49.80815,-9.17475,55.05103,-5.8978
173,3460.0,69.46912,-5.24233,76.02277,-3.93152
174,3480.0,74.05665,-5.2422,72.09051,-4.58676
175,3500.0,72.74583,-5.89744,74.05652,-5.89739
176,3520.0,74.0565,-6.55277,74.05648,-7.20814
177,3540.0,74.71183,-7.86354,75.36719,-8.51891
178,3560.0,74.71182,-9.1743,75.36718,-9.82969
179,3580.0,75.36719,-10.48511,75.36719,-11.14051
180,3600.0,75.3672,-11.79591,75.3672,-11.79592
181,3620.0,76.02257,-13.10666,75.36721,-13.10668
182,3640.0,76.02257,-13.76208,75.36722,-14.41746
183,3660.0,76.02259,-15.07286,75.36724,-15.72823
184,3680.0,76.67796,-17.03898,76.02261,-17.03899
185,3700.0,76.02262,-18.34975,76.02262,-18.34977
186,3720.0,84.54241,-17.03907,104.20349,-15.72831
187,3740.0,112.72331,-17.03905,110.75722,-15.72834
188,3760.0,107.48041,-17.0391,108.13579,-17.0391
189,3780.0,108.79117,-17.03912,108.79119,-17.03912
190,3800.0,108.79119,-17.03914,109.44655,-17.69448
191,3820.0,110.10191,-17.6945,110.10192,-17.69449
192,3840.0,110.10192,-18.34988,110.10193,-18.34989
193,3860.0,110.10194,-19.00529,110.10195,-19.0053
194,3880.0,110.75731,-19.66069,110.75732,-19.66068
195,3900.0,110.75733,-19.66071,111.41269,-19.66071
196,3920.0,111.41271,-19.66074,111.41271,-19.66075
197,3940.0,111.41273,-19.66078,110.75738,-19.00541
198,3960.0,110.75739,-19.00544,111.41275,-18.35008
199,3980.0,111.41276,-19.00546,111.41277,-18.3501
200,4000.0,102.893,-19.66087,64.22626,-24.90389
201,4020.0,13.1075,-30.14688,-15.72873,-29.49159
202,4040.0,-17.03946,-30.147,-13.10722,-27.52555
203,4060.0,-12.45183,-27.52557,-13.10718,-26.87021
204,4080.0,-13.10716,-26.21487,-12.45177,-25.55951
205,4100.0,-12.45175,-24.90418,-12.45173,-24.24881
206,4120.0,-11.79636,-24.24883,-12.45171,-23.59346
207,4140.0,-11.79633,-24.24883,-11.79633,-24.24882
208,4160.0,-11.14097,-24.90419,-10.48561,-25.55955
209,4180.0,-9.83024,-26.21493,-9.17487,-26.87028
210,4200.0,-9.17487,-27.52566,-8.51951,-27.52566
211,4220.0,-7.86414,-27.52568,-7.20878,-28.18103
212,4240.0,-6.55342,-28.18105,-5.89807,-28.8364
213,4260.0,-5.24271,-28.83641,-5.24271,-28.8364
214,4280.0,-5.24271,-29.49177,-4.58736,-30.14712
215,4300.0,0.65557,-28.8364,14.41834,-26.21493
216,4320.0,21.6274,-26.87032,22.93815,-26.21492
217,4340.0,21.62741,-26.87029,22.28277,-26.87027
218,4360.0,22.93813,-27.52564,23.59348,-26.87026
219,4380.0,23.59348,-28.18098,23.59347,-28.83633
220,4400.0,24.24883,-28.83634,24.24882,-28.18097
221,4420.0,24.24882,-29.49169,24.24882,-28.83631
222,4440.0,24.90416,-29.49168,24.90417,-29.49167
223,4460.0,25.55952,-30.14704,26.21487,-30.14703
224,4480.0,26.21487,-30.14704,25.55951,-30.14702
225,4500.0,27.52559,-30.14703,39.32227,-26.21483
226,4520.0,50.46354,-23.59339,54.39579,-22.938
227,4540.0,52.4297,-22.28265,51.11898,-21.62727
228,4560.0,52.4297,-21.62728,52.42971,-21.62726
229,4580.0,52.4297,-20.97191,52.42971,-20.97189
230,4600.0,52.43227,-21.62726,53.08508,-21.62725
231,4620.0,52.42972,-21.62726,52.42972,-20.97188
232,4640.0,52.42972,-21.62725,52.42973,-21.62724
233,4660.0,52.42973,-21.62725,53.08509,-21.62724
234,4680.0,53.74046,-22.28262,53.74046,-21.62725
235,4700.0,53.74046,-22.28262,53.74046,-22.2826
236,4720.0,53.74045,-23.59334,54.39582,-22.93797
237,4740.0,67.50321,-20.31651,81.26597,-19.00578
238,4760.0,85.19819,-19.00577,83.88746,-19.00577
239,4780.0,82.57673,-19.66113,83.88746,-19.66112
240,4800.0,84.54282,-20.31649,83.88746,-20.31648
241,4820.0,84.54282,-20.97184,84.54282,-20.97183
242,4840.0,84.54282,-21.6272,84.54283,-21.62719
243,4860.0,84.54283,-22.28256,84.54283,-22.28255
244,4880.0,84.54283,-22.93792,84.54283,-22.93791
245,4900.0,85.1982,-23.59329,84.54283,-22.93792
246,4920.0,85.1982,-24.24865,85.85356,-24.24864
247,4940.0,86.50892,-24.90401,86.50892,-24.24865
248,4960.0,86.50892,-24.90402,87.81964,-24.24865
249,4980.0,99.61629,-22.9379,114.68977,-18.35032
250,5000.0,120.58809,-19.66104,119.27736,-18.35031
251,5020.0,117.96663,-19.66105,118.62199,-19.00568
252,5040.0,119.27736,-19.66104,119.27735,-19.66103
253,5060.0,119.27736,-20.3164,119.93271,-20.31639
254,5080.0,119.93271,-20.97176,119.93271,-20.31638
255,5100.0,120.58807,-20.97176,119.93271,-20.31638
256,5120.0,120.58806,-20.97175,120.58807,-20.97174
257,5140.0,119.9327,-20.97176,120.58806,-20.97175
258,5160.0,120.58806,-21.62712,121.24342,-20.97175
259,5180.0,121.24342,-21.62712,121.24342,-21.62711
260,5200.0,121.24342,-22.28247,115.34512,-22.93785
261,5220.0,81.92132,-27.52551,35.39013,-28.83628
262,5240.0,-0.65515,-29.49167,-15.72861,-27.52561
263,5260.0,-14.41787,-24.2488,-14.4178,-20.3166
264,5280.0,-15.7285,-18.35051,-17.69456,-15.07369
265,5300.0,-18.34989,-13.76296,-19.00523,-10.48611
266,5320.0,-19.00521,-9.17538,-18.34983,-7.20927
267,5340.0,-18.34981,-5.89855,-18.34979,-5.24316
268,5360.0,-17.69442,-4.58781,-17.03905,-3.93245
269,5380.0,-17.03904,-5.24318,-16.38367,-6.55392
270,5400.0,-16.38367,-7.86465,-16.38366,-9.17538
271,5420.0,-16.38365,-10.48611,-17.03902,-11.14147
272,5440.0,-16.38365,-12.4522,-17.03902,-12.45219
