,T,LX,LY,RX,RY
0,0.0,0.0,0.0,0.0,0.0
1,20.0,0.65536,0.0,0.65535999999999,-0.65536
2,40.0,0.65536,0.0,0.65535,-0.65536
3,60.0,0.65535,0.0,0.65534,-1.31074
4,80.0,1.3107,-0.65538,1.3107,-2.62146
5,100.0,1.96605,-2.62147,1.96604,-4.58756
6,120.0,2.62141,-3.9322,2.6214,-4.58756
7,140.0,2.62141,-3.27684,1.96604,-3.27683
8,160.0,1.96605,-2.62148,1.96605,-3.9322
9,180.0,1.31069,-2.62147,0.65532,-3.27683
10,200.0,0.65533,-2.62147,0.65532,-3.27684
11,220.0,0.65533,-2.62147,-4.0000000005591e-05,-3.27683
12,240.0,-3.0000000002417e-05,-1.96611,-3.0000000002417e-05,-2.62147
13,260.0,-3.0000000002417e-05,-1.96611,-3.0000000002417e-05,-1.96611
14,280.0,-3.0000000002417e-05,-1.31074,-0.6554,-1.96611
15,300.0,-3.0000000002417e-05,-1.31074,-0.6554,-1.31074
16,320.0,-0.65539,-0.65538,-0.65539,-0.65539
17,340.0,-0.65539,-0.65538,-0.65539,-1.31074
18,360.0,-0.65538,-0.65538,-0.65539,-0.65538
19,380.0,-0.65538,-1.9999999999243e-05,-0.65538,-0.65538
20,400.0,-1.31074,0.65535,-1.31075,-9.9999999960687e-06
21,420.0,-1.31073,0.65535,-1.31074,-9.9999999960687e-06
22,440.0,-1.31073,1.31071,-1.31073,-9.9999999960687e-06
23,460.0,-1.31073,1.31071,-1.96609,0.65536
24,480.0,-1.31072,1.31072,-1.96609,0.65601
25,500.0,-1.96608,1.31072,-1.96609,0.65536
26,520.0,-1.96608,1.31072,-1.96609,0.65536
27,540.0,-1.96608,1.31072,-1.96608,0.65536
28,560.0,-2.62144,1.31072,-1.96608,0.65536
29,580.0,-2.62143,1.31072,-2.62144,0.65536
30,600.0,-2.62144,1.31072,-2.62144,0.65536
31,620.0,-2.62143,0.65536,-3.2768,0.0
32,640.0,-2.62143,0.0,-2.62144,-1.31072
33,660.0,-2.62144,-0.65536,-2.62143,-1.96609
34,680.0,-1.96607,-1.31073,-2.62144,-3.27681
35,700.0,-1.96608,-3.27681,-1.96609,-3.93218
36,720.0,-1.31072,-3.27682,-1.96609,-4.58755
37,740.0,-1.31073,-3.27683,-1.96609,-3.93218
38,760.0,-1.96609,-2.62146,-1.9661,-3.27682
39,780.0,-1.96609,-1.9661,-1.96609,-2.62146
40,800.0,-2.62144,-1.96609,-2.62145,-1.96609
41,820.0,-2.62144,-1.31074,-3.2768,-1.96609
42,840.0,-3.2768,-1.31074,-3.27681,-1.9661
