,T,LX,LY,RX,RY
0,0.0,0.0,0.0,0.0,0.0
1,20.0,11.79672,-0.65536,2.0000000006348e-05,-1.9999999999243e-05
2,40.0,9.83062,9.9999999960687e-06,0.65537999999999,0.65535
3,60.0,11.14135,0.65537,1.31074,0.65535
4,80.0,11.79671,0.65537,1.96611,1.31072
5,100.0,11.79672,1.31074,2.62148,1.96608
6,120.0,12.45208,1.9661,3.27683,1.96608
7,140.0,13.10744,2.62147,3.27683,3.27681
8,160.0,13.10744,3.27683,2.62147,3.93218
9,180.0,12.45208,4.58756,2.62148,4.58754
10,200.0,12.45208,4.58756,2.62148,5.24291
11,220.0,12.45209,5.24293,2.62149,5.89827
12,240.0,11.79673,5.8983,1.96613,6.55364
13,260.0,12.45209,6.55366,1.96613,6.55364
14,280.0,12.4521,6.55366,3.93225,7.20901
15,300.0,15.07362,7.86439,4.58765,7.86438
16,320.0,14.41826,8.51975,3.9323,9.1751
17,340.0,13.10754,9.83048,2.62158,9.83047
18,360.0,12.45218,9.83048,1.96622,9.83047
19,380.0,11.14147,10.48585,1.31086,38.66632
20,400.0,10.48611,11.14122,0.65551000000001,11.79656
21,420.0,10.48611,11.79658,0.00015000000000498,12.45252
22,440.0,9.83075,12.45194,0.00015000000000498,13.10729
23,460.0,9.83076,12.45195,0.00015000000000498,13.10729
24,480.0,9.83076,13.76267,0.00015000000000498,13.76266
25,500.0,9.83076,13.76268,0.00015999999999394,13.76266
26,520.0,9.83076,13.76268,0.00015000000000498,13.1073
27,540.0,11.14146,13.10731,1.31086,11.79656
28,560.0,12.45218,11.14122,3.93228,11.1412
29,580.0,14.41824,10.48586,5.89835,10.48584
30,600.0,17.03968,10.48585,7.86443,10.48584
31,620.0,18.3504,10.48586,8.5198,10.48584
32,640.0,19.66113,10.48585,9.83051,11.14119
33,660.0,19.00576,10.48585,8.51978,11.1412
34,680.0,18.35039,11.14121,7.86442,11.14119
35,700.0,17.03966,11.14121,6.55369,11.14119
36,720.0,16.3843,11.1412,-77.33239,11.79655
37,740.0,15.72894,12.45192,6.55369,12.45191
38,760.0,16.38431,13.10728,6.5537,12.45191
39,780.0,16.38431,13.10729,6.55371,13.10727
40,800.0,17.03968,13.76265,7.20907,13.10727
41,820.0,17.03968,13.76265,7.20908,13.76263
42,840.0,17.03969,13.76265,6.55372,13.76263
43,860.0,16.38434,13.76265,5.89837,14.418
44,880.0,16.38434,14.41802,5.89838,14.418
45,900.0,15.72899,14.41802,5.24303,14.418
46,920.0,15.07365,14.41802,5.24305,15.07337
47,940.0,15.72903,15.07339,5.24307,15.72873
48,960.0,15.07368,15.72875,5.24309,16.3841
49,980.0,15.0737,16.38412,5.2431,17.03947
50,1000.0,15.07371,17.03948,4.58775,17.69483
51,1020.0,13.763,17.69485,3.27703,17.69484
52,1040.0,12.45228,17.69486,1.96632,18.3502
53,1060.0,11.14157,18.35022,0.65560000000001,18.3502
54,1080.0,8.52012,19.00558,-7.20879,19.00558
55,1100.0,2.62182,19.66096,-6.55342,20.3163
56,1120.0,2.62182,20.97168,-7.20878,21.62703
57,1140.0,2.62184,21.62705,-7.86413,22.28239
58,1160.0,1.96649,22.28241,-8.51949,22.93775
59,1180.0,1.96647,22.93778,-7.86414,22.93775
60,1200.0,2.62182,22.2824,-6.55343,22.28238
61,1220.0,3.27717,22.2824,-6.55344,22.28238
62,1240.0,3.93252,22.2824,-6.55344,22.28238
63,1260.0,3.93252,22.28239,-5.89808,22.28238
64,1280.0,3.27716,21.62703,-6.55344,22.28238
65,1300.0,3.27716,21.62704,-6.55343,21.62702
66,1320.0,3.27717,22.28239,1.96638,24.24848
67,1340.0,26.21522,24.90391,24.24908,24.90389
68,1360.0,33.42431,25.55926,22.28296,25.55924
69,1380.0,33.42428,25.55926,23.59368,25.55924
70,1400.0,34.07964,25.55926,24.24903,25.55924
71,1420.0,34.735,25.55926,24.90439,25.55924
72,1440.0,34.73499,25.55926,25.55975,25.55924
73,1460.0,35.39036,25.55926,25.55975,25.55924
74,1480.0,35.39036,25.55925,26.21511,25.55924
75,1500.0,36.04572,25.55925,25.55975,25.55924
76,1520.0,36.04572,25.55926,26.21511,25.55924
77,1540.0,35.39037,25.55926,25.55976,26.21461
78,1560.0,34.73502,26.21463,24.90441,26.21462
79,1580.0,34.07966,26.87,24.24906,26.86998
80,1600.0,41.28878,28.18075,43.91028,29.49149
81,1620.0,58.98388,29.49151,48.49791,30.14686
82,1640.0,57.67315,31.4576,48.4979,31.45758
83,1660.0,58.98387,31.4576,49.15326,31.45759
84,1680.0,58.32851,31.4576,49.15326,31.45758
85,1700.0,58.98387,31.45761,49.15327,31.45759
86,1720.0,58.32852,31.45761,48.49791,31.45759
87,1740.0,58.32852,31.45762,48.49791,31.4576
88,1760.0,57.67317,31.45762,47.1872,31.4576
89,1780.0,57.01781,32.11299,47.1872,32.11296
90,1800.0,53.74099,31.45763,34.07985,32.11297
91,1820.0,41.28898,32.11298,32.11374,32.76833
92,1840.0,42.59971,33.42371,32.7691,33.42369
93,1860.0,43.25506,33.42371,33.42445,33.42368
94,1880.0,43.91041,32.76834,34.73516,32.76832
95,1900.0,44.56576,32.76834,34.73515,32.76832
96,1920.0,44.56575,32.76834,34.07979,32.76832
97,1940.0,43.9104,32.11298,33.42443,32.11296
98,1960.0,43.25504,32.11298,33.42444,32.11296
99,1980.0,53.08564,33.42374,51.7749,33.42374
100,2000.0,64.22702,33.42376,52.43031,33.42374
101,2020.0,62.26091,34.07912,53.08566,34.0791
102,2040.0,62.91627,34.07912,53.08566,34.0791
103,2060.0,62.91627,34.07912,53.08567,34.0791
104,2080.0,62.91627,34.07912,52.43031,34.07911
105,2100.0,62.26091,34.07912,52.43031,34.07911
106,2120.0,62.26091,34.07913,51.77495,34.07911
107,2140.0,61.60556,34.07913,51.11959,33.42375
108,2160.0,60.9502,34.07912,51.11959,33.42374
109,2180.0,64.88238,34.73449,68.15928,35.38991
110,2200.0,87.16515,34.73459,78.64527,35.38992
111,2220.0,85.85442,36.04531,76.67917,36.04529
112,2240.0,87.16513,36.70066,77.33452,36.04528
113,2260.0,87.16512,36.0453,77.98987,36.04529
114,2280.0,87.82048,36.70067,77.98986,36.70065
115,2300.0,88.47758,36.70067,78.64522,37.35602
116,2320.0,88.47583,38.0114,79.30058,37.35602
117,2340.0,89.78654,38.0114,79.30058,38.66674
118,2360.0,89.13118,38.66676,79.30057,38.66674
119,2380.0,90.44192,38.66677,83.88817,38.66676
120,2400.0,93.06341,38.66678,82.57744,38.66677
121,2420.0,92.40804,38.66679,83.23279,38.66677
122,2440.0,93.06341,38.66679,83.23279,38.66678
123,2460.0,93.71876,38.6668,84.54351,38.66677
124,2480.0,95.68483,38.66678,86.50958,38.66676
125,2500.0,97.6509,38.66678,87.82029,38.66676
126,2520.0,95.68478,38.66677,59.63942,38.66673
127,2540.0,26.21571,37.35598,-20.9709,35.38987
