,T,LX,LY,RX,RY
0,0.0,0.0,0.0,0.0,0.0
1,20.0,-1.0000000003174e-05,0.65536,-1.9999999999243e-05,9.9999999960687e-06
2,40.0,-3.0000000002417e-05,0.0,-4.0000000005591e-05,9.9999999960687e-06
3,60.0,-0.65541,1.0000000003174e-05,-5.000000000166e-05,1.9999999999243e-05
4,80.0,-5.000000000166e-05,0.65537,-5.000000000166e-05,0.65537
5,100.0,-5.000000000166e-05,1.31072,-5.000000000166e-05,0.65537
6,120.0,0.6553,1.31071,0.6553,0.65535999999999
7,140.0,1.31066,1.31071,1.31066,0.65535999999999
8,160.0,1.31065,0.65536,1.96601,0.65535999999999
9,180.0,1.96601,1.31071,1.96601,0.65535
10,200.0,1.96601,1.31071,1.96601,0.65535999999999
11,220.0,2.62136,0.65535,2.62137,0.65537
12,240.0,2.62136,0.65537,2.62136,0.65537
13,260.0,2.62135,0.65538,3.27671,0.65539
14,280.0,3.27671,1.31074,3.93207,0.65539
15,300.0,3.27669,2.62147,2.6213,3.93222
16,320.0,3.27669,3.93221,3.93205,3.27685
17,340.0,4.58741,3.9322,4.58741,3.93221
18,360.0,5.24277,3.93221,5.89813,3.93221
19,380.0,5.89813,4.58756,5.89813,3.93222
20,400.0,5.89813,4.58757,6.55349,3.93222
21,420.0,6.55349,3.93221,6.55349,3.93222
22,440.0,6.55346,3.93222,6.55346,3.93223
23,460.0,6.55345,3.27686,5.89809,3.27687
24,480.0,5.89809,2.6215,5.89808,2.62151
25,500.0,5.24271,1.96615,5.2427,1.96617
26,520.0,5.24268,1.96616,5.24267,1.96617
27,540.0,4.5873,1.96616,3.93194,1.96616
28,560.0,3.93193,1.96615,3.93193,1.31079
29,580.0,3.27657,1.31078,3.27656,1.31078
30,600.0,2.6212,1.31077,1.31048,1.31077
31,620.0,1.31048,0.6554,1.31049,3.9999999998486e-05
32,640.0,0.65513,1.9999999999243e-05,0.65515,-0.65533000000001
33,660.0,-0.00021000000000271,-0.65535,-0.00019000000000347,-1.31072
34,680.0,-0.00018000000000029,-1.31074,-0.65553000000001,-1.96611
35,700.0,-0.65552,-1.96613,-0.6555,-2.6215
36,720.0,-1.31085,-1.96615,-1.31084,-1.96616
37,740.0,-53.73963,-1.96618,-2.62154,-1.31082
38,760.0,-3.2769,-1.31084,-3.27689,-1.31083
39,780.0,-3.93226,-1.96621,-4.58761,-1.96621
40,800.0,-4.58761,-1.96621,-5.24297,-2.62156
41,820.0,-5.24298,-1.96622,-5.89833,-1.9662
42,840.0,-5.89832,-1.96622,-5.89832,-1.9662
43,860.0,-5.89831,-1.31084,-5.89832,-1.9662
44,880.0,-5.89831,-1.31085,1.96612,0.65526
45,900.0,14.41825,0.65528,17.69512,1.31063
46,920.0,16.38437,0.65527,15.729,1.31064
47,940.0,15.729,1.31065,15.07365,1.31066
48,960.0,15.729,1.31065,15.729,1.31066
49,980.0,15.729,1.31065,15.729,1.96602
50,1000.0,15.07364,1.31065,15.07365,1.31065
51,1020.0,15.07365,1.31064,14.41829,0.65528
52,1040.0,14.41829,1.31063,14.41829,0.65528
53,1060.0,13.76293,1.31064,13.10757,1.31064
54,1080.0,13.10757,1.31064,12.45221,1.31065
55,1100.0,11.79684,1.966,11.14148,1.31066
56,1120.0,13.10756,3.27673,27.52575,6.55359
57,1140.0,38.01178,8.51968,38.01182,10.48579
58,1160.0,33.42425,11.79653,30.14745,14.41802
59,1180.0,26.21529,17.69486,23.59387,20.31637
60,1200.0,19.66173,22.93787,16.38495,24.904
61,1220.0,14.41888,26.87012,13.10818,26.21478
62,1240.0,11.79747,27.52552,10.48677,27.52554
63,1260.0,9.83141,28.18091,9.17606,28.18093
64,1280.0,8.52071,28.18093,6.55462,26.21485
65,1300.0,3.27777,23.59336,2.6224,22.93802
66,1320.0,2.62242,23.59338,2.62243,23.5934
67,1340.0,1.96707,23.59339,1.31171,23.5934
68,1360.0,1.31172,23.5934,1.31173,22.93804
69,1380.0,1.31174,22.93803,1.31174,22.28268
70,1400.0,1.31174,22.93803,0.65638999999999,22.28289
71,1420.0,1.31175,22.93804,0.65638999999999,21.62733
72,1440.0,1.31175,22.28268,0.65638,21.62733
73,1460.0,0.65638,21.62732,0.65638,21.62733
74,1480.0,1.31174,21.62732,5.24398,24.2488
75,1500.0,11.79769,26.21488,17.04065,24.90416
76,1520.0,18.35138,24.90415,17.04066,24.90417
77,1540.0,17.69601,25.55952,17.69601,25.55953
78,1560.0,17.69601,26.21489,17.69601,25.55954
79,1580.0,17.696,26.21489,17.696,26.21489
80,1600.0,18.35136,26.21489,18.35136,25.55952
81,1620.0,19.00672,26.21488,19.66208,26.21488
82,1640.0,20.31746,26.87024,28.83725,28.83634
83,1660.0,36.70172,30.14707,39.32321,30.14707
84,1680.0,39.32321,30.14707,40.63394,30.80244
85,1700.0,41.94469,31.45781,42.60006,31.45782
86,1720.0,43.9108,32.11318,44.56618,32.11319
87,1740.0,45.22154,32.11318,45.87691,31.45782
88,1760.0,45.87691,31.45782,46.53228,30.80247
89,1780.0,46.53228,30.80246,47.18763,30.80247
90,1800.0,47.18763,30.1471,48.49834,30.14711
91,1820.0,56.36278,31.45785,60.95038,30.8025
92,1840.0,61.60574,31.45786,60.95037,30.8025
93,1860.0,51.77532,31.45785,60.95036,30.8025
94,1880.0,60.95036,30.8025,60.29499,30.14715
95,1900.0,60.29499,30.80249,60.29498,30.14714
96,1920.0,59.63961,30.14713,58.98424,29.49178
97,1940.0,58.98423,29.49177,58.32886,29.49177
98,1960.0,57.67348,29.49177,57.67348,28.83641
99,1980.0,57.01811,29.49176,56.36273,29.49177
100,2000.0,58.98419,32.11322,73.40235,33.424
101,2020.0,82.57754,36.04544,81.92221,35.39009
102,2040.0,79.30073,36.7008,79.30073,36.04544
103,2060.0,79.95608,36.04541,81.92216,33.42395
104,2080.0,83.23287,31.45782,85.85431,28.18097
105,2100.0,87.82039,25.55946,88.47577,22.28261
106,2120.0,89.7865,20.97184,90.44187,18.35038
107,2140.0,91.09725,17.03961,91.75261,14.41813
108,2160.0,90.4419,12.45201,89.78654,10.48591
109,2180.0,89.78653,8.5198,90.44189,5.89834
110,2200.0,90.44188,5.24295,89.13115,3.27686
111,2220.0,88.47579,2.62148,87.82043,1.96612
112,2240.0,87.16507,1.31075,86.5097,1.31076
113,2260.0,85.85435,1.31074,85.85435,1.9999999999243e-05
114,2280.0,74.05774,-2.62144,39.32319,-12.45189
115,2300.0,-2.62049,-20.31627,-29.4906,-22.93772
116,2320.0,-30.14594,-20.97164,-27.52442,-19.6609
117,2340.0,-28.17978,-19.66091,-28.17978,-19.00554
118,2360.0,-27.52442,-19.00555,-27.52441,-19.66091
119,2380.0,-27.52441,-20.31629,-27.5244,-20.97165
120,2400.0,-27.5244,-20.97167,-27.52441,-21.62703
121,2420.0,-28.17978,-21.62704,-29.49051,-21.62704
122,2440.0,-30.14587,-21.62706,-30.80124,-21.62707
123,2460.0,-30.80124,-20.97172,-38.01026,-21.62707
124,2480.0,-48.49618,-20.97172,-50.4623,-20.31634
125,2500.0,-49.80691,-19.00562,-49.15153,-18.35026
126,2520.0,-49.80689,-17.03954,-50.46225,-16.38417
127,2540.0,-50.46225,-15.72883,-49.80688,-15.72882
128,2560.0,-49.80433,-15.07347,-49.80688,-14.4181
129,2580.0,-49.15152,-14.41811,-49.80688,-14.4181
130,2600.0,-49.15153,-14.41811,-49.15153,-14.41812
131,2620.0,-49.15154,-13.76276,-48.49618,-14.41812
132,2640.0,-48.49618,-14.41814,-47.84081,-13.76278
133,2660.0,-47.18545,-11.14132,-46.53008,-11.79668
134,2680.0,-45.87474,-11.14134,-45.21937,-11.14133
135,2700.0,-45.21938,-10.48597,-44.56401,-10.48595
136,2720.0,-44.56403,-10.48596,-43.90867,-10.48597
137,2740.0,-43.25331,-9.83062,-42.59795,-9.83061
138,2760.0,-41.9426,-9.83062,-41.9426,-9.83062
139,2780.0,-41.28724,-8.51991,-41.28725,-9.17527
140,2800.0,-40.6319,-9.17528,-39.97655,-9.17528
141,2820.0,-39.32119,-9.17529,-36.69973,-7.86457
142,2840.0,-23.59231,-5.89847,-14.41708,-6.55384
143,2860.0,-13.10636,-5.8985,-13.76175,-6.55385
144,2880.0,-13.1064,-5.24314,-12.45104,-5.89849
145,2900.0,-12.45104,-5.24315,-11.79569,-5.89851
146,2920.0,-11.14034,-5.24316,-11.7957,-4.5878
147,2940.0,-10.48498,-4.5878,-10.48498,-4.5878
148,2960.0,-10.48499,-3.93245,-10.48499,-4.58781
149,2980.0,-9.82964,-3.93246,-9.82964,-4.58782
150,3000.0,-9.17429,-3.93246,-9.1743,-4.58781
151,3020.0,-9.1743,-4.58783,-9.1743,-5.24319
152,3040.0,-8.51895,-5.2432,-8.51895,-5.2432
153,3060.0,-3.93138,-3.27712,9.83147,-2.62174
154,3080.0,15.72979,-3.27712,15.07697,-3.93248
155,3100.0,13.76368,-3.27712,15.07439,-3.93247
156,3120.0,14.41903,-4.58786,15.0744,-4.58785
157,3140.0,15.72975,-5.24322,15.72974,-5.24321
158,3160.0,16.3851,-5.24322,17.04045,-5.24322
159,3180.0,17.04045,-5.24323,17.04045,-5.89859
160,3200.0,17.6958,-5.8986,17.6958,-6.55396
161,3220.0,18.35116,-5.8986,18.35115,-6.55396
162,3240.0,18.35114,-6.55397,18.35114,-7.20932
163,3260.0,19.00649,-6.55396,19.66185,-7.20931
164,3280.0,19.66185,-7.20933,19.66185,-7.20932
165,3300.0,20.3172,-7.20932,19.66184,-7.20932
166,3320.0,22.28329,-6.55396,32.11386,-4.58785
167,3340.0,39.32299,-3.93249,40.6337,-3.9325
168,3360.0,39.32296,-4.58785,39.32295,-4.58785
169,3380.0,39.9783,-4.58785,40.63366,-4.58784
170,3400.0,39.97829,-4.58784,40.63364,-5.2432
171,3420.0,40.63364,-4.58784,40.63364,-5.2432
172,3440.0,41.28899,-4.58785,40.63363,-5.2432
173,3460.0,41.28899,-4.58784,41.28898,-5.2432
174,3480.0,41.28898,-5.24321,41.28898,-5.89856
175,3500.0,41.94434,-5.24321,41.28898,-5.89856
176,3520.0,41.28897,-5.2432,41.28897,-6.55391
177,3540.0,43.25506,-5.24321,48.49804,-5.24319
178,3560.0,50.46414,-5.24321,49.80877,-5.2432
179,3580.0,49.80877,-5.2432,49.80877,-5.24319
180,3600.0,49.80877,-5.2432,49.80876,-5.89855
181,3620.0,49.80876,-5.2432,49.80876,-5.24319
182,3640.0,49.80875,-5.24319,49.80875,-5.89854
183,3660.0,50.46411,-5.89855,49.80874,-5.89855
184,3680.0,50.46409,-5.89855,50.46409,-6.55391
185,3700.0,49.80873,-5.89855,49.80873,-6.5539
186,3720.0,51.77481,-5.24319,64.88224,-2.6217
187,3740.0,78.64504,-1.96633,81.92189,-1.96632
188,3760.0,81.2665,-1.96632,81.26648,-2.62167
189,3780.0,81.92184,-2.62168,82.5772,-2.62167
190,3800.0,83.23255,-3.27704,82.57719,-3.27704
191,3820.0,83.23254,-3.27705,83.23254,-3.93241
192,3840.0,83.23253,-3.27705,83.23252,-3.9324
193,3860.0,83.23252,-3.93242,83.23252,-4.58777
194,3880.0,83.88788,-4.58779,83.88788,-5.24315
195,3900.0,83.88788,-4.58779,83.88787,-5.24314
196,3920.0,83.23252,-5.24315,83.88788,-5.89851
197,3940.0,83.88787,-5.89852,83.88788,-5.89851
198,3960.0,83.88787,-5.89851,83.88787,-6.55387
199,3980.0,83.88786,-6.55388,84.54323,-7.20924
200,4000.0,83.88787,-7.20924,83.88787,-7.8646
201,4020.0,83.88787,-7.86462,84.54323,-7.86461
202,4040.0,83.88787,-7.86462,83.88785,-8.51997
203,4060.0,84.54322,-8.51997,84.54322,-9.17533
204,4080.0,84.54322,-9.17534,84.54322,-9.8307
205,4100.0,84.54322,-9.17534,85.19858,-10.48606
206,4120.0,87.82003,-8.51998,96.99523,-6.55383
207,4140.0,104.85968,-6.55382,105.51503,-7.20917
208,4160.0,104.85964,-6.55382,104.20426,-6.55381
209,4180.0,104.85963,-6.55382,104.85963,-6.55381
210,4200.0,105.51497,-5.89844,105.51497,-5.89844
211,4220.0,-53.73752,-6.5538,106.17032,-6.5538
212,4240.0,106.17031,-5.89845,106.1703,-6.5538
