,T,LX,LY,RX,RY
0,0.0,0.0,0.0,0.0,0.0
1,20.0,0.0,1.0000000003174e-05,-0.65535,0.65537
2,40.0,-1.31071,1.0000000003174e-05,-1.3107,9.9999999960687e-06
3,60.0,-1.96607,-0.65535,-2.62143,9.9999999960687e-06
4,80.0,-2.62142,2.0000000006348e-05,-3.27678,0.65538
5,100.0,-3.93214,0.65539,-4.58749,1.31074
6,120.0,-5.24285,1.31075,-5.8982,1.96611
7,140.0,-6.55356,1.31075,-7.20892,2.62147
8,160.0,-7.86428,2.62147,-8.51963,2.62147
9,180.0,-9.83036,2.62147,-10.4857,3.27683
10,200.0,-11.14107,3.27684,-11.79642,3.9322
11,220.0,-12.45178,4.58757,-13.10714,5.24293
12,240.0,-13.10714,4.58757,-14.41785,5.89829
13,260.0,-14.41785,5.8983,-15.07321,6.55366
14,280.0,-15.07321,5.24294,-17.03932,5.89829
15,300.0,-21.62692,5.8983,-21.62692,7.20902
16,320.0,-19.66083,7.86439,-19.66083,9.17511
17,340.0,-19.00547,9.17511,-19.00547,9.83047
18,360.0,-19.00548,9.83047,-19.00548,9.83047
19,380.0,-19.00548,10.48584,-19.00548,10.48583
20,400.0,-19.66085,11.1412,-19.66085,11.1412
21,420.0,-20.31621,11.1412,-20.97156,11.1412
22,440.0,-20.97157,11.1412,-20.97156,11.79656
23,460.0,-20.97157,10.48584,-20.97156,10.48583
24,480.0,-20.97156,10.48583,-20.97157,10.48582
25,500.0,-20.97157,9.83046,-20.97157,10.48581
26,520.0,-20.97158,9.83045,-21.62693,9.83045
27,540.0,-20.97158,9.1751,-20.97158,9.83045
28,560.0,-20.97158,9.83046,-20.97158,10.48582
29,580.0,-21.62693,9.83047,-21.62693,11.14119
30,600.0,-21.62694,10.48582,-22.28229,11.79654
31,620.0,-22.28229,11.14118,-22.28229,11.79654
32,640.0,-22.2823,11.14118,-22.28229,11.79654
33,660.0,-22.93765,11.79654,-22.93765,11.79654
34,680.0,-23.59301,10.48581,-23.593,11.14117
35,700.0,-23.59301,10.48581,-23.593,10.4858
36,720.0,-23.593,10.4858,-24.24836,10.4858
37,740.0,-23.59301,9.83044,-24.24836,10.48579
38,760.0,-24.24837,9.83043,-24.24836,9.83043
39,780.0,-24.24836,9.17506,-24.24836,9.17505
40,800.0,-24.24836,9.17506,-24.24836,9.83041
41,820.0,-23.59299,9.17505,-24.24835,9.17505
42,840.0,-24.24836,8.51968,-23.59299,8.51968
43,860.0,-22.93763,7.86432,-22.28227,8.51967
44,880.0,-21.62691,7.86432,-20.31619,7.86431
45,900.0,-19.00548,6.55359,-18.35012,6.55359
46,920.0,-17.03942,5.89822,-15.7287,5.89822
47,940.0,-15.07334,5.89821,-14.41799,5.89821
48,960.0,-14.418,5.89821,-13.76264,6.55357
49,980.0,-13.76264,5.89821,-13.76264,5.24284
50,1000.0,-9.17506,5.24285,7.86454,9.17501
51,1020.0,20.9719,9.83037,20.97192,9.83037
52,1040.0,20.31656,9.17502,21.62729,9.83037
53,1060.0,21.62728,8.51964,22.28263,8.51963
54,1080.0,22.28263,5.89818,22.93799,5.2428
55,1100.0,23.59334,3.27671,24.2487,3.27669
56,1120.0,24.24869,2.62134,24.24869,1.3106
57,1140.0,24.90404,0.65524000000001,24.90404,0.65523
58,1160.0,24.90405,-0.00012999999999863,24.90405,-0.00014000000000181
59,1180.0,24.90404,-0.00012999999999863,24.90404,-0.00014000000000181
60,1200.0,24.90404,-1.31087,-41.94265,0.65521
61,1220.0,55.05083,4.58741,76.02259,6.5535
62,1240.0,83.23165,4.58742,81.92094,5.24277
63,1260.0,81.26558,4.58742,81.92094,4.58741
64,1280.0,82.5763,3.27669,82.5763,3.27669
65,1300.0,81.92095,1.96596,81.92095,1.31059
66,1320.0,81.26559,0.65523,81.26559,-0.00014000000000181
67,1340.0,79.95487,-0.6555,79.95488,-0.00014000000000181
68,1360.0,79.29952,-1.31087,79.29952,-1.96623
69,1380.0,78.64416,-3.27696,78.64416,-3.93233
70,1400.0,78.64415,-4.58769,78.64415,-4.58769
71,1420.0,78.64414,-5.89841,78.64414,-5.89842
72,1440.0,78.64414,-7.20915,83.23168,-6.55378
73,1460.0,92.40682,-6.55379,94.37293,-6.5538
74,1480.0,93.71755,-7.86452,94.37291,-7.86452
75,1500.0,95.68362,-8.51989,96.33898,-9.17526
76,1520.0,96.99434,-11.14136,97.64969,-11.14136
77,1540.0,98.30505,-12.45209,98.30504,-13.10746
78,1560.0,98.30504,-13.76281,98.9604,-13.76281
79,1580.0,98.96039,-15.07354,98.9604,-14.41818
80,1600.0,98.96039,-15.72891,98.9604,-17.03963
81,1620.0,99.61575,-17.69499,99.61576,-17.695
82,1640.0,99.61576,-18.35037,100.27112,-18.35037
83,1660.0,100.92648,-19.00573,100.92648,-19.00574
84,1680.0,100.92648,-18.35037,100.92648,-17.69501
85,1700.0,100.92648,-17.695,100.92648,-17.03964
86,1720.0,102.89257,-16.38427,114.03384,-10.48598
87,1740.0,123.86439,-10.48596,125.83051,-9.17523
88,1760.0,125.17514,-8.51986,125.17515,-7.20913
89,1780.0,125.83051,-7.20912,125.83052,-5.24304
90,1800.0,125.83052,-5.89839,124.5198,-3.93231
91,1820.0,125.17516,-4.58765,125.17517,-3.27694
92,1840.0,125.17516,-3.27693,124.51981,-3.27693
93,1860.0,124.51982,-3.27693,125.17518,-2.62157
94,1880.0,125.17518,-3.27693,125.17518,-2.62157
95,1900.0,125.17518,-2.62155,125.17518,-1.9662
96,1920.0,125.17518,-1.9662,125.17518,-1.31084
97,1940.0,124.51982,-0.65546,125.17518,-0.00010999999999939
98,1960.0,125.17517,-9.9999999996214e-05,124.51982,0.65526
99,1980.0,124.51981,-9.9999999996214e-05,124.51982,0.65526999999999
100,2000.0,124.51982,0.65527,124.51982,0.65526999999999
101,2020.0,123.86445,1.31064,123.86446,1.31064
102,2040.0,123.86446,1.96601,123.86447,1.96601
103,2060.0,124.51982,1.96601,124.51982,2.62137
104,2080.0,125.17518,2.62137,125.83054,3.27672
105,2100.0,125.83054,2.62137,126.4859,3.27672
106,2120.0,132.38419,3.9321,136.97179,4.58747
107,2140.0,136.97178,3.93211,136.31642,5.24284
108,2160.0,136.97178,4.58748,137.62714,4.58748
109,2180.0,138.28249,4.58748,138.28249,4.58748
110,2200.0,138.93784,3.93212,138.93785,4.58747
111,2220.0,139.5932,3.93211,139.59321,4.58747
112,2240.0,139.5932,4.58747,139.5932,5.24283
113,2260.0,140.24856,5.24284,139.5932,5.8982
114,2280.0,139.5932,5.8982,138.93784,5.8982
115,2300.0,139.5932,5.24285,140.24856,5.89821
116,2320.0,140.24856,5.89822,140.24856,6.55358
117,2340.0,140.24857,6.55359,140.90393,7.20895
118,2360.0,140.90392,7.20895,140.24857,7.86431
119,2380.0,140.24856,7.86431,147.4576,11.7965
120,2400.0,166.46332,17.03945,180.88153,20.97165
121,2420.0,182.84767,21.62703,180.22622,23.59311
122,2440.0,180.22623,24.90385,180.8816,27.5253
123,2460.0,180.8816,28.18068,180.8816,29.4914
124,2480.0,180.88161,30.80214,180.88161,34.07895
125,2500.0,180.88161,35.38969,180.88162,38.66651
126,2520.0,180.22626,41.28797,180.22626,44.56479
127,2540.0,180.22626,47.18625,180.22627,49.15235
128,2560.0,180.22627,51.11844,180.22628,53.7399
129,2580.0,179.57092,54.39527,180.22629,54.39527
130,2600.0,168.42961,49.80769,124.51991,41.94329
131,2620.0,62.26005,29.4914,0.65568,19.0056
132,2640.0,-14.41786,17.69487,-11.14103,21.62706
133,2660.0,-8.51956,23.59316,-9.17493,24.90389
134,2680.0,-8.51958,24.24853,-7.86422,24.24852
135,2700.0,-7.20886,23.59316,-7.20887,24.24851
136,2720.0,-6.55352,22.93779,-6.55352,22.93778
137,2740.0,-6.55352,21.62707,-6.55352,21.62707
138,2760.0,-6.55352,20.97171,-7.20888,20.97171
139,2780.0,-6.55352,19.66099,-7.20887,19.66098
140,2800.0,-7.20887,19.00563,-7.86422,19.66098
141,2820.0,-7.20886,19.00562,-7.86421,19.66097
142,2840.0,-7.86421,18.35024,1.31094,19.66096
143,2860.0,22.28268,20.31631,30.14712,20.97165
144,2880.0,29.49175,19.00557,28.83639,19.66093
145,2900.0,29.49175,19.00557,29.49175,17.69485
146,2920.0,30.14711,15.72875,30.1471,15.07338
147,2940.0,30.1471,13.76265,30.80245,13.76264
148,2960.0,30.80245,12.45192,30.80244,12.45191
149,2980.0,31.4578,11.79655,31.4578,11.79654
150,3000.0,31.45779,11.14119,31.45779,10.48581
151,3020.0,32.11315,9.83045,32.11315,9.83044
152,3040.0,32.11315,8.51971,25.5595,7.20897
153,3060.0,22.93801,5.89824,24.24875,5.89824
154,3080.0,24.24874,5.89824,24.24874,5.89824
155,3100.0,24.24874,4.58751,24.24875,4.5875
156,3120.0,23.59338,3.27678,23.59338,3.93213
157,3140.0,23.59338,3.27677,22.93802,3.93213
158,3160.0,22.28266,3.93213,21.6273,4.5875
159,3180.0,21.6273,4.58749,21.6273,5.24286
160,3200.0,21.6273,5.89823,20.97195,7.20895
161,3220.0,20.97194,7.86432,20.97194,9.17504
162,3240.0,20.97194,9.17505,20.31658,10.48577
163,3260.0,20.31657,9.83041,20.31657,10.48577
164,3280.0,20.31656,10.48577,19.6612,10.48576
165,3300.0,22.93801,10.48576,49.15259,17.03938
166,3320.0,74.71192,18.35011,81.26565,19.00547
167,3340.0,79.29955,19.00548,78.64419,19.66084
168,3360.0,79.95491,18.35011,79.29955,19.00547
169,3380.0,79.29954,19.00547,78.64418,19.00547
170,3400.0,78.64418,18.3501,78.64418,18.3501
171,3420.0,79.29954,17.69473,79.29954,17.69472
172,3440.0,79.95489,17.03936,80.61024,17.6947
173,3460.0,79.95488,17.03934,80.61024,17.03933
174,3480.0,81.26559,16.38397,81.92095,16.38396
175,3500.0,90.44071,17.6947,95.02831,18.35005
176,3520.0,94.37294,17.03933,94.37294,18.35006
177,3540.0,95.0283,17.03935,94.37294,18.35006
178,3560.0,94.37293,18.35007,95.0283,18.35006
179,3580.0,94.37293,19.00543,95.0283,20.31615
180,3600.0,95.02829,20.31616,94.37293,21.62688
181,3620.0,94.37293,21.6269,94.37293,22.93761
182,3640.0,-41.94195,22.28226,93.71757,22.93761
183,3660.0,93.71757,22.28226,93.71757,22.93761
184,3680.0,94.37292,22.28225,93.71757,22.28225
185,3700.0,93.0622,21.62689,93.0622,22.28225
186,3720.0,91.75148,21.62688,90.44076,22.28301
187,3740.0,90.44076,22.28224,89.13004,22.28223
188,3760.0,88.47467,21.62688,87.81931,21.62687
189,3780.0,87.16395,20.97151,94.37297,23.59296
190,3800.0,115.34474,28.18053,135.00586,31.45735
191,3820.0,145.4918,32.11273,144.83644,32.11273
192,3840.0,144.18108,31.45737,144.83644,31.45736
193,3860.0,144.83644,30.80199,144.83643,30.14663
194,3880.0,145.49179,28.8359,145.49179,28.83589
195,3900.0,145.49179,28.18053,145.49178,27.52517
196,3920.0,146.14714,26.21444,146.14714,26.21444
197,3940.0,145.49178,25.55907,145.49177,24.90371
198,3960.0,145.49177,24.24835,145.49177,24.24834
199,3980.0,145.49176,23.59298,145.49176,23.59297
200,4000.0,144.8364,22.93761,144.8364,22.9376
201,4020.0,144.18104,21.62687,144.18104,20.97151
202,4040.0,144.18103,20.31615,144.83641,20.31615
203,4060.0,151.39012,20.97153,154.66698,20.31615
204,4080.0,153.35624,19.66079,153.35624,19.66079
205,4100.0,153.35624,19.00543,153.35624,19.00543
206,4120.0,153.35624,17.6947,153.35624,17.6947
207,4140.0,153.35624,17.03934,153.35624,17.03933
208,4160.0,154.0116,15.72861,154.66696,15.7286
209,4180.0,154.66695,15.07324,154.66696,15.07323
210,4200.0,155.32231,15.07322,155.32231,15.07323
211,4220.0,155.3223,14.41787,155.3223,14.41786
212,4240.0,155.3223,13.7625,155.3223,13.10714
213,4260.0,155.3223,12.45179,155.97766,12.45178
214,4280.0,155.97766,11.79642,155.97766,11.79642
215,4300.0,155.97766,11.79642,155.97767,11.79642
216,4320.0,155.3223,11.14106,155.32232,10.48569
217,4340.0,155.32232,9.83033,154.66696,9.83033
218,4360.0,154.0116,7.86425,154.66697,7.86424
219,4380.0,154.66697,6.55352,154.66697,5.89815
220,4400.0,154.66697,4.58743,154.66697,3.93206
221,4420.0,154.66696,2.62133,155.32233,1.96596
222,4440.0,155.32233,1.31061,155.32233,1.3106
223,4460.0,155.97769,0.65525,155.32233,-0.00012000000000256
224,4480.0,155.97769,-1.31085,155.97769,-1.31085
225,4500.0,155.97768,-2.62157,156.63305,-2.62158
226,4520.0,157.2884,-3.9323,157.94376,-3.9323
227,4540.0,157.94376,-4.58766,158.59912,-5.89839
228,4560.0,158.59912,-6.55375,159.25448,-6.55376
229,4580.0,159.90983,-7.20911,159.90984,-7.20912
230,4600.0,159.25447,-7.86448,160.56519,-7.86448
231,4620.0,160.56518,-8.51984,160.56518,-7.86448
232,4640.0,161.22054,-7.86448,161.22054,-7.86448
233,4660.0,161.22053,-7.86448,161.22053,-7.20911
234,4680.0,161.22053,-7.20911,161.22053,-6.55375
235,4700.0,161.22053,-5.89838,161.22053,-5.24302
236,4720.0,161.87589,-5.24301,161.87589,-3.9323
237,4740.0,161.87589,-4.58765,161.87589,-3.93229
238,4760.0,161.87589,-4.58766,161.87588,-4.58767
239,4780.0,162.53124,-5.24302,162.53125,-5.24303
240,4800.0,162.53124,-6.55375,162.53125,-5.89839
241,4820.0,162.53125,-7.86448,152.7007,-15.0735
