,T,LX,LY,RX,RY
0,0.0,0.0,0.0,0.0,0.0
1,20.0,0.0,-0.65536,-9.9999999960687e-06,0.0
2,40.0,-9.9999999960687e-06,-0.65537,0.65534,-1.96609
3,60.0,0.65534,-2.62145,1.3107,-2.62146
4,80.0,1.31069,-2.62145,1.96605,-1.31074
5,100.0,1.96606,-1.96609,1.31069,-1.31074
6,120.0,1.31069,-1.31073,1.96605,-1.31074
7,140.0,1.31069,-1.96609,1.96605,-1.31073
8,160.0,1.31069,-1.96609,1.96604,-1.9661
9,180.0,1.96605,-1.9661,1.96604,-1.96611
10,200.0,1.31068,-2.62146,1.96603,-2.62147
11,220.0,1.31067,-3.27682,1.31066,-2.62147
12,240.0,1.31067,-3.27683,1.31067,-2.62147
13,260.0,1.31067,-3.27683,1.96603,-2.62147
14,280.0,1.31068,-2.62147,1.96603,-1.96611
15,300.0,1.96604,-1.9661,1.96604,-1.31075
16,320.0,1.96604,-1.9661,1.96604,-0.65537
17,340.0,-3.27685,-1.31073,1.31067,-0.65537
18,360.0,0.6553,-0.65537,0.6553,-9.9999999960687e-06
19,380.0,0.6553,0.0,0.6553,-9.9999999960687e-06
20,400.0,0.6553,-9.9999999960687e-06,1.31067,0.65536
21,420.0,4.5875,1.31073,2.62142,2.62145
22,440.0,1.96606,2.62145,2.62142,3.93218
23,460.0,1.96606,3.27683,1.96605,3.93219
24,480.0,1.96606,2.62147,1.96606,3.27682
25,500.0,1.3107,2.62146,1.96606,3.27682
26,520.0,1.96607,2.62147,1.96606,3.93219
27,540.0,1.96607,3.9322,1.96607,3.93219
28,560.0,1.96608,3.9322,1.96608,4.58755
29,580.0,1.96609,4.58756,1.96608,5.24292
30,600.0,1.9661,4.58757,1.96609,5.24293
31,620.0,1.31073,5.24293,1.96609,5.89829
32,640.0,1.31074,5.24294,1.31073,5.89829
33,660.0,0.65537,5.8983,1.31074,6.55366
34,680.0,0.65537,6.55367,0.65538,6.55367
35,700.0,0.65538,6.55367,1.31074,7.20902
36,720.0,0.65538,7.20903,1.31074,7.20902
37,740.0,0.65539,7.20902,1.31074,7.20902
38,760.0,0.65539,7.20903,1.31075,7.20903
39,780.0,1.31075,6.55367,1.31075,7.20903
40,800.0,0.65539,7.20903,1.31075,7.20903
41,820.0,1.31075,6.55367,1.31074,6.55367
42,840.0,1.31075,5.89831,1.9661,5.8983
43,860.0,1.96609,6.55367,1.96608,6.55366
44,880.0,1.31072,5.89831,1.96608,7.20902
45,900.0,1.96608,5.89831,1.31072,6.55366
46,920.0,1.31072,6.55367,1.31072,7.20903
47,940.0,1.31072,7.20903,1.31073,6.55366
48,960.0,1.31073,5.8983,1.31072,5.8983
49,980.0,1.31072,4.58757,1.31072,3.9322
50,1000.0,0.65537,3.27685,0.65536,3.27685
51,1020.0,0.65536,3.27685,0.65535000000001,3.93221
52,1040.0,0.0,2.62149,0.65535000000001,3.27684
53,1060.0,0.65536,2.62148,0.65536,2.62148
54,1080.0,0.65536,2.62148,1.31072,3.27684
55,1100.0,1.31072,2.62148,1.31072,3.27684
56,1120.0,1.31072,3.27684,1.31072,3.93221
57,1140.0,1.31072,3.27684,1.31071,3.9322
58,1160.0,0.65536,3.93221,0.65536,3.93221
59,1180.0,0.65536,3.27685,0.65535000000001,3.9322
60,1200.0,0.65536,3.27685,0.65535000000001,3.93221
61,1220.0,0.65536,2.62149,0.65535000000001,3.27684
62,1240.0,0.0,2.62149,0.65536,2.62148
63,1260.0,0.65536,2.62149,0.65536,3.27685
64,1280.0,0.65537,1.96613,0.65536,1.96612
65,1300.0,1.31073,1.96612,13.76264,2.62148
66,1320.0,28.83605,2.62147,28.18073,2.62147
67,1340.0,25.55928,3.27684,26.21464,4.58756
68,1360.0,25.55928,5.24293,25.55927,6.55366
69,1380.0,24.24855,7.20903,24.90391,8.51975
70,1400.0,24.90392,8.51977,25.55927,9.17512
71,1420.0,25.55928,9.17513,26.21464,9.17512
72,1440.0,26.21464,9.17513,26.87,10.48585
73,1460.0,26.87001,9.83049,27.52537,9.83048
74,1480.0,27.52538,9.17513,27.52537,9.83049
75,1500.0,27.52538,9.17513,27.52537,9.17512
76,1520.0,26.87002,8.51977,26.87002,9.17513
77,1540.0,26.87001,8.51976,26.87001,8.51976
78,1560.0,26.87001,7.20905,26.21465,8.51977
79,1580.0,25.55929,7.20905,25.55928,7.20904
80,1600.0,25.55929,7.20904,25.55929,7.86441
81,1620.0,25.55929,7.86441,26.87001,7.20904
82,1640.0,26.87002,7.20904,26.87002,7.20904
83,1660.0,27.52538,7.20905,27.52538,7.20905
84,1680.0,26.87002,5.89832,28.18073,6.55368
85,1700.0,28.18072,5.89833,28.18072,6.55368
86,1720.0,28.18071,5.89832,28.1807,6.55368
87,1740.0,28.1807,6.55369,28.1807,7.20905
88,1760.0,28.1807,6.55369,28.83605,7.86441
89,1780.0,29.49142,7.20905,30.14678,7.86441
90,1800.0,30.14678,6.55369,30.14678,7.86441
91,1820.0,30.14678,7.20905,30.14677,6.55369
92,1840.0,30.14677,6.55369,30.14677,6.55369
93,1860.0,35.38966,7.20905,46.53084,8.51977
94,1880.0,45.87552,7.86442,43.90943,8.51978
95,1900.0,43.90943,8.51978,43.90943,9.17515
96,1920.0,43.25407,9.17515,-55.7053,9.17514
97,1940.0,43.90942,8.51978,43.90942,8.51977
98,1960.0,43.90942,7.86442,43.90942,9.17513
99,1980.0,43.25406,8.51978,43.90942,8.51977
100,2000.0,42.5987,7.86441,43.25405,7.86441
101,2020.0,42.59869,7.20906,41.94333,7.86442
102,2040.0,41.94333,7.20905,41.94333,7.86441
103,2060.0,41.94333,7.20906,41.94333,7.20905
104,2080.0,41.28798,6.55369,41.28797,6.55368
105,2100.0,40.63262,5.89833,41.28798,6.55368
106,2120.0,40.63263,6.55369,39.97726,6.55369
107,2140.0,39.97727,6.55368,39.97727,6.55368
108,2160.0,39.97727,5.89832,39.97727,6.55368
109,2180.0,39.97727,5.89832,35.38973,5.89832
110,2200.0,29.49146,5.24296,29.49146,5.89831
111,2220.0,30.14683,5.24296,30.14682,5.89832
112,2240.0,29.49146,5.89833,29.49147,5.89833
113,2260.0,28.83611,5.89832,28.83611,5.24295
114,2280.0,28.18075,4.5876,28.83611,5.24296
115,2300.0,28.83612,3.93224,28.83611,3.93223
116,2320.0,28.83612,3.27687,28.83612,3.27687
117,2340.0,28.83612,3.27687,29.49148,3.27687
118,2360.0,29.49149,2.62151,29.49148,3.27687
119,2380.0,29.49149,2.62151,30.14685,2.6215
120,2400.0,30.14685,1.96615,30.14685,2.6215
121,2420.0,30.14686,1.31079,30.80222,1.96614
122,2440.0,30.14685,1.96615,30.8022,2.6215
123,2460.0,30.80221,1.96615,30.8022,2.6215
124,2480.0,30.8022,2.62151,30.8022,1.96614
125,2500.0,30.8022,1.96614,31.45756,1.96613
126,2520.0,33.42364,1.31077,42.59873,1.31077
127,2540.0,43.25412,0.6554,42.59876,1.96612
128,2560.0,43.25412,2.62149,43.90948,3.27686
129,2580.0,43.25413,3.27686,43.90949,3.93221
130,2600.0,43.90949,3.93222,43.90948,4.58758
131,2620.0,43.90949,4.58759,43.90948,4.58758
132,2640.0,43.90948,4.58759,43.90948,4.58759
133,2660.0,43.25412,4.5876,43.90948,5.24295
134,2680.0,43.25412,4.58759,43.90948,4.58759
135,2700.0,43.90949,3.93223,44.56484,3.93222
136,2720.0,44.56485,3.93223,44.56484,3.93222
137,2740.0,44.56484,3.27687,44.56484,3.93223
138,2760.0,44.56484,3.27687,44.56484,3.93222
139,2780.0,43.90948,3.93223,44.56483,3.93222
140,2800.0,44.56483,3.27686,45.22019,3.93222
141,2820.0,44.56484,3.93223,44.56483,3.93222
142,2840.0,44.56484,3.27686,45.2202,3.93221
143,2860.0,45.2202,3.93222,45.2202,3.93222
144,2880.0,45.87557,3.27686,46.53092,3.93222
145,2900.0,45.87556,3.27687,45.87556,3.93223
146,2920.0,45.87556,3.93223,46.53092,5.24295
147,2940.0,45.87557,4.5876,46.53092,4.58759
148,2960.0,45.87557,3.93223,45.87557,4.58759
149,2980.0,45.87556,4.5876,45.87557,4.58759
150,3000.0,45.22021,4.5876,45.87557,4.58759
151,3020.0,45.87557,4.58759,46.53093,5.24295
152,3040.0,45.87557,4.5876,46.53093,5.24296
153,3060.0,45.87558,4.5876,46.53094,5.24295
154,3080.0,46.53094,3.93224,46.53094,3.93223
155,3100.0,53.73994,4.58759,62.91508,5.89831
156,3120.0,61.60439,4.58759,59.6383,5.89831
157,3140.0,60.29366,5.24295,60.29365,6.55368
158,3160.0,59.63829,6.55369,59.63829,7.20905
159,3180.0,59.63828,7.20905,59.63827,7.20905
160,3200.0,59.63827,6.55369,59.63826,7.20904
161,3220.0,58.9829,42.59849,58.32754,7.20905
162,3240.0,58.98289,6.55369,58.32752,7.8644
163,3260.0,58.32752,7.20904,58.32752,6.55368
164,3280.0,64.88116,7.20905,74.05631,7.8644
165,3300.0,75.36707,7.20905,74.05635,7.20904
166,3320.0,74.05635,7.20904,74.05634,7.20904
167,3340.0,74.05634,7.20905,74.05634,7.86441
168,3360.0,74.05634,8.51977,74.05633,8.51977
169,3380.0,74.05633,7.86441,74.05633,7.8644
170,3400.0,73.40097,7.86441,73.40097,7.8644
171,3420.0,73.40097,7.86441,73.40097,8.51977
172,3440.0,73.40097,7.86441,73.40096,7.8644
173,3460.0,73.40097,7.20904,73.40096,8.51976
174,3480.0,72.7456,7.20904,72.7456,7.20904
175,3500.0,72.74559,7.20904,72.74559,7.8644
176,3520.0,72.74559,7.20904,72.09023,7.8644
177,3540.0,72.09023,7.20905,72.74558,8.51976
178,3560.0,72.74558,7.86441,72.09022,8.51977
179,3580.0,72.09022,7.86441,72.74558,8.51977
180,3600.0,80.60996,8.51977,91.75123,9.83048
181,3620.0,94.37273,9.17512,92.40664,9.83048
182,3640.0,92.40664,9.83049,92.40664,11.14121
183,3660.0,92.40665,10.48585,92.40664,11.14121
184,3680.0,91.75129,10.48585,92.40664,11.14121
185,3700.0,92.40665,11.14121,92.40665,11.14121
186,3720.0,92.40665,10.48585,92.40665,10.48584
187,3740.0,91.75129,10.48585,91.75128,10.48584
188,3760.0,91.75129,9.17513,91.75129,9.83049
189,3780.0,91.09592,9.17513,91.09592,9.83048
190,3800.0,91.09592,8.51977,91.09592,9.17513
191,3820.0,91.09592,8.51977,91.09592,9.17513
192,3840.0,90.44057,8.51977,91.09593,9.17513
193,3860.0,90.44057,8.51977,92.40666,9.83049
194,3880.0,-55.70462,9.83049,100.2711,10.48585
195,3900.0,98.30501,9.83049,98.30501,11.14121
