,T,LX,LY,RX,RY
0,0.0,0.0,0.0,0.0,0.0
1,20.0,1.0000000003174e-05,-1.0000000003174e-05,0.0,0.65537
2,40.0,0.0,0.65535999999999,0.0,0.65537
3,60.0,0.0,0.65535999999999,0.0,1.31073
4,80.0,0.0,0.65535999999999,-1.0000000003174e-05,1.31073
5,100.0,0.65534,0.65535999999999,0.65534,0.65537
6,120.0,0.65533,9.9999999960687e-06,0.65533,0.65538
7,140.0,0.65532,9.9999999960687e-06,0.65532,1.9999999999243e-05
8,160.0,0.65532,9.9999999960687e-06,1.31068,-0.65534
9,180.0,1.31068,-0.65535000000001,0.65531,1.9999999999243e-05
10,200.0,1.31067,-0.65535000000001,1.31068,1.9999999999243e-05
11,220.0,0.65531,1.9999999999243e-05,0.65531,1.9999999999243e-05
12,240.0,0.65532,1.9999999999243e-05,0.65531,0.65539
13,260.0,0.65531,1.9999999999243e-05,0.65531,0.65539
14,280.0,0.65531,1.9999999999243e-05,0.65531,0.65539
15,300.0,0.65531,1.9999999999243e-05,0.65531,0.65539
16,320.0,0.65531,2.9999999995312e-05,0.65531,3.0000000002417e-05
17,340.0,0.65531,2.9999999995312e-05,0.65531,0.6554
18,360.0,0.65531,2.9999999995312e-05,0.65531,0.6554
19,380.0,0.65531,2.9999999995312e-05,0.65531,0.6554
20,400.0,0.65531,0.65539,0.65531,1.31076
21,420.0,0.65531,0.65539,0.65531,1.31076
22,440.0,0.65531,0.65539,0.65531,1.31076
23,460.0,0.65531,0.65539,0.65531,1.31076
24,480.0,1.31067,0.65539,1.31067,3.0000000002417e-05
25,500.0,1.96603,-0.65535000000001,1.96603,1.9999999999243e-05
26,520.0,1.96603,9.9999999960687e-06,2.62139,0.65538
27,540.0,2.62139,9.9999999960687e-06,1.96603,0.65538
28,560.0,1.96603,0.65537999999999,1.96603,0.65538
29,580.0,2.62138,9.9999999960687e-06,2.62139,0.65538
30,600.0,1.96602,9.9999999960687e-06,1.96602,0.65538
31,620.0,1.96602,9.9999999960687e-06,1.96602,0.65538
32,640.0,1.96603,0.65537999999999,1.96602,1.31074
33,660.0,1.31066,0.65537999999999,1.31066,1.31075
34,680.0,1.31066,0.65537999999999,1.31067,1.96611
35,700.0,0.65531,1.31075,0.65531,2.62147
36,720.0,0.65531,1.96611,-5.000000000166e-05,2.62148
37,740.0,-3.9999999998486e-05,2.62147,-0.65539,4.58756
38,760.0,-2.62136,10.48579,-0.65518,12.45187
39,780.0,-2.62125,11.79651,-3.27663,13.10724
40,800.0,-3.27662,12.45187,-3.27663,13.10724
41,820.0,-3.27662,13.7626,-3.93199,13.7626
42,840.0,-3.27662,13.76259,-3.27663,14.41796
43,860.0,-3.27662,13.76259,-3.27662,14.41796
44,880.0,-3.27661,14.41795,-2.62125,15.07331
45,900.0,-2.62125,13.76259,-3.27668,10.4858
