,T,LX,LY,RX,RY
0,0.0,0.0,0.0,0.0,0.0
1,20.0,0.0,-0.65537,-9.9999999960687e-06,0.0
2,40.0,0.0,-0.65537,0.0,-0.65535999999999
3,60.0,-0.65535999999999,-1.31073,-0.65537,-0.65535999999999
4,80.0,-0.65535999999999,-1.31073,-0.65535999999999,-0.65535999999999
5,100.0,-0.65535999999999,-1.31073,-0.65537,-1.31072
6,120.0,-1.31072,-1.96609,-1.31072,-1.31072
7,140.0,-1.31072,-1.31073,-1.31072,-0.65535999999999
8,160.0,-1.31072,-1.31072,-1.31071,-1.31072
9,180.0,-1.31072,-1.31072,-1.96607,-0.65535
10,200.0,-1.96607,-0.65536,-1.96607,-0.65535
11,220.0,-1.31071,-1.31072,-1.96607,-1.31071
12,240.0,-1.96607,-1.31072,-1.96607,-0.65535
13,260.0,-1.96606,-1.31072,-1.96607,-0.65535
14,280.0,-1.96606,-1.31072,-1.96607,-0.65535
15,300.0,-1.96606,-1.31072,-1.96606,-1.31071
16,320.0,-1.96606,-1.96608,-1.96606,-0.65535
17,340.0,-2.62142,-1.31072,-1.96606,-1.31071
18,360.0,-1.96606,-1.31072,-1.96605,-1.31072
19,380.0,-3.27677,-1.31072,-1.96605,-0.65535
20,400.0,-2.62141,-1.31072,-3.27678,-0.65535
21,420.0,-3.27677,-1.31072,1.3108,-1.31071
22,440.0,5.24304,-2.62144,6.55379,-1.96607
23,460.0,5.89843,-1.96608,6.55379,-1.31071
24,480.0,6.55379,-0.65534,6.55379,3.0000000002417e-05
25,500.0,6.55379,-0.65535,6.5538,2.0000000006348e-05
26,520.0,5.89844,1.9999999999243e-05,5.89844,0.65539
27,540.0,5.89844,1.9999999999243e-05,5.89844,0.65539
28,560.0,5.89844,1.9999999999243e-05,5.24308,0.65539
29,580.0,5.24309,1.9999999999243e-05,5.89844,0.65539
30,600.0,5.89845,1.9999999999243e-05,5.89844,3.0000000002417e-05
31,620.0,5.89845,-0.65534,6.5538,2.0000000006348e-05
32,640.0,6.5538,-0.65534,7.20916,-0.65534
33,660.0,11.14138,-1.96607,13.1075,-1.31071
34,680.0,12.45214,-1.31071,12.45213,2.0000000006348e-05
35,700.0,13.10749,1.9999999999243e-05,12.45213,3.0000000002417e-05
36,720.0,12.45213,-0.65535,12.45213,2.0000000006348e-05
37,740.0,12.45213,-1.31071,13.10749,-0.65534
38,760.0,13.1075,-1.96607,13.1075,-0.65535
39,780.0,13.10751,-1.96607,13.76287,-1.3107
40,800.0,13.76288,-1.96607,-59.63744,-1.3107
41,820.0,13.76289,-1.96607,13.76289,-1.3107
42,840.0,13.76289,-1.3107,13.76289,-1.3107
43,860.0,13.76289,-1.96606,13.76289,-1.31069
44,880.0,14.41825,-1.96606,13.76288,-1.3107
45,900.0,13.76289,-1.96607,13.76289,-1.96606
46,920.0,13.76289,-2.62143,13.76289,-1.96606
47,940.0,13.76289,-1.96607,13.76289,-1.96606
48,960.0,13.7629,-3.27679,16.38439,-2.62141
49,980.0,15.72905,-2.62143,15.07367,-2.62142
50,1000.0,14.41832,-1.96606,14.41832,-1.31069
51,1020.0,13.76297,-1.96606,13.76297,-1.31069
52,1040.0,13.10761,-1.96606,13.10762,-1.31069
53,1060.0,12.45226,-1.96606,11.7969,-1.31069
54,1080.0,11.14155,-1.96605,11.7969,-1.31069
55,1100.0,11.79691,-1.96606,11.79691,-1.96605
56,1120.0,11.79691,-2.62142,11.79691,-1.96605
57,1140.0,11.79691,-2.62142,12.45227,-2.62141
58,1160.0,12.45227,-2.62142,12.45226,-2.62142
59,1180.0,13.10762,-3.27678,13.10762,-1.96605
60,1200.0,13.10762,-3.27679,13.10762,-2.62142
61,1220.0,13.10761,-3.27679,13.10761,-2.62142
62,1240.0,12.45225,-3.27679,12.45225,-2.62142
63,1260.0,12.45225,-3.27678,13.10762,-3.27678
64,1280.0,20.97208,-3.93215,23.59359,-3.93215
65,1300.0,22.93823,-4.58752,22.93821,-3.27679
66,1320.0,23.59357,-3.27679,23.59356,-2.62142
67,1340.0,23.59355,-3.27679,24.24891,-3.27679
68,1360.0,24.24891,-3.93216,24.2489,-3.27679
69,1380.0,23.59354,-3.93216,24.24889,-3.2768
70,1400.0,23.59353,-4.58752,23.59352,-3.93216
71,1420.0,22.93816,-3.93217,22.93815,-3.93216
72,1440.0,22.93815,-3.93216,22.93815,-3.93216
73,1460.0,22.28279,-3.93216,22.28279,-3.2768
74,1480.0,22.28279,-3.93216,21.62743,-3.27679
75,1500.0,21.62743,-3.93217,21.62743,-3.2768
76,1520.0,20.97208,-3.93217,20.97207,-3.2768
77,1540.0,20.97207,-3.27681,20.97207,-2.62144
78,1560.0,20.97207,-3.2768,20.97207,-3.2768
79,1580.0,20.97206,-3.2768,20.31671,-2.62144
80,1600.0,20.3167,-3.2768,22.93818,-2.62143
81,1620.0,30.80268,-3.93217,33.4242,-3.93216
82,1640.0,33.42419,-3.2768,33.42418,-1.96607
83,1660.0,33.42418,-1.96608,33.42417,-1.31071
84,1680.0,33.42417,-1.31071,33.42417,-0.65535
85,1700.0,33.42417,-1.31071,33.42416,2.0000000006348e-05
86,1720.0,33.42416,-1.31071,32.7688,2.0000000006348e-05
87,1740.0,32.7688,-0.65535,32.76879,-0.65534
88,1760.0,32.76879,-0.65536,32.11343,2.0000000006348e-05
89,1780.0,32.11343,-0.65535,31.45806,2.0000000006348e-05
90,1800.0,31.45806,-0.65534,31.45805,2.0000000006348e-05
91,1820.0,30.8027,-0.65535,30.8027,0.65538
92,1840.0,30.80269,-0.65534,30.14733,3.0000000002417e-05
93,1860.0,29.49197,9.9999999960687e-06,29.49197,3.0000000002417e-05
94,1880.0,28.83661,1.9999999999243e-05,28.8366,3.0000000002417e-05
95,1900.0,28.18125,2.9999999995312e-05,28.18124,0.65539
96,1920.0,27.52588,2.9999999995312e-05,27.52588,1.31076
97,1940.0,26.87052,0.65539,28.83663,0.6554
98,1960.0,31.45813,2.9999999995312e-05,30.80277,0.65541
99,1980.0,30.80275,1.31076,30.80276,1.96613
100,2000.0,30.14739,1.96613,30.80275,2.6215
101,2020.0,30.80275,1.96613,30.80274,2.6215
102,2040.0,30.80274,1.96613,30.80274,2.6215
103,2060.0,30.14738,2.62149,29.49201,2.6215
104,2080.0,29.49202,2.6215,29.49202,3.27687
105,2100.0,28.83667,2.6215,28.18131,3.27687
106,2120.0,26.87059,2.62152,26.87059,3.93224
107,2140.0,26.21524,3.27688,24.90452,3.93225
108,2160.0,24.90453,3.93224,24.24917,3.93225
109,2180.0,23.59382,3.93225,23.59382,4.58762
110,2200.0,22.93847,3.93225,22.93848,4.58762
111,2220.0,23.59385,3.93225,26.21536,3.27689
112,2240.0,26.21537,2.62152,24.90464,3.27689
113,2260.0,25.56001,3.93224,25.56,3.93225
114,2280.0,26.21536,3.93225,25.56,3.27689
115,2300.0,25.56,2.62152,25.56,3.27689
116,2320.0,25.56,2.62152,26.21535,3.27689
117,2340.0,26.21535,2.62152,26.21535,2.62153
118,2360.0,26.21535,1.96616,26.21535,2.62152
119,2380.0,26.21535,1.96616,-59.63681,2.62152
120,2400.0,26.21535,1.31079,26.87071,1.96616
121,2420.0,24.90461,1.96616,23.59387,2.62152
122,2440.0,23.59386,1.96616,24.24922,2.62152
123,2460.0,24.24922,2.62152,24.24922,3.27688
124,2480.0,24.24922,2.62151,24.24922,2.62152
125,2500.0,24.24923,1.96615,24.24923,1.96615
126,2520.0,24.90459,1.96615,24.90459,1.96615
127,2540.0,24.24924,0.65542,24.24923,1.31079
128,2560.0,24.24924,0.65542,24.24924,0.65543
129,2580.0,24.24924,5.9999999997729e-05,23.59388,0.65542000000001
130,2600.0,23.59389,5.000000000166e-05,23.59388,0.65542000000001
131,2620.0,23.59388,3.9999999998486e-05,24.24925,6.0000000004834e-05
132,2640.0,23.59389,-0.65531,24.24925,5.000000000166e-05
133,2660.0,24.24925,-1.31067,24.24925,-0.65531
134,2680.0,24.24925,-1.31068,26.87071,-0.65531
135,2700.0,29.49223,-1.31067,28.83686,-1.31067
136,2720.0,28.83686,-1.31068,28.83686,6.0000000004834e-05
137,2740.0,28.83686,5.000000000166e-05,28.83685,0.65542000000001
138,2760.0,28.83686,-0.65531,28.83686,6.0000000004834e-05
139,2780.0,28.1815,-0.65531,28.83686,-0.6553
140,2800.0,28.1815,-1.31067,27.52613,-0.6553
141,2820.0,28.1815,-1.31067,32.76909,-0.6553
142,2840.0,34.73524,-1.96603,34.07987,-0.6553
143,2860.0,34.73522,-0.65531,34.73522,0.65543
144,2880.0,34.73522,0.65542,34.73521,1.31079
145,2900.0,34.73521,1.31079,34.7352,1.96616
146,2920.0,34.7352,1.31079,34.73519,2.62152
147,2940.0,35.39055,1.96694,35.39055,2.62152
148,2960.0,34.73518,2.62152,34.73518,3.27689
149,2980.0,34.73518,2.62152,34.73517,3.27689
150,3000.0,34.73517,3.27689,34.73517,3.93225
151,3020.0,34.73517,3.27689,34.73517,3.93226
152,3040.0,34.73516,3.27689,34.73516,3.93226
153,3060.0,34.73517,3.93225,34.73517,3.93226
154,3080.0,34.73517,3.27689,34.0798,3.93226
155,3100.0,34.73517,3.27689,34.0798,3.93226
156,3120.0,34.0798,3.2769,34.0798,3.93226
157,3140.0,34.07981,3.2769,34.0798,3.93227
158,3160.0,34.07981,3.2769,37.35667,3.93227
159,3180.0,36.04597,1.96618,35.3906,3.27691
160,3200.0,35.3906,3.27691,35.3906,3.27692
161,3220.0,35.3906,3.27692,35.39059,3.27692
162,3240.0,35.39059,2.62155,34.73523,3.27692
163,3260.0,34.73524,2.62156,34.73524,3.27693
164,3280.0,34.73524,2.62156,34.07988,3.27692
165,3300.0,34.07989,2.62156,34.73524,2.62157
166,3320.0,34.07988,2.62156,34.73525,2.62157
167,3340.0,34.07989,1.9662,34.73525,2.62156
168,3360.0,34.07989,1.9662,34.73525,2.62156
169,3380.0,34.73526,1.9662,34.0799,2.62156
170,3400.0,33.42454,1.96619,33.42454,2.62156
171,3420.0,33.42455,1.31084,32.76918,1.9662
172,3440.0,33.42455,1.31083,32.76919,1.9662
173,3460.0,32.76918,0.65547,32.76918,1.31084
174,3480.0,32.76919,0.65547,36.04608,0.65547
175,3500.0,37.35685,-1.31062,37.35684,-0.65525
176,3520.0,37.35684,-0.65526,38.0122,-0.65525
177,3540.0,38.66756,-0.65526,39.32291,-0.65525
178,3560.0,39.97827,-1.31062,41.28898,-1.31062
179,3580.0,42.5997,-1.96599,43.25505,-1.96598
180,3600.0,43.91041,-2.62135,44.56577,-2.62134
181,3620.0,45.22112,-3.27671,45.22111,-3.27671
182,3640.0,45.22111,-3.93208,45.22111,-3.27671
183,3660.0,45.2211,-3.93208,45.2211,-3.27671
184,3680.0,45.2211,-3.93208,45.22109,-3.27672
185,3700.0,45.2211,-3.93209,45.22364,-3.27672
186,3720.0,45.22109,-3.93209,45.22109,-3.93209
187,3740.0,45.22109,-3.93209,44.56572,-3.27673
188,3760.0,45.22108,-3.93209,45.22108,-3.27673
189,3780.0,45.22107,-3.9321,44.56571,-3.27673
190,3800.0,43.91034,-3.9321,44.5657,-3.93209
191,3820.0,51.11945,-6.55355,57.01786,-7.20891
192,3840.0,59.63934,-8.51965,59.63932,-6.55355
193,3860.0,60.29467,-6.55356,60.29467,-5.24283
194,3880.0,60.95003,-5.24284,60.95003,-5.24283
195,3900.0,61.60538,-5.8982,60.95002,-5.24284
196,3920.0,61.60538,-5.24284,61.60538,-5.24284
197,3940.0,62.26073,-5.24285,62.26073,-5.24284
198,3960.0,62.26073,-5.24285,62.91609,-4.58749
199,3980.0,62.26073,-5.24285,62.91608,-4.58748
200,4000.0,62.91608,-5.24285,62.91607,-5.24285
201,4020.0,62.26071,-5.24285,62.91607,-5.24285
202,4040.0,62.91606,-5.24285,62.91606,-5.24285
203,4060.0,62.2607,-5.24285,62.91606,-4.58749
204,4080.0,62.2607,-5.24286,62.2607,-4.58749
205,4100.0,62.91606,-5.24286,62.91606,-5.24286
206,4120.0,62.91606,-5.24286,62.91605,-4.58749
207,4140.0,65.53755,-5.89822,66.19294,-5.89821
208,4160.0,65.53757,-6.55358,65.53755,-5.24285
209,4180.0,66.19292,-5.24286,66.19291,-4.58749
210,4200.0,66.19291,-5.24285,66.19291,-4.58749
