,T,LX,LY,RX,RY
0,0.0,0.0,0.0,0.0,0.0
1,20.0,0.0,0.65535999999999,9.9999999960687e-06,0.0
2,40.0,0.0,0.65535999999999,0.0,0.65535999999999
3,60.0,-0.65535999999999,1.31072,0.0,0.65535999999999
4,80.0,-0.65535999999999,0.656,-0.65535,0.65535999999999
5,100.0,-0.65535999999999,1.31072,-1.31071,0.65535999999999
6,120.0,-0.65535999999999,1.31072,-0.65536,0.65535999999999
7,140.0,-1.31073,0.65535999999999,-1.31072,0.65535
8,160.0,-1.31073,0.65535,-1.31072,0.65535999999999
9,180.0,-1.31073,0.65537,-1.31072,0.65535999999999
10,200.0,-1.96609,0.65535999999999,-1.31072,0.65535
11,220.0,-1.96609,1.31072,-1.96608,0.65535
12,240.0,-1.96609,0.65535,-1.96608,-1.0000000003174e-05
13,260.0,-9.17511,-1.31075,-14.41806,-0.65538
14,280.0,-15.72879,0.65535999999999,-15.72876,0.65537
15,300.0,-15.72877,2.62146,-16.38413,2.62147
16,320.0,-16.38414,2.62148,-16.38413,3.27684
17,340.0,-16.38414,2.62148,-16.38413,2.62147
18,360.0,-17.0395,3.27684,-17.03949,2.62147
19,380.0,-17.03949,2.62148,-17.03949,2.62147
20,400.0,-17.03953,2.62148,-17.03949,2.62147
21,420.0,-17.0395,2.62146,-16.38413,1.9661
22,440.0,-16.38414,2.62145,-16.38413,1.96608
23,460.0,-16.38414,1.96608,-16.38414,1.96608
24,480.0,-16.38414,2.62144,-16.38413,1.96608
25,500.0,-16.38414,2.62144,-16.38413,2.62144
26,520.0,-16.38414,2.62143,-16.38413,1.96607
27,540.0,-16.38414,1.96607,-16.38413,1.96607
28,560.0,-16.38414,1.96606,-15.72877,1.3107
29,580.0,-16.38414,1.3107,-16.38413,1.3107
30,600.0,-16.38414,1.96607,-16.38413,1.96607
31,620.0,-16.38414,1.96607,-16.38413,1.96607
32,640.0,-17.0395,2.62143,-16.38414,1.96606
33,660.0,-17.0395,1.96607,-16.38414,1.96606
34,680.0,-17.0395,1.96606,-17.0395,1.96607
35,700.0,-17.0395,2.62143,-17.0395,2.62143
36,720.0,-17.0395,2.62143,-17.0395,2.62144
37,740.0,-17.69486,3.27681,-17.69485,3.93216
38,760.0,-17.69486,3.93217,-17.69485,3.93217
39,780.0,-18.35022,3.93217,-18.35021,3.93217
40,800.0,-18.35022,3.93217,-18.35021,4.58753
41,820.0,-18.35022,3.93218,-18.35021,3.93217
42,840.0,-18.35021,3.93217,-19.00557,3.93217
43,860.0,-19.00558,3.27681,-19.00557,3.2768
