,T,LX,LY,RX,RY
0,0.0,0.0,0.0,0.0,0.0
1,20.0,0.65536,0.0,-5.89829,1.31075
2,40.0,-10.48589,0.65538,-10.48589,1.31076
3,60.0,-9.17517,1.31074,-9.83053,1.31075
4,80.0,-9.83054,1.31074,-9.83053,1.31075
5,100.0,-9.83053,1.31074,-9.83052,1.31075
6,120.0,-9.17517,1.31074,-9.17516,1.31075
7,140.0,-8.51981,1.31074,-9.17517,1.31075
8,160.0,-8.51981,1.31074,-9.17517,1.31075
9,180.0,-3.27686,1.9661,4.58762,2.62146
10,200.0,7.86446,2.62145,7.86448,2.62146
11,220.0,8.51982,3.27682,7.86446,3.27682
12,240.0,8.51982,3.27681,7.86446,2.62146
13,260.0,7.86446,3.27682,7.86446,2.62209
14,280.0,7.86445,3.27682,7.86446,2.62147
15,300.0,7.86445,3.27682,7.86446,2.62147
16,320.0,8.51981,3.27682,7.2091,2.62147
17,340.0,8.51981,3.27683,7.86446,3.27684
18,360.0,7.86445,3.27682,7.2091,3.27683
19,380.0,7.86445,3.27683,7.86446,3.27684
20,400.0,8.51981,3.93219,7.86446,3.27684
21,420.0,8.51981,3.93219,7.86445,3.27684
22,440.0,8.51981,3.93219,7.86445,3.9322
23,460.0,7.86444,3.9322,7.86444,3.9322
24,480.0,8.51981,4.58756,7.86446,3.9322
25,500.0,8.5198,4.58756,7.86445,4.58756
26,520.0,8.5198,4.58756,7.86445,4.58757
27,540.0,8.51981,5.24292,7.86445,4.58757
28,560.0,9.17517,5.24292,8.51981,5.24293
29,580.0,9.17517,5.24292,8.51981,5.24293
30,600.0,9.17517,5.24292,9.17517,5.24293
31,620.0,7.20907,5.89829,3.27686,6.55367
32,640.0,4.58756,6.55366,4.58757,5.89831
33,660.0,5.24292,6.55366,3.9322,6.55367
34,680.0,5.24293,6.55365,3.93221,6.55366
35,700.0,5.24292,6.55366,4.58756,6.55366
36,720.0,5.24291,6.55366,4.58757,6.55366
37,740.0,5.24292,6.55366,4.58756,6.55367
38,760.0,5.24291,5.8983,4.58756,6.55367
39,780.0,5.24291,5.8983,4.58755,5.89831
40,800.0,5.2429,5.8983,4.58755,5.24295
41,820.0,5.2429,5.8983,4.58754,5.24296
42,840.0,5.2429,5.24295,4.58754,5.24296
43,860.0,5.2429,5.89831,4.58754,5.24296
44,880.0,5.2429,5.89831,4.58754,5.24295
45,900.0,5.2429,5.24295,-3.93221,6.55372
46,920.0,-19.66107,7.20912,-32.76844,7.20916
47,940.0,-36.70068,7.20918,-36.04531,7.20918
48,960.0,-34.73459,7.20916,-35.38994,7.20917
49,980.0,-34.73459,6.5538,-35.38994,5.89844
50,1000.0,-35.38994,6.55379,-35.38993,5.89843
51,1020.0,-35.38994,5.89843,-35.38993,5.89844
52,1040.0,-34.73458,5.89843,-35.38994,5.89843
53,1060.0,-34.73458,5.89843,-35.38994,5.89844
54,1080.0,-34.07923,5.89843,-35.38994,5.89843
55,1100.0,-34.07922,5.89843,-34.73458,5.24307
56,1120.0,-34.07922,5.24306,-35.38994,5.24307
57,1140.0,-34.07923,5.24306,-34.73458,5.24307
58,1160.0,-34.07923,5.24306,-34.07921,5.24307
59,1180.0,-22.93795,5.8984,-13.76272,6.55375
60,1200.0,-9.17512,7.2091,-9.17511,7.2091
61,1220.0,-9.17512,6.55373,-9.83048,6.55374
62,1240.0,-9.17513,5.89837,-9.83049,5.89838
63,1260.0,-9.17514,5.89837,-9.8305,5.89838
64,1280.0,-9.17515,5.89837,-10.48586,5.89837
65,1300.0,-9.83051,5.243,-10.48587,5.24301
66,1320.0,-9.83051,5.89837,-9.83051,5.24301
67,1340.0,-9.83051,5.89837,-10.48587,5.24301
68,1360.0,-9.83052,5.89836,-10.48587,5.89837
69,1380.0,-9.83051,5.89836,-10.48587,5.24301
70,1400.0,-9.83052,5.243,-10.48587,5.24301
71,1420.0,-5.89832,5.243,1.96613,7.20908
72,1440.0,4.58761,7.20907,3.93226,6.55372
73,1460.0,4.58759,6.55371,3.93224,6.55371
74,1480.0,4.58758,7.20907,3.93223,6.55372
75,1500.0,4.58758,6.55371,3.93222,6.55371
76,1520.0,4.58758,6.55371,4.58758,6.55371
77,1540.0,5.24293,6.55371,4.58758,6.55371
78,1560.0,5.24293,6.55371,4.58757,6.55372
79,1580.0,5.24292,6.55371,4.58756,6.55371
80,1600.0,5.24292,6.55371,4.58757,6.55372
81,1620.0,5.24292,6.55371,5.24292,6.55371
82,1640.0,5.24291,5.89835,5.24292,5.89836
83,1660.0,5.89827,6.55371,5.24292,6.55372
84,1680.0,5.89827,6.55372,5.24291,6.55372
85,1700.0,5.89827,6.55371,5.89827,6.55371
86,1720.0,6.55362,6.55371,5.89827,6.55372
87,1740.0,6.55362,6.55371,5.89827,6.55371
88,1760.0,6.55363,6.55371,5.89827,6.55371
89,1780.0,7.20899,6.55371,6.55364,6.55371
90,1800.0,1.96606,7.86446,-13.1074,7.86448
91,1820.0,-18.35037,8.51985,-18.35037,8.51985
92,1840.0,-17.03965,8.51984,-17.03965,8.51984
93,1860.0,-16.3843,8.51983,-17.03965,7.86448
94,1880.0,-16.38429,7.86447,-17.03965,8.51984
95,1900.0,-16.3843,8.51983,-16.38429,7.86448
