,T,LX,LY,RX,RY
0,0.0,0.0,0.0,0.0,0.0
1,20.0,1.31071,0.0,0.65535000000001,-1.31072
2,40.0,1.96606,-1.31072,1.96606,-3.2768
3,60.0,2.62142,-3.2768,2.62142,-5.24288
4,80.0,3.93214,-5.89824,3.93214,-8.51968
5,100.0,3.93213,-8.51968,3.93213,-10.48576
6,120.0,4.58748,-10.48576,3.27676,-10.48576
7,140.0,3.27675,-9.8304,2.6214,-10.48575
8,160.0,2.62139,-9.83039,1.31068,-11.14111
9,180.0,1.96602,-9.17503,0.65532,-9.17502
10,200.0,1.31067,-7.8643,0.65531,-7.86429
11,220.0,0.65532,-6.55357,-3.9999999998486e-05,-8.51967
12,240.0,0.65532,-9.83041,-3.9999999998486e-05,-13.76259
13,260.0,-7.0000000000903e-05,-22.28237,-0.65547,-35.38988
14,280.0,-3.27681,-83.88729,-9.83008,-271.97693
15,300.0,20.31751,-290.32755,59.63954,-290.98069
16,320.0,81.9216,-290.32371,49.15327,-290.97907
17,340.0,11.14221,-290.32371,1.96709,-290.97907
18,360.0,11.1421,-290.32371,26.21557,-290.97907
19,380.0,43.25533,-290.32371,54.39651,-290.97992
20,400.0,36.04626,-290.32588,13.76396,-290.98194
21,420.0,6.55539,-290.32688,3.27826,-290.98224
22,440.0,-3.93155,-279.84094,-16.38377,-236.58691
23,460.0,-24.24818,-193.9882,-32.11256,-154.66629
24,480.0,-34.07869,-119.93196,-33.42338,-95.0281
25,500.0,-30.14662,-76.02252,-29.49127,-64.88128
26,520.0,-26.86984,-55.70616,-26.86984,-49.80786
27,540.0,-25.55913,-43.2542,-24.90377,-39.32199
28,560.0,-22.93769,-34.07908,-23.59304,-31.45761
29,580.0,-22.93768,-28.83615,-23.59305,-28.83613
30,600.0,-24.24841,-26.87004,-25.55912,-26.21467
31,620.0,-25.55913,-25.55931,-27.52521,-26.21465
32,640.0,-28.18057,-25.55928,-29.49128,-25.55928
33,660.0,-29.49129,-24.24855,-30.802,-24.24855
34,680.0,-30.14664,-24.24854,-31.45736,-24.24853
35,700.0,-30.802,-21.62707,-31.45736,-22.28243
36,720.0,-30.14663,-20.97171,-30.14663,-21.62706
37,740.0,-28.83592,-19.66097,-28.83591,-19.0056
38,760.0,-26.86983,-17.69488,-26.21447,-17.69487
39,780.0,-24.2484,-16.38416,-23.59303,-16.38416
40,800.0,-21.62696,-15.07344,-21.62695,-15.07343
41,820.0,-15.72869,-14.41807,-3.2767,-14.41805
