,T,LX,LY,RX,RY
0,0.0,0.0,0.0,0.0,0.0
1,20.0,0.65536,0.65536,0.65535000000001,0.65535999999999
2,40.0,1.31071,1.31072,1.31071,1.31072
3,60.0,1.96607,1.31072,1.96607,1.31071
4,80.0,5.89827,1.3107,9.17512,1.3107
5,100.0,9.17512,1.96606,9.17511,2.62143
6,120.0,9.17511,3.27679,9.1751,3.2768
7,140.0,9.17511,3.93216,9.17511,3.2768
8,160.0,9.83047,3.27681,9.17512,3.27681
9,180.0,9.83048,3.93217,9.17512,3.93217
10,200.0,9.83048,3.93216,9.17512,3.27681
11,220.0,9.83048,3.93216,9.17512,3.27681
12,240.0,9.17512,3.2768,9.17512,2.62144
13,260.0,9.17512,2.62143,8.51976,-3.0000000002417e-05
14,280.0,7.86441,-3.27688,7.86442,-10.48592
15,300.0,7.20906,-21.62716,6.5537,-38.01132
16,320.0,3.93225,-53.74014,1.31083,-68.15823
17,340.0,0.00010999999999939,-78.64416,2.62158,-91.75151
18,360.0,8.51986,-100.27131,15.07349,-102.23739
19,380.0,19.661,-95.68369,19.661,-85.19779
20,400.0,20.97172,-74.05654,22.9378,-68.1582
21,420.0,23.59315,-62.25988,24.2485,-58.98304
22,440.0,24.90386,-55.70621,24.90386,-55.05083
23,460.0,25.55922,-52.42938,26.21458,-49.80791
24,480.0,26.21458,-49.15255,26.21458,-49.80791
25,500.0,26.21458,-49.80792,25.55923,-51.77402
26,520.0,24.90387,-54.39549,24.90386,-57.67232
27,540.0,24.90386,-58.98307,24.24851,-59.63842
28,560.0,23.59314,-60.94917,23.59313,-60.94916
29,580.0,24.2485,-58.3277,23.59314,-57.01696
30,600.0,23.59314,-54.3955,23.59314,-52.42939
31,620.0,24.2485,-50.4633,23.59315,-50.46328
32,640.0,24.24851,-49.80792,24.24851,-49.80791
33,660.0,24.24851,-48.49718,24.90388,-47.18644
34,680.0,25.55924,-45.8757,26.2146,-45.8757
35,700.0,26.21459,-43.90961,26.21459,-43.25423
36,720.0,26.86996,-41.28814,27.52533,-40.63276
37,740.0,27.52533,-39.9774,28.18069,-39.97739
38,760.0,28.18069,-39.32202,24.24849,-39.32201
39,780.0,22.93774,-38.01128,24.24846,-36.70054
40,800.0,25.55919,-34.73444,25.55919,-34.07906
41,820.0,25.55919,-32.76833,26.21455,-32.11296
42,840.0,26.86991,-30.80223,26.86991,-30.14685
43,860.0,27.52527,-29.49149,28.18063,-28.83612
44,880.0,28.18063,-27.52539,28.18063,-26.87002
45,900.0,28.836,-26.21465,28.836,-25.55928
46,920.0,29.49136,-25.55928,28.836,-25.55928
47,940.0,29.49136,-24.90392,28.836,-25.55928
48,960.0,29.49137,-25.55928,28.83601,-25.55928
49,980.0,28.83602,-24.90392,28.83602,-25.55928
50,1000.0,28.83602,-25.55928,29.49138,-25.55927
51,1020.0,29.49138,-24.24855,30.14673,-24.90391
52,1040.0,30.14673,-25.55928,30.14672,-26.87002
53,1060.0,30.14672,-29.49149,29.49135,-36.70052
54,1080.0,28.18065,-51.11862,24.9039,-74.05652
55,1100.0,24.24848,-102.23751,29.49112,-146.80273
56,1120.0,35.38911,-190.0571,30.1463,-214.9609
57,1140.0,20.97158,-203.16407,26.21462,-184.81378
