,T,LX,LY,RX,RY
0,0.0,0.0,0.0,0.0,0.0
1,20.0,9.9999999960687e-06,-0.65536,0.65536,-1.31073
2,40.0,0.65537,-1.31073,0.65536,-1.31073
3,60.0,0.65537,-1.31073,1.31072,-1.31073
4,80.0,1.31073,-1.9661,1.31072,-1.96609
5,100.0,1.31074,-1.9661,1.96609,-1.31074
6,120.0,1.9661,-1.9661,1.96609,-1.31074
7,140.0,2.62146,-1.9661,-1.31074,-1.31073
8,160.0,-4.58756,-0.65537,-3.27684,0.0
9,180.0,-3.27682,0.0,-3.27683,0.0
10,200.0,-3.27683,-9.9999999960687e-06,-2.62148,0.0
11,220.0,-2.62148,-0.65536,-1.96613,-0.65537
12,240.0,-1.96613,-0.65538,-1.31078,-0.65538
13,260.0,-1.31077,-0.65538,-1.31078,-0.65538
14,280.0,-1.31077,-1.31074,-1.31078,-1.31074
15,300.0,-1.31077,-1.31074,-0.65541,-1.31074
16,320.0,-0.6554,-1.96611,-4.9999999994554e-05,-1.31074
17,340.0,-0.6554,-1.31074,-3.9999999998486e-05,-1.31074
18,360.0,0.65533,-1.96611,0.65533000000001,-1.96611
19,380.0,0.65534,-1.96611,1.3107,-1.96612
20,400.0,1.96607,-2.62148,1.3107,-1.96612
21,420.0,1.96607,-2.62148,1.96607,-2.62148
22,440.0,3.27681,-3.27684,7.86438,-2.62148
23,460.0,7.20903,-3.27684,5.89829,-3.27684
24,480.0,5.89829,-2.62148,6.55365,-2.62148
25,500.0,6.55366,-3.27684,6.55365,-3.27685
26,520.0,6.55365,-3.93221,6.55364,-3.27685
27,540.0,5.89829,-3.93221,6.55364,-3.27685
28,560.0,5.89828,-3.93221,5.89827,-3.93221
29,580.0,5.89828,-3.93222,5.89827,-3.93222
30,600.0,5.89828,-4.58686,5.89827,-4.58758
31,620.0,6.55364,-5.24294,6.55364,-4.58758
32,640.0,5.89829,-4.58758,6.55364,-4.58758
33,660.0,5.89829,-5.24295,6.55364,-5.24295
34,680.0,5.89829,-5.24295,6.55364,-5.24295
35,700.0,6.55366,-5.24295,6.55365,-5.24295
36,720.0,5.8983,-5.89831,6.55365,-4.58759
37,740.0,5.8983,-5.89832,6.55365,-5.89831
38,760.0,6.55366,-5.89831,5.89829,-5.8983
39,780.0,5.8983,-5.89831,6.55365,-5.89831
40,800.0,5.8983,-5.89831,5.89829,-5.89831
41,820.0,5.8983,-5.89831,5.89829,-5.89831
