,T,LX,LY,RX,RY
0,0.0,0.0,0.0,0.0,0.0
1,20.0,-0.65537,-0.65535999999999,-0.65537,0.0
2,40.0,-1.31074,-0.65535999999999,-1.31073,-0.65536
3,60.0,-1.96611,-1.31072,-1.9661,-0.65536
4,80.0,-5.89831,1.0000000003174e-05,-5.89832,9.9999999960687e-06
5,100.0,-5.89831,-0.65534,-5.24295,9.9999999960687e-06
6,120.0,-5.89832,-0.65535,-5.24295,0.65537
7,140.0,-6.55367,1.9999999999243e-05,-5.89831,9.9999999960687e-06
8,160.0,-6.55368,-0.65535,-6.55368,9.9999999960687e-06
9,180.0,-7.86441,1.0000000003174e-05,-7.20905,9.9999999960687e-06
10,200.0,-8.51979,-1.31071,-8.51978,-0.65535000000001
11,220.0,-9.83053,-1.31071,-10.48588,-1.31071
12,240.0,-11.14126,-1.96607,-11.14126,-1.31071
13,260.0,-11.79664,-1.96606,-11.79664,-1.3107
14,280.0,-12.45201,-1.96606,-12.452,-1.96606
15,300.0,-13.10737,-2.62142,-11.79664,-1.96606
16,320.0,-12.45201,-2.62141,-11.79664,-1.96605
17,340.0,-12.452,-1.96605,-11.79663,-1.31069
18,360.0,-11.14128,-1.96605,-10.48592,-1.31069
19,380.0,-10.48593,-1.96604,-9.1752,-1.31068
20,400.0,-9.83057,-1.96604,-8.51984,-0.65532
21,420.0,-9.17522,-1.96603,-8.51984,-1.31068
22,440.0,-9.17522,-1.31067,-8.51985,-0.65532
23,460.0,-9.17522,-1.31067,-9.17521,-0.65531
24,480.0,-9.83059,-1.31067,-9.17521,-0.6553
25,500.0,-9.83059,-1.31066,-9.83058,-0.6553
26,520.0,-9.83059,-1.31065,-9.83059,-0.6553
27,540.0,-8.51985,-0.65528,-6.55372,7.9999999996971e-05
28,560.0,-7.86446,9.0000000000146e-05,-7.2091,9.0000000000146e-05
29,580.0,-7.86447,-0.65526,-6.55374,9.0000000000146e-05
30,600.0,-7.20911,-0.65526,-7.2091,0.00010999999999939
