,T,LX,LY,RX,RY
0,0.0,0.0,0.0,0.0,0.0
1,20.0,-0.65536,-0.65535999999999,0.65536,-1.9999999999243e-05
2,40.0,0.0,-0.65537999999999,9.9999999960687e-06,-0.65539
3,60.0,-0.65535000000001,-1.96611,9.9999999960687e-06,-1.31075
4,80.0,-0.65535000000001,-1.96612,9.9999999960687e-06,-1.96612
5,100.0,-0.65535000000001,-1.96613,1.9999999999243e-05,-1.96613
6,120.0,-0.65534,-2.6215,1.9999999999243e-05,-1.96615
7,140.0,-0.65534,-2.62151,1.9999999999243e-05,-1.96616
8,160.0,-0.65534,-3.27687,1.9999999999243e-05,-2.62152
9,180.0,-0.65533000000001,-3.27688,2.9999999995312e-05,-2.62152
10,200.0,-0.65533000000001,-3.27688,2.9999999995312e-05,-2.62153
11,220.0,-0.65533000000001,-3.93225,2.9999999995312e-05,-3.2769
12,240.0,-0.65532,-3.93226,3.9999999998486e-05,-3.93227
13,260.0,-0.65532,-4.58763,2.9999999995312e-05,-3.93227
14,280.0,-1.31072,-3.2769,-0.65535,-2.62154
15,300.0,-1.3107,-3.93226,-0.65535,-2.62154
16,320.0,-1.31071,-3.2769,-0.65535,-2.62155
17,340.0,-1.31071,-3.93227,-0.6528,-3.27691
18,360.0,-1.96607,-3.27691,-1.31071,-3.27692
19,380.0,-1.96606,-3.93228,-0.65534,-3.93228
20,400.0,-1.3107,-3.93228,-0.65534,-3.27692
21,420.0,-1.3107,-3.93228,-0.65534,-3.93229
22,440.0,-1.3107,-4.58765,-0.65533,-3.27693
23,460.0,-1.31069,-3.93229,-0.65533,-3.93229
24,480.0,-1.31069,-4.58765,-0.65534,-4.58766
25,500.0,-1.3107,-4.58766,-0.65534,-4.58766
26,520.0,-0.65534,-5.24301,-0.65534,-4.58766
27,540.0,-0.65534,-4.58766,1.9999999999243e-05,-4.58766
28,560.0,-0.65534,-4.58766,1.9999999999243e-05,-3.9323
29,580.0,-0.65534,-4.58766,1.9999999999243e-05,-4.58767
