,T,LX,LY,RX,RY
0,0.0,0.0,0.0,0.0,0.0
1,20.0,-9.9999999960687e-06,-0.65537,-0.65536,-0.65536
2,40.0,-0.65537,-0.65537,-0.65536,-0.65537
3,60.0,-1.31073,-0.65538,-1.31072,-0.65538
4,80.0,-1.31073,-1.31076,-1.31072,-1.31075
5,100.0,-1.31074,-1.31076,-0.65537,-2.62147
6,120.0,-1.9999999999243e-05,-1.96613,-0.65538,-2.62147
7,140.0,-2.9999999995312e-05,-1.96613,-1.9999999999243e-05,-2.62148
8,160.0,0.65532,-2.6215,0.65533,-2.62149
9,180.0,0.65532,-1.96614,1.31069,-1.96614
10,200.0,1.31068,-1.31079,1.96604,-1.31079
11,220.0,1.96604,-0.65545,2.6214,-7.9999999996971e-05
12,240.0,2.62139,-9.0000000000146e-05,2.6214,-9.0000000000146e-05
13,260.0,2.62139,-9.0000000000146e-05,2.6214,-9.9999999996214e-05
14,280.0,2.62138,-0.00010999999999939,3.27675,-0.00010999999999939
15,300.0,3.93209,0.65524,3.9321,0.65524
16,320.0,4.58745,1.31059,4.58746,2.62132
17,340.0,5.89816,2.62131,6.55352,2.62131
18,360.0,7.20887,2.6213,7.86424,3.27667
19,380.0,8.51959,3.27666,9.17496,3.27667
20,400.0,9.17495,3.27665,9.17496,2.6213
21,420.0,9.17496,2.62129,9.17496,1.31058
22,440.0,9.17496,1.31058,8.51961,0.65522
23,460.0,7.86424,-0.00015000000000498,7.86426,-0.6555
24,480.0,7.20889,-0.65551,6.55354,-0.6555
25,500.0,6.55353,-0.6555,5.89818,-0.65549
26,520.0,5.24281,-0.65549,5.24282,-0.00012999999999863
27,540.0,5.24282,0.65523,5.24283,0.65525
28,560.0,4.58745,0.65524,4.58747,-0.00010999999999939
29,580.0,4.58746,0.65525,4.58747,-9.9999999996214e-05
30,600.0,3.9321,-0.00010999999999939,4.58747,-0.65546
31,620.0,3.93211,-0.65547,3.93212,-0.65546
32,640.0,3.93211,-1.31083,3.93212,-1.31083
33,660.0,3.93211,-1.31084,3.93212,-0.65547
34,680.0,3.27675,-0.65547,2.6214,-0.65546
35,700.0,2.62139,-0.00010999999999939,2.6214,-1.31082
36,720.0,2.62139,-1.31083,2.6214,-1.31082
37,740.0,2.6214,-1.31082,1.96605,-1.31081
38,760.0,1.96604,-1.31082,1.96605,-1.31081
39,780.0,-47.18596,-1.31082,1.31069,-1.3108
40,800.0,1.31068,-1.31081,1.31069,-1.3108
41,820.0,0.65533,-0.65545,0.65533,-7.9999999996971e-05
42,840.0,0.65532,0.65528,-3.0000000002417e-05,0.65529
43,860.0,-3.9999999998486e-05,1.31065,-0.65539,1.31065
44,880.0,-0.6554,1.96601,-0.65539,1.96602
45,900.0,-1.31076,1.96601,0.65534,1.31065
46,920.0,3.93225,2.62137,5.89841,2.62137
47,940.0,5.24303,3.27673,5.24302,3.93211
48,960.0,4.58765,3.93212,4.58766,4.58749
49,980.0,4.58765,5.24285,4.58767,5.24287
50,1000.0,3.9323,5.24287,3.27694,5.89824
51,1020.0,3.27694,5.89824,2.62159,5.89826
52,1040.0,1.96622,5.89826,1.96623,5.89827
53,1060.0,1.31086,6.55363,1.31086,6.55366
54,1080.0,1.31085,6.55366,1.31087,6.55368
55,1100.0,1.31086,7.20903,1.31086,7.20904
56,1120.0,1.31076,9.83051,-1.31076,9.83052
57,1140.0,-1.31076,10.48587,-0.6554,10.4859
58,1160.0,-0.65541,10.4859,-0.65539,10.48591
59,1180.0,-0.6554,9.83054,-0.65539,9.17518
60,1200.0,-0.6554,9.17518,-0.65539,9.17518
61,1220.0,-0.6554,9.17517,-1.31075,9.17518
62,1240.0,-1.31076,9.17517,-1.31074,9.83054
63,1260.0,-1.31075,9.83053,-1.9661,10.4859
64,1280.0,-2.62146,9.83053,-2.62145,9.83053
65,1300.0,-2.62146,9.17515,-3.2768,8.5198
66,1320.0,-3.27681,7.86442,-2.62143,7.86442
67,1340.0,-3.2768,6.55369,-3.93215,5.89833
68,1360.0,-3.93216,5.89832,-3.93215,5.89833
69,1380.0,-3.93217,5.24297,-3.93216,5.24298
70,1400.0,-2.62141,6.5537,-0.65519,7.20908
71,1420.0,-0.65514,7.86444,-1.31051,8.51981
72,1440.0,-1.96588,9.17517,-1.96587,9.17517
73,1460.0,-2.62123,9.17517,-2.62122,9.17518
74,1480.0,-2.62123,9.17517,-1.96587,8.51983
75,1500.0,-1.96588,9.17517,-1.31051,9.17518
76,1520.0,-1.31052,9.17517,-1.31051,8.51982
77,1540.0,-1.31052,8.51981,-1.31051,8.51982
78,1560.0,-1.31052,7.86445,-1.31051,7.86446
79,1580.0,-0.65516,7.20909,-0.65515,7.2091
80,1600.0,-0.65516,6.55372,-0.65515,5.89837
81,1620.0,-0.65516,5.89836,-0.65515,5.89837
82,1640.0,-0.65516,5.243,-0.65515,5.24301
83,1660.0,-0.65516,5.243,-0.65515,5.89837
84,1680.0,-0.65516,5.89836,-0.65515,6.55373
85,1700.0,-1.31052,6.55372,-1.96581,7.20908
86,1720.0,-1.96579,7.20908,-2.62115,7.86446
87,1740.0,-2.62116,7.86445,-2.62114,8.51983
88,1760.0,-2.62116,7.86446,-2.62113,7.86447
89,1780.0,-2.62115,8.51982,-3.2765,8.51984
90,1800.0,-2.62115,8.51983,-3.2765,9.1752
91,1820.0,-3.2765,9.1752,-3.27649,9.17521
92,1840.0,-3.27649,8.51984,-3.27648,7.86448
93,1860.0,-3.93185,7.20911,-3.27648,5.89839
94,1880.0,-3.93184,5.24302,-3.93183,3.93228
95,1900.0,-2.62109,2.62153,3.27728,1.31082
96,1920.0,6.55414,9.0000000000146e-05,6.55415,-1.31064
97,1940.0,-47.18539,-1.31064,6.55414,-1.966
98,1960.0,5.89877,-3.27674,5.89878,-5.24284
99,1980.0,5.24342,-5.89821,5.24343,-5.24283
100,2000.0,5.24342,-3.9321,4.58808,-3.93208
101,2020.0,4.58807,-3.27673,3.93272,-2.62135
102,2040.0,3.93271,-2.62135,3.93271,-1.96598
103,2060.0,3.93271,-1.96597,3.93272,-1.96597
104,2080.0,3.93271,-2.62133,3.93271,-3.93205
105,2100.0,5.24342,-3.93205,5.24343,-3.93205
106,2120.0,5.89878,-4.58742,6.55415,-4.58742
107,2140.0,5.89878,-4.58742,6.55415,-5.24278
108,2160.0,7.2095,-5.89815,7.2095,-6.5535
109,2180.0,7.86485,-7.20887,8.52022,-8.51958
110,2200.0,9.17557,-9.17496,9.17558,-10.48568
111,2220.0,9.83093,-11.14105,13.10776,-13.10713
112,2240.0,23.59362,-13.10713,28.18121,-13.10712
113,2260.0,28.1812,-13.10713,28.83656,-13.10711
114,2280.0,28.18119,-12.45175,28.83656,-11.79638
115,2300.0,28.83655,-11.79638,28.1812,-11.14101
116,2320.0,28.18119,-10.48565,28.1812,-10.48564
117,2340.0,28.83656,-9.83029,28.83656,-9.83028
