,T,LX,LY,RX,RY
0,0.0,0.0,0.0,0.0,0.0
1,20.0,-9.9999999960687e-06,0.0,0.0,1.31072
2,40.0,-9.9999999960687e-06,0.65537,-1.0000000003174e-05,1.31072
3,60.0,-9.9999999960687e-06,1.31073,-1.0000000003174e-05,1.31071
4,80.0,0.65535000000001,1.31073,0.65535,1.96608
5,100.0,-9.9999999960687e-06,1.96609,-1.0000000003174e-05,2.62144
6,120.0,-9.9999999960687e-06,1.96609,-0.65536,2.62144
7,140.0,-9.9999999960687e-06,1.9661,-0.65536,3.27681
8,160.0,-0.65537,2.62146,0.0,3.27681
9,180.0,-0.65537,3.27682,0.0,3.93218
10,200.0,-9.9999999960687e-06,3.93218,0.0,4.58753
11,220.0,-0.65537,3.93218,-0.65536,4.58754
12,240.0,-0.65537,3.93219,9.9999999960687e-06,4.58754
13,260.0,-0.65535999999999,4.58755,-0.65535,5.89826
14,280.0,-0.65535,5.24292,-1.31071,6.55363
15,300.0,-1.96607,6.55364,-1.3107,7.20899
16,320.0,-1.31071,7.20901,-1.3107,8.51972
17,340.0,-1.96607,8.51973,-1.96606,9.17509
18,360.0,-1.96606,9.17511,-1.96605,9.83045
19,380.0,-2.62142,9.17511,-2.62141,10.48582
20,400.0,-2.62141,9.83047,-2.6214,10.48582
21,420.0,-3.27677,10.48583,-2.6214,11.14118
22,440.0,-2.6214,10.48583,-3.27675,11.14118
23,460.0,-3.27676,11.1412,-3.27675,11.79654
24,480.0,-3.93212,11.79656,-5.89821,11.14118
25,500.0,-5.89821,10.48583,-5.24284,11.79654
26,520.0,-5.89821,12.45192,-5.8982,13.10727
27,540.0,-5.8982,13.10729,-5.24284,13.76263
28,560.0,-5.24285,13.10729,-5.24285,13.76263
29,580.0,-4.5875,13.10728,-4.58749,14.41799
30,600.0,-4.5875,13.76264,-4.58749,15.07335
31,620.0,-5.24286,14.418,-4.5875,15.07335
32,640.0,-4.58751,14.41801,-4.5875,15.07335
33,660.0,-4.58751,14.418,-4.5875,14.41799
34,680.0,-5.24287,13.76264,2.62151,15.07334
35,700.0,13.76278,13.76263,17.03967,13.10725
36,720.0,15.72893,13.76262,15.07357,15.07334
37,740.0,15.07356,14.41799,15.07356,15.07334
38,760.0,15.07355,14.41799,15.07355,14.41798
39,780.0,14.41818,13.76263,14.41818,14.41798
40,800.0,13.76281,13.76263,13.76282,13.76262
41,820.0,13.10744,13.10727,13.10745,13.76262
42,840.0,12.45208,13.10727,12.45208,13.76262
43,860.0,9.83061,15.07337,7.86451,14.41799
44,880.0,7.86451,13.10728,7.86451,14.41799
45,900.0,7.20915,14.41801,7.20915,14.41799
46,920.0,7.8645,13.10728,7.86451,13.76263
47,940.0,7.8645,13.10728,7.20915,13.76263
48,960.0,7.8645,13.10728,7.20915,13.10727
49,980.0,7.20914,13.10728,7.20915,13.76263
50,1000.0,6.55379,12.45192,6.5538,13.10727
51,1020.0,5.89843,12.45192,5.89844,13.10727
52,1040.0,5.24307,12.45192,5.24308,12.45191
53,1060.0,5.24307,11.79656,5.24308,11.79655
54,1080.0,5.24308,11.79656,10.48603,11.79656
55,1100.0,11.14141,9.17512,11.79677,9.83047
56,1120.0,11.1414,9.17513,11.79676,9.83047
57,1140.0,12.45211,8.51977,13.10747,8.51976
58,1160.0,13.76282,7.8644,14.41818,7.20903
59,1180.0,15.07352,5.24296,15.72889,5.8983
60,1200.0,15.07351,4.58759,15.72888,3.27685
