,T,LX,LY,RX,RY
0,0.0,0.0,0.0,0.0,0.0
1,20.0,0.65536,-0.65537,0.65536,0.65536
2,40.0,0.65535,-1.0000000003174e-05,0.65536,0.65536
3,60.0,0.65535,-1.0000000003174e-05,1.31071,0.65536
4,80.0,0.65534,-0.65537,0.65535,0.65536
5,100.0,0.65535,-0.65536,0.65535,0.0
6,120.0,0.65534,-0.65536,0.65534,0.0
7,140.0,0.65534,-0.65536,0.65534,0.65536
8,160.0,1.31069,-0.65536,1.3107,0.0
9,180.0,0.65534,0.0,1.3107,0.65536
10,200.0,1.31069,0.0,1.3107,0.65536
11,220.0,1.31069,-0.65536,1.3107,0.0
12,240.0,1.96605,0.0,1.3107,0.0
13,260.0,1.96605,-0.65536,1.31069,0.0
14,280.0,1.31069,-0.65536,1.96605,0.0
15,300.0,1.96604,-0.65536,1.96605,0.65537
16,320.0,1.96605,0.0,1.96605,0.65536
17,340.0,1.96605,0.0,1.96605,0.65536
18,360.0,1.96605,9.9999999960687e-06,1.96605,0.65536
19,380.0,1.96605,0.0,1.96605,0.65536
20,400.0,1.96605,0.0,1.3107,1.31073
21,420.0,1.96605,9.9999999960687e-06,1.3107,1.31073
22,440.0,1.3107,0.65537,1.3107,1.31073
23,460.0,1.31069,1.31072,0.65534,1.31073
24,480.0,0.65534,0.65537,0.65534,1.96609
25,500.0,0.65534,1.31073,0.65535,2.62145
26,520.0,0.65534,1.96609,-1.9999999999243e-05,2.62146
27,540.0,0.65534,2.62145,0.65534,3.27681
28,560.0,0.65534,2.62145,0.65535,3.27681
29,580.0,0.65535,2.62145,0.65535,3.27681
30,600.0,0.65535,3.27681,0.65535,3.93217
31,620.0,0.65535,3.27681,0.0,4.58754
32,640.0,-9.9999999960687e-06,3.93217,0.0,4.58753
33,660.0,-9.9999999960687e-06,3.93217,-0.65535,4.58754
34,680.0,0.0,3.93217,-0.65535,5.24289
35,700.0,-1.31072,4.58753,-1.31071,4.58753
36,720.0,-0.65535,3.93216,3.93221,5.89825
37,740.0,13.76282,2.62142,15.72895,1.31069
38,760.0,15.07354,3.2768,15.07354,3.27681
39,780.0,15.72889,3.2768,15.7289,3.93217
40,800.0,15.72888,3.2768,15.72889,3.93216
41,820.0,15.72889,2.62143,15.72889,3.2768
42,840.0,16.38425,2.62143,15.7289,3.2768
43,860.0,15.07354,2.62143,15.07354,3.93216
44,880.0,14.41818,3.93215,13.76283,5.89824
