,T,LX,LY,RX,RY
0,0.0,0.0,0.0,0.0,0.0
1,20.0,-0.65536,9.9999999960687e-06,0.0,0.0
2,40.0,-0.65537,-0.65536,-1.96611,-0.65535999999999
3,60.0,-19.00562,-5.89827,-45.87562,-11.14119
4,80.0,-58.32768,-13.76259,-57.67243,-13.10719
5,100.0,-58.3278,-11.14106,-57.67245,-9.83033
6,120.0,-58.32784,-10.48567,-57.67251,-9.83031
7,140.0,-58.3279,-11.14103,-57.67255,-10.48566
8,160.0,-58.32792,-11.14102,-57.67256,-10.48567
9,180.0,-58.32792,-11.14102,-57.67256,-10.48567
10,200.0,-58.32792,-11.79639,-57.67256,-10.48568
11,220.0,-58.32792,-11.7964,-57.67256,-11.14104
12,240.0,-58.32792,-11.79641,-57.67256,-11.79642
13,260.0,-58.32792,-11.79642,-57.67256,-11.79642
14,280.0,-58.32792,-12.45179,-57.67256,-11.14106
15,300.0,-58.32792,-11.79641,-57.67256,-11.14106
16,320.0,-58.32792,-11.79642,-57.67256,-11.14107
17,340.0,-58.32792,-11.79643,-57.67256,-11.14108
18,360.0,-58.32791,-11.14108,-57.67253,-11.14108
19,380.0,-58.32788,-11.14108,-57.6725,-11.14108
20,400.0,-58.32784,-11.14108,-57.67246,-11.14109
21,420.0,-58.3278,-11.14109,-57.67241,-9.83039
22,440.0,-58.32773,-10.48576,-57.67233,-9.83042
23,460.0,-58.32766,-10.48579,-57.67228,-10.48581
24,480.0,-58.32762,-11.79655,-57.67225,-8.51975
25,500.0,-58.32758,2.9999999995312e-05,-57.67216,7.20909
26,520.0,-58.32748,8.51984,-57.6721,11.1413
27,540.0,-58.32744,11.79669,-57.67208,12.45204
28,560.0,-58.32744,12.45204,-57.67205,14.41813
29,580.0,-58.32739,14.41813,-57.67201,15.72885
30,600.0,-58.32735,16.38421,-57.67196,17.03958
31,620.0,-58.3273,17.03958,-57.67192,18.3503
32,640.0,-58.32726,18.35031,-57.67187,19.66103
33,660.0,-58.32721,19.66105,-57.67183,20.31641
34,680.0,-58.32717,20.97178,-57.6718,22.2825
35,700.0,-58.32715,22.28251,-57.67178,23.59323
36,720.0,-58.32713,23.59325,-57.67176,24.90397
37,740.0,-58.32711,24.90397,-57.67174,25.55933
38,760.0,-58.32708,25.55934,-57.67168,26.87005
39,780.0,-58.32703,27.52543,-57.67166,29.49152
40,800.0,-58.32701,29.49153,-57.67164,30.1469
41,820.0,-58.32701,30.1469,-57.67165,30.80228
42,840.0,-58.32704,30.14695,-57.67171,30.80232
43,860.0,-58.32709,30.80234,-57.6717,32.11306
44,880.0,-58.32703,32.76841,-57.67164,34.73449
45,900.0,-58.32698,34.07913,-57.67161,35.38985
46,920.0,-58.32697,36.04521,-57.6716,36.70058
47,940.0,-58.32696,37.35595,-57.6716,38.01132
48,960.0,-58.32697,37.35596,-57.67161,38.0115
49,980.0,-58.32696,38.01133,-57.67159,39.32205
50,1000.0,-58.32694,38.66669,-57.67158,39.32204
51,1020.0,-58.32693,38.66667,-57.67155,39.97739
52,1040.0,-58.3269,39.32203,-57.67152,39.97738
53,1060.0,-58.32688,39.97738,-57.6715,39.97737
54,1080.0,-58.32686,39.97737,-57.67146,40.63273
55,1100.0,-58.32671,41.28808,-57.67127,42.5988
56,1120.0,-58.32663,41.94344,-57.67126,42.5988
57,1140.0,-58.32662,41.94343,-57.67125,42.59879
58,1160.0,-58.3266,41.94343,-57.67124,42.59879
59,1180.0,-58.32659,41.94343,-57.67122,42.5988
60,1200.0,-58.32658,41.94343,-57.67121,42.59879
61,1220.0,-58.32657,41.94343,-57.6712,42.59879
62,1240.0,-58.32656,41.94343,-57.67119,42.59878
