,T,LX,LY,RX,RY
0,0.0,0.0,0.0,0.0,0.0
1,20.0,-0.65538,9.9999999960687e-06,-0.65537,-0.65535999999999
2,40.0,-1.31075,9.9999999960687e-06,-0.65538,-0.65535999999999
3,60.0,-0.65539,-1.3107,-0.65539,-1.31071
4,80.0,-0.6554,-1.31071,-3.9999999998486e-05,-1.96607
5,100.0,-4.9999999994554e-05,-1.31071,-5.000000000166e-05,-1.31071
6,120.0,-0.65542,-1.3107,-0.65542,-1.31071
7,140.0,-0.65544,-1.31069,-0.65543,-1.3107
8,160.0,-1.31081,-1.31068,-0.65544,-0.65533
9,180.0,-0.65546,-1.31068,-0.65546000000001,-1.31068
10,200.0,-1.31083,-0.65531,-0.65546000000001,-0.65532
11,220.0,-0.65547,-0.65531,-1.31082,-0.65532
12,240.0,-0.65547,-0.65531,-1.31082,5.000000000166e-05
13,260.0,-0.65547,5.000000000166e-05,-0.65546000000001,5.000000000166e-05
14,280.0,-0.65547,5.000000000166e-05,-0.65546000000001,-0.65531
15,300.0,-0.65547,0.65542,-0.65547,5.000000000166e-05
16,320.0,-0.65547,5.9999999997729e-05,-0.65547,-0.65532
17,340.0,-0.65547,-0.65531,-0.65546000000001,-1.96605
18,360.0,-0.00010999999999939,-2.62141,-9.0000000000146e-05,-3.27678
19,380.0,-9.9999999996214e-05,-2.62141,-9.0000000000146e-05,-3.27679
20,400.0,-9.0000000000146e-05,-2.62142,0.65529,-3.27679
21,420.0,0.65528,-3.27679,0.65529,-3.93215
22,440.0,1.31064,-3.27679,1.31065,-3.2768
23,460.0,1.966,-3.27679,1.966,-3.27679
24,480.0,1.31062,-2.62142,1.96598,-3.27679
25,500.0,1.96596,-2.62143,1.96596,-2.62144
26,520.0,1.96594,-2.62143,1.96594,-2.62143
27,540.0,1.96593,-1.96607,1.96593,-2.62143
28,560.0,1.96591,-1.96606,1.96592,-1.96607
29,580.0,1.9659,-1.3107,2.62127,-1.96606
30,600.0,2.62125,-1.31069,2.62125,-1.96606
31,620.0,2.62124,-1.31069,2.62124,-1.3107
32,640.0,2.62123,-1.31069,2.62123,-1.31069
33,660.0,3.27658,-1.31069,3.27658,-1.3107
34,680.0,3.27657,-1.31069,3.27657,-1.3107
35,700.0,3.93192,-1.31069,3.93193,-1.31069
36,720.0,3.27655,-1.31068,3.93192,-1.96605
37,740.0,3.27655,-1.31068,3.93191,-1.96605
38,760.0,3.9319,-1.31068,3.93191,-1.96605
39,780.0,3.9319,-1.31068,4.58982,-1.31069
40,800.0,3.9319,-1.31069,3.93191,-1.31069
41,820.0,3.93189,-1.31068,3.9319,-1.31069
42,840.0,3.27654,-0.65532,3.27654,-0.65531
43,860.0,3.27653,-0.65531,2.62117,-0.65531
44,880.0,1.96581,-0.6553,1.96581,6.0000000004834e-05
45,900.0,1.9658,0.65543,1.31045,0.65543
46,920.0,1.9658,1.3108,1.96581,1.31079
47,940.0,1.96581,1.96616,1.31046,1.96614
48,960.0,1.31045,1.96615,1.31046,1.96614
49,980.0,1.31045,3.27687,0.6551,2.6215
50,1000.0,0.65509,3.27687,-0.00026000000000437,3.27687
51,1020.0,-0.65563,3.93223,-0.65562,3.27686
52,1040.0,-1.31099,3.93224,-1.96634,3.93223
53,1060.0,-2.62171,3.93224,-2.62171,3.27687
54,1080.0,-3.27707,3.93224,-3.93242,3.27687
55,1100.0,-3.93244,3.93224,-3.93242,3.27687
56,1120.0,-3.93244,3.93224,-4.58779,3.27687
57,1140.0,-4.5878,3.93224,-4.58779,3.27687
58,1160.0,-4.5878,3.93224,-4.58779,3.27687
59,1180.0,-4.5878,3.93223,-4.58779,3.27687
60,1200.0,-4.5878,3.27687,-3.27706,2.6215
61,1220.0,2.62126,3.27685,9.83031,3.27683
62,1240.0,9.17494,3.27684,8.51958,3.27684
63,1260.0,7.86421,3.9322,7.86422,3.27684
64,1280.0,7.8642,3.27684,7.86421,2.62147
65,1300.0,7.20883,3.27684,7.8642,2.62147
66,1320.0,7.20882,3.27683,7.86419,2.62147
67,1340.0,7.20882,3.27683,7.86419,2.62146
68,1360.0,7.86417,3.27682,7.86419,1.9661
69,1380.0,7.86418,2.62146,7.86419,1.9661
70,1400.0,8.51954,2.62146,8.51955,1.96609
71,1420.0,8.51953,2.62146,8.51954,1.96609
72,1440.0,8.51953,1.9661,8.51954,1.96609
73,1460.0,8.51953,2.62145,8.51954,1.96609
74,1480.0,8.51953,3.27681,8.51954,2.62145
75,1500.0,7.86417,3.27682,1.31052,3.27682
76,1520.0,-3.93246,5.24293,-5.24319,5.24295
77,1540.0,-4.58784,5.89831,-3.93246,5.24294
78,1560.0,-4.58783,5.24295,-4.58783,4.58758
79,1580.0,-4.58783,5.24294,-4.58783,4.58758
80,1600.0,-4.58783,5.24294,-4.58783,4.58758
81,1620.0,-4.58783,5.24295,-4.58783,4.58758
82,1640.0,-4.58783,4.58759,-4.58782,4.58758
83,1660.0,-4.58783,4.58759,-5.24318,3.93222
84,1680.0,-4.58783,3.93223,-5.24318,3.27686
85,1700.0,-4.58783,3.93223,-4.58782,3.27686
86,1720.0,-5.24318,3.27686,-4.58782,2.6215
87,1740.0,-5.24318,2.6215,-4.58781,2.6215
88,1760.0,-4.58782,3.27686,-4.58781,2.6215
89,1780.0,-4.58782,2.62151,-4.58781,2.6215
90,1800.0,-4.58782,3.27687,-4.58781,1.96615
91,1820.0,-4.58782,2.62152,-5.24317,1.96615
92,1840.0,-5.24318,1.96616,-5.89853,1.3108
93,1860.0,-5.89854,0.65545,-5.89851,-0.65529
94,1880.0,2.62128,-1.31067,11.79643,-1.96605
95,1900.0,11.79642,-1.31069,10.48571,-1.96604
96,1920.0,9.83034,-1.31068,9.83035,-1.96605
97,1940.0,9.17498,-1.96604,9.83035,-2.62141
98,1960.0,9.83034,-1.96604,9.83035,-1.96605
99,1980.0,9.83034,-1.96605,9.83035,-1.96605
100,2000.0,9.83034,-1.96605,9.83035,-2.62141
101,2020.0,10.48571,-1.96605,10.48571,-2.62142
102,2040.0,10.4857,-1.96605,10.48572,-2.62142
103,2060.0,11.14107,-1.96606,13.10717,-1.96607
104,2080.0,15.72863,-1.96606,15.72863,-1.96607
105,2100.0,15.07325,-1.31071,15.07325,-1.96607
106,2120.0,15.07324,-1.31072,15.07325,-1.31073
107,2140.0,15.07324,-1.31072,15.07324,-1.31073
108,2160.0,15.07323,-0.65536,15.07324,-1.31073
109,2180.0,15.07323,-0.65536,15.07324,-0.65537
110,2200.0,15.07323,0.0,14.41787,-0.65537
111,2220.0,15.07322,0.0,14.41787,-0.65535999999999
112,2240.0,15.07322,0.0,15.07322,0.0
113,2260.0,15.07321,0.0,15.07322,-0.65535999999999
114,2280.0,15.0732,9.9999999960687e-06,15.07321,0.0
115,2300.0,15.0732,0.65536,15.07321,0.0
116,2320.0,15.0732,0.65536,15.0732,0.0
117,2340.0,15.07319,0.65537,15.0732,0.0
118,2360.0,15.07319,9.9999999960687e-06,15.0732,0.0
119,2380.0,15.07318,9.9999999960687e-06,15.0732,0.0
120,2400.0,14.41782,9.9999999960687e-06,14.41783,0.65536
121,2420.0,14.41782,0.0,15.07319,0.0
122,2440.0,14.41782,0.65537,14.41783,0.0
123,2460.0,14.41781,0.65537,15.07318,0.65536
124,2480.0,14.41781,0.65537,14.41782,0.0
125,2500.0,14.41781,0.65537,15.07318,0.0
126,2520.0,15.07317,9.9999999960687e-06,14.41782,0.0
127,2540.0,15.07317,0.65537,15.07318,1.0000000003174e-05
