,T,LX,LY,RX,RY
0,0.0,0.0,0.0,0.0,0.0
1,20.0,0.65537,0.0,1.0000000003174e-05,0.65535999999999
2,40.0,0.65538,-1.0000000003174e-05,0.65538,0.0
3,60.0,1.31075,-1.0000000003174e-05,0.65538,0.65535
4,80.0,1.31076,-1.0000000003174e-05,1.31075,0.65535
5,100.0,1.96612,-1.0000000003174e-05,1.31076,0.65535
6,120.0,1.96612,-1.9999999999243e-05,1.31077,0.65535
7,140.0,2.6215,0.65534,1.96613,0.65535
8,160.0,2.6215,-1.9999999999243e-05,1.96614,1.3107
9,180.0,3.27687,1.3107,1.96614,0.65534
10,200.0,3.27688,-1.9999999999243e-05,3.27687,0.65534
11,220.0,3.93224,-1.9999999999243e-05,3.27688,0.65534
12,240.0,3.93226,-3.0000000002417e-05,3.27689,0.65533
13,260.0,4.58762,0.65534,3.2769,0.65533
14,280.0,4.58763,-3.0000000002417e-05,3.93226,0.65534
15,300.0,-1.96609,0.65539,-7.20906,2.62149
16,320.0,-7.20903,2.62149,-8.51973,3.27685
17,340.0,-7.86436,2.62148,-7.86437,3.27684
18,360.0,-7.209,3.27683,-7.86437,3.9322
19,380.0,-6.55364,3.27683,-6.55365,3.9322
20,400.0,-5.89827,3.27683,-6.55364,3.93219
21,420.0,-5.2429,3.27683,-5.89826,3.27682
22,440.0,-4.58753,3.27682,-5.24289,3.27682
23,460.0,-4.58753,3.27682,-5.24288,3.27682
24,480.0,-3.93215,2.62146,-3.93216,3.27681
25,500.0,-3.27679,2.62145,-3.93215,3.27681
26,520.0,-2.62142,1.96609,-3.93215,2.62145
27,540.0,-1.96607,1.96609,-2.62143,1.96609
28,560.0,-1.96607,1.96609,-1.96607,1.96609
29,580.0,-1.3107,1.96609,-1.96607,2.62145
30,600.0,1.9999999999243e-05,1.9661,-0.65534,2.62146
31,620.0,3.0000000002417e-05,1.96609,1.9999999999243e-05,2.62145
32,640.0,0.65539,1.9661,3.0000000002417e-05,2.62145
33,660.0,1.31075,2.62146,0.65539,2.62146
34,680.0,1.96611,1.9661,0.6554,2.62146
35,700.0,2.62149,2.62146,1.31076,2.62146
36,720.0,2.62149,2.62146,1.96614,3.27682
37,740.0,3.27686,3.27682,2.6215,3.27681
38,760.0,3.27688,3.27681,2.62151,3.27681
39,780.0,3.27689,2.62145,2.62153,3.93217
40,800.0,3.27691,3.2768,2.62154,3.2768
41,820.0,3.27692,2.62144,2.62156,3.2768
42,840.0,3.27694,1.96607,2.62159,2.62143
43,860.0,3.27696,1.96606,2.62161,1.96606
44,880.0,3.27698,1.96607,1.31088,1.96608
45,900.0,-4.58751,1.96611,-10.48586,2.62148
46,920.0,-10.48582,3.27684,-10.4858,3.9322
47,940.0,-9.83043,2.62147,-9.83044,3.93218
48,960.0,-8.51971,2.62145,-8.51972,2.62144
49,980.0,-7.20899,2.62143,-7.20901,2.62142
50,1000.0,-5.24292,1.96605,-5.89829,1.96604
51,1020.0,-4.58757,1.31068,-5.24293,2.6214
52,1040.0,-3.93221,1.96605,-3.93221,1.96605
53,1060.0,-2.62149,1.96604,-3.27685,1.96605
54,1080.0,-2.62147,1.31068,-3.27683,1.31069
55,1100.0,-1.9661,-3.0000000002417e-05,-2.62146,-3.0000000002417e-05
56,1120.0,-1.31074,-1.31076,-2.62146,-1.96612
57,1140.0,-1.31073,-3.27684,-1.9661,-3.27684
58,1160.0,-1.96609,-4.58757,-2.62146,-4.58757
59,1180.0,-1.31073,-5.24293,-1.96609,-5.24293
60,1200.0,-1.31072,-5.89829,-2.62144,-5.89829
61,1220.0,-1.3107,-6.55365,0.65549,-5.24294
62,1240.0,2.62166,-5.8983,0.65558,-5.24293
63,1260.0,0.65559,-5.24292,-49.15177,-5.24293
64,1280.0,1.31097,-5.24293,0.65561,-5.24293
65,1300.0,1.96635,-6.55366,1.31099,-5.24293
66,1320.0,2.62172,-5.8983,1.96636,-5.24294
67,1340.0,3.27709,-5.8983,3.27709,-5.8983
68,1360.0,3.93246,-6.55365,3.93246,-5.89829
69,1380.0,5.24319,-6.55365,4.58784,-5.8983
70,1400.0,5.89857,-5.8983,5.89857,-5.8983
71,1420.0,7.20931,-6.55366,7.20931,-5.8983
72,1440.0,9.17541,-6.55367,9.17541,-5.89831
73,1460.0,11.14151,-6.55367,11.14151,-5.89832
74,1480.0,13.10761,-7.20903,12.45226,-6.55368
75,1500.0,13.763,-7.20904,13.76301,-7.20905
76,1520.0,15.07374,-7.86441,14.41839,-7.20905
77,1540.0,16.3845,-7.20905,20.97214,-6.55372
78,1560.0,24.24902,-6.55374,22.28295,-5.89838
79,1580.0,23.59368,-5.89838,22.93833,-5.89838
80,1600.0,23.59371,-5.89837,22.93835,-5.24302
81,1620.0,24.24909,-5.89838,23.59373,-5.24303
82,1640.0,24.90447,-5.89838,24.24911,-5.24302
83,1660.0,25.55984,-5.89838,24.24912,-5.24302
84,1680.0,25.55986,-5.89839,24.90449,-5.24303
