,T,LX,LY,RX,RY
0,0.0,0.0,0.0,0.0,0.0
1,20.0,-1.0000000003174e-05,-0.65536,-0.65536,0.0
2,40.0,-1.0000000003174e-05,-0.65535,-1.0000000003174e-05,-9.9999999960687e-06
3,60.0,-1.9999999999243e-05,9.9999999960687e-06,-0.65538,-9.9999999960687e-06
4,80.0,-0.65538,9.9999999960687e-06,-0.65538,-9.9999999960687e-06
5,100.0,-0.65538,0.0,-1.31074,-9.9999999960687e-06
6,120.0,-1.31074,0.0,-1.31074,0.65535
7,140.0,-1.31074,0.0,-1.31074,0.65535
8,160.0,-1.31074,0.0,-1.9661,0.65535
9,180.0,-1.31074,9.9999999960687e-06,-1.96609,0.65535
10,200.0,-1.31074,0.0,-1.96609,0.65535
11,220.0,-1.31074,0.0,-1.31073,-9.9999999960687e-06
12,240.0,-1.31074,0.0,-1.9661,-9.9999999960687e-06
13,260.0,-1.9661,0.0,-2.62146,0.65535
14,280.0,-2.62146,0.65536,-3.27675,3.93215
15,300.0,-1.31053,5.24287,-0.65514,5.89821
16,320.0,-0.65517,5.24288,-0.65516,5.89823
17,340.0,-0.65611,5.24288,-0.65516,5.89822
18,360.0,-0.65517,5.24288,-0.65517,5.89822
19,380.0,-0.65517,5.89822,-1.31053,5.89821
20,400.0,-1.31053,5.89823,-1.31053,5.89821
21,420.0,-0.65516,5.24286,-1.31052,5.89821
22,440.0,-1.31052,5.24286,-1.31052,5.89821
23,460.0,-0.65517,5.24286,-1.31053,5.89821
24,480.0,-1.31053,5.24285,-1.31054,5.8982
25,500.0,-1.31055,5.24286,-1.9659,5.89821
26,520.0,-1.96591,5.24286,-1.96591,5.89821
27,540.0,-1.96591,5.24286,-1.96591,5.89821
28,560.0,-1.96591,5.24286,-1.96591,5.8982
29,580.0,-1.31055,5.24286,-1.96591,5.8982
30,600.0,-1.96591,5.24285,-1.96591,5.8982
31,620.0,-1.96592,5.24286,-1.96592,5.8982
32,640.0,-1.96592,5.24285,-1.96592,5.8982
33,660.0,-1.96593,5.24285,-1.96591,5.8982
34,680.0,0.65561,6.55357,1.31101,6.55355
35,700.0,1.31098,6.55357,1.31099,7.20892
36,720.0,1.31099,6.55357,1.31099,7.20892
37,740.0,1.96635,6.55357,1.31099,7.20892
38,760.0,1.31098,6.55357,1.31098,7.20893
39,780.0,1.96633,6.55357,1.31098,7.20892
40,800.0,1.31097,6.55358,1.31098,7.20893
41,820.0,1.31097,6.55358,1.31098,7.20893
42,840.0,1.96634,6.55358,1.31099,7.20893
43,860.0,1.96635,6.55358,1.31099,7.20893
44,880.0,1.96635,6.55358,1.96635,7.20893
45,900.0,1.96635,6.55358,1.31099,7.20893
46,920.0,1.96635,6.55358,0.65563,7.20893
47,940.0,1.31099,6.55358,0.65563,7.20893
48,960.0,0.65561,6.55358,0.00021000000000271,6.55355
49,980.0,-1.31051,5.89821,-1.31049,6.55356
50,1000.0,-1.31051,5.89821,-1.31051,6.55356
51,1020.0,-1.3105,5.89821,-1.96586,6.55356
52,1040.0,-1.96587,5.89821,-2.62122,6.55356
53,1060.0,-1.96586,5.89821,-2.62122,6.55356
54,1080.0,-1.96586,5.89822,-1.96585,6.55356
55,1100.0,-2.62122,5.89821,-2.62121,6.55356
56,1120.0,-2.62122,5.89821,-2.62122,6.55356
57,1140.0,0.65567,8.51965,3.9327,10.4857
58,1160.0,6.55419,9.83034,5.24342,10.48569
59,1180.0,5.24341,9.17499,4.58805,9.83034
60,1200.0,4.58804,9.83034,3.93269,10.4857
61,1220.0,4.58803,9.83035,4.58804,9.83034
62,1240.0,4.58803,9.17498,4.58804,9.83033
63,1260.0,4.58803,9.17498,3.93268,9.83034
64,1280.0,4.58803,9.17498,3.93267,9.83033
65,1300.0,3.93267,9.17498,3.93267,9.83033
66,1320.0,3.93266,9.17498,3.93267,9.17497
67,1340.0,3.93266,9.17498,3.93266,9.17497
68,1360.0,3.93267,9.17498,3.27731,9.83033
69,1380.0,3.93266,9.17498,3.27731,9.17497
70,1400.0,3.93267,9.17497,3.93267,9.17496
71,1420.0,3.93267,9.17497,3.2773,63.56984
72,1440.0,3.2773,9.17497,2.62195,9.83032
73,1460.0,2.62194,9.17497,1.96658,9.83032
74,1480.0,1.96658,9.17497,1.96658,9.83032
75,1500.0,1.96658,9.17496,1.96659,9.83032
76,1520.0,1.31124,8.5196,-1.31004,7.20886
77,1540.0,0.00077000000000282,5.24279,-0.6546,5.89814
78,1560.0,-0.65462,5.24279,-1.30997,5.89814
79,1580.0,-0.65461,5.24279,-1.30997,5.24278
80,1600.0,-1.30998,4.58743,-1.96534,5.24278
81,1620.0,-1.30997,4.58743,-1.96533,5.24278
82,1640.0,-1.30997,4.58743,-1.30997,5.24278
83,1660.0,-1.30997,4.58743,-1.96533,5.24279
84,1680.0,-1.30997,5.24279,-1.96532,5.24278
85,1700.0,-1.30996,4.58744,-1.96532,5.24278
86,1720.0,-1.30996,4.58744,-1.30996,5.24279
87,1740.0,-1.30996,5.2428,-1.30995,5.24279
88,1760.0,-1.30996,4.58744,-1.30995,5.24279
89,1780.0,-0.6546,4.58744,-0.6546,5.89816
90,1800.0,0.00074999999999648,5.24281,-0.65461,5.89815
91,1820.0,0.00074999999999648,5.24281,-1.30996,5.24281
92,1840.0,-2.6206,3.93212,-2.62057,3.93211
93,1860.0,-2.6206,3.27676,-2.6206,3.27675
94,1880.0,-2.62059,2.62141,-2.6206,3.27676
95,1900.0,-1.96523,2.62141,-2.62059,3.27676
96,1920.0,-1.96523,2.62141,-1.96523,2.6214
97,1940.0,-1.96524,2.62142,-1.96523,2.6214
98,1960.0,-1.96524,2.62142,-1.96523,2.62141
99,1980.0,-1.30987,1.96606,-1.96523,2.62141
100,2000.0,-1.30987,1.96606,-1.96523,1.96605
101,2020.0,-1.30987,1.96606,-1.30987,1.96605
102,2040.0,-1.30987,1.3107,-1.30987,1.96605
103,2060.0,-1.30987,1.96606,-1.30987,1.96605
104,2080.0,-1.30987,1.3107,-1.30989,1.96604
105,2100.0,-1.30992,1.96606,-1.96526,2.62141
106,2120.0,-1.96526,1.31071,-1.96526,2.62142
107,2140.0,-1.3099,1.96607,-1.96526,1.96606
108,2160.0,-1.96526,1.3107,-1.96526,1.96606
109,2180.0,-1.96526,1.3107,-1.96525,1.96605
110,2200.0,-1.96526,1.31071,-1.96526,1.96605
111,2220.0,-1.96526,1.3107,-1.96525,1.96605
112,2240.0,-1.96526,1.3107,-1.96525,1.96605
113,2260.0,-1.3099,1.3107,-1.96525,1.96605
114,2280.0,-1.96525,1.3107,-1.96525,1.31069
115,2300.0,-1.96525,1.3107,-1.96525,1.96605
116,2320.0,-1.96525,1.3107,-1.96525,1.96605
117,2340.0,-1.96525,1.3107,-2.62061,1.96605
118,2360.0,-1.96526,1.3107,-2.62061,1.96605
119,2380.0,-1.96525,1.3107,-2.62061,1.31069
120,2400.0,-2.62061,1.3107,-2.62061,1.96605
121,2420.0,-2.62061,1.3107,-2.62061,1.96605
122,2440.0,-2.62061,1.3107,-2.62061,1.96604
123,2460.0,-2.62062,1.31069,-2.62061,1.96605
124,2480.0,-2.62062,1.31069,-3.27599,1.96604
125,2500.0,-2.62063,1.31069,-2.62063,1.96604
126,2520.0,-2.62064,1.31069,-3.93128,1.96603
127,2540.0,1.96717,1.31068,3.93335,1.31064
128,2560.0,3.27795,0.65529,2.62258,1.31065
129,2580.0,3.27795,0.6553,1.96723,1.31064
130,2600.0,2.62258,0.65529,2.62259,1.31064
131,2620.0,2.62259,0.65529,2.62259,1.31064
132,2640.0,2.62258,0.65529,1.96722,1.31064
133,2660.0,2.62258,0.65529,1.96723,1.31064
134,2680.0,1.96722,0.65529,1.96723,1.31063
135,2700.0,1.96722,0.65528,1.96723,0.65527
136,2720.0,2.62258,-8.0000000004077e-05,1.96723,1.31063
137,2740.0,2.62257,0.65528,1.96722,0.65527
138,2760.0,2.62258,0.65528,1.96722,0.65527
139,2780.0,2.62257,0.65528,1.96721,0.65527
140,2800.0,1.96721,0.65528,1.96721,1.31063
