,T,LX,LY,RX,RY
0,0.0,0.0,0.0,0.0,0.0
1,20.0,1.0000000003174e-05,-0.65536,0.0,-0.65536
2,40.0,-0.65535,-1.31072,0.0,-1.31072
3,60.0,-0.65535,-1.31072,0.0,-1.31071
4,80.0,-0.65535,-1.96608,1.0000000003174e-05,-1.96608
5,100.0,-0.65534,-1.31072,1.0000000003174e-05,-1.31072
6,120.0,1.0000000003174e-05,-1.96608,1.0000000003174e-05,-1.31072
7,140.0,1.9999999999243e-05,-1.96608,0.65537,-1.31071
8,160.0,0.65537,-1.96609,0.65536,-1.96608
9,180.0,0.65536,-2.62145,1.31072,-1.96608
10,200.0,1.31073,-2.62145,1.96608,-1.96608
11,220.0,1.31073,-1.96609,1.96608,-1.96608
12,240.0,0.65537,-2.62145,1.96608,-1.96608
13,260.0,1.31072,-2.62145,1.31072,-1.96608
14,280.0,0.65537,-2.62144,0.65536,-1.96608
15,300.0,0.65537,-1.96608,0.65535,-1.96608
16,320.0,-9.9999999960687e-06,-3.93217,1.31067,-6.55362
17,340.0,11.14111,-11.7965,22.93761,-15.72868
18,360.0,26.21442,-15.72869,26.21444,-13.76259
19,380.0,24.90374,-12.45187,25.55912,-11.14115
20,400.0,24.90378,-10.48579,24.90634,-8.5197
21,420.0,24.24845,-8.51971,24.9038,-8.5197
22,440.0,24.90382,-8.51971,24.90381,-7.86434
23,460.0,24.90382,-8.51971,24.90382,-8.5197
24,480.0,24.90383,-9.17507,24.90382,-9.17507
25,500.0,24.24847,-8.51972,24.24847,-9.17507
26,520.0,23.59311,-10.4858,24.24845,-10.4858
27,540.0,23.59309,-12.45188,24.90377,-15.07332
28,560.0,24.24838,-15.72869,24.24837,-15.07332
29,580.0,23.59302,-15.07332,24.24837,-15.07331
30,600.0,22.93766,-15.07332,23.59302,-13.7626
31,620.0,22.93767,-14.41796,23.59303,-13.76259
32,640.0,22.93768,-13.7626,23.59304,-13.10723
33,660.0,24.90379,-13.10723,26.86991,-13.10723
34,680.0,27.52529,-12.45188,27.52529,-11.14116
35,700.0,26.86994,-10.4858,27.52531,-9.83043
36,720.0,27.52531,-9.83044,27.52532,-9.17508
37,740.0,27.52533,-9.17508,28.18069,-8.51971
38,760.0,27.52534,-8.51972,28.1807,-8.51971
39,780.0,27.52534,-8.51972,27.52534,-7.86435
40,800.0,27.52535,-8.51972,28.18071,-7.86435
41,820.0,27.52536,-8.51972,28.18071,-7.86436
42,840.0,27.52536,-7.86436,28.83608,-7.20899
43,860.0,28.18072,-7.209,27.52536,-5.2429
44,880.0,26.21466,-5.24291,26.87002,-4.58754
45,900.0,26.87003,-5.24291,26.87003,-3.93219
46,920.0,26.21468,-5.24291,26.87003,-4.58754
47,940.0,26.21468,-5.24291,26.87002,-5.24291
48,960.0,26.21468,-5.89737,26.87002,-5.89827
49,980.0,26.21467,-6.55363,26.87002,-5.89827
50,1000.0,26.21466,-7.20899,26.21464,-6.55362
51,1020.0,25.55929,-7.20899,26.21464,-7.20898
52,1040.0,25.55928,-7.20899,26.21463,-7.20898
53,1060.0,25.55928,-7.86435,25.55927,-7.20898
