,T,LX,LY,RX,RY
0,0.0,0.0,0.0,0.0,0.0
1,20.0,1.31071,0.0,1.31071,0.65536
2,40.0,1.96606,0.0,1.31071,0.0
3,60.0,1.3107,-0.65535,1.3107,0.0
4,80.0,1.31069,-0.65536,0.65533000000001,0.0
5,100.0,1.31068,-0.65535,0.65532,0.0
6,120.0,0.65532,-0.65535,-0.65539999999999,1.0000000003174e-05
7,140.0,-5.000000000166e-05,-0.65535,-0.65541,-0.65535
8,160.0,-0.65542,-0.65535,-0.65541999999999,1.0000000003174e-05
9,180.0,-0.65543,-0.65534,-1.31079,1.0000000003174e-05
10,200.0,-0.65543,-0.65535,-1.31079,1.0000000003174e-05
11,220.0,-1.3108,-0.65534,-1.96616,1.0000000003174e-05
12,240.0,-1.3108,-0.65535,-1.96616,1.0000000003174e-05
13,260.0,-1.96617,1.9999999999243e-05,-1.96616,1.0000000003174e-05
14,280.0,-1.31081,1.9999999999243e-05,-1.96617,1.0000000003174e-05
15,300.0,-1.96617,-0.65534,-2.62152,1.0000000003174e-05
16,320.0,-1.96617,1.9999999999243e-05,-1.96616,1.9999999999243e-05
17,340.0,-1.31081,1.9999999999243e-05,-1.96616,1.0000000003174e-05
18,360.0,-1.3108,1.9999999999243e-05,-1.96616,1.0000000003174e-05
19,380.0,-3.93227,1.9999999999243e-05,-7.20912,1.96612
20,400.0,-5.89838,1.31076,-5.89836,1.96612
21,420.0,-5.89837,1.31076,-6.55373,1.96611
22,440.0,-5.89837,1.31076,-6.55372,2.62147
23,460.0,-5.89837,1.31076,-6.55372,2.62148
24,480.0,-5.89837,1.96612,-6.55372,2.62148
25,500.0,-6.55373,1.31076,-6.55372,1.96611
26,520.0,-6.55372,1.96612,-6.55371,2.62148
27,540.0,-6.55372,1.96612,-7.20907,1.96611
28,560.0,-6.55371,1.31076,-7.20907,2.62147
29,580.0,-7.20907,1.96612,-7.20906,2.62147
30,600.0,-7.20907,1.31076,-7.86442,2.62148
31,620.0,-7.20906,1.96612,-7.86441,2.62148
32,640.0,-7.86442,2.62148,-7.86441,2.62148
33,660.0,-7.86441,2.62148,-8.51976,3.27684
34,680.0,-8.51977,2.62148,-9.17512,3.27684
35,700.0,-8.51976,3.27684,-1.3107,3.93218
36,720.0,1.31077,2.62147,4.0000000012697e-05,4.58755
37,740.0,1.9999999999243e-05,3.9322,3.0000000009522e-05,4.58755
38,760.0,1.31074,4.58756,0.65538000000001,4.58755
39,780.0,1.31074,4.58756,0.65538000000001,4.58755
40,800.0,1.31074,4.58756,0.65538000000001,5.24292
41,820.0,1.31074,5.24292,0.65539000000001,5.24292
42,840.0,1.31075,4.58756,0.65539000000001,5.24292
43,860.0,0.65539,5.24292,0.65539000000001,5.24292
44,880.0,0.65539,4.58756,0.65539000000001,5.24292
45,900.0,1.31075,4.58756,3.0000000009522e-05,5.24292
46,920.0,0.65539,5.24292,3.0000000009522e-05,5.24292
47,940.0,-6.55366,5.24294,-8.51975,6.55366
48,960.0,-6.55364,5.89831,-6.55364,6.55367
49,980.0,-5.89829,6.55367,-6.55364,7.20903
50,1000.0,-5.24292,6.55367,-5.24291,6.55366
51,1020.0,-4.58755,6.55366,-5.2429,6.55366
52,1040.0,-4.58755,5.8983,-5.2429,6.55366
53,1060.0,-4.58754,5.8983,-5.89826,6.55366
54,1080.0,-5.2429,5.8983,-5.24289,6.55366
55,1100.0,-5.2429,5.8983,-5.24289,7.20902
56,1120.0,-5.2429,5.89831,-5.89825,6.55366
57,1140.0,-5.24289,6.55366,-5.89824,6.55366
58,1160.0,-5.24289,6.55366,-5.89824,7.20902
59,1180.0,-5.89824,5.89831,-6.55359,6.55366
60,1200.0,-5.89824,5.89831,-6.55359,6.55367
61,1220.0,5.24302,7.20901,10.48603,6.55364
62,1240.0,9.83064,6.55365,8.51992,7.20901
63,1260.0,8.51992,7.20902,8.51992,7.20901
64,1280.0,9.17527,7.20902,7.86456,7.20902
65,1300.0,8.51992,6.55366,8.51993,6.55366
66,1320.0,8.51992,6.55366,8.51993,7.20902
67,1340.0,9.17529,6.55366,8.51994,6.55366
68,1360.0,9.17529,5.8983,8.51994,6.55366
69,1380.0,9.1753,5.8983,9.1753,6.55366
70,1400.0,9.1753,5.8983,7.86459,5.8983
71,1420.0,9.1753,5.89831,8.51995,6.55366
72,1440.0,8.51995,5.89831,8.51997,5.8983
73,1460.0,8.51997,5.89831,7.86461,5.89831
74,1480.0,8.51998,5.24295,7.86463,5.24294
75,1500.0,7.86462,5.24295,8.51999,5.8983
76,1520.0,9.17533,5.24295,9.17534,5.89831
77,1540.0,9.83069,5.24294,15.72899,6.55365
78,1560.0,18.35048,5.8983,17.69511,5.89829
79,1580.0,17.6951,5.8983,17.03975,7.20902
80,1600.0,17.6951,5.8983,17.03975,6.55366
81,1620.0,17.6951,5.89831,17.03975,6.55366
82,1640.0,17.03974,6.55366,16.38439,6.55366
83,1660.0,16.38438,6.55366,16.38439,6.55366
84,1680.0,17.03974,6.55366,15.72903,6.55366
85,1700.0,16.38438,5.8983,15.72903,6.55366
86,1720.0,16.38438,6.55366,17.03975,6.55365
87,1740.0,29.49175,6.55365,34.07937,7.209
88,1760.0,34.07935,7.20901,32.76862,7.20901
89,1780.0,33.42397,6.55365,32.76862,7.20901
90,1800.0,32.76861,6.55365,32.11325,7.20901
91,1820.0,32.7686,7.20901,32.11325,7.209
92,1840.0,32.7686,6.55365,32.11325,7.20901
93,1860.0,32.11324,6.55365,31.45788,7.20901
94,1880.0,31.45788,6.55365,31.45788,7.20901
95,1900.0,32.11323,6.55365,30.80252,7.20901
96,1920.0,31.45787,7.20901,30.80252,7.20901
97,1940.0,31.45787,6.55365,30.14715,7.20901
98,1960.0,30.80251,6.55365,30.14716,7.20901
99,1980.0,30.80251,6.55365,30.14716,7.20901
100,2000.0,30.80251,6.55366,30.14716,7.20901
101,2020.0,30.14715,6.55366,28.83643,7.20901
102,2040.0,29.49178,6.55366,28.83643,7.20901
103,2060.0,33.42398,7.20901,42.59919,9.17509
104,2080.0,46.5314,8.51974,45.22067,9.1751
105,2100.0,45.22066,9.1751,44.56531,9.17509
106,2120.0,44.5653,9.17511,43.90995,9.1751
107,2140.0,44.56531,8.51974,43.90996,9.1751
108,2160.0,44.56531,8.51975,44.56532,9.1751
109,2180.0,45.22067,8.51975,44.56531,9.1751
110,2200.0,45.87602,8.51974,45.22066,9.1751
111,2220.0,45.876,8.51974,45.22065,8.51974
112,2240.0,45.876,8.51975,45.876,9.1751
113,2260.0,45.876,8.51974,45.22064,9.1751
114,2280.0,45.876,8.51974,45.22064,9.1751
115,2300.0,45.22064,8.51975,44.56528,9.1751
116,2320.0,45.22064,8.51975,44.56528,8.51974
117,2340.0,45.22064,8.51975,44.56528,8.51974
118,2360.0,44.56528,7.86439,43.90992,8.51974
119,2380.0,43.90991,7.86439,43.25456,8.51975
120,2400.0,43.90991,7.86439,43.25456,8.51975
121,2420.0,43.25455,7.86439,42.59919,8.51975
122,2440.0,43.25455,7.86439,42.5992,8.51975
123,2460.0,43.25455,7.86439,42.5992,8.51975
124,2480.0,43.25455,7.86439,42.59919,8.51974
125,2500.0,43.25454,7.86439,42.59919,7.86438
126,2520.0,47.18676,8.51974,47.18679,8.51975
127,2540.0,46.5314,8.51975,45.87605,9.17511
128,2560.0,46.5314,8.51975,45.87604,9.17511
129,2580.0,45.87604,8.51976,45.87604,9.17511
130,2600.0,45.22068,8.51975,44.56531,8.51975
131,2620.0,45.22067,8.51975,44.56532,8.51975
132,2640.0,45.22067,8.51975,44.56532,8.51975
133,2660.0,44.56531,8.51975,44.56531,8.51975
134,2680.0,44.56532,7.86439,43.90996,8.51975
135,2700.0,43.90996,7.86439,43.90997,8.51975
136,2720.0,44.56532,7.86439,43.90997,7.86439
137,2740.0,43.90996,7.86439,43.25461,7.86439
138,2760.0,43.90997,7.86439,42.59925,8.51975
139,2780.0,43.2546,7.20903,42.59925,7.86439
140,2800.0,42.59925,7.20903,41.94389,7.86439
141,2820.0,41.94389,7.20903,41.28853,7.86439
142,2840.0,40.63317,7.20903,40.63318,7.86439
143,2860.0,41.28853,7.20904,40.63318,7.86439
144,2880.0,40.63317,7.20904,40.63317,7.20903
145,2900.0,41.28852,7.20903,41.28852,7.20903
146,2920.0,41.94387,7.20903,41.94387,7.20902
147,2940.0,42.59921,6.55367,44.56533,7.86438
148,2960.0,50.46364,9.83048,49.80829,10.48584
149,2980.0,49.80827,10.48584,49.15291,11.1412
150,3000.0,49.80826,10.48585,49.80827,11.1412
151,3020.0,50.46362,10.48584,49.80827,11.1412
152,3040.0,50.46362,10.48584,49.80827,11.1412
153,3060.0,50.46362,10.48584,49.80826,11.79656
154,3080.0,50.46361,11.1412,49.1529,11.1412
155,3100.0,49.80825,10.48585,49.80826,11.79656
156,3120.0,49.80825,11.14121,49.15289,11.79656
157,3140.0,49.80825,11.14121,49.1529,11.79656
158,3160.0,49.80825,11.79657,49.15289,11.79656
159,3180.0,49.80824,11.79656,50.46362,12.45192
160,3200.0,59.63879,11.79656,60.94955,11.79655
161,3220.0,61.6049,11.79655,60.94954,12.45191
162,3240.0,60.94953,12.45192,60.29418,12.45191
163,3260.0,60.94953,12.45192,60.29417,12.45192
164,3280.0,60.29417,11.79656,60.29417,11.79656
165,3300.0,60.29417,11.79656,59.63881,12.45191
166,3320.0,59.6388,11.79656,59.63881,11.79655
167,3340.0,59.6388,11.79656,58.98345,12.45192
168,3360.0,59.6388,11.79656,58.98345,11.79655
169,3380.0,59.6388,11.1412,58.98345,11.79655
170,3400.0,59.6388,11.1412,58.98345,11.14119
171,3420.0,59.6388,10.48583,58.98345,11.14119
172,3440.0,59.6388,10.48583,58.98345,11.14119
