,T,LX,LY,RX,RY
0,0.0,0.0,0.0,0.0,0.0
1,20.0,0.0,0.0,0.65536,-0.65537
2,40.0,0.0,0.0,0.65536,-0.65537
3,60.0,0.0,0.0,0.65536,-0.65536
4,80.0,0.0,0.0,0.65537,0.0
5,100.0,0.65537,0.0,0.65537,0.0
6,120.0,0.65537,0.0,0.65538,0.0
7,140.0,0.65537,0.0,0.65537,-0.65536
8,160.0,0.65537,-0.65535999999999,0.65537,-0.65537
9,180.0,0.0,-0.65535999999999,0.65537,-1.31073
10,200.0,1.0000000003174e-05,-0.65537,1.0000000003174e-05,-0.65537
11,220.0,-0.65536,-0.65535999999999,0.0,-1.31073
12,240.0,-0.65536,-0.65470999999999,0.0,-0.65537
13,260.0,0.0,-0.65535999999999,0.0,-1.31072
14,280.0,0.0,-0.65535,0.0,-1.31072
15,300.0,0.0,-1.31071,0.65537,-1.31071
16,320.0,0.65537,-1.31071,1.31073,-1.3107
17,340.0,1.31073,-1.31069,1.9661,-1.3107
18,360.0,1.31074,-0.65532,2.62146,-0.65532
19,380.0,2.62146,6.0000000004834e-05,3.27683,5.9999999997729e-05
20,400.0,3.27682,8.0000000004077e-05,3.27683,-0.65528
21,420.0,3.27682,-1.31063,3.93219,-1.96599
22,440.0,3.93219,-1.96598,4.58755,-1.96598
23,460.0,4.58755,-1.96597,5.89827,-1.96597
24,480.0,5.24291,-1.3106,5.89828,-0.65525
25,500.0,5.89827,-0.65524,5.89828,-0.65525
26,520.0,5.89828,0.00012000000000256,5.89828,0.00011999999999546
27,540.0,5.89828,0.00013000000000574,5.89828,0.00012999999999863
28,560.0,5.89828,0.6555,6.55364,0.65549
29,580.0,5.89828,0.65551,5.89828,0.6555
30,600.0,5.89827,1.31087,6.55364,1.31087
31,620.0,5.89827,1.96623,5.89827,1.96624
32,640.0,5.89827,2.6216,5.89827,3.27696
33,660.0,5.89827,3.93233,5.89827,3.93233
34,680.0,5.89827,3.93234,5.89827,3.93233
35,700.0,5.24291,4.5877,5.89827,4.5877
36,720.0,5.24291,4.58771,5.89827,4.5877
37,740.0,5.24291,4.58771,5.89827,4.58771
38,760.0,5.24291,4.58772,6.55363,4.58772
39,780.0,5.89827,3.93236,7.20899,4.58772
40,800.0,6.55363,4.58773,7.20899,3.93236
41,820.0,6.55363,3.93237,7.20899,3.93236
42,840.0,7.20898,3.93237,7.20899,3.93237
43,860.0,7.20899,3.93237,7.86435,3.93236
44,880.0,7.20899,3.93237,7.86435,3.93236
45,900.0,7.86435,3.93237,7.86436,3.93237
46,920.0,7.86435,3.93237,8.51974,3.93236
47,940.0,9.83051,4.58774,10.48588,4.58773
48,960.0,10.48588,5.2431,11.14125,4.58774
49,980.0,10.48588,4.58774,11.14124,3.93237
50,1000.0,10.48588,3.93237,11.14125,3.93237
51,1020.0,10.48588,3.93237,11.14124,3.93236
52,1040.0,10.48588,3.93237,11.14124,3.93236
53,1060.0,10.48588,4.58773,11.14124,3.93236
54,1080.0,10.48588,3.93237,11.14124,3.93236
55,1100.0,10.48588,3.93237,13.10735,3.93236
56,1120.0,23.59323,5.89846,30.8023,5.89846
57,1140.0,29.49158,6.55382,29.49158,6.55382
58,1160.0,29.49157,7.20919,30.14694,7.20919
59,1180.0,29.49157,7.20919,30.14694,6.55383
60,1200.0,29.49157,6.55383,30.14694,6.55383
61,1220.0,29.49157,7.20919,29.49157,6.55383
62,1240.0,28.83621,7.20919,29.49157,6.55383
63,1260.0,28.18084,7.20919,28.8362,7.20919
64,1280.0,28.18084,7.86456,28.18084,7.20919
65,1300.0,27.52548,7.2092,28.18085,7.20919
66,1320.0,36.70056,6.55382,61.60443,8.51987
67,1340.0,66.84743,8.51987,66.19207,9.83059
68,1360.0,65.5367,10.48597,66.84742,9.8306
69,1380.0,66.19206,10.48598,66.84741,10.48597
70,1400.0,66.84741,10.48598,66.84741,10.48597
71,1420.0,66.84741,10.48598,66.84741,9.83062
72,1440.0,66.8474,10.48598,67.50277,10.48598
73,1460.0,67.50276,10.48598,68.15812,10.48598
74,1480.0,67.50276,10.48598,68.15813,10.48598
75,1500.0,68.15812,10.48598,68.81349,10.48598
76,1520.0,68.15812,10.48598,68.81348,10.48597
77,1540.0,68.15812,9.83062,68.81348,9.17526
78,1560.0,68.8135,10.48598,71.43501,11.14136
79,1580.0,72.0904,11.79672,71.43504,11.79671
80,1600.0,71.43504,12.45208,72.0904,11.79672
81,1620.0,72.0904,12.45208,72.09041,12.45208
82,1640.0,72.09041,13.7628,72.74578,13.7628
83,1660.0,72.09042,13.7628,72.74578,13.7628
84,1680.0,72.09042,14.41817,72.74579,14.41816
85,1700.0,72.74579,14.41816,72.74579,14.41816
86,1720.0,72.74579,14.41816,72.74579,14.41816
87,1740.0,72.74579,14.41816,72.74579,13.76279
88,1760.0,72.74579,13.76279,75.36728,15.07351
89,1780.0,89.12999,16.38426,96.9944,16.38426
90,1800.0,96.33904,16.38426,96.33904,15.7289
91,1820.0,96.33904,15.07354,96.9944,14.41817
92,1840.0,95.68367,13.10745,95.02831,12.45209
93,1860.0,95.02829,12.45209,94.37293,12.45208
94,1880.0,93.06219,12.45208,93.06219,12.45207
95,1900.0,92.40683,13.10743,92.40682,13.76278
96,1920.0,92.40681,14.41815,93.06218,14.41815
97,1940.0,92.40681,14.41815,92.40681,14.41815
98,1960.0,92.40681,15.07351,93.06218,15.07351
99,1980.0,93.06218,15.72887,93.71755,15.72887
100,2000.0,93.71754,16.38423,94.37291,16.38423
101,2020.0,93.71755,16.38423,94.37292,16.38423
102,2040.0,94.37291,17.03959,95.68365,17.03959
103,2060.0,95.68365,18.35031,97.64974,17.69495
104,2080.0,96.99439,18.35031,98.96048,18.3503
105,2100.0,100.2712,19.66103,101.58193,19.00567
106,2120.0,102.89266,19.66103,104.2034,19.00566
107,2140.0,104.85876,19.66102,106.16949,19.66102
108,2160.0,106.82485,19.66102,107.48022,19.66102
109,2180.0,108.13558,19.66102,108.79094,19.00566
